ready_queue_size: 5, ref_start_time: 2092012280420491, ref_stop_time: 2092012292917443, sheduling_overhead: 12496952 ns
ready_queue_size: 1, ref_start_time: 2092012295840193, ref_stop_time: 2092012298946964, sheduling_overhead: 3106771 ns
ready_queue_size: 1, ref_start_time: 2092012299150994, ref_stop_time: 2092012299203344, sheduling_overhead: 52350 ns
ready_queue_size: 1, ref_start_time: 2092012299895594, ref_stop_time: 2092012299948094, sheduling_overhead: 52500 ns
ready_queue_size: 1, ref_start_time: 2092012303876595, ref_stop_time: 2092012303981025, sheduling_overhead: 104430 ns
ready_queue_size: 1, ref_start_time: 2092012308150605, ref_stop_time: 2092012308500645, sheduling_overhead: 350040 ns
ready_queue_size: 1, ref_start_time: 2092012308612216, ref_stop_time: 2092012311622596, sheduling_overhead: 3010380 ns
ready_queue_size: 1, ref_start_time: 2092012311696306, ref_stop_time: 2092012311750846, sheduling_overhead: 54540 ns
ready_queue_size: 1, ref_start_time: 2092012311843336, ref_stop_time: 2092012311934686, sheduling_overhead: 91350 ns
ready_queue_size: 1, ref_start_time: 2092012314791377, ref_stop_time: 2092012314872647, sheduling_overhead: 81270 ns
ready_queue_size: 1, ref_start_time: 2092012320533647, ref_stop_time: 2092012320653587, sheduling_overhead: 119940 ns
ready_queue_size: 1, ref_start_time: 2092012320738157, ref_stop_time: 2092012323880598, sheduling_overhead: 3142441 ns
ready_queue_size: 1, ref_start_time: 2092012324282598, ref_stop_time: 2092012324334048, sheduling_overhead: 51450 ns
ready_queue_size: 1, ref_start_time: 2092012325464778, ref_stop_time: 2092012330194099, sheduling_overhead: 4729321 ns
ready_queue_size: 1, ref_start_time: 2092012334942050, ref_stop_time: 2092012335213850, sheduling_overhead: 271800 ns
ready_queue_size: 1, ref_start_time: 2092012335324370, ref_stop_time: 2092012335418720, sheduling_overhead: 94350 ns
ready_queue_size: 1, ref_start_time: 2092012338634180, ref_stop_time: 2092012338714700, sheduling_overhead: 80520 ns
ready_queue_size: 1, ref_start_time: 2092012338841540, ref_stop_time: 2092012338888640, sheduling_overhead: 47100 ns
ready_queue_size: 1, ref_start_time: 2092012343916611, ref_stop_time: 2092012344007901, sheduling_overhead: 91290 ns
ready_queue_size: 1, ref_start_time: 2092012344233021, ref_stop_time: 2092012344330011, sheduling_overhead: 96990 ns
ready_queue_size: 1, ref_start_time: 2092012344399431, ref_stop_time: 2092012344494411, sheduling_overhead: 94980 ns
ready_queue_size: 1, ref_start_time: 2092012347738072, ref_stop_time: 2092012347826902, sheduling_overhead: 88830 ns
ready_queue_size: 1, ref_start_time: 2092012352608933, ref_stop_time: 2092012352702473, sheduling_overhead: 93540 ns
ready_queue_size: 1, ref_start_time: 2092012355868133, ref_stop_time: 2092012355967463, sheduling_overhead: 99330 ns
ready_queue_size: 2, ref_start_time: 2092012359870674, ref_stop_time: 2092012360497254, sheduling_overhead: 626580 ns
ready_queue_size: 1, ref_start_time: 2092012364155124, ref_stop_time: 2092012364222114, sheduling_overhead: 66990 ns
ready_queue_size: 4, ref_start_time: 2092012367758695, ref_stop_time: 2092012372590676, sheduling_overhead: 4831981 ns
ready_queue_size: 3, ref_start_time: 2092012375943896, ref_stop_time: 2092012378331627, sheduling_overhead: 2387731 ns
ready_queue_size: 2, ref_start_time: 2092012383970098, ref_stop_time: 2092012384114638, sheduling_overhead: 144540 ns
total_ready_tasks: 40, total_scheduling_overhead: 36560287 ns
