app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2092012280438401, ref_stop_time: 2092012280938471, actual_exe_time: 500070, task_app_start_time:2092012244822005, task_sched_time:2092012280426911
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2092012280484931, ref_stop_time: 2092012280753461, actual_exe_time: 268530, task_app_start_time:2092012251040346, task_sched_time:2092012280478781
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2092012280528911, ref_stop_time: 2092012281095371, actual_exe_time: 566460, task_app_start_time:2092012245106945, task_sched_time:2092012280524591
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2092012283993792, ref_stop_time: 2092012284123512, actual_exe_time: 129720, task_app_start_time:2092012248256796, task_sched_time:2092012283981192
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2092012292745723, ref_stop_time: 2092012292843163, actual_exe_time: 97440, task_app_start_time:2092012255959627, task_sched_time:2092012292737593
app_id: 6, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2092012298907004, ref_stop_time: 2092012298996614, actual_exe_time: 89610, task_app_start_time:2092012268254319, task_sched_time:2092012298887594
app_id: 9, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2092012299159814, ref_stop_time: 2092012299592354, actual_exe_time: 432540, task_app_start_time:2092012275864690, task_sched_time:2092012299154174
app_id: 7, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2092012299908284, ref_stop_time: 2092012300092664, actual_exe_time: 184380, task_app_start_time:2092012270923029, task_sched_time:2092012299899134
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2092012303896995, ref_stop_time: 2092012303968575, actual_exe_time: 71580, task_app_start_time:2092012245106945, task_sched_time:2092012303885715
app_id: 5, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2092012308166775, ref_stop_time: 2092012308537545, actual_exe_time: 370770, task_app_start_time:2092012267912259, task_sched_time:2092012308156425
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2092012311562476, ref_stop_time: 2092012312186716, actual_exe_time: 624240, task_app_start_time:2092012255959627, task_sched_time:2092012311551406
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2092012311703596, ref_stop_time: 2092012311986046, actual_exe_time: 282450, task_app_start_time:2092012244822005, task_sched_time:2092012311699486
app_id: 9, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2092012312040016, ref_stop_time: 2092012312125276, actual_exe_time: 85260, task_app_start_time:2092012275864690, task_sched_time:2092012311846126
app_id: 5, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2092012314891877, ref_stop_time: 2092012314970837, actual_exe_time: 78960, task_app_start_time:2092012267912259, task_sched_time:2092012314798937
app_id: 7, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2092012320549457, ref_stop_time: 2092012320952957, actual_exe_time: 403500, task_app_start_time:2092012270923029, task_sched_time:2092012320543337
app_id: 6, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2092012320992168, ref_stop_time: 2092012321081238, actual_exe_time: 89070, task_app_start_time:2092012268254319, task_sched_time:2092012320985147
app_id: 5, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu2, ref_start_time: 2092012324289918, ref_stop_time: 2092012324372628, actual_exe_time: 82710, task_app_start_time:2092012267912259, task_sched_time:2092012324285478
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 2092012325540438, ref_stop_time: 2092012326202778, actual_exe_time: 662340, task_app_start_time:2092012245106945, task_sched_time:2092012325467688
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 2092012335095290, ref_stop_time: 2092012335274480, actual_exe_time: 179190, task_app_start_time:2092012244822005, task_sched_time:2092012335086140
app_id: 8, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2092012335431170, ref_stop_time: 2092012339201690, actual_exe_time: 3770520, task_app_start_time:2092012272321720, task_sched_time:2092012335374710
app_id: 7, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu2, ref_start_time: 2092012338649480, ref_stop_time: 2092012339838381, actual_exe_time: 1188901, task_app_start_time:2092012270923029, task_sched_time:2092012338640090
app_id: 9, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 2092012338849610, ref_stop_time: 2092012339326550, actual_exe_time: 476940, task_app_start_time:2092012275864690, task_sched_time:2092012338844030
app_id: 5, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2092012344204251, ref_stop_time: 2092012344326891, actual_exe_time: 122640, task_app_start_time:2092012267912259, task_sched_time:2092012343926601
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 2092012344288911, ref_stop_time: 2092012344411551, actual_exe_time: 122640, task_app_start_time:2092012255959627, task_sched_time:2092012344285131
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2092012344774191, ref_stop_time: 2092012348402422, actual_exe_time: 3628231, task_app_start_time:2092012248256796, task_sched_time:2092012344447521
app_id: 6, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu2, ref_start_time: 2092012347748692, ref_stop_time: 2092012348169322, actual_exe_time: 420630, task_app_start_time:2092012268254319, task_sched_time:2092012347743502
app_id: 8, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2092012352643553, ref_stop_time: 2092012352996353, actual_exe_time: 352800, task_app_start_time:2092012272321720, task_sched_time:2092012352617753
app_id: 9, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2092012355907553, ref_stop_time: 2092012356022033, actual_exe_time: 114480, task_app_start_time:2092012275864690, task_sched_time:2092012355876443
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2092012359951674, ref_stop_time: 2092012360444214, actual_exe_time: 492540, task_app_start_time:2092012244822005, task_sched_time:2092012359882074
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2092012360546904, ref_stop_time: 2092012360656284, actual_exe_time: 109380, task_app_start_time:2092012245106945, task_sched_time:2092012360452344
app_id: 7, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2092012364165084, ref_stop_time: 2092012364258354, actual_exe_time: 93270, task_app_start_time:2092012270923029, task_sched_time:2092012364160824
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 2092012367771265, ref_stop_time: 2092012367962455, actual_exe_time: 191190, task_app_start_time:2092012248256796, task_sched_time:2092012367766255
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2092012371898996, ref_stop_time: 2092012371972016, actual_exe_time: 73020, task_app_start_time:2092012251040346, task_sched_time:2092012371883996
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2092012372305436, ref_stop_time: 2092012372417156, actual_exe_time: 111720, task_app_start_time:2092012255959627, task_sched_time:2092012372294156
app_id: 8, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 2092012372352866, ref_stop_time: 2092012372598446, actual_exe_time: 245580, task_app_start_time:2092012272321720, task_sched_time:2092012372347796
app_id: 6, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2092012376042266, ref_stop_time: 2092012376134696, actual_exe_time: 92430, task_app_start_time:2092012268254319, task_sched_time:2092012375999816
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu2, ref_start_time: 2092012376050426, ref_stop_time: 2092012376130436, actual_exe_time: 80010, task_app_start_time:2092012251040346, task_sched_time:2092012376043676
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2092012376116576, ref_stop_time: 2092012379646977, actual_exe_time: 3530401, task_app_start_time:2092012248256796, task_sched_time:2092012376086666
app_id: 8, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2092012384073598, ref_stop_time: 2092012384181148, actual_exe_time: 107550, task_app_start_time:2092012272321720, task_sched_time:2092012384069038
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2092012384405818, ref_stop_time: 2092012384508178, actual_exe_time: 102360, task_app_start_time:2092012251040346, task_sched_time:2092012383979368
