 38.3757 C 	 2114961313291837 ns 
 37.3499 C 	 2114961327124239 ns 
 37.2722 C 	 2114961344137902 ns 
 38.3602 C 	 2114961361879214 ns 
 37.6763 C 	 2114961374143036 ns 
 39.3705 C 	 2114961389970889 ns 
 37.0701 C 	 2114961404069091 ns 
 38.9353 C 	 2114961420117474 ns 
 39.1840 C 	 2114961436485266 ns 
 38.2669 C 	 2114961452567939 ns 
 38.1892 C 	 2114961473411762 ns 
 36.4639 C 	 2114961485762884 ns 
 38.7799 C 	 2114961498162216 ns 
 37.1478 C 	 2114961514413759 ns 
 36.6194 C 	 2114961531022812 ns 
 39.2151 C 	 2114961547131884 ns 
 37.6918 C 	 2114961563255447 ns 
 38.1115 C 	 2114961577645999 ns 
 37.5053 C 	 2114961591871251 ns 
 38.1892 C 	 2114961609412434 ns 
 39.4171 C 	 2114961623925657 ns 
 37.9561 C 	 2114961638926559 ns 
 37.5986 C 	 2114961657167792 ns 
 37.7229 C 	 2114961674265455 ns 
 40.1787 C 	 2114961688503457 ns 
 37.8317 C 	 2114961700441269 ns 
 36.5883 C 	 2114961715967741 ns 
 37.3499 C 	 2114961732052034 ns 
 37.8628 C 	 2114961747039646 ns 
 37.9405 C 	 2114961763332799 ns 
 37.9872 C 	 2114961779394532 ns 
 37.8784 C 	 2114961794854404 ns 
 37.4742 C 	 2114961809431586 ns 
 37.3965 C 	 2114961826038749 ns 
 38.3913 C 	 2114961840510901 ns 
 37.8939 C 	 2114961855250354 ns 
 38.1426 C 	 2114961872791657 ns 
 38.5933 C 	 2114961885155409 ns 
 37.1323 C 	 2114961901905281 ns 
 37.4432 C 	 2114961916421354 ns 
 38.5156 C 	 2114961928793686 ns 
 38.7799 C 	 2114961945985668 ns 
 37.4432 C 	 2114961957917570 ns 
 38.9197 C 	 2114961974203583 ns 
 38.2825 C 	 2114961990514676 ns 
 38.0183 C 	 2114962003116778 ns 
 38.6244 C 	 2114962019219970 ns 
 37.6918 C 	 2114962036352553 ns 
 37.2722 C 	 2114962051320125 ns 
 38.2359 C 	 2114962068789848 ns 
 36.4018 C 	 2114962080637390 ns 
 37.8317 C 	 2114962097312233 ns 
 38.5623 C 	 2114962109693295 ns 
 38.4224 C 	 2114962121306687 ns 
 37.4898 C 	 2114962135345849 ns 
 37.6608 C 	 2114962151869342 ns 
 37.7229 C 	 2114962167662934 ns 
 38.1892 C 	 2114962180371296 ns 
 38.1426 C 	 2114962195284268 ns 
 37.4898 C 	 2114962208996431 ns 
 36.6038 C 	 2114962221870423 ns 
 37.6297 C 	 2114962239834816 ns 
 38.8265 C 	 2114962251825938 ns 
 37.7229 C 	 2114962268101210 ns 
 38.0027 C 	 2114962280677272 ns 
 39.1684 C 	 2114962295601885 ns 
 38.1115 C 	 2114962310870177 ns 
 37.3654 C 	 2114962323418669 ns 
 39.2306 C 	 2114962335831201 ns 
 37.1634 C 	 2114962351892604 ns 
 37.9405 C 	 2114962366519856 ns 
 38.8731 C 	 2114962380846658 ns 
 37.9872 C 	 2114962393560060 ns 
 37.9561 C 	 2114962409876883 ns 
 37.8006 C 	 2114962421835545 ns 
 39.6347 C 	 2114962438395818 ns 
 38.2514 C 	 2114962452100810 ns 
 39.1684 C 	 2114962466984892 ns 
 37.3810 C 	 2114962482873615 ns 
 37.5520 C 	 2114962495824377 ns 
 37.7229 C 	 2114962511904589 ns 
 37.3965 C 	 2114962524849232 ns 
 37.2411 C 	 2114962537655664 ns 
 37.7851 C 	 2114962554380906 ns 
 38.9353 C 	 2114962568148388 ns 
 37.9872 C 	 2114962585535611 ns 
 36.8059 C 	 2114962597901283 ns 
 39.4016 C 	 2114962609824335 ns 
 38.0183 C 	 2114962627437158 ns 
 36.4950 C 	 2114962645407641 ns 
 37.9250 C 	 2114962658041663 ns 
 38.5001 C 	 2114962670111715 ns 
 37.0235 C 	 2114962682613377 ns 
 38.5623 C 	 2114962698718370 ns 
 38.2359 C 	 2114962710672351 ns 
 37.9872 C 	 2114962725408924 ns 
 37.8317 C 	 2114962739487596 ns 
 37.7074 C 	 2114962755061859 ns 
