 40.0855 C 	 2114961313239787 ns 
 39.1529 C 	 2114961327079629 ns 
 38.4535 C 	 2114961344092572 ns 
 37.9250 C 	 2114961361835534 ns 
 39.1529 C 	 2114961374098486 ns 
 39.7746 C 	 2114961389927809 ns 
 37.8317 C 	 2114961404025711 ns 
 38.7799 C 	 2114961420073914 ns 
 38.5312 C 	 2114961436441226 ns 
 38.9508 C 	 2114961452525159 ns 
 38.5001 C 	 2114961473367722 ns 
 37.2256 C 	 2114961485719504 ns 
 38.4224 C 	 2114961498116616 ns 
 38.7488 C 	 2114961514368849 ns 
 38.2514 C 	 2114961530976762 ns 
 38.5312 C 	 2114961547087244 ns 
 38.1115 C 	 2114961563212037 ns 
 37.4742 C 	 2114961577601989 ns 
 38.9353 C 	 2114961591827751 ns 
 37.0546 C 	 2114961609366564 ns 
 39.6036 C 	 2114961623881887 ns 
 39.1373 C 	 2114961638882699 ns 
 39.3239 C 	 2114961657124742 ns 
 39.3083 C 	 2114961674221565 ns 
 39.4948 C 	 2114961688458787 ns 
 37.6918 C 	 2114961700397859 ns 
 38.9353 C 	 2114961715924901 ns 
 38.3913 C 	 2114961732009254 ns 
 38.6555 C 	 2114961746995336 ns 
 39.2151 C 	 2114961763288909 ns 
 38.8576 C 	 2114961779351392 ns 
 38.9353 C 	 2114961794809344 ns 
 37.8939 C 	 2114961809387666 ns 
 38.7799 C 	 2114961825994289 ns 
 37.6297 C 	 2114961840467131 ns 
 38.7643 C 	 2114961855205024 ns 
 38.2980 C 	 2114961872747167 ns 
 39.0907 C 	 2114961885108489 ns 
 39.0596 C 	 2114961901862111 ns 
 38.2669 C 	 2114961916375604 ns 
 37.5364 C 	 2114961928749706 ns 
 37.9405 C 	 2114961945941568 ns 
 38.7021 C 	 2114961957873050 ns 
 38.2669 C 	 2114961974159363 ns 
 38.7177 C 	 2114961990471626 ns 
 38.3602 C 	 2114962003071358 ns 
 37.8784 C 	 2114962019176050 ns 
 37.9872 C 	 2114962036307793 ns 
 38.2825 C 	 2114962051277015 ns 
 37.3810 C 	 2114962068745868 ns 
 37.2722 C 	 2114962080593920 ns 
 39.1995 C 	 2114962096898563 ns 
 39.1840 C 	 2114962109649555 ns 
 39.0752 C 	 2114962121263097 ns 
 38.9042 C 	 2114962135301149 ns 
 38.2514 C 	 2114962151825781 ns 
 37.8006 C 	 2114962167618954 ns 
 37.3810 C 	 2114962180327046 ns 
 39.4016 C 	 2114962195241248 ns 
 38.7488 C 	 2114962208951761 ns 
 39.6347 C 	 2114962221825123 ns 
 38.1426 C 	 2114962239790026 ns 
 38.2669 C 	 2114962251782318 ns 
 38.0338 C 	 2114962268057710 ns 
 39.4327 C 	 2114962280633442 ns 
 39.4171 C 	 2114962295557095 ns 
 38.6866 C 	 2114962310825987 ns 
 37.7851 C 	 2114962323374989 ns 
 39.4482 C 	 2114962335787461 ns 
 37.4432 C 	 2114962351848594 ns 
 38.1115 C 	 2114962366476206 ns 
 38.6555 C 	 2114962380801748 ns 
 37.8628 C 	 2114962393516650 ns 
 38.5778 C 	 2114962409833473 ns 
 39.0752 C 	 2114962421791415 ns 
 38.2825 C 	 2114962438351868 ns 
 39.0130 C 	 2114962452056890 ns 
 38.6711 C 	 2114962466941152 ns 
 38.9664 C 	 2114962482830415 ns 
 38.5623 C 	 2114962495780127 ns 
 37.8784 C 	 2114962511860969 ns 
 38.0649 C 	 2114962524804472 ns 
 38.4068 C 	 2114962537611744 ns 
 37.9094 C 	 2114962554337046 ns 
 38.3291 C 	 2114962568104258 ns 
 39.2617 C 	 2114962585491481 ns 
 37.7851 C 	 2114962597858233 ns 
 38.3757 C 	 2114962609780025 ns 
 37.6452 C 	 2114962627393568 ns 
 38.4068 C 	 2114962645364291 ns 
 39.2617 C 	 2114962657998583 ns 
 37.9405 C 	 2114962670068125 ns 
 39.0907 C 	 2114962682567867 ns 
 37.8317 C 	 2114962698674330 ns 
 37.1323 C 	 2114962710629121 ns 
 38.8265 C 	 2114962725364764 ns 
 37.2566 C 	 2114962739435396 ns 
 39.4327 C 	 2114962755017489 ns 
 38.8109 C 	 2114962772760301 ns 
 37.9094 C 	 2114962785826144 ns 
 37.9872 C 	 2114962802752746 ns 
 39.8057 C 	 2114962818126489 ns 
 37.8006 C 	 2114962834791581 ns 
 38.1271 C 	 2114962847027533 ns 
 39.1373 C 	 2114962861790446 ns 
 37.7074 C 	 2114962879251739 ns 
 39.1373 C 	 2114962891504851 ns 
 39.2928 C 	 2114962907719913 ns 
 37.8317 C 	 2114962923791216 ns 
 38.5778 C 	 2114962937752678 ns 
 37.5675 C 	 2114962951217670 ns 
 38.7177 C 	 2114962964983232 ns 
 37.6141 C 	 2114962982083925 ns 
 38.2825 C 	 2114962994383957 ns 
 38.1581 C 	 2114963008557609 ns 
 38.2980 C 	 2114963021070791 ns 
 37.5209 C 	 2114963037141974 ns 
 38.5312 C 	 2114963048880196 ns 
 37.4587 C 	 2114963064501738 ns 
 38.6866 C 	 2114963079422451 ns 
 36.9147 C 	 2114963095525163 ns 
 39.0596 C 	 2114963111645336 ns 
 38.3136 C 	 2114963130817199 ns 
 39.1373 C 	 2114963146764932 ns 
 39.5415 C 	 2114963170453325 ns 
 39.1218 C 	 2114963188531028 ns 
 37.0390 C 	 2114963200788670 ns 
 38.8109 C 	 2114963215486453 ns 
 39.1373 C 	 2114963231482875 ns 
 39.9611 C 	 2114963246435958 ns 
 38.2980 C 	 2114963261133260 ns 
 39.6036 C 	 2114963275907842 ns 
 38.4224 C 	 2114963291200645 ns 
 40.0078 C 	 2114963304777717 ns 
 37.5986 C 	 2114963318482739 ns 
 38.2980 C 	 2114963332386871 ns 
 38.3136 C 	 2114963346735544 ns 
 39.8368 C 	 2114963362090716 ns 
 38.2514 C 	 2114963375527928 ns 
 38.1892 C 	 2114963390985551 ns 
 37.7851 C 	 2114963405205793 ns 
 40.2720 C 	 2114963420857276 ns 
 39.1684 C 	 2114963439549769 ns 
 38.2359 C 	 2114963455520421 ns 
 37.9250 C 	 2114963475074214 ns 
 38.8576 C 	 2114963489863677 ns 
 38.9353 C 	 2114963504639639 ns 
 38.2514 C 	 2114963524398782 ns 
 38.9042 C 	 2114963541331145 ns 
 39.8212 C 	 2114963558802188 ns 
 38.3602 C 	 2114963577657251 ns 
 38.5312 C 	 2114963595506024 ns 
 37.2722 C 	 2114963613574127 ns 
 38.0649 C 	 2114963629393489 ns 
 38.5623 C 	 2114963647642072 ns 
 38.7021 C 	 2114963664740275 ns 
 38.3136 C 	 2114963683041778 ns 
 38.3913 C 	 2114963702458531 ns 
 39.0130 C 	 2114963719231384 ns 
 39.1063 C 	 2114963736538027 ns 
 39.5415 C 	 2114963755075000 ns 
 38.7488 C 	 2114963773879243 ns 
 38.1426 C 	 2114963789282955 ns 
 39.0752 C 	 2114963806825458 ns 
 38.0183 C 	 2114963823684501 ns 
 38.7488 C 	 2114963841416063 ns 
 40.1166 C 	 2114963856451646 ns 
 37.1012 C 	 2114963873923589 ns 
 37.2100 C 	 2114963891181541 ns 
 38.4845 C 	 2114963907576304 ns 
 38.6089 C 	 2114963922741546 ns 
 39.1063 C 	 2114963938494309 ns 
 37.8162 C 	 2114963954353152 ns 
 40.0855 C 	 2114963969115284 ns 
 39.4482 C 	 2114963983641466 ns 
 38.3291 C 	 2114963998107409 ns 
 38.5467 C 	 2114964012420171 ns 
 38.5001 C 	 2114964026023283 ns 
 38.9664 C 	 2114964040282795 ns 
 38.4845 C 	 2114964054515578 ns 
 38.3602 C 	 2114964068643420 ns 
 38.0960 C 	 2114964082623092 ns 
 39.3550 C 	 2114964097032815 ns 
 38.9975 C 	 2114964110978707 ns 
 38.8420 C 	 2114964124760649 ns 
 37.9872 C 	 2114964138447641 ns 
 38.8420 C 	 2114964152654533 ns 
 38.0183 C 	 2114964167634076 ns 
 38.4690 C 	 2114964181949028 ns 
 39.6503 C 	 2114964195503810 ns 
 38.0804 C 	 2114964211193873 ns 
 39.3394 C 	 2114964226900315 ns 
 37.5986 C 	 2114964242760238 ns 
 38.1737 C 	 2114964258572311 ns 
 37.6297 C 	 2114964272258883 ns 
 39.2928 C 	 2114964286095365 ns 
