 41.5465 C 	 2089827863071797 ns 
 42.7278 C 	 2089827875132639 ns 
 42.6190 C 	 2089827888773371 ns 
 42.0905 C 	 2089827904732084 ns 
 42.3237 C 	 2089827916690026 ns 
 43.2407 C 	 2089827931609508 ns 
 41.9817 C 	 2089827945963731 ns 
 41.2046 C 	 2089827966735524 ns 
 41.2667 C 	 2089827982527346 ns 
 40.9403 C 	 2089828000928749 ns 
 42.7900 C 	 2089828015945432 ns 
 42.0439 C 	 2089828032175344 ns 
 42.3392 C 	 2089828043576096 ns 
 41.0491 C 	 2089828061625419 ns 
 40.9248 C 	 2089828073683891 ns 
 42.0905 C 	 2089828086858573 ns 
 41.1579 C 	 2089828103656776 ns 
 42.4169 C 	 2089828120909059 ns 
 41.2978 C 	 2089828136665481 ns 
 42.4014 C 	 2089828151240294 ns 
 41.8418 C 	 2089828166847406 ns 
 41.9817 C 	 2089828182748339 ns 
 41.6553 C 	 2089828199561181 ns 
 41.7641 C 	 2089828215564474 ns 
 41.1113 C 	 2089828232777697 ns 
 40.7227 C 	 2089828245074219 ns 
 41.6553 C 	 2089828260976441 ns 
 42.7278 C 	 2089828273071693 ns 
 41.9196 C 	 2089828290715566 ns 
 41.9973 C 	 2089828302230768 ns 
 41.6242 C 	 2089828318594961 ns 
 41.6709 C 	 2089828331623573 ns 
 42.9143 C 	 2089828342867694 ns 
 42.1527 C 	 2089828358869397 ns 
 42.4946 C 	 2089828370782699 ns 
 42.9454 C 	 2089828382127681 ns 
 43.0697 C 	 2089828398994943 ns 
 41.2201 C 	 2089828411282165 ns 
 41.1890 C 	 2089828426324678 ns 
 41.4377 C 	 2089828437755790 ns 
 42.7122 C 	 2089828453562402 ns 
 41.5154 C 	 2089828465471264 ns 
 41.3755 C 	 2089828476852426 ns 
 42.4480 C 	 2089828493595819 ns 
 41.8108 C 	 2089828505276531 ns 
 42.4169 C 	 2089828521124933 ns 
 42.9609 C 	 2089828533334845 ns 
 42.5257 C 	 2089828545227927 ns 
 42.9920 C 	 2089828560566839 ns 
 40.8937 C 	 2089828572112971 ns 
 42.0284 C 	 2089828585241453 ns 
 42.3081 C 	 2089828600503176 ns 
 41.3289 C 	 2089828612466278 ns 
 42.6501 C 	 2089828624260480 ns 
 42.0128 C 	 2089828639796312 ns 
 42.5568 C 	 2089828651467274 ns 
 41.7175 C 	 2089828664511126 ns 
 40.9870 C 	 2089828680073629 ns 
 42.6656 C 	 2089828691826851 ns 
 43.8935 C 	 2089828707538843 ns 
 42.4946 C 	 2089828719610215 ns 
 41.3911 C 	 2089828730975957 ns 
 42.2149 C 	 2089828747782890 ns 
 42.7278 C 	 2089828759252431 ns 
 41.3134 C 	 2089828771296143 ns 
 42.6190 C 	 2089828788028856 ns 
 40.5984 C 	 2089828799906548 ns 
 41.3289 C 	 2089828811265090 ns 
 41.9196 C 	 2089828825625612 ns 
 43.0697 C 	 2089828841711075 ns 
 40.5518 C 	 2089828853414137 ns 
 42.1838 C 	 2089828870813989 ns 
 41.1890 C 	 2089828886571102 ns 
 41.7175 C 	 2089828898661764 ns 
 41.0181 C 	 2089828914455296 ns 
 41.5776 C 	 2089828925977578 ns 
 41.9662 C 	 2089828937823590 ns 
 41.5621 C 	 2089828953871703 ns 
 40.9714 C 	 2089828965435385 ns 
 41.8885 C 	 2089828981816407 ns 
 41.7797 C 	 2089828993793699 ns 
 42.2149 C 	 2089829005124611 ns 
 41.1579 C 	 2089829017933113 ns 
 40.3342 C 	 2089829033839116 ns 
 41.5776 C 	 2089829045311267 ns 
 41.1735 C 	 2089829062364530 ns 
 41.6398 C 	 2089829074304682 ns 
 41.7952 C 	 2089829085575174 ns 
 40.8626 C 	 2089829100564856 ns 
 41.3755 C 	 2089829112528468 ns 
 42.2149 C 	 2089829128135971 ns 
