 42.3392 C 	 2088243370872421 ns 
 41.8574 C 	 2088243385259463 ns 
 42.2926 C 	 2088243401159166 ns 
 41.7797 C 	 2088243412987538 ns 
 42.2460 C 	 2088243426858820 ns 
 42.6190 C 	 2088243438691572 ns 
 41.0491 C 	 2088243454482044 ns 
 43.1164 C 	 2088243470585237 ns 
 42.1838 C 	 2088243485067109 ns 
 44.0179 C 	 2088243500828752 ns 
 40.9093 C 	 2088243512801454 ns 
 41.8729 C 	 2088243528199046 ns 
 41.7486 C 	 2088243539898988 ns 
 42.4480 C 	 2088243555976561 ns 
 42.4169 C 	 2088243572956113 ns 
 40.1321 C 	 2088243585190055 ns 
 41.2357 C 	 2088243600909128 ns 
 41.9817 C 	 2088243616987090 ns 
 42.3081 C 	 2088243632736883 ns 
 42.4636 C 	 2088243649036336 ns 
 41.2512 C 	 2088243660770148 ns 
 40.6450 C 	 2088243675494570 ns 
 42.2149 C 	 2088243691582372 ns 
 41.1579 C 	 2088243706387435 ns 
 41.9506 C 	 2088243722423757 ns 
 41.5621 C 	 2088243738898350 ns 
 43.0386 C 	 2088243750502412 ns 
 41.0181 C 	 2088243765407254 ns 
 42.4791 C 	 2088243781310617 ns 
 42.1838 C 	 2088243792891249 ns 
 41.7641 C 	 2088243807018881 ns 
 41.8418 C 	 2088243823005974 ns 
 42.1838 C 	 2088243834476805 ns 
 42.4946 C 	 2088243850356288 ns 
 41.5465 C 	 2088243861639920 ns 
 41.8263 C 	 2088243873165832 ns 
 41.9973 C 	 2088243885279864 ns 
 42.6034 C 	 2088243899713046 ns 
 43.0542 C 	 2088243911299198 ns 
 41.9506 C 	 2088243925628910 ns 
 42.0128 C 	 2088243941394033 ns 
 41.6087 C 	 2088243952908215 ns 
 41.1113 C 	 2088243964294776 ns 
 42.1993 C 	 2088243978069909 ns 
 41.8574 C 	 2088243993985211 ns 
 41.3600 C 	 2088244005599053 ns 
 41.8885 C 	 2088244023441946 ns 
 41.0181 C 	 2088244035040548 ns 
 41.1579 C 	 2088244050398150 ns 
 40.6606 C 	 2088244062239542 ns 
 40.8782 C 	 2088244077441745 ns 
 41.6242 C 	 2088244093280397 ns 
 41.5776 C 	 2088244105041209 ns 
 41.5776 C 	 2088244116978721 ns 
