app_id: 9, app_name: radar_correlator_api-aarch64, ref_arrival_time: 2088400332018511, ref_start_time: 2088400360694256, ref_end_time: 2088400616686907, app_runtime: 255992651, app_lifetime: 284668396 
app_id: 6, app_name: radar_correlator_api-aarch64, ref_arrival_time: 2088400332018511, ref_start_time: 2088400353595775, ref_end_time: 2088400617350897, app_runtime: 263755122, app_lifetime: 285332386 
app_id: 2, app_name: radar_correlator_api-aarch64, ref_arrival_time: 2088400332018511, ref_start_time: 2088400336624862, ref_end_time: 2088400620545927, app_runtime: 283921065, app_lifetime: 288527416 
app_id: 3, app_name: radar_correlator_api-aarch64, ref_arrival_time: 2088400332018511, ref_start_time: 2088400337362442, ref_end_time: 2088400620615107, app_runtime: 283252665, app_lifetime: 288596596 
app_id: 4, app_name: radar_correlator_api-aarch64, ref_arrival_time: 2088400332018511, ref_start_time: 2088400347764944, ref_end_time: 2088400650814222, app_runtime: 303049278, app_lifetime: 318795711 
app_id: 13, app_name: radar_correlator_api-aarch64, ref_arrival_time: 2088400332018511, ref_start_time: 2088400376570198, ref_end_time: 2088400656666233, app_runtime: 280096035, app_lifetime: 324647722 
app_id: 10, app_name: radar_correlator_api-aarch64, ref_arrival_time: 2088400332018511, ref_start_time: 2088400361318166, ref_end_time: 2088400656794873, app_runtime: 295476707, app_lifetime: 324776362 
app_id: 7, app_name: radar_correlator_api-aarch64, ref_arrival_time: 2088400332018511, ref_start_time: 2088400354058105, ref_end_time: 2088400656894053, app_runtime: 302835948, app_lifetime: 324875542 
app_id: 12, app_name: radar_correlator_api-aarch64, ref_arrival_time: 2088400332018511, ref_start_time: 2088400375452758, ref_end_time: 2088400656973733, app_runtime: 281520975, app_lifetime: 324955222 
app_id: 18, app_name: radar_correlator_api-aarch64, ref_arrival_time: 2088400332018511, ref_start_time: 2088400388667760, ref_end_time: 2088400660586364, app_runtime: 271918604, app_lifetime: 328567853 
app_id: 17, app_name: radar_correlator_api-aarch64, ref_arrival_time: 2088400332018511, ref_start_time: 2088400385739760, ref_end_time: 2088400660727904, app_runtime: 274988144, app_lifetime: 328709393 
app_id: 5, app_name: radar_correlator_api-aarch64, ref_arrival_time: 2088400332018511, ref_start_time: 2088400353317134, ref_end_time: 2088400661334954, app_runtime: 308017820, app_lifetime: 329316443 
app_id: 16, app_name: radar_correlator_api-aarch64, ref_arrival_time: 2088400332018511, ref_start_time: 2088400385172280, ref_end_time: 2088400661427714, app_runtime: 276255434, app_lifetime: 329409203 
app_id: 22, app_name: radar_correlator_api-aarch64, ref_arrival_time: 2088400332018511, ref_start_time: 2088400408656283, ref_end_time: 2088400664564125, app_runtime: 255907842, app_lifetime: 332545614 
app_id: 23, app_name: radar_correlator_api-aarch64, ref_arrival_time: 2088400332018511, ref_start_time: 2088400413069464, ref_end_time: 2088400664704525, app_runtime: 251635061, app_lifetime: 332686014 
app_id: 24, app_name: radar_correlator_api-aarch64, ref_arrival_time: 2088400332018511, ref_start_time: 2088400425147766, ref_end_time: 2088400664794135, app_runtime: 239646369, app_lifetime: 332775624 
app_id: 1, app_name: radar_correlator_api-aarch64, ref_arrival_time: 2088400332018511, ref_start_time: 2088400335710342, ref_end_time: 2088400664882395, app_runtime: 329172053, app_lifetime: 332863884 
app_id: 21, app_name: radar_correlator_api-aarch64, ref_arrival_time: 2088400332018511, ref_start_time: 2088400400964102, ref_end_time: 2088400665146125, app_runtime: 264182023, app_lifetime: 333127614 
app_id: 20, app_name: radar_correlator_api-aarch64, ref_arrival_time: 2088400332018511, ref_start_time: 2088400397487852, ref_end_time: 2088400665245905, app_runtime: 267758053, app_lifetime: 333227394 
app_id: 15, app_name: radar_correlator_api-aarch64, ref_arrival_time: 2088400332018511, ref_start_time: 2088400381426329, ref_end_time: 2088400665333055, app_runtime: 283906726, app_lifetime: 333314544 
app_id: 19, app_name: radar_correlator_api-aarch64, ref_arrival_time: 2088400332018511, ref_start_time: 2088400391289101, ref_end_time: 2088400665430555, app_runtime: 274141454, app_lifetime: 333412044 
app_id: 29, app_name: radar_correlator_api-aarch64, ref_arrival_time: 2088400332018511, ref_start_time: 2088400460179492, ref_end_time: 2088400665516415, app_runtime: 205336923, app_lifetime: 333497904 
app_id: 14, app_name: radar_correlator_api-aarch64, ref_arrival_time: 2088400332018511, ref_start_time: 2088400380883989, ref_end_time: 2088400665610045, app_runtime: 284726056, app_lifetime: 333591534 
app_id: 8, app_name: radar_correlator_api-aarch64, ref_arrival_time: 2088400332018511, ref_start_time: 2088400354307705, ref_end_time: 2088400668792535, app_runtime: 314484830, app_lifetime: 336774024 
app_id: 11, app_name: radar_correlator_api-aarch64, ref_arrival_time: 2088400332018511, ref_start_time: 2088400361638836, ref_end_time: 2088400668902875, app_runtime: 307264039, app_lifetime: 336884364 
app_id: 0, app_name: radar_correlator_api-aarch64, ref_arrival_time: 2088400332018511, ref_start_time: 2088400335359192, ref_end_time: 2088400673120096, app_runtime: 337760904, app_lifetime: 341101585 
app_id: 25, app_name: radar_correlator_api-aarch64, ref_arrival_time: 2088400332018511, ref_start_time: 2088400433652017, ref_end_time: 2088400673271746, app_runtime: 239619729, app_lifetime: 341253235 
app_id: 26, app_name: radar_correlator_api-aarch64, ref_arrival_time: 2088400332018511, ref_start_time: 2088400444629829, ref_end_time: 2088400673470916, app_runtime: 228841087, app_lifetime: 341452405 
app_id: 28, app_name: radar_correlator_api-aarch64, ref_arrival_time: 2088400332018511, ref_start_time: 2088400453766691, ref_end_time: 2088400676946267, app_runtime: 223179576, app_lifetime: 344927756 
app_id: 27, app_name: radar_correlator_api-aarch64, ref_arrival_time: 2088400332018511, ref_start_time: 2088400453319181, ref_end_time: 2088400679136657, app_runtime: 225817476, app_lifetime: 347118146 
