 42.4169 C 	 2088791997814353 ns 
 41.3134 C 	 2088792014156975 ns 
 41.8418 C 	 2088792029802158 ns 
 42.5568 C 	 2088792043188040 ns 
 42.6501 C 	 2088792063920593 ns 
 42.5568 C 	 2088792078360436 ns 
 42.6812 C 	 2088792094822548 ns 
 41.8418 C 	 2088792111064251 ns 
 42.6345 C 	 2088792129618294 ns 
 42.9454 C 	 2088792145630977 ns 
 42.6501 C 	 2088792162010259 ns 
 42.1993 C 	 2088792173521681 ns 
 42.4325 C 	 2088792189271864 ns 
 41.8418 C 	 2088792201420516 ns 
 41.2512 C 	 2088792217022888 ns 
 40.8626 C 	 2088792230679100 ns 
 41.9040 C 	 2088792242628102 ns 
 43.9246 C 	 2088792258332175 ns 
 41.9973 C 	 2088792273682067 ns 
 42.7900 C 	 2088792285667849 ns 
 42.2460 C 	 2088792300629632 ns 
 41.5931 C 	 2088792313240254 ns 
 41.1890 C 	 2088792328973696 ns 
 42.1061 C 	 2088792340931878 ns 
 42.2304 C 	 2088792352342200 ns 
 42.8988 C 	 2088792368737712 ns 
 41.8418 C 	 2088792382434875 ns 
 42.5102 C 	 2088792398190577 ns 
 42.7900 C 	 2088792413931370 ns 
 42.7122 C 	 2088792427117542 ns 
 41.8108 C 	 2088792438429734 ns 
 41.3600 C 	 2088792454729216 ns 
 43.1319 C 	 2088792470145109 ns 
 41.2357 C 	 2088792483399681 ns 
 42.9454 C 	 2088792499786914 ns 
 41.5931 C 	 2088792517053656 ns 
 43.5360 C 	 2088792529022548 ns 
 42.0128 C 	 2088792540980520 ns 
 42.6967 C 	 2088792556826493 ns 
 42.9765 C 	 2088792568999985 ns 
 41.9196 C 	 2088792583381687 ns 
 42.4480 C 	 2088792598114089 ns 
 40.7383 C 	 2088792613741062 ns 
 41.2978 C 	 2088792628276844 ns 
 42.0128 C 	 2088792642084076 ns 
 41.8263 C 	 2088792657814639 ns 
 43.1941 C 	 2088792670238991 ns 
 41.8108 C 	 2088792683531243 ns 
 42.5568 C 	 2088792698275256 ns 
 41.4843 C 	 2088792714061258 ns 
 42.5413 C 	 2088792727629780 ns 
 41.5465 C 	 2088792741057062 ns 
 42.8677 C 	 2088792752852164 ns 
 41.3911 C 	 2088792768728707 ns 
 42.6967 C 	 2088792782489469 ns 
 41.3289 C 	 2088792798423372 ns 
 40.8626 C 	 2088792812414624 ns 
 41.2357 C 	 2088792825208066 ns 
 42.7744 C 	 2088792840921678 ns 
 43.5827 C 	 2088792853124690 ns 
 41.7175 C 	 2088792864680182 ns 
 40.9870 C 	 2088792878585455 ns 
 43.4739 C 	 2088792895402707 ns 
 40.9248 C 	 2088792907337849 ns 
 42.2615 C 	 2088792923016272 ns 
 42.5257 C 	 2088792935062174 ns 
 41.8885 C 	 2088792950786976 ns 
 42.4014 C 	 2088792964419698 ns 
 41.9506 C 	 2088792980918291 ns 
 42.4325 C 	 2088792992926363 ns 
 41.9506 C 	 2088793006600185 ns 
 42.8677 C 	 2088793018280957 ns 
 40.6761 C 	 2088793035151880 ns 
 42.9920 C 	 2088793050397642 ns 
 41.5465 C 	 2088793063767144 ns 
 42.9143 C 	 2088793078536057 ns 
 41.9662 C 	 2088793092661079 ns 
 42.2615 C 	 2088793108262701 ns 
 42.0750 C 	 2088793124345404 ns 
 41.5776 C 	 2088793136461626 ns 
 42.2304 C 	 2088793152333159 ns 
 42.0905 C 	 2088793168213121 ns 
 42.1527 C 	 2088793181480323 ns 
 41.9662 C 	 2088793197237976 ns 
 42.1061 C 	 2088793209230808 ns 
 42.7278 C 	 2088793220750630 ns 
 41.8108 C 	 2088793234356412 ns 
 43.0542 C 	 2088793247818254 ns 
 43.5982 C 	 2088793260043046 ns 
 41.2357 C 	 2088793274187658 ns 
 42.6656 C 	 2088793290151051 ns 
 42.9609 C 	 2088793303893063 ns 
 43.0697 C 	 2088793321035036 ns 
 41.4688 C 	 2088793332825038 ns 
 42.6190 C 	 2088793344938440 ns 
 41.7641 C 	 2088793361582772 ns 
 40.6450 C 	 2088793377345405 ns 
 42.1993 C 	 2088793388614727 ns 
 43.9557 C 	 2088793400027298 ns 
 42.8832 C 	 2088793415681901 ns 
 42.7744 C 	 2088793427182943 ns 
 41.3134 C 	 2088793442676835 ns 
 41.4999 C 	 2088793454204967 ns 
 43.1475 C 	 2088793465916729 ns 
 43.6293 C 	 2088793481206082 ns 
 41.2201 C 	 2088793492829253 ns 
 41.7952 C 	 2088793508106276 ns 
 43.1941 C 	 2088793519737578 ns 
 41.8263 C 	 2088793531083490 ns 
 42.1372 C 	 2088793547508852 ns 
 40.8626 C 	 2088793558947134 ns 
 41.7330 C 	 2088793570604836 ns 
 42.4791 C 	 2088793586316918 ns 
 41.8729 C 	 2088793597843100 ns 
 43.0076 C 	 2088793613328383 ns 
 41.4222 C 	 2088793625615245 ns 
 41.1890 C 	 2088793637215227 ns 
 41.7019 C 	 2088793652948129 ns 
 41.6553 C 	 2088793664304931 ns 
 41.4533 C 	 2088793675791363 ns 
 40.8471 C 	 2088793691698325 ns 
 41.8885 C 	 2088793703319397 ns 
 42.5568 C 	 2088793715167509 ns 
 41.0491 C 	 2088793731833412 ns 
 42.5568 C 	 2088793743591614 ns 
 41.0647 C 	 2088793754758036 ns 
 41.8885 C 	 2088793770559218 ns 
 41.6709 C 	 2088793782189410 ns 
 43.0697 C 	 2088793797374002 ns 
 41.5776 C 	 2088793809535464 ns 
 41.6242 C 	 2088793821052286 ns 
 42.1682 C 	 2088793836253919 ns 
 41.6864 C 	 2088793848735751 ns 
 42.1372 C 	 2088793859897312 ns 
 41.3755 C 	 2088793876071155 ns 
 41.8263 C 	 2088793887533137 ns 
 42.5724 C 	 2088793903096089 ns 
 41.6087 C 	 2088793914887411 ns 
 41.4377 C 	 2088793926287233 ns 
 42.0750 C 	 2088793942215586 ns 
 42.3392 C 	 2088793953809298 ns 
 41.3134 C 	 2088793965215179 ns 
 42.1061 C 	 2088793980677272 ns 
 41.0958 C 	 2088793992285294 ns 
 42.6345 C 	 2088794007971576 ns 
 42.7744 C 	 2088794019677338 ns 
 41.3289 C 	 2088794031352920 ns 
 42.6034 C 	 2088794046953163 ns 
 41.6242 C 	 2088794058581014 ns 
 42.0284 C 	 2088794070135576 ns 
 42.1061 C 	 2088794083848639 ns 
 42.5568 C 	 2088794099834051 ns 
 42.7278 C 	 2088794111296033 ns 
 42.4014 C 	 2088794123154945 ns 
 41.3445 C 	 2088794139838218 ns 
 41.7641 C 	 2088794151055819 ns 
 43.1941 C 	 2088794162784711 ns 
 42.7900 C 	 2088794177979594 ns 
 41.4999 C 	 2088794189630426 ns 
 43.2096 C 	 2088794204417098 ns 
 41.8418 C 	 2088794215859310 ns 
 42.2149 C 	 2088794227276442 ns 
 42.5724 C 	 2088794242508734 ns 
 41.5310 C 	 2088794254481436 ns 
 41.3600 C 	 2088794270041088 ns 
