 41.6864 C 	 2088571151520551 ns 
 41.7952 C 	 2088571166358884 ns 
 41.1579 C 	 2088571179567226 ns 
 42.9454 C 	 2088571198576459 ns 
 42.1682 C 	 2088571214525602 ns 
 42.3392 C 	 2088571232026044 ns 
 39.8990 C 	 2088571247805207 ns 
 42.1993 C 	 2088571263834240 ns 
 40.9093 C 	 2088571275914881 ns 
 41.3289 C 	 2088571290451864 ns 
 42.2770 C 	 2088571301956536 ns 
 41.6242 C 	 2088571319423468 ns 
 42.4946 C 	 2088571336507631 ns 
 42.3703 C 	 2088571353320894 ns 
 42.2770 C 	 2088571367937166 ns 
 42.8210 C 	 2088571382954899 ns 
 41.6087 C 	 2088571395032571 ns 
 41.9351 C 	 2088571410737363 ns 
 41.9506 C 	 2088571426253036 ns 
 42.0594 C 	 2088571439961928 ns 
 40.5051 C 	 2088571451500590 ns 
 41.2667 C 	 2088571467332192 ns 
 41.4688 C 	 2088571483106225 ns 
 40.1166 C 	 2088571495304527 ns 
 41.4066 C 	 2088571511744679 ns 
 40.5829 C 	 2088571523415131 ns 
 43.6604 C 	 2088571538807744 ns 
 41.7330 C 	 2088571554820306 ns 
 42.1372 C 	 2088571568355109 ns 
 40.2875 C 	 2088571579947860 ns 
 40.7538 C 	 2088571598859113 ns 
 41.8729 C 	 2088571610331955 ns 
 42.0439 C 	 2088571626241708 ns 
 42.0905 C 	 2088571638448140 ns 
 41.0647 C 	 2088571654122482 ns 
 41.5310 C 	 2088571666214254 ns 
 42.2770 C 	 2088571678104936 ns 
 41.0802 C 	 2088571695581889 ns 
 40.3186 C 	 2088571707119441 ns 
 41.3600 C 	 2088571721060803 ns 
 42.5413 C 	 2088571734777975 ns 
 42.8988 C 	 2088571750463298 ns 
 42.1372 C 	 2088571762246460 ns 
 42.6967 C 	 2088571778134822 ns 
 41.2512 C 	 2088571789441734 ns 
 41.9196 C 	 2088571801382546 ns 
 41.7952 C 	 2088571817168729 ns 
 42.7122 C 	 2088571829082240 ns 
 41.9973 C 	 2088571840748342 ns 
 41.7330 C 	 2088571856171195 ns 
 40.8315 C 	 2088571867982167 ns 
 43.3495 C 	 2088571883878539 ns 
 41.3600 C 	 2088571895390681 ns 
 42.0594 C 	 2088571911080924 ns 
 41.7952 C 	 2088571923088336 ns 
 41.4222 C 	 2088571938011748 ns 
 43.7070 C 	 2088571950032840 ns 
 41.7330 C 	 2088571965822232 ns 
 42.6656 C 	 2088571977235674 ns 
 42.4636 C 	 2088571988760836 ns 
 41.5154 C 	 2088572001875698 ns 
 42.3081 C 	 2088572017177621 ns 
 41.3289 C 	 2088572029173693 ns 
 41.8574 C 	 2088572045163365 ns 
 42.3703 C 	 2088572056323007 ns 
 42.9609 C 	 2088572069827689 ns 
 41.9973 C 	 2088572085215172 ns 
 41.0647 C 	 2088572096719814 ns 
 42.2149 C 	 2088572112245416 ns 
 41.8729 C 	 2088572127491329 ns 
 41.0958 C 	 2088572143306851 ns 
 41.2046 C 	 2088572155277753 ns 
 42.1527 C 	 2088572167074175 ns 
 42.2304 C 	 2088572182434267 ns 
 41.4066 C 	 2088572194531649 ns 
 42.1061 C 	 2088572207748271 ns 
 41.9506 C 	 2088572223530584 ns 
 41.8574 C 	 2088572235446076 ns 
 42.3081 C 	 2088572247100718 ns 
 40.5518 C 	 2088572262351820 ns 
 42.4014 C 	 2088572274246312 ns 
 42.4946 C 	 2088572290083825 ns 
 41.0181 C 	 2088572302066817 ns 
 41.8729 C 	 2088572313931249 ns 
 41.8108 C 	 2088572329290411 ns 
 41.3600 C 	 2088572341286423 ns 
 42.7744 C 	 2088572357245675 ns 
 41.7175 C 	 2088572368789647 ns 
 42.4636 C 	 2088572380659539 ns 
 43.0076 C 	 2088572396384582 ns 
 42.8521 C 	 2088572407866934 ns 
 41.7797 C 	 2088572419769796 ns 
 40.5673 C 	 2088572433924938 ns 
 42.8366 C 	 2088572448679660 ns 
 41.9040 C 	 2088572460568092 ns 
 41.4222 C 	 2088572474768474 ns 
 42.3237 C 	 2088572490195947 ns 
 42.2149 C 	 2088572506079179 ns 
 41.9817 C 	 2088572524895452 ns 
 41.7330 C 	 2088572538391255 ns 
 42.6190 C 	 2088572549872526 ns 
 41.8729 C 	 2088572563129259 ns 
 41.6087 C 	 2088572580427351 ns 
 41.6553 C 	 2088572591841873 ns 
 42.1993 C 	 2088572607102696 ns 
 42.3858 C 	 2088572621646548 ns 
 41.5465 C 	 2088572635160590 ns 
 42.5257 C 	 2088572650787563 ns 
 41.2357 C 	 2088572666469855 ns 
 42.7744 C 	 2088572681232948 ns 
 41.3134 C 	 2088572692765429 ns 
 40.9248 C 	 2088572709544372 ns 
 40.6606 C 	 2088572721591654 ns 
 42.0905 C 	 2088572733672236 ns 
 40.8626 C 	 2088572747767948 ns 
 42.2460 C 	 2088572764388281 ns 
 41.6864 C 	 2088572775930333 ns 
 40.1943 C 	 2088572792939496 ns 
 40.6139 C 	 2088572804998838 ns 
 41.9351 C 	 2088572820586480 ns 
 41.1269 C 	 2088572832946752 ns 
 40.8937 C 	 2088572848910145 ns 
 41.6553 C 	 2088572860802537 ns 
 42.5257 C 	 2088572872675008 ns 
 41.8885 C 	 2088572887758411 ns 
 42.5257 C 	 2088572899508153 ns 
 43.2096 C 	 2088572915709025 ns 
 40.2564 C 	 2088572927801667 ns 
 41.3289 C 	 2088572939290919 ns 
 41.4688 C 	 2088572954602952 ns 
 40.6761 C 	 2088572966591134 ns 
 42.0284 C 	 2088572982206346 ns 
 41.4222 C 	 2088572994384668 ns 
 42.9298 C 	 2088573006193390 ns 
 41.2201 C 	 2088573021807192 ns 
 41.1113 C 	 2088573033295724 ns 
 41.1890 C 	 2088573048429467 ns 
 42.1372 C 	 2088573060240589 ns 
 42.1993 C 	 2088573071756840 ns 
 41.5931 C 	 2088573090181313 ns 
 41.1424 C 	 2088573102154315 ns 
 41.1579 C 	 2088573117645298 ns 
 42.0284 C 	 2088573133349310 ns 
 41.3755 C 	 2088573145039232 ns 
 42.2615 C 	 2088573160431845 ns 
 42.7744 C 	 2088573172033237 ns 
 42.1372 C 	 2088573183649508 ns 
 42.2149 C 	 2088573199435751 ns 
 41.2823 C 	 2088573211264633 ns 
 43.0542 C 	 2088573226565715 ns 
 41.3134 C 	 2088573238276307 ns 
 41.9973 C 	 2088573249937969 ns 
 41.9351 C 	 2088573265441762 ns 
 40.6761 C 	 2088573277089204 ns 
 41.0958 C 	 2088573288553135 ns 
 42.1838 C 	 2088573303552388 ns 
 41.9196 C 	 2088573315232710 ns 
 42.1216 C 	 2088573330600512 ns 
 41.4533 C 	 2088573342357814 ns 
 41.0025 C 	 2088573358085827 ns 
 43.6293 C 	 2088573369292328 ns 
 42.7900 C 	 2088573381455800 ns 
 42.3237 C 	 2088573396734893 ns 
 42.5257 C 	 2088573408282465 ns 
 42.1682 C 	 2088573419900116 ns 
 41.6242 C 	 2088573435594589 ns 
 41.3289 C 	 2088573447219651 ns 
 42.6656 C 	 2088573462804923 ns 
 41.4533 C 	 2088573474553435 ns 
 41.6553 C 	 2088573485925537 ns 
 42.2149 C 	 2088573498718379 ns 
 42.7122 C 	 2088573515651522 ns 
 41.8574 C 	 2088573527336104 ns 
 42.0284 C 	 2088573538686606 ns 
 40.7538 C 	 2088573554889518 ns 
 42.6345 C 	 2088573566487820 ns 
 41.5154 C 	 2088573577669452 ns 
 40.8782 C 	 2088573593715374 ns 
 41.3755 C 	 2088573605059126 ns 
 41.0491 C 	 2088573621014509 ns 
 42.2149 C 	 2088573632853201 ns 
 41.8108 C 	 2088573644451203 ns 
 41.5465 C 	 2088573660337375 ns 
 41.4377 C 	 2088573672005067 ns 
 41.7486 C 	 2088573683271059 ns 
 41.9196 C 	 2088573698655481 ns 
 40.8160 C 	 2088573710699583 ns 
 41.0958 C 	 2088573725849106 ns 
 41.4999 C 	 2088573737445968 ns 
 40.9559 C 	 2088573749204709 ns 
 41.8263 C 	 2088573764574492 ns 
 41.6864 C 	 2088573776275064 ns 
 42.1993 C 	 2088573791764456 ns 
 40.8782 C 	 2088573803174298 ns 
 42.1682 C 	 2088573815142170 ns 
 42.4480 C 	 2088573830545283 ns 
 42.4325 C 	 2088573842379774 ns 
 41.7952 C 	 2088573853943216 ns 
 41.4377 C 	 2088573867480959 ns 
 41.0958 C 	 2088573883069321 ns 
 40.8782 C 	 2088573894448623 ns 
 42.4480 C 	 2088573910296725 ns 
 42.3548 C 	 2088573921880717 ns 
 42.6967 C 	 2088573933602229 ns 
 42.0905 C 	 2088573948894342 ns 
 40.3342 C 	 2088573960238393 ns 
 39.7591 C 	 2088573971803425 ns 
 41.7330 C 	 2088573987558708 ns 
 42.2460 C 	 2088573998913020 ns 
 42.8521 C 	 2088574014609202 ns 
 41.4377 C 	 2088574026134604 ns 
 40.7849 C 	 2088574037772896 ns 
 41.8885 C 	 2088574053722069 ns 
 41.6398 C 	 2088574065172680 ns 
 40.4585 C 	 2088574080815463 ns 
 42.1216 C 	 2088574092667355 ns 
 41.6087 C 	 2088574104814627 ns 
 43.0231 C 	 2088574119208239 ns 
 41.1579 C 	 2088574130386751 ns 
 41.2357 C 	 2088574146283813 ns 
 42.3858 C 	 2088574158126525 ns 
 41.6864 C 	 2088574169779457 ns 
 42.0284 C 	 2088574185453650 ns 
 42.0750 C 	 2088574197616462 ns 
 41.1890 C 	 2088574209296994 ns 
 41.9973 C 	 2088574223747336 ns 
 42.0284 C 	 2088574235587888 ns 
 41.8263 C 	 2088574251898440 ns 
 41.8885 C 	 2088574263218822 ns 
 41.9040 C 	 2088574274688244 ns 
 41.7797 C 	 2088574288050936 ns 
 43.3651 C 	 2088574303699209 ns 
 43.0853 C 	 2088574315319981 ns 
 41.5931 C 	 2088574331118283 ns 
 42.1682 C 	 2088574342843275 ns 
 41.4533 C 	 2088574354638227 ns 
 41.2201 C 	 2088574370124979 ns 
 41.4533 C 	 2088574381657011 ns 
 40.5984 C 	 2088574397502894 ns 
 41.6242 C 	 2088574409117486 ns 
 40.5518 C 	 2088574421013358 ns 
 42.7900 C 	 2088574436453550 ns 
 42.0905 C 	 2088574447629722 ns 
 42.4636 C 	 2088574459814254 ns 
 42.3081 C 	 2088574475400786 ns 
 41.8574 C 	 2088574486957628 ns 
 42.1682 C 	 2088574502626661 ns 
 41.2512 C 	 2088574514055043 ns 
 42.0284 C 	 2088574525636544 ns 
 41.5154 C 	 2088574541658347 ns 
 42.0128 C 	 2088574553205259 ns 
 42.0439 C 	 2088574569178821 ns 
 41.4533 C 	 2088574580565323 ns 
 42.2615 C 	 2088574591831375 ns 
 42.3081 C 	 2088574607330788 ns 
 40.3031 C 	 2088574619096729 ns 
 42.7900 C 	 2088574630817581 ns 
 42.6345 C 	 2088574647443524 ns 
 42.1838 C 	 2088574659170196 ns 
 41.1579 C 	 2088574670833088 ns 
 41.4066 C 	 2088574686686350 ns 
 41.9662 C 	 2088574698299682 ns 
 41.4377 C 	 2088574713812355 ns 
 40.9870 C 	 2088574725435677 ns 
 41.4688 C 	 2088574741121959 ns 
 41.2823 C 	 2088574757008012 ns 
 42.8210 C 	 2088574768595904 ns 
 42.3703 C 	 2088574787608407 ns 
 41.2201 C 	 2088574799253778 ns 
 42.2615 C 	 2088574815248881 ns 
 41.1424 C 	 2088574830820504 ns 
 41.5154 C 	 2088574842407555 ns 
 41.5776 C 	 2088574854476797 ns 
 42.4325 C 	 2088574869965890 ns 
 41.8263 C 	 2088574881712152 ns 
 42.1527 C 	 2088574897144334 ns 
 42.1372 C 	 2088574908682696 ns 
 41.2357 C 	 2088574920411708 ns 
 43.5205 C 	 2088574935786500 ns 
 41.6242 C 	 2088574947368482 ns 
 43.0231 C 	 2088574963201825 ns 
 42.2926 C 	 2088574974745437 ns 
 41.8108 C 	 2088574986582389 ns 
 42.7122 C 	 2088574999743691 ns 
 41.7019 C 	 2088575015597553 ns 
 41.4688 C 	 2088575027308205 ns 
 42.5568 C 	 2088575042925308 ns 
 40.7072 C 	 2088575054577250 ns 
 41.5621 C 	 2088575066196251 ns 
 42.0750 C 	 2088575082827774 ns 
 41.9040 C 	 2088575094561586 ns 
 41.1890 C 	 2088575109964938 ns 
 42.7433 C 	 2088575125256721 ns 
 41.6709 C 	 2088575141298594 ns 
 42.0128 C 	 2088575152676755 ns 
 41.9196 C 	 2088575166767368 ns 
 42.1838 C 	 2088575180026410 ns 
 42.5568 C 	 2088575194120592 ns 
 42.1838 C 	 2088575208520684 ns 
 41.4066 C 	 2088575223911317 ns 
 41.9817 C 	 2088575240178519 ns 
 41.0181 C 	 2088575255501712 ns 
 41.4377 C 	 2088575270919764 ns 
 41.3600 C 	 2088575284955177 ns 
 41.6087 C 	 2088575297037469 ns 
 41.7019 C 	 2088575312169261 ns 
 42.4014 C 	 2088575327673834 ns 
 41.1890 C 	 2088575343603176 ns 
 42.2304 C 	 2088575354839918 ns 
 42.0750 C 	 2088575366447460 ns 
 42.1216 C 	 2088575381703182 ns 
 42.3392 C 	 2088575393672854 ns 
 41.0958 C 	 2088575409281137 ns 
 41.1113 C 	 2088575420688488 ns 
 42.3548 C 	 2088575434587881 ns 
 42.0594 C 	 2088575449764163 ns 
 42.0128 C 	 2088575461346295 ns 
 43.0542 C 	 2088575477101308 ns 
 41.2978 C 	 2088575492968130 ns 
 41.2978 C 	 2088575504460142 ns 
 41.9040 C 	 2088575520960895 ns 
 41.1113 C 	 2088575532578186 ns 
 43.2252 C 	 2088575546606399 ns 
 41.7019 C 	 2088575559930661 ns 
 41.9662 C 	 2088575574244113 ns 
 42.3548 C 	 2088575586626675 ns 
 42.5568 C 	 2088575598146827 ns 
 42.9143 C 	 2088575613421270 ns 
 42.2926 C 	 2088575629230942 ns 
 41.6398 C 	 2088575641093904 ns 
 40.9248 C 	 2088575654764246 ns 
 42.7433 C 	 2088575667113658 ns 
 41.3600 C 	 2088575684006241 ns 
 42.5568 C 	 2088575695258463 ns 
 41.2046 C 	 2088575709724135 ns 
 40.9248 C 	 2088575724776217 ns 
 42.1838 C 	 2088575736081959 ns 
 42.7122 C 	 2088575751300302 ns 
 41.0647 C 	 2088575767132504 ns 
 42.9765 C 	 2088575782351147 ns 
 42.0439 C 	 2088575794022589 ns 
 41.0958 C 	 2088575809696241 ns 
 41.2046 C 	 2088575825531054 ns 
 41.7641 C 	 2088575837315476 ns 
 42.4636 C 	 2088575848669517 ns 
