 42.8521 C 	 2089552083482055 ns 
 41.8108 C 	 2089552095029027 ns 
 42.9298 C 	 2089552109960840 ns 
 42.8055 C 	 2089552123510942 ns 
 41.6709 C 	 2089552138852854 ns 
 41.9973 C 	 2089552154846367 ns 
 42.4169 C 	 2089552170891329 ns 
 43.3806 C 	 2089552186685222 ns 
 41.8418 C 	 2089552199962264 ns 
 41.2667 C 	 2089552215642067 ns 
 42.7433 C 	 2089552231167819 ns 
 42.7900 C 	 2089552247617302 ns 
 41.4843 C 	 2089552259702774 ns 
 42.1838 C 	 2089552275620326 ns 
 43.1164 C 	 2089552287060528 ns 
 42.1838 C 	 2089552299742880 ns 
 42.7589 C 	 2089552312952932 ns 
 42.9298 C 	 2089552326773124 ns 
 41.4533 C 	 2089552344127977 ns 
 42.0284 C 	 2089552357765319 ns 
 41.8729 C 	 2089552375945712 ns 
 44.5930 C 	 2089552391249645 ns 
 42.2304 C 	 2089552403384257 ns 
 42.2770 C 	 2089552419847029 ns 
 41.9973 C 	 2089552431319841 ns 
 42.1682 C 	 2089552449208514 ns 
 42.1993 C 	 2089552461238216 ns 
 41.2201 C 	 2089552472642088 ns 
 43.0231 C 	 2089552484619710 ns 
 42.4325 C 	 2089552498310482 ns 
 42.1993 C 	 2089552514754925 ns 
 41.8418 C 	 2089552530716457 ns 
 41.6709 C 	 2089552542412169 ns 
 42.6034 C 	 2089552558382342 ns 
 41.7175 C 	 2089552570483504 ns 
 41.3600 C 	 2089552581921126 ns 
 41.1579 C 	 2089552596264578 ns 
 42.7278 C 	 2089552612533220 ns 
 41.6864 C 	 2089552626224023 ns 
 42.9920 C 	 2089552638012885 ns 
 41.8263 C 	 2089552653851537 ns 
 40.7849 C 	 2089552667313889 ns 
 42.9143 C 	 2089552683216742 ns 
 42.8366 C 	 2089552696991304 ns 
 43.0076 C 	 2089552710005816 ns 
 43.1941 C 	 2089552725786659 ns 
 41.3755 C 	 2089552741686031 ns 
 43.2252 C 	 2089552753758513 ns 
 42.1061 C 	 2089552769561646 ns 
 41.9973 C 	 2089552781184728 ns 
 42.6656 C 	 2089552798069210 ns 
 42.3237 C 	 2089552810186872 ns 
 42.3081 C 	 2089552823744624 ns 
 42.6190 C 	 2089552838134427 ns 
 41.1579 C 	 2089552855146649 ns 
 42.6501 C 	 2089552868995882 ns 
 41.9040 C 	 2089552882864224 ns 
 42.8988 C 	 2089552898675096 ns 
 42.6345 C 	 2089552913167529 ns 
 41.3445 C 	 2089552929062641 ns 
 41.9662 C 	 2089552941097623 ns 
 41.9817 C 	 2089552954681625 ns 
 41.8108 C 	 2089552969948988 ns 
 41.5931 C 	 2089552981627270 ns 
 42.5413 C 	 2089552997314752 ns 
 42.7589 C 	 2089553009206304 ns 
 42.6034 C 	 2089553024944307 ns 
 43.1941 C 	 2089553036919739 ns 
 41.7797 C 	 2089553048358111 ns 
 43.1164 C 	 2089553061501863 ns 
 41.6087 C 	 2089553077696585 ns 
 42.5568 C 	 2089553089104807 ns 
 42.9143 C 	 2089553101509839 ns 
 41.8263 C 	 2089553116954292 ns 
 41.5465 C 	 2089553128701274 ns 
 42.7900 C 	 2089553140438625 ns 
 41.4843 C 	 2089553158159118 ns 
 42.3237 C 	 2089553169767710 ns 
 42.4791 C 	 2089553185492813 ns 
 42.0439 C 	 2089553197457535 ns 
 41.3755 C 	 2089553209119316 ns 
 42.4946 C 	 2089553224544569 ns 
 42.4636 C 	 2089553238415971 ns 
 42.6345 C 	 2089553254355424 ns 
 42.5102 C 	 2089553269746086 ns 
 42.0284 C 	 2089553283545578 ns 
 43.5982 C 	 2089553299578601 ns 
 44.2821 C 	 2089553313327123 ns 
 42.1838 C 	 2089553328988506 ns 
 41.2823 C 	 2089553341025588 ns 
 42.7278 C 	 2089553357160520 ns 
 43.3184 C 	 2089553373137293 ns 
 43.1008 C 	 2089553387895825 ns 
 44.0800 C 	 2089553400273767 ns 
 41.2667 C 	 2089553417221250 ns 
 41.9351 C 	 2089553429935522 ns 
 43.1164 C 	 2089553443258734 ns 
 41.4533 C 	 2089553458793037 ns 
 43.5671 C 	 2089553473752059 ns 
 43.1164 C 	 2089553489478032 ns 
 41.7330 C 	 2089553505518554 ns 
 42.9765 C 	 2089553521529707 ns 
 41.6864 C 	 2089553537910579 ns 
 43.4428 C 	 2089553552432172 ns 
 42.9143 C 	 2089553566530704 ns 
 42.9609 C 	 2089553582348957 ns 
 40.6761 C 	 2089553594372088 ns 
 42.2770 C 	 2089553610404781 ns 
 40.8315 C 	 2089553625136523 ns 
 42.2770 C 	 2089553640696596 ns 
 41.9351 C 	 2089553654172718 ns 
 42.6190 C 	 2089553669945071 ns 
 41.5465 C 	 2089553683210773 ns 
 42.6812 C 	 2089553698039385 ns 
 41.4999 C 	 2089553713851578 ns 
 42.7122 C 	 2089553726784640 ns 
 41.3911 C 	 2089553742270342 ns 
 42.5102 C 	 2089553756601465 ns 
 42.1682 C 	 2089553773242917 ns 
 42.1372 C 	 2089553785102789 ns 
