 42.4014 C 	 2089552083432165 ns 
 42.8366 C 	 2089552094984597 ns 
 42.6812 C 	 2089552109916890 ns 
 41.4999 C 	 2089552123466602 ns 
 43.2873 C 	 2089552138808214 ns 
 42.7589 C 	 2089552154802087 ns 
 42.7278 C 	 2089552170847619 ns 
 43.0076 C 	 2089552186641692 ns 
 41.7175 C 	 2089552199918494 ns 
 43.1008 C 	 2089552215597697 ns 
 42.8677 C 	 2089552231124079 ns 
 42.3858 C 	 2089552247572872 ns 
 42.0128 C 	 2089552259658944 ns 
 41.9040 C 	 2089552275576436 ns 
 42.1216 C 	 2089552287016698 ns 
 43.2718 C 	 2089552299698150 ns 
 42.1682 C 	 2089552312907812 ns 
 44.4064 C 	 2089552326728304 ns 
 42.1061 C 	 2089552344082647 ns 
 43.4894 C 	 2089552357720619 ns 
 42.8055 C 	 2089552375900532 ns 
 42.4946 C 	 2089552391205665 ns 
 43.1941 C 	 2089552403340067 ns 
 42.4014 C 	 2089552419803229 ns 
 41.9662 C 	 2089552431275921 ns 
 42.8210 C 	 2089552449164264 ns 
 43.0697 C 	 2089552461193846 ns 
 42.3081 C 	 2089552472598948 ns 
 42.9298 C 	 2089552484575940 ns 
 43.9091 C 	 2089552498266172 ns 
 42.8521 C 	 2089552514711065 ns 
 42.7122 C 	 2089552530672687 ns 
 43.2563 C 	 2089552542367829 ns 
 43.7847 C 	 2089552558338722 ns 
 41.4999 C 	 2089552570439794 ns 
 41.9506 C 	 2089552581876095 ns 
 42.1527 C 	 2089552596220418 ns 
 42.8832 C 	 2089552612472530 ns 
 42.3703 C 	 2089552626180553 ns 
 41.1269 C 	 2089552637968245 ns 
 41.7019 C 	 2089552653807407 ns 
 41.7797 C 	 2089552667268949 ns 
 42.1061 C 	 2089552683172942 ns 
 42.7744 C 	 2089552696946694 ns 
 43.5671 C 	 2089552709961896 ns 
 42.4791 C 	 2089552725743219 ns 
 43.0853 C 	 2089552741641421 ns 
 44.2665 C 	 2089552753714953 ns 
 43.3651 C 	 2089552769517006 ns 
 42.8366 C 	 2089552781140058 ns 
 43.8469 C 	 2089552798025140 ns 
 43.0697 C 	 2089552810142922 ns 
 43.2096 C 	 2089552823700194 ns 
 42.8055 C 	 2089552838089907 ns 
 41.7797 C 	 2089552855102429 ns 
 42.2460 C 	 2089552868951542 ns 
 43.0542 C 	 2089552882819914 ns 
 42.1838 C 	 2089552898630606 ns 
 43.2252 C 	 2089552913122949 ns 
 42.5568 C 	 2089552929017971 ns 
 43.7847 C 	 2089552941053433 ns 
 43.8780 C 	 2089552954637405 ns 
 41.9973 C 	 2089552969904408 ns 
 42.6812 C 	 2089552981582360 ns 
 42.0750 C 	 2089552997270262 ns 
 44.2976 C 	 2089553009162594 ns 
 42.9765 C 	 2089553024900297 ns 
 42.9454 C 	 2089553036876179 ns 
 42.8988 C 	 2089553048314221 ns 
 42.7122 C 	 2089553061457133 ns 
 41.8885 C 	 2089553077651555 ns 
 41.4377 C 	 2089553089061607 ns 
 43.1164 C 	 2089553101464539 ns 
 43.2252 C 	 2089553116910072 ns 
 42.4480 C 	 2089553128656963 ns 
 42.7900 C 	 2089553140393865 ns 
 42.9765 C 	 2089553158114898 ns 
 42.7589 C 	 2089553169723550 ns 
 41.7641 C 	 2089553185448233 ns 
 43.1941 C 	 2089553197413945 ns 
 41.6553 C 	 2089553209073566 ns 
 43.6448 C 	 2089553224499239 ns 
 42.5568 C 	 2089553238370851 ns 
 41.5776 C 	 2089553254311864 ns 
 43.6915 C 	 2089553269699976 ns 
 42.2770 C 	 2089553283500788 ns 
 41.9196 C 	 2089553299533901 ns 
 43.6915 C 	 2089553313282243 ns 
 41.9662 C 	 2089553328945456 ns 
 41.3134 C 	 2089553340981848 ns 
 43.7381 C 	 2089553357116390 ns 
 43.9401 C 	 2089553373091303 ns 
 41.4222 C 	 2089553387851515 ns 
 41.4999 C 	 2089553400229727 ns 
 41.4533 C 	 2089553417178050 ns 
 41.8108 C 	 2089553429884432 ns 
 43.7692 C 	 2089553443214874 ns 
 43.7536 C 	 2089553458749237 ns 
 42.6967 C 	 2089553473708349 ns 
 42.4636 C 	 2089553489434112 ns 
 42.6034 C 	 2089553505475024 ns 
 44.1577 C 	 2089553521484857 ns 
 42.8366 C 	 2089553537866719 ns 
 44.7639 C 	 2089553552388582 ns 
 41.7641 C 	 2089553566486184 ns 
 41.8729 C 	 2089553582303296 ns 
 42.4480 C 	 2089553594328108 ns 
 43.1785 C 	 2089553610360531 ns 
 41.7952 C 	 2089553625092783 ns 
 44.7484 C 	 2089553640652316 ns 
 43.0853 C 	 2089553654127898 ns 
 42.5257 C 	 2089553669901751 ns 
 42.4636 C 	 2089553683166223 ns 
 43.1785 C 	 2089553697995345 ns 
 43.1475 C 	 2089553713807238 ns 
 42.5257 C 	 2089553726740840 ns 
 41.9196 C 	 2089553742225762 ns 
 44.2199 C 	 2089553756556615 ns 
 41.3289 C 	 2089553773198247 ns 
 43.1475 C 	 2089553785058209 ns 
 43.2873 C 	 2089553800737832 ns 
 43.7070 C 	 2089553812704114 ns 
 43.3651 C 	 2089553828553686 ns 
 42.3858 C 	 2089553839818808 ns 
 42.9920 C 	 2089553856006211 ns 
 42.7122 C 	 2089553868017732 ns 
 42.6967 C 	 2089553882603885 ns 
 42.7433 C 	 2089553894139517 ns 
 42.9920 C 	 2089553907883269 ns 
 42.7900 C 	 2089553922753941 ns 
 43.0853 C 	 2089553934691603 ns 
 43.2252 C 	 2089553950615576 ns 
 43.0386 C 	 2089553962760208 ns 
 42.2615 C 	 2089553978382440 ns 
 41.6709 C 	 2089553990342722 ns 
 41.7952 C 	 2089554001859154 ns 
 42.9609 C 	 2089554016116656 ns 
 43.5360 C 	 2089554028041298 ns 
 42.6812 C 	 2089554043806781 ns 
 43.0231 C 	 2089554055388193 ns 
 43.5205 C 	 2089554071092775 ns 
 42.7589 C 	 2089554082879657 ns 
 43.1475 C 	 2089554094533549 ns 
 42.6967 C 	 2089554108557291 ns 
 41.5776 C 	 2089554120222673 ns 
 42.0128 C 	 2089554136075366 ns 
 42.9143 C 	 2089554147465737 ns 
 42.3703 C 	 2089554163372370 ns 
 44.1111 C 	 2089554175233862 ns 
 43.0386 C 	 2089554186434694 ns 
 42.9143 C 	 2089554201650066 ns 
 42.5879 C 	 2089554213533038 ns 
 43.5205 C 	 2089554230472361 ns 
 43.1941 C 	 2089554242415453 ns 
 43.1319 C 	 2089554257859455 ns 
 43.1785 C 	 2089554274182878 ns 
 41.4999 C 	 2089554285986830 ns 
 42.8521 C 	 2089554298835322 ns 
 43.7692 C 	 2089554311731814 ns 
 41.5931 C 	 2089554327791026 ns 
 43.0542 C 	 2089554339245778 ns 
 43.1475 C 	 2089554350827520 ns 
 42.5413 C 	 2089554364641202 ns 
 43.5516 C 	 2089554379746865 ns 
 43.9868 C 	 2089554395732247 ns 
 43.5360 C 	 2089554412683210 ns 
 42.3548 C 	 2089554424238912 ns 
 42.9920 C 	 2089554439874945 ns 
 41.7330 C 	 2089554451757616 ns 
 43.0853 C 	 2089554463442318 ns 
 42.6656 C 	 2089554478061831 ns 
 42.9454 C 	 2089554489652783 ns 
 42.1993 C 	 2089554505500795 ns 
 42.2926 C 	 2089554517147307 ns 
 43.1008 C 	 2089554533035220 ns 
 42.3392 C 	 2089554544273761 ns 
 41.8418 C 	 2089554556111673 ns 
 43.2252 C 	 2089554572014166 ns 
 43.7536 C 	 2089554583627558 ns 
 43.3651 C 	 2089554595417680 ns 
 42.8677 C 	 2089554608554712 ns 
 42.4480 C 	 2089554623455444 ns 
