 39.9611 C 	 2126685417312456 ns 
 39.7902 C 	 2126685431508608 ns 
 38.4535 C 	 2126685444197110 ns 
 39.2617 C 	 2126685459889183 ns 
 39.5881 C 	 2126685479816296 ns 
 38.9975 C 	 2126685494347938 ns 
 39.4482 C 	 2126685511498461 ns 
 39.0285 C 	 2126685525780864 ns 
 41.0958 C 	 2126685547752537 ns 
 39.9922 C 	 2126685560170559 ns 
 39.3705 C 	 2126685575863772 ns 
 39.6969 C 	 2126685592512994 ns 
 39.1218 C 	 2126685604756926 ns 
 40.2254 C 	 2126685621921789 ns 
 39.6969 C 	 2126685639448152 ns 
 40.1321 C 	 2126685651918044 ns 
 38.6400 C 	 2126685668666927 ns 
 39.4016 C 	 2126685683578429 ns 
 38.3291 C 	 2126685696270651 ns 
 39.8990 C 	 2126685711283433 ns 
 41.0025 C 	 2126685727249676 ns 
 39.8523 C 	 2126685740335468 ns 
 37.9872 C 	 2126685756211921 ns 
 39.8990 C 	 2126685773840013 ns 
 38.8420 C 	 2126685788530596 ns 
 39.6192 C 	 2126685801265268 ns 
 39.4171 C 	 2126685817807061 ns 
 40.4740 C 	 2126685834172303 ns 
 40.5207 C 	 2126685846950025 ns 
 39.6814 C 	 2126685861534618 ns 
 39.7591 C 	 2126685878679590 ns 
 40.0078 C 	 2126685894272123 ns 
 40.8471 C 	 2126685910956176 ns 
 39.4793 C 	 2126685923545528 ns 
 39.2151 C 	 2126685939096570 ns 
 39.6969 C 	 2126685957317313 ns 
 38.9508 C 	 2126685973735986 ns 
 38.4535 C 	 2126685990375878 ns 
 38.9508 C 	 2126686005268991 ns 
 38.5156 C 	 2126686021790983 ns 
 39.0907 C 	 2126686037067106 ns 
 40.0233 C 	 2126686053607848 ns 
 40.2564 C 	 2126686066312821 ns 
 39.6036 C 	 2126686082817593 ns 
 39.6814 C 	 2126686097693126 ns 
 39.2462 C 	 2126686114452808 ns 
 38.9197 C 	 2126686129360111 ns 
 38.8109 C 	 2126686143773283 ns 
 39.1995 C 	 2126686158611885 ns 
 37.9405 C 	 2126686176990548 ns 
 38.5933 C 	 2126686193371301 ns 
 38.7177 C 	 2126686209766154 ns 
 38.7954 C 	 2126686223373526 ns 
 39.9456 C 	 2126686239253308 ns 
 38.7799 C 	 2126686254229191 ns 
 39.4793 C 	 2126686268800643 ns 
 40.1321 C 	 2126686285495436 ns 
 38.4379 C 	 2126686298209468 ns 
 39.6036 C 	 2126686312932960 ns 
 38.2669 C 	 2126686329101343 ns 
 38.7799 C 	 2126686345575995 ns 
 39.4327 C 	 2126686358320298 ns 
 39.7435 C 	 2126686375175800 ns 
 40.7227 C 	 2126686391733553 ns 
 40.8782 C 	 2126686403943255 ns 
 39.7280 C 	 2126686420390848 ns 
 39.4171 C 	 2126686453399553 ns 
 39.4482 C 	 2126686468731355 ns 
 39.0130 C 	 2126686482085407 ns 
 39.4638 C 	 2126686494819990 ns 
 39.5570 C 	 2126686514266953 ns 
 39.3550 C 	 2126686526570465 ns 
 40.7849 C 	 2126686543012987 ns 
 39.5570 C 	 2126686559881840 ns 
 39.6969 C 	 2126686572930102 ns 
 39.6658 C 	 2126686590934545 ns 
 37.4898 C 	 2126686607433588 ns 
 38.3602 C 	 2126686620271520 ns 
 39.1995 C 	 2126686637066362 ns 
 40.5207 C 	 2126686653810925 ns 
 38.9508 C 	 2126686666036347 ns 
 41.5931 C 	 2126686678784849 ns 
 39.4793 C 	 2126686693045561 ns 
 41.6553 C 	 2126686710363694 ns 
 39.4948 C 	 2126686722271866 ns 
 38.4535 C 	 2126686737945729 ns 
 39.0441 C 	 2126686750435451 ns 
 38.7488 C 	 2126686763219953 ns 
 40.1787 C 	 2126686781302006 ns 
 38.5312 C 	 2126686794046938 ns 
 39.4171 C 	 2126686806242780 ns 
 38.5778 C 	 2126686823199352 ns 
 38.9197 C 	 2126686836051384 ns 
 39.4638 C 	 2126686852550487 ns 
 38.7799 C 	 2126686869581430 ns 
 39.4948 C 	 2126686886190812 ns 
 39.9456 C 	 2126686899136115 ns 
 39.0752 C 	 2126686911620317 ns 
 39.2151 C 	 2126686927562709 ns 
 39.1063 C 	 2126686940424911 ns 
 39.4016 C 	 2126686955081894 ns 
 39.2772 C 	 2126686970954746 ns 
 39.0752 C 	 2126686983733578 ns 
 39.9767 C 	 2126686996272710 ns 
 39.9456 C 	 2126687013162473 ns 
 38.6089 C 	 2126687025665035 ns 
 40.0388 C 	 2126687042459788 ns 
 39.7591 C 	 2126687055231300 ns 
 39.0907 C 	 2126687067424202 ns 
 38.7488 C 	 2126687082325234 ns 
 39.8834 C 	 2126687095730256 ns 
 38.3447 C 	 2126687112390669 ns 
 40.1943 C 	 2126687124499661 ns 
 38.7799 C 	 2126687139085303 ns 
 39.8212 C 	 2126687151513075 ns 
 39.7124 C 	 2126687169085998 ns 
 39.7902 C 	 2126687181502910 ns 
 39.0130 C 	 2126687197980563 ns 
 39.9145 C 	 2126687209934485 ns 
 39.2306 C 	 2126687222416947 ns 
 39.7435 C 	 2126687239214309 ns 
 39.5259 C 	 2126687251167391 ns 
 38.9975 C 	 2126687263415403 ns 
 41.0491 C 	 2126687281207356 ns 
 39.8057 C 	 2126687293403018 ns 
 39.4793 C 	 2126687305368580 ns 
 38.2980 C 	 2126687321499493 ns 
 40.0388 C 	 2126687333860395 ns 
 39.7124 C 	 2126687349985817 ns 
 40.2875 C 	 2126687362623889 ns 
 40.4430 C 	 2126687374798371 ns 
 39.7435 C 	 2126687390675574 ns 
 39.3239 C 	 2126687402894546 ns 
 38.4224 C 	 2126687419061608 ns 
 38.1737 C 	 2126687431270350 ns 
 38.5933 C 	 2126687443824122 ns 
 40.2409 C 	 2126687460092975 ns 
 39.3394 C 	 2126687472197107 ns 
 39.8834 C 	 2126687488114809 ns 
 38.3757 C 	 2126687500774901 ns 
 38.1892 C 	 2126687512827313 ns 
 38.8887 C 	 2126687528862676 ns 
 39.6658 C 	 2126687541511668 ns 
 38.6866 C 	 2126687557388931 ns 
 39.9456 C 	 2126687569441102 ns 
 39.3083 C 	 2126687581792644 ns 
 41.1890 C 	 2126687598022527 ns 
 39.1529 C 	 2126687610431249 ns 
 39.3394 C 	 2126687626290362 ns 
 39.2617 C 	 2126687638638994 ns 
 39.5570 C 	 2126687651198496 ns 
 39.7746 C 	 2126687664995738 ns 
 39.2462 C 	 2126687680954000 ns 
 40.2254 C 	 2126687693098902 ns 
 38.5156 C 	 2126687709314145 ns 
 38.9353 C 	 2126687721627167 ns 
 39.8679 C 	 2126687738049620 ns 
 38.7643 C 	 2126687749906041 ns 
 39.8834 C 	 2126687762323193 ns 
 39.9456 C 	 2126687778247436 ns 
 40.3963 C 	 2126687790693748 ns 
 39.7902 C 	 2126687803123410 ns 
 38.8420 C 	 2126687816961722 ns 
 38.2359 C 	 2126687832893735 ns 
 38.6711 C 	 2126687845063357 ns 
 39.0752 C 	 2126687863765840 ns 
 39.5570 C 	 2126687875984602 ns 
 40.5829 C 	 2126687892069074 ns 
 39.9145 C 	 2126687908059947 ns 
