 40.9093 C 	 2126685417260496 ns 
 39.5104 C 	 2126685431464898 ns 
 39.2772 C 	 2126685444153400 ns 
 39.5726 C 	 2126685459844753 ns 
 40.5207 C 	 2126685479772436 ns 
 39.8679 C 	 2126685494304438 ns 
 40.3808 C 	 2126685511454691 ns 
 40.4430 C 	 2126685525737364 ns 
 38.2825 C 	 2126685547708557 ns 
 39.7746 C 	 2126685560126819 ns 
 40.6917 C 	 2126685575819642 ns 
 41.6087 C 	 2126685592469104 ns 
 40.1787 C 	 2126685604713126 ns 
 41.5154 C 	 2126685621878679 ns 
 40.4430 C 	 2126685639405192 ns 
 40.5673 C 	 2126685651874094 ns 
 40.1943 C 	 2126685668623397 ns 
 40.9403 C 	 2126685683534209 ns 
 39.5726 C 	 2126685696226341 ns 
 39.8679 C 	 2126685711240203 ns 
 40.9093 C 	 2126685727204946 ns 
 40.4430 C 	 2126685740291758 ns 
 40.2875 C 	 2126685756168601 ns 
 39.9611 C 	 2126685773794803 ns 
 41.4533 C 	 2126685788487816 ns 
 40.7538 C 	 2126685801222068 ns 
 40.4896 C 	 2126685817762541 ns 
 39.3860 C 	 2126685834128503 ns 
 38.9664 C 	 2126685846907635 ns 
 39.4016 C 	 2126685861491328 ns 
 40.0699 C 	 2126685878634920 ns 
 38.9819 C 	 2126685894227513 ns 
 39.8679 C 	 2126685910913486 ns 
 39.0752 C 	 2126685923500978 ns 
 40.3963 C 	 2126685939052530 ns 
 40.2254 C 	 2126685956960313 ns 
 39.0752 C 	 2126685973691946 ns 
 39.0285 C 	 2126685990331718 ns 
 40.9559 C 	 2126686005224351 ns 
 38.5156 C 	 2126686021747633 ns 
 39.3705 C 	 2126686037021146 ns 
 38.4690 C 	 2126686053564378 ns 
 39.7280 C 	 2126686066269711 ns 
 40.0078 C 	 2126686082773673 ns 
 39.8368 C 	 2126686097649686 ns 
 39.4948 C 	 2126686114409008 ns 
 39.5104 C 	 2126686129316311 ns 
 38.5001 C 	 2126686143728883 ns 
 39.1063 C 	 2126686158568505 ns 
 39.4793 C 	 2126686176946748 ns 
 38.5623 C 	 2126686193328191 ns 
 38.8109 C 	 2126686209722804 ns 
 40.0078 C 	 2126686223330476 ns 
 39.2306 C 	 2126686239209898 ns 
 40.0855 C 	 2126686254178401 ns 
 39.4171 C 	 2126686268757623 ns 
 41.3445 C 	 2126686285452626 ns 
 40.2098 C 	 2126686298165638 ns 
 40.0699 C 	 2126686312884780 ns 
 38.8576 C 	 2126686329056253 ns 
 40.3963 C 	 2126686345531955 ns 
 39.7746 C 	 2126686358276588 ns 
 39.7746 C 	 2126686375132060 ns 
 39.9300 C 	 2126686391688343 ns 
 41.0025 C 	 2126686403895315 ns 
 39.7902 C 	 2126686420348458 ns 
 40.2875 C 	 2126686453354973 ns 
 40.4896 C 	 2126686468687105 ns 
 40.1010 C 	 2126686482042357 ns 
 40.4740 C 	 2126686494778049 ns 
 39.4638 C 	 2126686514223663 ns 
 40.3497 C 	 2126686526527715 ns 
 40.3031 C 	 2126686542969577 ns 
 40.5362 C 	 2126686559838940 ns 
 39.9767 C 	 2126686572886932 ns 
 39.3550 C 	 2126686590892695 ns 
 39.7124 C 	 2126686607390898 ns 
 39.4793 C 	 2126686620228170 ns 
 39.0441 C 	 2126686636989532 ns 
 41.3289 C 	 2126686653768145 ns 
 40.6450 C 	 2126686665993477 ns 
 40.1166 C 	 2126686678739039 ns 
 39.5881 C 	 2126686692989551 ns 
 39.9300 C 	 2126686710318574 ns 
 38.5467 C 	 2126686722228516 ns 
 39.0752 C 	 2126686737903849 ns 
 38.7954 C 	 2126686750393301 ns 
 40.1632 C 	 2126686763176123 ns 
 39.1684 C 	 2126686781258386 ns 
 39.0596 C 	 2126686794005028 ns 
 39.9456 C 	 2126686806200330 ns 
 40.1010 C 	 2126686823156212 ns 
 41.8574 C 	 2126686836009234 ns 
 41.3445 C 	 2126686852507737 ns 
 39.4171 C 	 2126686869538620 ns 
 39.8679 C 	 2126686886148782 ns 
 40.8937 C 	 2126686899093365 ns 
 39.2617 C 	 2126686911577387 ns 
 40.2098 C 	 2126686927519179 ns 
 39.8523 C 	 2126686940380271 ns 
 41.0647 C 	 2126686955039054 ns 
 41.4999 C 	 2126686970912056 ns 
 40.6761 C 	 2126686983689988 ns 
 39.2928 C 	 2126686996229810 ns 
 39.9767 C 	 2126687013118613 ns 
 40.6450 C 	 2126687025622495 ns 
 39.4793 C 	 2126687042416738 ns 
 39.7280 C 	 2126687055188100 ns 
 38.7799 C 	 2126687067382082 ns 
 40.6917 C 	 2126687082280984 ns 
 40.3186 C 	 2126687095686456 ns 
 39.9300 C 	 2126687112349059 ns 
 39.9767 C 	 2126687124456431 ns 
 38.9353 C 	 2126687139042343 ns 
 40.2875 C 	 2126687151469035 ns 
 39.8368 C 	 2126687169040848 ns 
 40.0078 C 	 2126687181460010 ns 
 39.9767 C 	 2126687197936673 ns 
 40.2875 C 	 2126687209890925 ns 
 39.7591 C 	 2126687222374527 ns 
 40.0233 C 	 2126687239170869 ns 
 39.1218 C 	 2126687251124281 ns 
 39.9300 C 	 2126687263371363 ns 
 39.3394 C 	 2126687281162416 ns 
 39.4327 C 	 2126687293360238 ns 
 41.0802 C 	 2126687305325830 ns 
 40.1010 C 	 2126687321456863 ns 
 39.9456 C 	 2126687333817645 ns 
 40.4585 C 	 2126687349943247 ns 
 39.8523 C 	 2126687362581349 ns 
 39.6658 C 	 2126687374755051 ns 
 40.3652 C 	 2126687390632914 ns 
 40.0078 C 	 2126687402851886 ns 
 39.6036 C 	 2126687419018618 ns 
 38.6244 C 	 2126687431227090 ns 
 40.3808 C 	 2126687443781492 ns 
 39.9300 C 	 2126687460049505 ns 
 40.0855 C 	 2126687472153397 ns 
 38.5467 C 	 2126687488072929 ns 
 39.7435 C 	 2126687500732451 ns 
 38.9197 C 	 2126687512783903 ns 
 39.4482 C 	 2126687528819086 ns 
 40.7383 C 	 2126687541468198 ns 
 40.7538 C 	 2126687557346330 ns 
 40.5829 C 	 2126687569397752 ns 
 40.4430 C 	 2126687581748784 ns 
 40.0855 C 	 2126687597979357 ns 
 40.6917 C 	 2126687610388499 ns 
 40.9714 C 	 2126687626246352 ns 
 40.1321 C 	 2126687638596874 ns 
 40.4274 C 	 2126687651155896 ns 
 39.6192 C 	 2126687664952988 ns 
 38.9975 C 	 2126687680911070 ns 
 39.9456 C 	 2126687693055402 ns 
 40.3342 C 	 2126687709271305 ns 
 40.8782 C 	 2126687721584117 ns 
 40.7227 C 	 2126687738007440 ns 
 40.2720 C 	 2126687749863381 ns 
 40.9559 C 	 2126687762278793 ns 
 41.1424 C 	 2126687778204686 ns 
 39.2928 C 	 2126687790650578 ns 
 39.3860 C 	 2126687803081320 ns 
 41.2201 C 	 2126687816919302 ns 
 40.3186 C 	 2126687832849725 ns 
 41.4377 C 	 2126687845002757 ns 
 40.0699 C 	 2126687863723240 ns 
 39.9611 C 	 2126687875941942 ns 
 39.0130 C 	 2126687892025964 ns 
 39.7902 C 	 2126687908016567 ns 
 40.3497 C 	 2126687920244149 ns 
 39.0752 C 	 2126687937050662 ns 
 39.4638 C 	 2126687949251604 ns 
 40.8782 C 	 2126687965329026 ns 
 40.7072 C 	 2126687977593268 ns 
 39.2306 C 	 2126687990085570 ns 
 39.6347 C 	 2126688005979033 ns 
 40.1476 C 	 2126688018411365 ns 
