 42.1061 C 	 2122643996800120 ns 
 41.6553 C 	 2122644013204873 ns 
 41.4843 C 	 2122644030424936 ns 
 39.4327 C 	 2122644046115058 ns 
 38.8731 C 	 2122644065973351 ns 
 40.1010 C 	 2122644082695564 ns 
 41.0802 C 	 2122644105713068 ns 
 39.9767 C 	 2122644123503311 ns 
 41.1269 C 	 2122644140166693 ns 
 40.4740 C 	 2122644159828666 ns 
 41.6553 C 	 2122644173333979 ns 
 41.6864 C 	 2122644188439461 ns 
 41.7175 C 	 2122644204749294 ns 
 40.1476 C 	 2122644218765536 ns 
 41.6709 C 	 2122644231616248 ns 
 40.5984 C 	 2122644247918191 ns 
 40.8626 C 	 2122644262716023 ns 
 40.6917 C 	 2122644276347155 ns 
 40.5207 C 	 2122644292575178 ns 
 41.2201 C 	 2122644307323180 ns 
 40.5518 C 	 2122644323894673 ns 
 40.0855 C 	 2122644337912535 ns 
 41.0491 C 	 2122644352563367 ns 
 39.5881 C 	 2122644368975440 ns 
 40.8315 C 	 2122644384202932 ns 
 40.2098 C 	 2122644400564545 ns 
 40.1010 C 	 2122644413075177 ns 
 40.1943 C 	 2122644430907360 ns 
 39.8834 C 	 2122644448535633 ns 
 38.8887 C 	 2122644460641205 ns 
 39.3239 C 	 2122644476536287 ns 
 40.4896 C 	 2122644493878690 ns 
 39.4482 C 	 2122644506021972 ns 
 40.4274 C 	 2122644522544055 ns 
 40.1321 C 	 2122644534646627 ns 
 40.6761 C 	 2122644547292409 ns 
 39.3394 C 	 2122644563482031 ns 
 39.9145 C 	 2122644575750233 ns 
 40.7849 C 	 2122644592040146 ns 
 40.0078 C 	 2122644604434018 ns 
 39.9767 C 	 2122644622273011 ns 
 41.4066 C 	 2122644634817363 ns 
 39.7591 C 	 2122644647886415 ns 
 40.1166 C 	 2122644663930387 ns 
 40.4274 C 	 2122644676922190 ns 
 40.1787 C 	 2122644693161552 ns 
 40.1010 C 	 2122644706168114 ns 
 39.6658 C 	 2122644718321386 ns 
 39.6969 C 	 2122644735466269 ns 
 40.5673 C 	 2122644748156751 ns 
 42.5724 C 	 2122644764618234 ns 
 39.4171 C 	 2122644777118726 ns 
 40.3652 C 	 2122644789652968 ns 
 41.1890 C 	 2122644803351960 ns 
 39.7746 C 	 2122644819760943 ns 
 40.7694 C 	 2122644831864175 ns 
 40.1943 C 	 2122644849088947 ns 
 39.8679 C 	 2122644861921779 ns 
 39.8057 C 	 2122644874708921 ns 
 40.4274 C 	 2122644891860074 ns 
 40.6917 C 	 2122644904070196 ns 
 38.7954 C 	 2122644920673459 ns 
 39.4948 C 	 2122644933591851 ns 
 40.6450 C 	 2122644945779203 ns 
 40.3031 C 	 2122644961130115 ns 
 41.2201 C 	 2122644973985747 ns 
 39.1218 C 	 2122644994468821 ns 
 39.1840 C 	 2122645006782983 ns 
 40.1166 C 	 2122645022856565 ns 
 39.8679 C 	 2122645035355767 ns 
