app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2123912010319395, ref_stop_time: 2123912010560625, actual_exe_time: 241230, task_app_start_time:2123912000504263, task_sched_time:2123912010193785
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2123912022877697, ref_stop_time: 2123912023067567, actual_exe_time: 189870, task_app_start_time:2123912000504263, task_sched_time:2123912022741737
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 2123912032355988, ref_stop_time: 2123912032438338, actual_exe_time: 82350, task_app_start_time:2123912000504263, task_sched_time:2123912032350318
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2123912036162899, ref_stop_time: 2123912036324899, actual_exe_time: 162000, task_app_start_time:2123912000504263, task_sched_time:2123912035990249
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2123942008288662, ref_stop_time: 2123942008397112, actual_exe_time: 108450, task_app_start_time:2123941998016751, task_sched_time:2123942008279512
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2123942012252743, ref_stop_time: 2123942012343043, actual_exe_time: 90300, task_app_start_time:2123941998016751, task_sched_time:2123942012245993
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu2, ref_start_time: 2123942012774743, ref_stop_time: 2123942012852263, actual_exe_time: 77520, task_app_start_time:2123941998016751, task_sched_time:2123942012771263
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2123942013187783, ref_stop_time: 2123942013403453, actual_exe_time: 215670, task_app_start_time:2123941998016751, task_sched_time:2123942013181783
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2123972001377799, ref_stop_time: 2123972001445749, actual_exe_time: 67950, task_app_start_time:2123971998111729, task_sched_time:2123972001369219
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2123972002121469, ref_stop_time: 2123972002186389, actual_exe_time: 64920, task_app_start_time:2123971998111729, task_sched_time:2123972001683589
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 2123972008372240, ref_stop_time: 2123972008552600, actual_exe_time: 180360, task_app_start_time:2123971998111729, task_sched_time:2123972008361590
