 39.5415 C 	 2123878855551499 ns 
 39.8679 C 	 2123878870156131 ns 
 41.2512 C 	 2123878885416534 ns 
 39.0130 C 	 2123878901854107 ns 
 40.1010 C 	 2123878922543580 ns 
 40.3808 C 	 2123878938343682 ns 
 38.8887 C 	 2123878954624865 ns 
 40.4585 C 	 2123878975773758 ns 
 38.2980 C 	 2123878992668201 ns 
 39.7591 C 	 2123879009944154 ns 
 40.1787 C 	 2123879026501757 ns 
 38.2980 C 	 2123879044345399 ns 
 40.9403 C 	 2123879059667122 ns 
 39.4327 C 	 2123879075417274 ns 
 39.6503 C 	 2123879093085237 ns 
 41.2823 C 	 2123879109915510 ns 
 39.9767 C 	 2123879126382453 ns 
 39.5415 C 	 2123879142828395 ns 
 38.5156 C 	 2123879159723168 ns 
 39.3394 C 	 2123879176343561 ns 
 39.0285 C 	 2123879191310683 ns 
 40.3652 C 	 2123879206795786 ns 
 40.0388 C 	 2123879224157088 ns 
 39.2306 C 	 2123879236787720 ns 
 38.9197 C 	 2123879253357893 ns 
 40.0544 C 	 2123879265826285 ns 
 39.5726 C 	 2123879284284868 ns 
 40.2720 C 	 2123879301730801 ns 
 39.9767 C 	 2123879316439443 ns 
 39.4482 C 	 2123879328953015 ns 
 40.6139 C 	 2123879347495988 ns 
 39.3860 C 	 2123879360136070 ns 
 40.0388 C 	 2123879377320733 ns 
 40.4896 C 	 2123879390111205 ns 
 40.1010 C 	 2123879404220177 ns 
 40.6295 C 	 2123879418702530 ns 
 40.1787 C 	 2123879433692842 ns 
 40.1943 C 	 2123879449546345 ns 
 40.3186 C 	 2123879466119667 ns 
 39.6658 C 	 2123879482989270 ns 
 40.0544 C 	 2123879500291743 ns 
 41.1113 C 	 2123879512772825 ns 
 40.7227 C 	 2123879527076467 ns 
 39.8990 C 	 2123879543416690 ns 
 39.9145 C 	 2123879559784392 ns 
 39.1840 C 	 2123879571897974 ns 
 40.4119 C 	 2123879588809187 ns 
 39.9767 C 	 2123879601033379 ns 
 39.6814 C 	 2123879615708031 ns 
 40.7383 C 	 2123879631919224 ns 
 39.5881 C 	 2123879648399487 ns 
 40.0699 C 	 2123879661415379 ns 
 40.4274 C 	 2123879674070131 ns 
 39.4327 C 	 2123879692546894 ns 
 39.7902 C 	 2123879705001006 ns 
 40.5829 C 	 2123879721525308 ns 
 39.9767 C 	 2123879733948040 ns 
 40.6139 C 	 2123879746360902 ns 
 39.7746 C 	 2123879763139095 ns 
 39.7902 C 	 2123879775858857 ns 
 40.0699 C 	 2123879792652260 ns 
 39.3394 C 	 2123879805201232 ns 
 39.0441 C 	 2123879821623415 ns 
 40.4430 C 	 2123879834023407 ns 
 41.7019 C 	 2123879846278588 ns 
 40.4896 C 	 2123879862231361 ns 
 41.3445 C 	 2123879875092063 ns 
 38.9353 C 	 2123879887487705 ns 
 40.9559 C 	 2123879903855498 ns 
 40.1632 C 	 2123879916371830 ns 
 40.4430 C 	 2123879932747062 ns 
 40.1943 C 	 2123879945117474 ns 
 40.1321 C 	 2123879961886007 ns 
 40.0699 C 	 2123879974060669 ns 
 40.4119 C 	 2123879986466691 ns 
 38.8887 C 	 2123880003048324 ns 
 40.2409 C 	 2123880015482696 ns 
 40.1787 C 	 2123880031777048 ns 
 38.9197 C 	 2123880044821710 ns 
 38.9197 C 	 2123880057019142 ns 
 41.7641 C 	 2123880074557805 ns 
 39.0907 C 	 2123880086978707 ns 
 40.4896 C 	 2123880101647450 ns 
 39.3394 C 	 2123880118057152 ns 
 39.8679 C 	 2123880134219415 ns 
 40.3963 C 	 2123880146851457 ns 
 40.0699 C 	 2123880164025170 ns 
 39.6192 C 	 2123880176589382 ns 
 40.3497 C 	 2123880192859974 ns 
 41.2667 C 	 2123880209025117 ns 
 39.3860 C 	 2123880225616800 ns 
 40.5829 C 	 2123880237984482 ns 
 39.4482 C 	 2123880250163073 ns 
 40.0544 C 	 2123880265396026 ns 
 39.3705 C 	 2123880282345609 ns 
 39.4948 C 	 2123880294964721 ns 
 38.8265 C 	 2123880307537273 ns 
 39.0907 C 	 2123880323447715 ns 
 40.8315 C 	 2123880340120308 ns 
 39.8990 C 	 2123880352646150 ns 
 39.9767 C 	 2123880366499492 ns 
 39.9611 C 	 2123880384067045 ns 
 39.8368 C 	 2123880398748987 ns 
 41.5931 C 	 2123880411389369 ns 
 41.1424 C 	 2123880427551242 ns 
 40.3031 C 	 2123880440490154 ns 
 40.0233 C 	 2123880456705367 ns 
 39.9922 C 	 2123880469337349 ns 
 40.5207 C 	 2123880485771621 ns 
 40.8315 C 	 2123880498025093 ns 
 39.7435 C 	 2123880510154305 ns 
 39.5726 C 	 2123880528049218 ns 
 40.1787 C 	 2123880540743750 ns 
 39.7435 C 	 2123880556855793 ns 
 40.2564 C 	 2123880569343715 ns 
 38.8887 C 	 2123880582117087 ns 
 39.5104 C 	 2123880598130399 ns 
 39.9611 C 	 2123880610504261 ns 
 39.6036 C 	 2123880627369004 ns 
 41.0025 C 	 2123880639838836 ns 
 40.2720 C 	 2123880656450169 ns 
 39.7591 C 	 2123880668965481 ns 
 39.5570 C 	 2123880681536473 ns 
 40.8315 C 	 2123880697883236 ns 
 39.7124 C 	 2123880710483328 ns 
 40.2875 C 	 2123880726621380 ns 
 40.9093 C 	 2123880739027942 ns 
 39.8057 C 	 2123880755968525 ns 
 39.9456 C 	 2123880768511767 ns 
 39.8679 C 	 2123880780978479 ns 
 39.7902 C 	 2123880797124242 ns 
 39.4948 C 	 2123880809703004 ns 
 41.5621 C 	 2123880825762786 ns 
 38.4690 C 	 2123880838219028 ns 
 40.0855 C 	 2123880854524901 ns 
 38.4690 C 	 2123880867046723 ns 
 39.0441 C 	 2123880883619115 ns 
 38.8887 C 	 2123880895802507 ns 
 38.7488 C 	 2123880912120950 ns 
 39.9767 C 	 2123880924981322 ns 
 39.4327 C 	 2123880937247274 ns 
 39.8523 C 	 2123880951836396 ns 
 40.2720 C 	 2123880967708529 ns 
 40.8005 C 	 2123880980046091 ns 
 39.9456 C 	 2123880996169774 ns 
 40.5829 C 	 2123881009005186 ns 
 39.7902 C 	 2123881025438978 ns 
 41.4066 C 	 2123881038057280 ns 
 40.1632 C 	 2123881050647622 ns 
 39.1840 C 	 2123881066652385 ns 
 39.4638 C 	 2123881079386997 ns 
 40.6606 C 	 2123881095675500 ns 
 39.4793 C 	 2123881109284522 ns 
 40.0699 C 	 2123881125571134 ns 
 39.9922 C 	 2123881138368026 ns 
 40.8782 C 	 2123881155018839 ns 
 41.4843 C 	 2123881167260401 ns 
 39.4638 C 	 2123881179796743 ns 
 41.0491 C 	 2123881196108676 ns 
 39.3394 C 	 2123881208553368 ns 
 40.5051 C 	 2123881223619340 ns 
 40.2564 C 	 2123881240265263 ns 
 40.8160 C 	 2123881252677165 ns 
 40.1787 C 	 2123881264998497 ns 
 39.6192 C 	 2123881281273019 ns 
 39.8990 C 	 2123881293477861 ns 
 40.3342 C 	 2123881306663404 ns 
 41.3911 C 	 2123881325303397 ns 
 38.8887 C 	 2123881337876159 ns 
 39.5570 C 	 2123881355578201 ns 
 38.9042 C 	 2123881372818214 ns 
 40.6917 C 	 2123881385388576 ns 
 40.0233 C 	 2123881398255698 ns 
 40.2720 C 	 2123881416239561 ns 
 40.3342 C 	 2123881428838333 ns 
 40.1010 C 	 2123881441212645 ns 
 39.8212 C 	 2123881457929188 ns 
 39.0285 C 	 2123881470389090 ns 
 39.6036 C 	 2123881486903553 ns 
 39.5415 C 	 2123881499566705 ns 
 38.8731 C 	 2123881514198757 ns 
 40.1166 C 	 2123881526707019 ns 
 39.3239 C 	 2123881544406542 ns 
 39.5726 C 	 2123881556562454 ns 
 41.0647 C 	 2123881573403826 ns 
 40.7072 C 	 2123881585742738 ns 
 39.6658 C 	 2123881598188600 ns 
 40.3031 C 	 2123881614379603 ns 
 39.9300 C 	 2123881626565155 ns 
 39.7591 C 	 2123881640062307 ns 
 41.2667 C 	 2123881656101630 ns 
 41.1579 C 	 2123881668629032 ns 
 39.1684 C 	 2123881684963374 ns 
 39.7280 C 	 2123881697650676 ns 
 38.7177 C 	 2123881711645889 ns 
 40.6295 C 	 2123881727793751 ns 
 39.8212 C 	 2123881740301113 ns 
 40.4896 C 	 2123881756881636 ns 
 39.9611 C 	 2123881769589128 ns 
 39.0907 C 	 2123881781935210 ns 
 38.9042 C 	 2123881798683163 ns 
 39.9922 C 	 2123881811135145 ns 
 40.2409 C 	 2123881823366627 ns 
 40.3808 C 	 2123881840452349 ns 
 40.5207 C 	 2123881852754871 ns 
 40.6761 C 	 2123881869218244 ns 
 40.7849 C 	 2123881882625246 ns 
 40.7538 C 	 2123881895064838 ns 
 39.9611 C 	 2123881912280761 ns 
 39.6036 C 	 2123881924911153 ns 
 40.1321 C 	 2123881942951206 ns 
 39.8212 C 	 2123881955678078 ns 
 38.7177 C 	 2123881967878390 ns 
 38.9664 C 	 2123881984322353 ns 
 39.3239 C 	 2123881997433555 ns 
 40.2098 C 	 2123882009856197 ns 
 40.2098 C 	 2123882026125439 ns 
