 39.8368 C 	 2120843336363575 ns 
 40.7227 C 	 2120843348505657 ns 
 39.8990 C 	 2120843360813939 ns 
 40.3808 C 	 2120843377387862 ns 
 39.3239 C 	 2120843389231294 ns 
 40.7849 C 	 2120843404681866 ns 
 39.5881 C 	 2120843417266118 ns 
 39.7902 C 	 2120843434594241 ns 
 39.4327 C 	 2120843448646093 ns 
 39.9456 C 	 2120843464843876 ns 
 39.9611 C 	 2120843480727799 ns 
 39.1840 C 	 2120843497540191 ns 
 38.8420 C 	 2120843509630823 ns 
 40.0855 C 	 2120843525872076 ns 
 38.9197 C 	 2120843540093188 ns 
 38.8265 C 	 2120843554389300 ns 
 39.5104 C 	 2120843570237973 ns 
 40.0699 C 	 2120843583335015 ns 
 40.1166 C 	 2120843599497548 ns 
 39.6814 C 	 2120843611355830 ns 
 40.2875 C 	 2120843627675922 ns 
 38.5156 C 	 2120843640259844 ns 
 40.8937 C 	 2120843652103846 ns 
 40.1166 C 	 2120843667919009 ns 
 39.9300 C 	 2120843680316601 ns 
 39.9767 C 	 2120843693982323 ns 
 39.5415 C 	 2120843708512465 ns 
 39.1840 C 	 2120843722493367 ns 
 39.9300 C 	 2120843737466280 ns 
 40.4740 C 	 2120843754990543 ns 
 39.2928 C 	 2120843766716585 ns 
 39.8368 C 	 2120843782946137 ns 
 39.1840 C 	 2120843794677129 ns 
 39.4327 C 	 2120843810602752 ns 
 40.0388 C 	 2120843822842994 ns 
 40.0699 C 	 2120843835319576 ns 
 40.5362 C 	 2120843851767558 ns 
 39.8368 C 	 2120843863863980 ns 
 39.4171 C 	 2120843875979092 ns 
 39.2617 C 	 2120843892187015 ns 
 39.1995 C 	 2120843906034657 ns 
 39.0285 C 	 2120843923019310 ns 
 40.0078 C 	 2120843934837392 ns 
 39.4793 C 	 2120843947776694 ns 
 39.5415 C 	 2120843964120696 ns 
 40.8005 C 	 2120843977862619 ns 
 39.9145 C 	 2120843990017721 ns 
 40.7227 C 	 2120844006114973 ns 
 38.9042 C 	 2120844020756685 ns 
 40.4740 C 	 2120844036789168 ns 
 39.3394 C 	 2120844049477460 ns 
 39.8368 C 	 2120844062512792 ns 
 39.7591 C 	 2120844078187435 ns 
 39.9767 C 	 2120844093702777 ns 
 39.0130 C 	 2120844108683400 ns 
 39.0752 C 	 2120844124769012 ns 
 38.9819 C 	 2120844140501045 ns 
 39.5570 C 	 2120844156500677 ns 
 39.3705 C 	 2120844170042409 ns 
 39.9922 C 	 2120844186275862 ns 
 40.0078 C 	 2120844198370244 ns 
 40.6450 C 	 2120844214027307 ns 
 40.0233 C 	 2120844226184089 ns 
 40.3497 C 	 2120844243380451 ns 
 39.7902 C 	 2120844255228743 ns 
 39.8523 C 	 2120844267352945 ns 
 39.6036 C 	 2120844279547167 ns 
 39.4327 C 	 2120844295655880 ns 
 40.4585 C 	 2120844307595012 ns 
 39.1373 C 	 2120844323491084 ns 
 39.8212 C 	 2120844335559216 ns 
 38.8265 C 	 2120844347827238 ns 
 40.0544 C 	 2120844364017281 ns 
 41.1269 C 	 2120844377829553 ns 
 39.4948 C 	 2120844392624205 ns 
 39.0285 C 	 2120844404545127 ns 
 40.6450 C 	 2120844421300040 ns 
 39.5726 C 	 2120844433535722 ns 
 41.3134 C 	 2120844448594044 ns 
 39.0441 C 	 2120844464768667 ns 
 39.9611 C 	 2120844480906870 ns 
 39.6503 C 	 2120844493114711 ns 
 40.6606 C 	 2120844509014894 ns 
 38.3136 C 	 2120844525199447 ns 
 40.8160 C 	 2120844541412739 ns 
 38.8109 C 	 2120844557434992 ns 
 38.5156 C 	 2120844575339025 ns 
 39.2151 C 	 2120844589598597 ns 
 39.1684 C 	 2120844601377199 ns 
 40.2720 C 	 2120844617511201 ns 
 39.3083 C 	 2120844633555504 ns 
 39.9767 C 	 2120844645878696 ns 
 38.9508 C 	 2120844662185529 ns 
 39.6192 C 	 2120844677560951 ns 
 39.3083 C 	 2120844689547303 ns 
 40.0855 C 	 2120844706588746 ns 
 40.0388 C 	 2120844718692458 ns 
 38.9197 C 	 2120844738887501 ns 
 40.3186 C 	 2120844750925933 ns 
 39.0596 C 	 2120844767149636 ns 
 38.6400 C 	 2120844779015597 ns 
 39.8990 C 	 2120844795174110 ns 
 39.1063 C 	 2120844808085962 ns 
 39.3083 C 	 2120844820200834 ns 
 39.7124 C 	 2120844836684907 ns 
 38.2514 C 	 2120844848784959 ns 
 39.7746 C 	 2120844863383261 ns 
 39.8679 C 	 2120844879604984 ns 
 39.6658 C 	 2120844895728516 ns 
 40.2254 C 	 2120844907956878 ns 
 40.7227 C 	 2120844919849450 ns 
 40.3652 C 	 2120844936011413 ns 
 40.8782 C 	 2120844948916125 ns 
 39.1995 C 	 2120844960791447 ns 
 38.7177 C 	 2120844976501849 ns 
 40.1943 C 	 2120844988926891 ns 
 40.0544 C 	 2120845004406324 ns 
 41.2357 C 	 2120845020607796 ns 
 39.7591 C 	 2120845042788030 ns 
 40.6917 C 	 2120845058766873 ns 
 40.3808 C 	 2120845078888386 ns 
 39.1840 C 	 2120845090693508 ns 
 39.6814 C 	 2120845106725090 ns 
 41.0181 C 	 2120845123099243 ns 
 38.7954 C 	 2120845135029765 ns 
 39.0752 C 	 2120845150220447 ns 
 39.2462 C 	 2120845162282729 ns 
 40.8937 C 	 2120845178508472 ns 
 39.8368 C 	 2120845190820504 ns 
 39.0285 C 	 2120845206507206 ns 
 39.8368 C 	 2120845218655318 ns 
 39.2617 C 	 2120845230628260 ns 
 40.0233 C 	 2120845246487823 ns 
 39.2462 C 	 2120845258404755 ns 
 38.8731 C 	 2120845272197347 ns 
 39.3550 C 	 2120845288750690 ns 
 40.6917 C 	 2120845300613381 ns 
 39.6503 C 	 2120845312704433 ns 
 40.8005 C 	 2120845326457246 ns 
 40.6139 C 	 2120845342047978 ns 
 40.2098 C 	 2120845354206740 ns 
 40.3808 C 	 2120845367831812 ns 
 39.7280 C 	 2120845386263095 ns 
 41.5154 C 	 2120845398131847 ns 
 39.7902 C 	 2120845414365780 ns 
 38.9042 C 	 2120845426365602 ns 
 40.3497 C 	 2120845438354804 ns 
 39.1063 C 	 2120845454323956 ns 
 40.1010 C 	 2120845466356118 ns 
 39.2928 C 	 2120845478286280 ns 
 39.3705 C 	 2120845494044653 ns 
 38.6400 C 	 2120845506135405 ns 
 40.5829 C 	 2120845522337177 ns 
 39.4793 C 	 2120845534289029 ns 
 40.6139 C 	 2120845546733121 ns 
 39.3394 C 	 2120845562064894 ns 
 40.5673 C 	 2120845574071195 ns 
 40.5207 C 	 2120845590286048 ns 
 41.3445 C 	 2120845601957370 ns 
 40.5673 C 	 2120845617846452 ns 
 40.0388 C 	 2120845630135774 ns 
 39.2928 C 	 2120845646158057 ns 
 40.0855 C 	 2120845662518080 ns 
 39.5104 C 	 2120845679183952 ns 
 39.2772 C 	 2120845691136584 ns 
 39.1529 C 	 2120845707072947 ns 
 39.6036 C 	 2120845719133699 ns 
 38.1892 C 	 2120845731279021 ns 
 39.1373 C 	 2120845747746263 ns 
 40.6917 C 	 2120845759915765 ns 
 41.2357 C 	 2120845771839237 ns 
 40.0078 C 	 2120845786364220 ns 
 39.3550 C 	 2120845802418362 ns 
 40.8626 C 	 2120845814332624 ns 
 40.1476 C 	 2120845826422116 ns 
 40.5518 C 	 2120845842384669 ns 
 40.4274 C 	 2120845854423911 ns 
 40.5518 C 	 2120845870443043 ns 
 40.2564 C 	 2120845882720515 ns 
 41.3289 C 	 2120845898207268 ns 
 39.6814 C 	 2120845910347220 ns 
 39.7902 C 	 2120845924161532 ns 
 39.9145 C 	 2120845940488374 ns 
 39.5104 C 	 2120845956295617 ns 
 38.9819 C 	 2120845972602330 ns 
 40.3186 C 	 2120845985098682 ns 
 39.3550 C 	 2120846001201604 ns 
 39.4482 C 	 2120846012906886 ns 
 39.0285 C 	 2120846029187709 ns 
 39.9767 C 	 2120846041411901 ns 
 38.9042 C 	 2120846053786273 ns 
 40.0233 C 	 2120846069456445 ns 
 39.9456 C 	 2120846081780507 ns 
 39.3860 C 	 2120846093903119 ns 
 39.4482 C 	 2120846110259272 ns 
 40.8937 C 	 2120846122250244 ns 
 39.2462 C 	 2120846138099516 ns 
 39.2462 C 	 2120846150573788 ns 
 40.0855 C 	 2120846162634120 ns 
 39.3705 C 	 2120846178535173 ns 
 39.9456 C 	 2120846190495005 ns 
 39.5415 C 	 2120846206470997 ns 
 40.5362 C 	 2120846218570929 ns 
 39.5415 C 	 2120846230322021 ns 
 39.6969 C 	 2120846246442674 ns 
 39.4016 C 	 2120846258447746 ns 
 40.5829 C 	 2120846274421308 ns 
 39.7124 C 	 2120846286705410 ns 
 39.3550 C 	 2120846302566593 ns 
 40.7227 C 	 2120846314450165 ns 
 39.1995 C 	 2120846330033367 ns 
 39.3394 C 	 2120846345618190 ns 
 39.6969 C 	 2120846357760902 ns 
 39.6814 C 	 2120846373819514 ns 
 39.8679 C 	 2120846385842556 ns 
 39.5881 C 	 2120846397645278 ns 
 39.2617 C 	 2120846414538251 ns 
 40.6606 C 	 2120846426359333 ns 
 39.1063 C 	 2120846438071814 ns 
 40.8160 C 	 2120846454336617 ns 
 41.2046 C 	 2120846466271819 ns 
 38.7177 C 	 2120846482119052 ns 
 38.9197 C 	 2120846494217004 ns 
 40.4274 C 	 2120846505930445 ns 
 40.5051 C 	 2120846522105488 ns 
 39.6036 C 	 2120846534273370 ns 
 38.8887 C 	 2120846546073932 ns 
 39.3394 C 	 2120846561934634 ns 
 41.2201 C 	 2120846574269616 ns 
 40.7694 C 	 2120846590092009 ns 
 40.5051 C 	 2120846602106081 ns 
 39.6036 C 	 2120846617746253 ns 
 40.5829 C 	 2120846629686915 ns 
 39.6658 C 	 2120846642113967 ns 
 39.2306 C 	 2120846658448190 ns 
 40.8005 C 	 2120846670309922 ns 
 39.4948 C 	 2120846682100284 ns 
 40.1166 C 	 2120846698116056 ns 
 40.2098 C 	 2120846710471498 ns 
