 39.5570 C 	 2121643923514606 ns 
 39.4638 C 	 2121643939426128 ns 
 39.9145 C 	 2121643951611410 ns 
 40.1476 C 	 2121643963555732 ns 
 39.9145 C 	 2121643979378305 ns 
 40.6139 C 	 2121643993567557 ns 
 40.4585 C 	 2121644008991850 ns 
 39.6658 C 	 2121644024824742 ns 
 40.2720 C 	 2121644041072595 ns 
 39.6969 C 	 2121644055538777 ns 
 39.8834 C 	 2121644071922500 ns 
 41.1269 C 	 2121644088394962 ns 
 40.9559 C 	 2121644104902465 ns 
 40.2254 C 	 2121644123325588 ns 
 39.1995 C 	 2121644136174860 ns 
 39.4482 C 	 2121644148194602 ns 
 39.1840 C 	 2121644164787755 ns 
 40.2098 C 	 2121644178416307 ns 
 39.9145 C 	 2121644192608649 ns 
 39.3239 C 	 2121644208715622 ns 
 40.6139 C 	 2121644225057974 ns 
 40.4896 C 	 2121644243240497 ns 
 40.8315 C 	 2121644255612259 ns 
 40.2875 C 	 2121644271410832 ns 
 40.7538 C 	 2121644284238594 ns 
 40.2720 C 	 2121644299312276 ns 
 40.0078 C 	 2121644316013069 ns 
 39.1684 C 	 2121644330820081 ns 
 39.5570 C 	 2121644343438683 ns 
 40.1632 C 	 2121644359710476 ns 
 40.1166 C 	 2121644372691688 ns 
 39.8057 C 	 2121644389413091 ns 
 38.7954 C 	 2121644403774993 ns 
 40.8782 C 	 2121644415669215 ns 
 39.4016 C 	 2121644432462798 ns 
 39.4793 C 	 2121644444711200 ns 
 39.8679 C 	 2121644456755812 ns 
 38.9197 C 	 2121644475490725 ns 
 40.8937 C 	 2121644488090007 ns 
 39.8834 C 	 2121644503810189 ns 
 40.3808 C 	 2121644516008821 ns 
 40.1476 C 	 2121644530273313 ns 
 39.0285 C 	 2121644547315536 ns 
 40.3652 C 	 2121644559290488 ns 
 39.6036 C 	 2121644575887241 ns 
 40.6139 C 	 2121644588506503 ns 
 39.6658 C 	 2121644604991655 ns 
 40.5984 C 	 2121644621073128 ns 
 39.1840 C 	 2121644633536750 ns 
 39.9300 C 	 2121644650717063 ns 
 39.6347 C 	 2121644666445915 ns 
 40.5518 C 	 2121644678412467 ns 
 40.1632 C 	 2121644694802010 ns 
 39.5881 C 	 2121644707497892 ns 
 39.4638 C 	 2121644723882995 ns 
 40.6139 C 	 2121644735858067 ns 
 40.3497 C 	 2121644747714698 ns 
 38.9197 C 	 2121644763950671 ns 
 39.8523 C 	 2121644776207503 ns 
 40.1632 C 	 2121644792337036 ns 
 40.2409 C 	 2121644804731688 ns 
 39.7435 C 	 2121644816946640 ns 
 39.8679 C 	 2121644832837852 ns 
 40.2564 C 	 2121644844924344 ns 
 40.2720 C 	 2121644858434006 ns 
 40.5362 C 	 2121644875065979 ns 
 39.9922 C 	 2121644886814011 ns 
 39.6658 C 	 2121644902628933 ns 
 39.8057 C 	 2121644914986805 ns 
 38.7799 C 	 2121644926826667 ns 
 40.5984 C 	 2121644943903300 ns 
 39.9922 C 	 2121644956016732 ns 
 39.3394 C 	 2121644971660474 ns 
 40.6761 C 	 2121644983881876 ns 
 40.2254 C 	 2121644996227658 ns 
 39.3705 C 	 2121645012236051 ns 
 38.7488 C 	 2121645026073463 ns 
 40.5207 C 	 2121645039460035 ns 
 39.5881 C 	 2121645055357488 ns 
 39.7746 C 	 2121645071326521 ns 
 40.1166 C 	 2121645085594283 ns 
 39.4482 C 	 2121645097735255 ns 
 40.5207 C 	 2121645114532377 ns 
 38.9508 C 	 2121645128924010 ns 
 40.1321 C 	 2121645141382742 ns 
 40.9559 C 	 2121645156321544 ns 
 40.7694 C 	 2121645172157287 ns 
 39.2772 C 	 2121645186646329 ns 
 38.1737 C 	 2121645203971812 ns 
 39.0752 C 	 2121645216599564 ns 
 40.9714 C 	 2121645228781966 ns 
 40.6139 C 	 2121645243186468 ns 
 39.1373 C 	 2121645255648260 ns 
 39.5415 C 	 2121645271625333 ns 
 40.5051 C 	 2121645283864915 ns 
 40.0544 C 	 2121645300014607 ns 
 39.6969 C 	 2121645312395369 ns 
 39.1063 C 	 2121645324505891 ns 
 39.7902 C 	 2121645338833714 ns 
 38.9819 C 	 2121645354720726 ns 
 40.3963 C 	 2121645366968858 ns 
 40.0699 C 	 2121645382359671 ns 
 40.2098 C 	 2121645394598713 ns 
 39.6347 C 	 2121645410745015 ns 
 39.9300 C 	 2121645422788187 ns 
 39.4482 C 	 2121645434494459 ns 
 40.8471 C 	 2121645450651412 ns 
 41.7486 C 	 2121645462696414 ns 
 40.7849 C 	 2121645478397276 ns 
 40.4585 C 	 2121645490755088 ns 
 39.5570 C 	 2121645502362660 ns 
 40.2254 C 	 2121645518808153 ns 
 40.7383 C 	 2121645530726914 ns 
 40.1010 C 	 2121645546895087 ns 
 40.8005 C 	 2121645558962229 ns 
 39.0130 C 	 2121645575625822 ns 
 40.3186 C 	 2121645588037124 ns 
 40.2564 C 	 2121645599829436 ns 
 40.9559 C 	 2121645616964628 ns 
 40.4274 C 	 2121645628816850 ns 
 40.5673 C 	 2121645640871422 ns 
 38.8265 C 	 2121645656817685 ns 
 39.4016 C 	 2121645668870937 ns 
 40.4430 C 	 2121645681629909 ns 
 39.6969 C 	 2121645698450041 ns 
