 39.6969 C 	 2124901719859221 ns 
 39.9922 C 	 2124901732518113 ns 
 39.3550 C 	 2124901749345866 ns 
 39.4638 C 	 2124901761831028 ns 
 38.9508 C 	 2124901778548021 ns 
 39.9456 C 	 2124901790957703 ns 
 39.5881 C 	 2124901807680245 ns 
 39.6192 C 	 2124901820249677 ns 
 38.4224 C 	 2124901834592560 ns 
 39.1684 C 	 2124901851491202 ns 
 40.5984 C 	 2124901865122755 ns 
 39.4171 C 	 2124901882165907 ns 
 39.9767 C 	 2124901896617780 ns 
 39.7435 C 	 2124901911051772 ns 
 38.6711 C 	 2124901928865865 ns 
 39.0285 C 	 2124901941527427 ns 
 38.5778 C 	 2124901958947170 ns 
 37.7696 C 	 2124901973864882 ns 
 40.5984 C 	 2124901989992765 ns 
 39.1529 C 	 2124902002729867 ns 
 38.0960 C 	 2124902021209480 ns 
 39.6192 C 	 2124902033971602 ns 
 38.5778 C 	 2124902050082324 ns 
 39.0130 C 	 2124902062887946 ns 
 38.2980 C 	 2124902077896979 ns 
 39.3550 C 	 2124902094349641 ns 
 39.1840 C 	 2124902109737424 ns 
 39.1840 C 	 2124902121988526 ns 
 39.1373 C 	 2124902137565428 ns 
 38.0183 C 	 2124902150283630 ns 
 39.4327 C 	 2124902164141653 ns 
 39.3083 C 	 2124902179822835 ns 
 39.6503 C 	 2124902192481667 ns 
 39.7124 C 	 2124902208434140 ns 
 39.9145 C 	 2124902220435522 ns 
 39.1373 C 	 2124902236475234 ns 
 39.1063 C 	 2124902249321356 ns 
 38.5312 C 	 2124902265871369 ns 
 40.1166 C 	 2124902278013601 ns 
 38.5778 C 	 2124902294661114 ns 
 38.3757 C 	 2124902307516206 ns 
 38.2825 C 	 2124902319657898 ns 
 38.8109 C 	 2124902332127010 ns 
 39.6036 C 	 2124902350196583 ns 
 38.3757 C 	 2124902362132745 ns 
 39.9456 C 	 2124902379788047 ns 
 39.6036 C 	 2124902392569489 ns 
 40.2720 C 	 2124902404479191 ns 
 39.8212 C 	 2124902421498464 ns 
 39.4327 C 	 2124902434384636 ns 
 38.7177 C 	 2124902449731679 ns 
 38.3136 C 	 2124902462070621 ns 
 38.7177 C 	 2124902479166813 ns 
 38.4845 C 	 2124902491337065 ns 
 39.2462 C 	 2124902503472787 ns 
 39.8834 C 	 2124902520568380 ns 
 39.2617 C 	 2124902533385162 ns 
 39.2306 C 	 2124902545695784 ns 
 38.9197 C 	 2124902560354926 ns 
 39.9145 C 	 2124902575888689 ns 
 39.3550 C 	 2124902588264561 ns 
 39.4482 C 	 2124902604570554 ns 
 38.8109 C 	 2124902617472956 ns 
 39.3394 C 	 2124902630966598 ns 
 39.1529 C 	 2124902643346760 ns 
 39.7124 C 	 2124902660058172 ns 
 39.8368 C 	 2124902676658105 ns 
 38.6711 C 	 2124902689220427 ns 
 40.4896 C 	 2124902702619749 ns 
 40.3963 C 	 2124902719011032 ns 
 40.3963 C 	 2124902731403014 ns 
 40.6139 C 	 2124902747488357 ns 
 39.1218 C 	 2124902759814189 ns 
 40.1787 C 	 2124902776463891 ns 
 40.1476 C 	 2124902788872223 ns 
 38.8731 C 	 2124902805755896 ns 
 38.8109 C 	 2124902818395978 ns 
 40.4430 C 	 2124902832184550 ns 
 40.2875 C 	 2124902848341233 ns 
 38.4379 C 	 2124902862998545 ns 
 38.9353 C 	 2124902879370928 ns 
 38.4535 C 	 2124902893756950 ns 
 39.5570 C 	 2124902911565073 ns 
 38.7643 C 	 2124902926084835 ns 
 39.6347 C 	 2124902938549777 ns 
 39.1840 C 	 2124902957010040 ns 
 39.9456 C 	 2124902969943582 ns 
 38.8887 C 	 2124902987089395 ns 
 38.4068 C 	 2124903000839447 ns 
 38.9508 C 	 2124903017518190 ns 
 37.8784 C 	 2124903030220762 ns 
 38.9197 C 	 2124903045936085 ns 
 38.8576 C 	 2124903064691188 ns 
 40.4740 C 	 2124903077848350 ns 
 39.0130 C 	 2124903091977662 ns 
 40.4430 C 	 2124903106703524 ns 
 38.8420 C 	 2124903122055907 ns 
 38.8265 C 	 2124903139155670 ns 
 37.9561 C 	 2124903154976682 ns 
 39.3705 C 	 2124903172231725 ns 
 39.3239 C 	 2124903189116388 ns 
 39.4638 C 	 2124903205612010 ns 
 40.4274 C 	 2124903219691583 ns 
 39.5570 C 	 2124903235966915 ns 
 38.9508 C 	 2124903251326858 ns 
 39.4327 C 	 2124903265348230 ns 
 39.3705 C 	 2124903282092673 ns 
 39.6814 C 	 2124903296948315 ns 
 38.7177 C 	 2124903311857177 ns 
 38.5623 C 	 2124903328011250 ns 
 39.5726 C 	 2124903344851693 ns 
 38.3757 C 	 2124903357489675 ns 
 39.2928 C 	 2124903374345507 ns 
 38.8265 C 	 2124903394217301 ns 
 39.1373 C 	 2124903407070053 ns 
 38.3757 C 	 2124903423320245 ns 
 39.7591 C 	 2124903440961868 ns 
 38.6089 C 	 2124903453670470 ns 
 39.5259 C 	 2124903465681842 ns 
 39.6036 C 	 2124903482616485 ns 
 38.8887 C 	 2124903497991007 ns 
 38.0493 C 	 2124903517307170 ns 
 40.0078 C 	 2124903530225353 ns 
 39.1995 C 	 2124903546729045 ns 
 39.7902 C 	 2124903563974158 ns 
 38.5156 C 	 2124903580964811 ns 
 39.2151 C 	 2124903593762843 ns 
 39.9922 C 	 2124903610499035 ns 
 39.9456 C 	 2124903622633557 ns 
 38.1892 C 	 2124903640875210 ns 
 40.1010 C 	 2124903653765282 ns 
 38.6555 C 	 2124903665858824 ns 
 38.9975 C 	 2124903682586707 ns 
 38.3757 C 	 2124903695379309 ns 
 38.8109 C 	 2124903711787572 ns 
 39.3705 C 	 2124903724339634 ns 
 39.9611 C 	 2124903738238696 ns 
 38.9042 C 	 2124903757823539 ns 
 39.3550 C 	 2124903770460021 ns 
 39.9145 C 	 2124903786758334 ns 
 38.3291 C 	 2124903803060246 ns 
 39.8990 C 	 2124903815709778 ns 
 38.9353 C 	 2124903833079661 ns 
 39.3705 C 	 2124903846051813 ns 
 38.5001 C 	 2124903858224765 ns 
 39.7746 C 	 2124903874579838 ns 
 39.3705 C 	 2124903887649760 ns 
 37.5053 C 	 2124903899938032 ns 
 39.9300 C 	 2124903916686135 ns 
 39.7280 C 	 2124903929580917 ns 
 40.2254 C 	 2124903946134349 ns 
 39.1218 C 	 2124903958236261 ns 
