 39.8368 C 	 2125829508259042 ns 
 38.5312 C 	 2125829527297676 ns 
 40.1010 C 	 2125829539628698 ns 
 40.1787 C 	 2125829556382650 ns 
 39.8368 C 	 2125829575090863 ns 
 40.0855 C 	 2125829587571105 ns 
 39.9767 C 	 2125829604228338 ns 
 41.1735 C 	 2125829623756751 ns 
 39.6969 C 	 2125829639856014 ns 
 40.2254 C 	 2125829657619287 ns 
 40.7538 C 	 2125829674141399 ns 
 40.0388 C 	 2125829690732812 ns 
 42.7900 C 	 2125829707164865 ns 
 40.9093 C 	 2125829720154897 ns 
 40.9870 C 	 2125829736699629 ns 
 40.3342 C 	 2125829753600912 ns 
 40.7538 C 	 2125829769600815 ns 
 40.0388 C 	 2125829784738937 ns 
 38.6400 C 	 2125829801465950 ns 
 41.5931 C 	 2125829818398252 ns 
 40.4119 C 	 2125829830891874 ns 
 39.6503 C 	 2125829843767246 ns 
 39.8990 C 	 2125829860657069 ns 
 39.7591 C 	 2125829873152011 ns 
 40.5051 C 	 2125829887834164 ns 
 40.6761 C 	 2125829904994496 ns 
 39.6503 C 	 2125829921659949 ns 
 40.8937 C 	 2125829939058542 ns 
 39.7280 C 	 2125829951331274 ns 
 38.7954 C 	 2125829967959076 ns 
 40.9093 C 	 2125829980649379 ns 
 41.8108 C 	 2125829998650581 ns 
 40.9248 C 	 2125830010835743 ns 
 41.3755 C 	 2125830023640855 ns 
 40.0078 C 	 2125830040715118 ns 
 40.6450 C 	 2125830053157170 ns 
 41.5310 C 	 2125830070109363 ns 
 40.9559 C 	 2125830082580605 ns 
 40.3652 C 	 2125830100008028 ns 
 40.6295 C 	 2125830112414380 ns 
 39.1218 C 	 2125830125039042 ns 
 40.0233 C 	 2125830142254035 ns 
 39.3239 C 	 2125830154407846 ns 
 40.1321 C 	 2125830172254759 ns 
 40.4274 C 	 2125830184960811 ns 
 40.2720 C 	 2125830197372833 ns 
 40.6295 C 	 2125830211565566 ns 
 39.2928 C 	 2125830229888669 ns 
 40.5829 C 	 2125830242638641 ns 
 41.1113 C 	 2125830254833103 ns 
 41.1890 C 	 2125830269164885 ns 
 39.8057 C 	 2125830285867208 ns 
 39.7124 C 	 2125830298274790 ns 
 41.5465 C 	 2125830312151292 ns 
 40.3497 C 	 2125830328656275 ns 
 39.3550 C 	 2125830341107447 ns 
 39.8523 C 	 2125830357837309 ns 
 40.9403 C 	 2125830370840901 ns 
 39.9145 C 	 2125830387264344 ns 
 40.0078 C 	 2125830399540406 ns 
 39.5104 C 	 2125830412274658 ns 
 39.9922 C 	 2125830429350721 ns 
 39.9456 C 	 2125830441615803 ns 
 39.3550 C 	 2125830458214985 ns 
 40.1010 C 	 2125830471142977 ns 
 41.2512 C 	 2125830483454949 ns 
 40.3031 C 	 2125830501214862 ns 
 39.7591 C 	 2125830514082254 ns 
 40.0544 C 	 2125830527773927 ns 
 41.1269 C 	 2125830543862179 ns 
 41.0491 C 	 2125830556694021 ns 
 39.9611 C 	 2125830570912224 ns 
 40.0078 C 	 2125830587352046 ns 
 40.8315 C 	 2125830599868168 ns 
 40.0855 C 	 2125830612914510 ns 
 40.4119 C 	 2125830629410583 ns 
 41.9817 C 	 2125830641611195 ns 
 41.2667 C 	 2125830658689568 ns 
 41.4533 C 	 2125830670889790 ns 
 41.3134 C 	 2125830687411122 ns 
 39.1995 C 	 2125830700079794 ns 
 40.3652 C 	 2125830712553076 ns 
 40.9248 C 	 2125830730089939 ns 
 40.3497 C 	 2125830742853951 ns 
 39.2772 C 	 2125830759612344 ns 
 39.6503 C 	 2125830771761566 ns 
 40.2409 C 	 2125830784589538 ns 
 41.1424 C 	 2125830800950581 ns 
 40.1166 C 	 2125830814204343 ns 
 40.5362 C 	 2125830830561035 ns 
 41.6864 C 	 2125830843283287 ns 
 40.0388 C 	 2125830855906959 ns 
 41.5931 C 	 2125830873386882 ns 
 39.2928 C 	 2125830885784264 ns 
 39.6969 C 	 2125830902234047 ns 
 41.7175 C 	 2125830915235779 ns 
 40.7849 C 	 2125830931438122 ns 
 40.6295 C 	 2125830944344724 ns 
 39.7902 C 	 2125830956750446 ns 
 39.4016 C 	 2125830973521618 ns 
 39.4016 C 	 2125830985533620 ns 
 41.2823 C 	 2125830998933152 ns 
 40.4119 C 	 2125831014404845 ns 
 40.6450 C 	 2125831031251738 ns 
 40.6139 C 	 2125831043461740 ns 
 41.2201 C 	 2125831056154322 ns 
 40.9248 C 	 2125831073438134 ns 
 38.9975 C 	 2125831085860596 ns 
 39.1063 C 	 2125831099627959 ns 
 40.6761 C 	 2125831115693711 ns 
 40.0544 C 	 2125831128082633 ns 
 39.4327 C 	 2125831144815676 ns 
 38.8109 C 	 2125831157118768 ns 
 40.0855 C 	 2125831173417260 ns 
 41.2512 C 	 2125831186206863 ns 
 40.6761 C 	 2125831198916635 ns 
 40.4430 C 	 2125831215201447 ns 
 40.2254 C 	 2125831227501179 ns 
 40.7694 C 	 2125831244324432 ns 
 40.9248 C 	 2125831257259444 ns 
 39.4638 C 	 2125831273290157 ns 
 40.0855 C 	 2125831286048439 ns 
 39.1995 C 	 2125831298502521 ns 
 39.8057 C 	 2125831311754423 ns 
 40.8937 C 	 2125831331004286 ns 
 38.6711 C 	 2125831343633808 ns 
 40.0855 C 	 2125831360495731 ns 
 38.5001 C 	 2125831376637353 ns 
 40.2564 C 	 2125831389502555 ns 
 40.7694 C 	 2125831406380498 ns 
 40.9714 C 	 2125831419160350 ns 
 39.3550 C 	 2125831431409352 ns 
 40.4740 C 	 2125831449616025 ns 
 39.7902 C 	 2125831463431807 ns 
 39.8212 C 	 2125831479881260 ns 
 39.6658 C 	 2125831496613672 ns 
 39.0285 C 	 2125831510095915 ns 
 40.0699 C 	 2125831527055247 ns 
 39.6192 C 	 2125831539161539 ns 
 41.1424 C 	 2125831555608952 ns 
 40.5673 C 	 2125831568670564 ns 
 40.0699 C 	 2125831581060176 ns 
 40.0855 C 	 2125831597850069 ns 
 39.2306 C 	 2125831610464561 ns 
 40.5207 C 	 2125831627394614 ns 
 40.6139 C 	 2125831639856466 ns 
 39.8834 C 	 2125831652633468 ns 
 39.8679 C 	 2125831667186980 ns 
 40.3497 C 	 2125831684958413 ns 
 40.8782 C 	 2125831697678895 ns 
 39.8212 C 	 2125831710392237 ns 
 39.6969 C 	 2125831726749890 ns 
 40.8160 C 	 2125831739529052 ns 
 40.0078 C 	 2125831753787244 ns 
 41.2357 C 	 2125831770359817 ns 
 39.6192 C 	 2125831782882929 ns 
 41.3134 C 	 2125831795334011 ns 
 40.3342 C 	 2125831811725833 ns 
 39.6658 C 	 2125831828148406 ns 
 39.5881 C 	 2125831840860548 ns 
 40.7227 C 	 2125831857185741 ns 
 39.3550 C 	 2125831875415273 ns 
 40.0855 C 	 2125831887484995 ns 
 40.0233 C 	 2125831900397057 ns 
 41.4377 C 	 2125831916803400 ns 
 39.9767 C 	 2125831929292882 ns 
 40.8937 C 	 2125831946088685 ns 
 40.4740 C 	 2125831958955927 ns 
 40.8782 C 	 2125831971092579 ns 
 39.8212 C 	 2125831987991852 ns 
 39.8368 C 	 2125832000583094 ns 
 39.5415 C 	 2125832017535226 ns 
 38.8731 C 	 2125832029524038 ns 
 39.2151 C 	 2125832043179410 ns 
 39.3083 C 	 2125832059774303 ns 
 41.0025 C 	 2125832072170515 ns 
 41.3755 C 	 2125832084573177 ns 
 40.8782 C 	 2125832100490370 ns 
 40.1166 C 	 2125832113241782 ns 
 39.8834 C 	 2125832129628414 ns 
 41.7641 C 	 2125832141932046 ns 
 41.0491 C 	 2125832154145648 ns 
