 38.4224 C 	 2119457273332393 ns 
 38.9197 C 	 2119457285579325 ns 
 38.5623 C 	 2119457301698687 ns 
 38.2669 C 	 2119457313742879 ns 
 37.8784 C 	 2119457329419382 ns 
 39.0596 C 	 2119457341953444 ns 
 37.9250 C 	 2119457358746846 ns 
 38.9353 C 	 2119457371177588 ns 
 38.7799 C 	 2119457387468251 ns 
 38.4068 C 	 2119457399950713 ns 
 38.0027 C 	 2119457412196355 ns 
 37.9872 C 	 2119457430555698 ns 
 38.7332 C 	 2119457442295000 ns 
 39.1995 C 	 2119457454619302 ns 
 39.7435 C 	 2119457470814714 ns 
 38.5001 C 	 2119457482894966 ns 
 39.5104 C 	 2119457499013069 ns 
 39.1373 C 	 2119457511439971 ns 
 39.4948 C 	 2119457527803384 ns 
 37.8628 C 	 2119457539741286 ns 
 39.2772 C 	 2119457552184838 ns 
 38.5778 C 	 2119457568552120 ns 
 40.1321 C 	 2119457580589532 ns 
 37.7851 C 	 2119457596855895 ns 
 38.9042 C 	 2119457609365177 ns 
 36.6971 C 	 2119457623630389 ns 
 37.6452 C 	 2119457640994002 ns 
 38.9042 C 	 2119457653169864 ns 
 38.6555 C 	 2119457666340316 ns 
 38.5467 C 	 2119457682917089 ns 
 38.5778 C 	 2119457694874401 ns 
 38.5467 C 	 2119457711641793 ns 
 36.7126 C 	 2119457723524285 ns 
 38.3757 C 	 2119457735765127 ns 
 38.3136 C 	 2119457750573400 ns 
 38.9042 C 	 2119457766386252 ns 
 38.4535 C 	 2119457778342424 ns 
 38.7332 C 	 2119457794516837 ns 
 39.3550 C 	 2119457806885269 ns 
 37.9561 C 	 2119457822045471 ns 
 38.2825 C 	 2119457837916494 ns 
 38.3136 C 	 2119457852060716 ns 
 38.3913 C 	 2119457867173938 ns 
 39.5570 C 	 2119457881642161 ns 
 38.9042 C 	 2119457897912003 ns 
 38.4068 C 	 2119457912028745 ns 
 37.7696 C 	 2119457924341617 ns 
 38.0960 C 	 2119457940773100 ns 
 38.9042 C 	 2119457956873653 ns 
 38.7643 C 	 2119457968715495 ns 
 37.8006 C 	 2119457985916237 ns 
 38.1426 C 	 2119457998352799 ns 
 38.6244 C 	 2119458012811182 ns 
 39.0907 C 	 2119458028654094 ns 
 37.4587 C 	 2119458046263227 ns 
 39.8057 C 	 2119458058793659 ns 
 38.7332 C 	 2119458074439802 ns 
 37.5675 C 	 2119458086467254 ns 
 39.5881 C 	 2119458102661556 ns 
 37.5830 C 	 2119458119387909 ns 
 38.5156 C 	 2119458135532921 ns 
 37.2100 C 	 2119458147386583 ns 
 38.2359 C 	 2119458164154486 ns 
 39.1218 C 	 2119458176529008 ns 
 38.9353 C 	 2119458190562320 ns 
 39.6814 C 	 2119458206755333 ns 
 38.0960 C 	 2119458222983086 ns 
 38.7021 C 	 2119458235331568 ns 
 39.0752 C 	 2119458252698360 ns 
 38.3291 C 	 2119458264885562 ns 
 38.9819 C 	 2119458278260584 ns 
 37.7229 C 	 2119458294704157 ns 
 38.7643 C 	 2119458308646539 ns 
 37.4276 C 	 2119458324567752 ns 
 39.5881 C 	 2119458340179094 ns 
 37.5364 C 	 2119458355575877 ns 
 38.7643 C 	 2119458371874129 ns 
 39.4327 C 	 2119458386930532 ns 
 37.5830 C 	 2119458402913214 ns 
 38.4535 C 	 2119458415164556 ns 
 38.4068 C 	 2119458430282309 ns 
 38.1737 C 	 2119458445058451 ns 
 38.2514 C 	 2119458462578214 ns 
 38.8887 C 	 2119458479055357 ns 
 38.6089 C 	 2119458490820579 ns 
 37.6452 C 	 2119458503483401 ns 
 38.5778 C 	 2119458520168143 ns 
 37.6608 C 	 2119458532214975 ns 
 37.5520 C 	 2119458548619578 ns 
 37.0857 C 	 2119458562355050 ns 
 37.0546 C 	 2119458576612372 ns 
 37.8473 C 	 2119458594280305 ns 
 37.3654 C 	 2119458606203267 ns 
 39.0130 C 	 2119458620081599 ns 
 38.9508 C 	 2119458636130612 ns 
 39.4638 C 	 2119458652147315 ns 
 38.7954 C 	 2119458666277437 ns 
 38.7643 C 	 2119458683033940 ns 
 39.6503 C 	 2119458695523212 ns 
 36.9924 C 	 2119458709407514 ns 
 38.7954 C 	 2119458725693166 ns 
 38.0338 C 	 2119458738321128 ns 
 38.2359 C 	 2119458754482131 ns 
 39.1684 C 	 2119458767216983 ns 
 37.5830 C 	 2119458783998266 ns 
 39.2617 C 	 2119458796682988 ns 
 39.0907 C 	 2119458810340010 ns 
 38.6244 C 	 2119458826811783 ns 
 38.5467 C 	 2119458843151885 ns 
 37.9872 C 	 2119458855492177 ns 
 38.9819 C 	 2119458871242990 ns 
 38.2048 C 	 2119458883832942 ns 
 37.7696 C 	 2119458899004604 ns 
 38.2514 C 	 2119458910892526 ns 
 38.6400 C 	 2119458927532779 ns 
 37.2256 C 	 2119458941327471 ns 
 40.4430 C 	 2119458954447163 ns 
 38.7332 C 	 2119458970531156 ns 
 39.4171 C 	 2119458986647428 ns 
 38.4379 C 	 2119458999095240 ns 
 37.5830 C 	 2119459015634153 ns 
 38.7799 C 	 2119459029347965 ns 
 38.3447 C 	 2119459044112288 ns 
 38.7177 C 	 2119459062278701 ns 
 38.6089 C 	 2119459076044413 ns 
 38.8109 C 	 2119459089757475 ns 
 39.0285 C 	 2119459105884128 ns 
 39.1995 C 	 2119459120078960 ns 
 38.0338 C 	 2119459137754363 ns 
 38.0493 C 	 2119459150195755 ns 
 37.6608 C 	 2119459162308437 ns 
 38.3913 C 	 2119459178918749 ns 
 37.8628 C 	 2119459191039561 ns 
 38.5001 C 	 2119459208986944 ns 
 38.0649 C 	 2119459221936146 ns 
 38.7021 C 	 2119459237702139 ns 
 39.4948 C 	 2119459250453041 ns 
 37.6608 C 	 2119459264764393 ns 
 37.3654 C 	 2119459280609916 ns 
 37.7385 C 	 2119459293376118 ns 
 38.9353 C 	 2119459305702130 ns 
 37.1789 C 	 2119459319333022 ns 
 38.0960 C 	 2119459331500694 ns 
 38.7021 C 	 2119459347843197 ns 
 37.4432 C 	 2119459360358179 ns 
 38.8887 C 	 2119459376040891 ns 
 38.5312 C 	 2119459388183363 ns 
 36.9769 C 	 2119459402688785 ns 
 37.8784 C 	 2119459414888527 ns 
 39.6658 C 	 2119459430937930 ns 
 38.9664 C 	 2119459444885652 ns 
 38.2359 C 	 2119459460524565 ns 
 39.0907 C 	 2119459472508517 ns 
 38.9508 C 	 2119459487123589 ns 
 37.3344 C 	 2119459503168732 ns 
 39.1063 C 	 2119459517062454 ns 
 39.2306 C 	 2119459533853126 ns 
 38.6711 C 	 2119459550197039 ns 
 38.9353 C 	 2119459568140642 ns 
 38.8109 C 	 2119459582163244 ns 
 39.3394 C 	 2119459602317698 ns 
 39.0441 C 	 2119459615942080 ns 
 37.5364 C 	 2119459627887842 ns 
 38.1581 C 	 2119459645052404 ns 
 38.5623 C 	 2119459657246836 ns 
 38.6555 C 	 2119459672325829 ns 
 37.9405 C 	 2119459685431181 ns 
 38.2203 C 	 2119459699397203 ns 
 38.7488 C 	 2119459714059975 ns 
 38.6400 C 	 2119459728478428 ns 
 38.8731 C 	 2119459742993780 ns 
 39.1840 C 	 2119459756568812 ns 
 38.2203 C 	 2119459769483004 ns 
 39.0596 C 	 2119459784135697 ns 
 39.2462 C 	 2119459801299300 ns 
 38.3913 C 	 2119459821457923 ns 
 39.9300 C 	 2119459836375815 ns 
 37.0080 C 	 2119459856748188 ns 
 38.5467 C 	 2119459874122091 ns 
 37.8939 C 	 2119459894056194 ns 
 38.1581 C 	 2119459909687307 ns 
 37.9250 C 	 2119459925149519 ns 
 38.1115 C 	 2119459939654702 ns 
 38.7954 C 	 2119459958191435 ns 
 38.2669 C 	 2119459976469448 ns 
 39.7280 C 	 2119459991384970 ns 
 38.0649 C 	 2119460008094853 ns 
 39.2151 C 	 2119460023260785 ns 
 38.1737 C 	 2119460040550418 ns 
 38.1271 C 	 2119460056250411 ns 
 40.0233 C 	 2119460072600533 ns 
 39.1063 C 	 2119460087615116 ns 
 39.0596 C 	 2119460104840488 ns 
 38.1271 C 	 2119460121777171 ns 
 38.2514 C 	 2119460141554884 ns 
 39.0596 C 	 2119460157083877 ns 
 39.8523 C 	 2119460176536180 ns 
 37.6608 C 	 2119460194787463 ns 
 38.5933 C 	 2119460211955206 ns 
 37.8628 C 	 2119460227777148 ns 
 39.4327 C 	 2119460243835161 ns 
 38.0338 C 	 2119460264556584 ns 
 38.0338 C 	 2119460280839597 ns 
 37.8628 C 	 2119460298000889 ns 
 38.0960 C 	 2119460318184743 ns 
 39.2306 C 	 2119460337609686 ns 
 38.2825 C 	 2119460353241788 ns 
 37.7074 C 	 2119460369019571 ns 
 38.0960 C 	 2119460385775774 ns 
 38.7332 C 	 2119460400960606 ns 
 37.8628 C 	 2119460417373639 ns 
 37.7229 C 	 2119460434512101 ns 
 38.2980 C 	 2119460451116924 ns 
 37.9405 C 	 2119460463630856 ns 
 39.5104 C 	 2119460481328549 ns 
 39.7902 C 	 2119460496919011 ns 
 38.6400 C 	 2119460516852335 ns 
 37.9872 C 	 2119460532644187 ns 
 39.6036 C 	 2119460551742130 ns 
 38.4224 C 	 2119460567997873 ns 
 38.3757 C 	 2119460584920396 ns 
 38.5467 C 	 2119460600695838 ns 
 38.5778 C 	 2119460620065131 ns 
 38.5933 C 	 2119460637918554 ns 
 37.5830 C 	 2119460656319897 ns 
 38.8420 C 	 2119460671735190 ns 
 38.1581 C 	 2119460687821042 ns 
 36.4795 C 	 2119460701570374 ns 
 38.0804 C 	 2119460719193247 ns 
 38.2825 C 	 2119460735713140 ns 
 38.0493 C 	 2119460748955682 ns 
 38.7021 C 	 2119460761147264 ns 
 38.2514 C 	 2119460777470927 ns 
 37.8784 C 	 2119460789674599 ns 
 38.6244 C 	 2119460801303080 ns 
 37.9872 C 	 2119460817554743 ns 
 38.2048 C 	 2119460829452175 ns 
 38.2203 C 	 2119460841202607 ns 
 39.1373 C 	 2119460857469570 ns 
 38.2359 C 	 2119460870417152 ns 
 39.0907 C 	 2119460884122504 ns 
 38.4068 C 	 2119460897607656 ns 
 38.9508 C 	 2119460913441449 ns 
 39.9611 C 	 2119460927694511 ns 
 37.9872 C 	 2119460942005653 ns 
 38.1581 C 	 2119460954421155 ns 
 38.3913 C 	 2119460969161537 ns 
 38.1115 C 	 2119460981359359 ns 
 38.9197 C 	 2119460997487242 ns 
 37.3654 C 	 2119461011276114 ns 
 37.8317 C 	 2119461025056136 ns 
 39.7591 C 	 2119461041486869 ns 
 38.1581 C 	 2119461057157792 ns 
 39.0441 C 	 2119461076534285 ns 
 38.0649 C 	 2119461094077598 ns 
 38.9042 C 	 2119461108647220 ns 
 40.3652 C 	 2119461120882422 ns 
 38.8420 C 	 2119461136786924 ns 
 37.7074 C 	 2119461149098836 ns 
 39.7124 C 	 2119461165322299 ns 
 38.5467 C 	 2119461179466611 ns 
 38.3447 C 	 2119461191585983 ns 
 40.0078 C 	 2119461207629926 ns 
 39.0441 C 	 2119461219910878 ns 
 39.5570 C 	 2119461235646780 ns 
 37.6763 C 	 2119461247561072 ns 
 37.1323 C 	 2119461263153635 ns 
 39.4638 C 	 2119461275027577 ns 
 39.2617 C 	 2119461291352529 ns 
 37.7229 C 	 2119461303351541 ns 
 41.2046 C 	 2119461315346563 ns 
 39.1373 C 	 2119461331070166 ns 
 39.4327 C 	 2119461343282958 ns 
 37.7540 C 	 2119461359513830 ns 
 39.2462 C 	 2119461371692632 ns 
 39.3705 C 	 2119461383570234 ns 
 37.9872 C 	 2119461399707327 ns 
 39.5881 C 	 2119461411613969 ns 
 38.1737 C 	 2119461427804311 ns 
 37.9716 C 	 2119461439727903 ns 
