 39.8212 C 	 2119842433575858 ns 
 40.6917 C 	 2119842452138570 ns 
 37.9405 C 	 2119842468974873 ns 
 38.9042 C 	 2119842481170145 ns 
 38.1115 C 	 2119842497906608 ns 
 37.8317 C 	 2119842515068771 ns 
 39.4793 C 	 2119842529380543 ns 
 39.7591 C 	 2119842541077275 ns 
 39.6658 C 	 2119842555022057 ns 
 39.1373 C 	 2119842571910530 ns 
 39.7902 C 	 2119842583623612 ns 
 39.5259 C 	 2119842600738614 ns 
 38.9197 C 	 2119842612626146 ns 
 39.3550 C 	 2119842627180139 ns 
 39.3083 C 	 2119842643316241 ns 
 38.3291 C 	 2119842655579133 ns 
 40.1632 C 	 2119842668242045 ns 
 38.4379 C 	 2119842682279198 ns 
 39.0441 C 	 2119842696932310 ns 
 38.0493 C 	 2119842712895552 ns 
 38.7954 C 	 2119842726825455 ns 
 38.7954 C 	 2119842742562467 ns 
 38.7643 C 	 2119842757388860 ns 
 38.9353 C 	 2119842773358702 ns 
 38.0338 C 	 2119842789112905 ns 
 40.8315 C 	 2119842805282757 ns 
 38.1737 C 	 2119842821436320 ns 
 39.6814 C 	 2119842838841663 ns 
 39.0752 C 	 2119842851011045 ns 
 39.7124 C 	 2119842867799587 ns 
 39.0596 C 	 2119842879555089 ns 
 39.2306 C 	 2119842892879801 ns 
 39.0130 C 	 2119842909931624 ns 
 38.9819 C 	 2119842924443077 ns 
 40.5984 C 	 2119842936957309 ns 
 38.4068 C 	 2119842952879721 ns 
 39.8212 C 	 2119842967580473 ns 
 39.7435 C 	 2119842981006406 ns 
 39.4327 C 	 2119842997279698 ns 
 39.1995 C 	 2119843017234141 ns 
 39.7746 C 	 2119843035781254 ns 
 41.1890 C 	 2119843050705627 ns 
 38.4690 C 	 2119843066746119 ns 
 39.3860 C 	 2119843082791232 ns 
 39.6969 C 	 2119843099078595 ns 
 39.8523 C 	 2119843115422777 ns 
 39.2462 C 	 2119843127737449 ns 
 39.7435 C 	 2119843140514151 ns 
 38.5001 C 	 2119843156715654 ns 
 38.2359 C 	 2119843169476756 ns 
 39.8212 C 	 2119843181128158 ns 
 39.2928 C 	 2119843198137231 ns 
 39.7124 C 	 2119843210084942 ns 
 39.3550 C 	 2119843226543455 ns 
 39.8057 C 	 2119843238390037 ns 
 39.6814 C 	 2119843250350739 ns 
 39.5104 C 	 2119843265784361 ns 
 39.6814 C 	 2119843278106473 ns 
 39.4327 C 	 2119843294165626 ns 
 39.4016 C 	 2119843306110338 ns 
 40.3186 C 	 2119843318068310 ns 
 38.7332 C 	 2119843333994772 ns 
 40.6295 C 	 2119843345723394 ns 
 40.8471 C 	 2119843361985347 ns 
 39.8990 C 	 2119843374303019 ns 
 40.0699 C 	 2119843387244751 ns 
 39.4638 C 	 2119843403067084 ns 
 39.8368 C 	 2119843415333846 ns 
 39.6814 C 	 2119843428323068 ns 
 38.9197 C 	 2119843444420980 ns 
 39.7746 C 	 2119843456188962 ns 
 40.0699 C 	 2119843471843355 ns 
 38.8420 C 	 2119843488400507 ns 
 39.8057 C 	 2119843500190359 ns 
 40.5984 C 	 2119843515828942 ns 
 40.0544 C 	 2119843528001744 ns 
 40.1476 C 	 2119843540104436 ns 
 39.1063 C 	 2119843555722978 ns 
 39.6658 C 	 2119843567407020 ns 
 41.7486 C 	 2119843583332073 ns 
 39.2462 C 	 2119843595138334 ns 
 40.6917 C 	 2119843606823696 ns 
 38.5933 C 	 2119843622343869 ns 
 39.4638 C 	 2119843633973821 ns 
 38.3757 C 	 2119843645804593 ns 
 40.4119 C 	 2119843661739755 ns 
 40.5829 C 	 2119843673500297 ns 
 40.0855 C 	 2119843689422320 ns 
 39.4793 C 	 2119843701304962 ns 
 38.8420 C 	 2119843712804683 ns 
 38.9353 C 	 2119843728331456 ns 
 40.6139 C 	 2119843740305448 ns 
 40.2254 C 	 2119843756104230 ns 
 39.1218 C 	 2119843768331872 ns 
 39.9767 C 	 2119843779920964 ns 
 40.3652 C 	 2119843795419147 ns 
 38.7021 C 	 2119843807459109 ns 
 39.6969 C 	 2119843823228311 ns 
 39.8990 C 	 2119843835199063 ns 
 38.7177 C 	 2119843846902215 ns 
 38.3602 C 	 2119843862682758 ns 
 40.5518 C 	 2119843874617989 ns 
 38.6866 C 	 2119843886342831 ns 
 39.8679 C 	 2119843899782023 ns 
 39.2151 C 	 2119843913548096 ns 
 40.1476 C 	 2119843928996718 ns 
 40.2098 C 	 2119843940590880 ns 
 38.9197 C 	 2119843952470342 ns 
 40.0544 C 	 2119843965560124 ns 
 38.1581 C 	 2119843981634097 ns 
 39.6658 C 	 2119843993400369 ns 
 38.3913 C 	 2119844008360741 ns 
 38.9353 C 	 2119844025658834 ns 
 39.4482 C 	 2119844037205746 ns 
 39.0130 C 	 2119844053866458 ns 
 40.3186 C 	 2119844069763821 ns 
 37.8784 C 	 2119844081397223 ns 
 39.4793 C 	 2119844093075295 ns 
 39.1995 C 	 2119844109857957 ns 
 38.0027 C 	 2119844121602539 ns 
 38.0493 C 	 2119844133256971 ns 
 39.6192 C 	 2119844149060704 ns 
 39.9300 C 	 2119844160829285 ns 
 38.9975 C 	 2119844172771657 ns 
 39.5570 C 	 2119844189778060 ns 
 38.7177 C 	 2119844201310092 ns 
 41.2512 C 	 2119844213199514 ns 
 39.1063 C 	 2119844229288156 ns 
 39.9300 C 	 2119844241095138 ns 
 40.8160 C 	 2119844252754310 ns 
 39.4171 C 	 2119844268540853 ns 
 39.4327 C 	 2119844280312675 ns 
 40.8005 C 	 2119844295742457 ns 
 38.9353 C 	 2119844308193809 ns 
 39.2772 C 	 2119844319806661 ns 
 38.6244 C 	 2119844335652424 ns 
 38.1737 C 	 2119844347634036 ns 
 39.0130 C 	 2119844362823368 ns 
 39.6814 C 	 2119844374648440 ns 
 39.6658 C 	 2119844386511762 ns 
 39.7435 C 	 2119844401262854 ns 
 39.3239 C 	 2119844417156767 ns 
 39.1840 C 	 2119844433395469 ns 
 38.7643 C 	 2119844445289871 ns 
 37.7385 C 	 2119844461791794 ns 
 38.7488 C 	 2119844473500046 ns 
 40.2720 C 	 2119844491887289 ns 
 39.8368 C 	 2119844503907751 ns 
 37.7385 C 	 2119844519417123 ns 
 38.7954 C 	 2119844534922806 ns 
 38.6866 C 	 2119844546695258 ns 
 38.3136 C 	 2119844562411180 ns 
 39.5104 C 	 2119844574316472 ns 
 39.0130 C 	 2119844589889565 ns 
 40.1943 C 	 2119844601995106 ns 
 40.8005 C 	 2119844613636848 ns 
 38.7799 C 	 2119844630171231 ns 
 39.7746 C 	 2119844642011873 ns 
 41.2357 C 	 2119844653815975 ns 
 38.7488 C 	 2119844669953457 ns 
 39.3860 C 	 2119844681733799 ns 
