 37.8317 C 	 2117431239547648 ns 
 36.5261 C 	 2117431253498250 ns 
 37.2722 C 	 2117431269581013 ns 
 36.4173 C 	 2117431289491626 ns 
 36.4950 C 	 2117431305181539 ns 
 37.3033 C 	 2117431319262941 ns 
 37.5675 C 	 2117431336330664 ns 
 36.8525 C 	 2117431352929696 ns 
 37.5986 C 	 2117431369295869 ns 
 37.5986 C 	 2117431381463841 ns 
 38.0027 C 	 2117431398050124 ns 
 37.0390 C 	 2117431410885116 ns 
 37.4898 C 	 2117431428219088 ns 
 38.0493 C 	 2117431439929170 ns 
 37.7385 C 	 2117431456083693 ns 
 37.6452 C 	 2117431468359065 ns 
 37.2411 C 	 2117431480391797 ns 
 38.4535 C 	 2117431496464479 ns 
 35.9821 C 	 2117431508360021 ns 
 38.4379 C 	 2117431524709694 ns 
 36.9458 C 	 2117431536529336 ns 
 37.1168 C 	 2117431553542669 ns 
 38.2514 C 	 2117431565474270 ns 
 36.9147 C 	 2117431577292922 ns 
 38.2669 C 	 2117431590407634 ns 
 37.1323 C 	 2117431607304597 ns 
 36.7593 C 	 2117431619564579 ns 
 37.1478 C 	 2117431635419012 ns 
 37.2722 C 	 2117431647443314 ns 
 38.5778 C 	 2117431659838086 ns 
 36.4173 C 	 2117431679199879 ns 
 37.6297 C 	 2117431691003621 ns 
 38.0027 C 	 2117431703964013 ns 
 37.3965 C 	 2117431720171125 ns 
 37.9716 C 	 2117431732015607 ns 
 38.2669 C 	 2117431746210770 ns 
 36.5883 C 	 2117431762435282 ns 
 38.0027 C 	 2117431774364034 ns 
 37.0857 C 	 2117431790877387 ns 
 38.3602 C 	 2117431807182689 ns 
 36.7126 C 	 2117431819137421 ns 
 37.0546 C 	 2117431833605224 ns 
 36.4639 C 	 2117431849418196 ns 
 37.5209 C 	 2117431862048858 ns 
 37.7074 C 	 2117431874197840 ns 
 37.5364 C 	 2117431890252043 ns 
 38.0493 C 	 2117431902395835 ns 
 38.0649 C 	 2117431914790157 ns 
 38.1581 C 	 2117431930898239 ns 
 38.4535 C 	 2117431942855491 ns 
 38.0649 C 	 2117431957866474 ns 
 37.4432 C 	 2117431970636696 ns 
 38.2359 C 	 2117431986553978 ns 
 36.9613 C 	 2117431998583470 ns 
 36.4484 C 	 2117432012277602 ns 
 38.0804 C 	 2117432028438035 ns 
 37.3033 C 	 2117432040450277 ns 
 37.6297 C 	 2117432052496509 ns 
 38.5156 C 	 2117432068388591 ns 
 38.9508 C 	 2117432080566343 ns 
 36.8836 C 	 2117432094282526 ns 
 37.2566 C 	 2117432106043847 ns 
 38.3602 C 	 2117432122407860 ns 
 36.5417 C 	 2117432134742032 ns 
 37.1945 C 	 2117432150516725 ns 
 37.5986 C 	 2117432162859237 ns 
 38.3136 C 	 2117432174867189 ns 
