 38.3291 C 	 2117431239497458 ns 
 38.2514 C 	 2117431253453490 ns 
 38.0960 C 	 2117431269537273 ns 
 38.0183 C 	 2117431289447286 ns 
 37.6297 C 	 2117431305138309 ns 
 38.8576 C 	 2117431319219171 ns 
 39.1373 C 	 2117431336286534 ns 
 38.5467 C 	 2117431352885686 ns 
 38.3291 C 	 2117431369251019 ns 
 37.6452 C 	 2117431381420431 ns 
 37.0235 C 	 2117431398006143 ns 
 37.4432 C 	 2117431410841256 ns 
 37.2100 C 	 2117431428175258 ns 
 38.4224 C 	 2117431439886330 ns 
 37.9250 C 	 2117431456040043 ns 
 39.3860 C 	 2117431468315715 ns 
 37.4898 C 	 2117431480346617 ns 
 37.3188 C 	 2117431496419809 ns 
 38.1581 C 	 2117431508316311 ns 
 38.5001 C 	 2117431524666584 ns 
 38.3291 C 	 2117431536485446 ns 
 37.9094 C 	 2117431553498569 ns 
 38.3136 C 	 2117431565430680 ns 
 37.7696 C 	 2117431577249362 ns 
 38.3602 C 	 2117431590364374 ns 
 38.9664 C 	 2117431607258967 ns 
 38.5156 C 	 2117431619521739 ns 
 38.5933 C 	 2117431635375272 ns 
 39.2462 C 	 2117431647400054 ns 
 37.8006 C 	 2117431659794496 ns 
 39.1529 C 	 2117431679152269 ns 
 38.4068 C 	 2117431690959581 ns 
 37.8473 C 	 2117431703920603 ns 
 37.1789 C 	 2117431720126215 ns 
 39.2772 C 	 2117431731972767 ns 
 37.8317 C 	 2117431746166610 ns 
 37.3344 C 	 2117431762391002 ns 
 38.5623 C 	 2117431774320174 ns 
 37.7851 C 	 2117431790832507 ns 
 37.0701 C 	 2117431807009199 ns 
 36.8370 C 	 2117431819094221 ns 
 37.5520 C 	 2117431833560884 ns 
 37.8162 C 	 2117431849373586 ns 
 38.4379 C 	 2117431862006108 ns 
 38.8731 C 	 2117431874153650 ns 
 38.0183 C 	 2117431890207403 ns 
 37.5364 C 	 2117431902353175 ns 
 37.8784 C 	 2117431914746117 ns 
 39.1840 C 	 2117431930855459 ns 
 38.2669 C 	 2117431942811361 ns 
 36.3551 C 	 2117431957823724 ns 
 38.0027 C 	 2117431970592566 ns 
 37.5053 C 	 2117431986510268 ns 
 38.4690 C 	 2117431998538170 ns 
 37.8006 C 	 2117432012233712 ns 
 39.8834 C 	 2117432028394415 ns 
