 39.9456 C 	 2116363384560555 ns 
 39.9300 C 	 2116363400125368 ns 
 39.9922 C 	 2116363413958580 ns 
 39.0285 C 	 2116363433899823 ns 
 40.2720 C 	 2116363448938046 ns 
 39.2617 C 	 2116363465222048 ns 
 40.3652 C 	 2116363481500141 ns 
 39.0130 C 	 2116363499138164 ns 
 39.6658 C 	 2116363511498496 ns 
 39.4948 C 	 2116363523589608 ns 
 38.1271 C 	 2116363538484760 ns 
 38.4690 C 	 2116363554970933 ns 
 38.6400 C 	 2116363570118115 ns 
 38.3291 C 	 2116363582976237 ns 
 38.8265 C 	 2116363598918720 ns 
 38.2669 C 	 2116363614061432 ns 
 39.3550 C 	 2116363626135354 ns 
 39.3239 C 	 2116363642772547 ns 
 39.6969 C 	 2116363655146559 ns 
 38.9042 C 	 2116363666919161 ns 
 38.9042 C 	 2116363682275803 ns 
 39.8368 C 	 2116363694649125 ns 
 39.6969 C 	 2116363709276948 ns 
 38.4535 C 	 2116363724565340 ns 
 40.2875 C 	 2116363739290212 ns 
 39.1063 C 	 2116363756287915 ns 
 38.7021 C 	 2116363772664528 ns 
 39.6347 C 	 2116363790961741 ns 
 39.8990 C 	 2116363805285423 ns 
 39.6192 C 	 2116363820433116 ns 
 39.8679 C 	 2116363832507577 ns 
 40.7538 C 	 2116363848938640 ns 
 39.5259 C 	 2116363866361623 ns 
 39.7746 C 	 2116363878839045 ns 
 39.7435 C 	 2116363894854878 ns 
 39.0596 C 	 2116363910195050 ns 
 38.7332 C 	 2116363922617812 ns 
 39.8679 C 	 2116363938225855 ns 
 39.3394 C 	 2116363952966357 ns 
 39.6658 C 	 2116363969378580 ns 
 40.2409 C 	 2116363981138821 ns 
 38.9819 C 	 2116363997196444 ns 
 40.0544 C 	 2116364009883446 ns 
 39.4482 C 	 2116364026431659 ns 
 39.6969 C 	 2116364038408201 ns 
 38.6555 C 	 2116364050399353 ns 
 41.4843 C 	 2116364066411555 ns 
 39.8990 C 	 2116364078047087 ns 
 39.3394 C 	 2116364092544229 ns 
 39.7902 C 	 2116364108829252 ns 
 40.6917 C 	 2116364120851004 ns 
 39.5726 C 	 2116364137038737 ns 
 40.0855 C 	 2116364149485769 ns 
 40.1166 C 	 2116364161201040 ns 
