 38.9508 C 	 2116363384509915 ns 
 39.4638 C 	 2116363400081238 ns 
 39.8368 C 	 2116363413914690 ns 
 39.7435 C 	 2116363433855423 ns 
 39.7435 C 	 2116363448894576 ns 
 39.8834 C 	 2116363465178698 ns 
 39.9300 C 	 2116363481455471 ns 
 39.5726 C 	 2116363499094034 ns 
 39.1373 C 	 2116363511455656 ns 
 39.8368 C 	 2116363523544788 ns 
 39.4948 C 	 2116363538428300 ns 
 40.2098 C 	 2116363554926233 ns 
 40.4896 C 	 2116363570073805 ns 
 40.0388 C 	 2116363582932317 ns 
 39.2928 C 	 2116363598875190 ns 
 38.9819 C 	 2116363614017332 ns 
 40.1943 C 	 2116363626091764 ns 
 39.4171 C 	 2116363642726737 ns 
 39.4482 C 	 2116363655102369 ns 
 40.5207 C 	 2116363666875091 ns 
 39.2151 C 	 2116363682232123 ns 
 39.9922 C 	 2116363694605295 ns 
 40.1943 C 	 2116363709233868 ns 
 38.7954 C 	 2116363724521360 ns 
 40.7694 C 	 2116363739246322 ns 
 39.1218 C 	 2116363756243605 ns 
 39.8523 C 	 2116363772558058 ns 
 40.0544 C 	 2116363790918571 ns 
 40.7072 C 	 2116363805241653 ns 
 40.0855 C 	 2116363820389016 ns 
 40.2098 C 	 2116363832464227 ns 
 40.7383 C 	 2116363848895290 ns 
 39.9300 C 	 2116363866316773 ns 
 40.2720 C 	 2116363878795125 ns 
 40.9403 C 	 2116363894811408 ns 
 40.3342 C 	 2116363910150440 ns 
 39.8990 C 	 2116363922572902 ns 
 40.8626 C 	 2116363938181664 ns 
 39.6814 C 	 2116363952921927 ns 
 39.8834 C 	 2116363969276880 ns 
 41.9351 C 	 2116363981095291 ns 
 39.6192 C 	 2116363997152824 ns 
 40.6917 C 	 2116364009839826 ns 
 40.2564 C 	 2116364026387349 ns 
 41.0802 C 	 2116364038363921 ns 
 39.2772 C 	 2116364050354473 ns 
 40.2254 C 	 2116364066368565 ns 
 39.7746 C 	 2116364078004847 ns 
 40.2875 C 	 2116364092501149 ns 
 40.8005 C 	 2116364108785992 ns 
 39.8057 C 	 2116364120806604 ns 
 40.4119 C 	 2116364136995866 ns 
 40.3342 C 	 2116364149441578 ns 
 40.1787 C 	 2116364161156400 ns 
 39.1684 C 	 2116364177506103 ns 
 41.1890 C 	 2116364189922985 ns 
 39.7124 C 	 2116364205626338 ns 
 39.0596 C 	 2116364218158120 ns 
 40.2254 C 	 2116364230334012 ns 
