 37.3499 C 	 2119072412418536 ns 
 38.8265 C 	 2119072427596109 ns 
 39.2772 C 	 2119072439563590 ns 
 38.4535 C 	 2119072455552363 ns 
 38.7177 C 	 2119072471707336 ns 
 38.9197 C 	 2119072487462078 ns 
 38.4379 C 	 2119072504211591 ns 
 39.2617 C 	 2119072520995904 ns 
 39.6969 C 	 2119072536029326 ns 
 39.3239 C 	 2119072554124999 ns 
 37.0857 C 	 2119072570956802 ns 
 39.2462 C 	 2119072585121694 ns 
 39.3550 C 	 2119072601316176 ns 
 39.4016 C 	 2119072617928169 ns 
 38.4535 C 	 2119072632447901 ns 
 39.4327 C 	 2119072648511674 ns 
 37.8939 C 	 2119072664393227 ns 
 38.6711 C 	 2119072679444709 ns 
 38.5778 C 	 2119072693997021 ns 
 38.6244 C 	 2119072715351865 ns 
 39.5104 C 	 2119072734130398 ns 
 39.1840 C 	 2119072746485360 ns 
 37.6918 C 	 2119072762712722 ns 
 38.1271 C 	 2119072776332485 ns 
 38.0960 C 	 2119072792969467 ns 
 38.2048 C 	 2119072809912330 ns 
 39.1373 C 	 2119072827700533 ns 
 38.6089 C 	 2119072842968645 ns 
 37.3499 C 	 2119072857492308 ns 
 39.0596 C 	 2119072870493290 ns 
 38.4690 C 	 2119072889702923 ns 
 38.7021 C 	 2119072901759205 ns 
 37.6608 C 	 2119072913828237 ns 
 40.2564 C 	 2119072930157419 ns 
 40.3808 C 	 2119072942211811 ns 
 39.8368 C 	 2119072953867143 ns 
 38.9508 C 	 2119072970252336 ns 
 39.4638 C 	 2119072982500498 ns 
 38.5467 C 	 2119072994710020 ns 
 38.4845 C 	 2119073008335602 ns 
 39.8834 C 	 2119073020691434 ns 
 40.2875 C 	 2119073035322556 ns 
 38.5156 C 	 2119073049455049 ns 
 39.7435 C 	 2119073063622371 ns 
 39.3239 C 	 2119073079268273 ns 
 39.2151 C 	 2119073091729855 ns 
 39.9767 C 	 2119073106064518 ns 
 39.3860 C 	 2119073121891380 ns 
 38.8420 C 	 2119073137708043 ns 
 39.1684 C 	 2119073149742875 ns 
 39.7280 C 	 2119073161971537 ns 
 37.9561 C 	 2119073178037379 ns 
 37.5830 C 	 2119073190188221 ns 
 38.2980 C 	 2119073202415443 ns 
 39.2151 C 	 2119073218635096 ns 
 40.3652 C 	 2119073231525858 ns 
 39.7280 C 	 2119073245206730 ns 
 39.4171 C 	 2119073261633383 ns 
 38.0493 C 	 2119073273352225 ns 
 39.2772 C 	 2119073289076667 ns 
 39.8368 C 	 2119073301510559 ns 
 39.9922 C 	 2119073316218452 ns 
 38.6400 C 	 2119073332639674 ns 
 38.7332 C 	 2119073349699507 ns 
 40.0233 C 	 2119073362146149 ns 
 39.5570 C 	 2119073377827811 ns 
 38.4690 C 	 2119073390417523 ns 
 38.9975 C 	 2119073402633375 ns 
 39.7435 C 	 2119073418217568 ns 
 39.7280 C 	 2119073430356620 ns 
 38.2048 C 	 2119073445907872 ns 
 38.0183 C 	 2119073457786704 ns 
 37.7385 C 	 2119073473713707 ns 
 39.5415 C 	 2119073485913389 ns 
 38.0183 C 	 2119073501885301 ns 
 38.3913 C 	 2119073514021803 ns 
 38.8576 C 	 2119073530175216 ns 
 39.7124 C 	 2119073542625788 ns 
 39.6814 C 	 2119073554586190 ns 
 38.8265 C 	 2119073569678922 ns 
 39.1218 C 	 2119073581839754 ns 
 39.0907 C 	 2119073597654857 ns 
 39.8212 C 	 2119073609730159 ns 
 38.2669 C 	 2119073626423691 ns 
 37.2256 C 	 2119073638651183 ns 
 38.9975 C 	 2119073650742685 ns 
 39.7746 C 	 2119073666420598 ns 
 38.8265 C 	 2119073678367950 ns 
 39.4327 C 	 2119073694515902 ns 
 39.7280 C 	 2119073706679944 ns 
 38.7021 C 	 2119073722852167 ns 
 38.4535 C 	 2119073734823549 ns 
 37.8628 C 	 2119073747305351 ns 
 39.4171 C 	 2119073763038643 ns 
 39.4482 C 	 2119073775127595 ns 
 39.4638 C 	 2119073787072007 ns 
 39.3705 C 	 2119073801072110 ns 
 38.0804 C 	 2119073814652722 ns 
 38.2359 C 	 2119073828862794 ns 
 39.6658 C 	 2119073844724307 ns 
 38.6555 C 	 2119073857142719 ns 
 38.2359 C 	 2119073869051430 ns 
 38.6555 C 	 2119073884403663 ns 
 37.9250 C 	 2119073896937095 ns 
 38.1581 C 	 2119073912784718 ns 
 37.8473 C 	 2119073924354429 ns 
 38.9197 C 	 2119073936584111 ns 
 38.8265 C 	 2119073952781054 ns 
 39.1373 C 	 2119073964772026 ns 
 38.6555 C 	 2119073978837588 ns 
 39.0285 C 	 2119073995009961 ns 
 39.6347 C 	 2119074006900613 ns 
 38.4535 C 	 2119074020645385 ns 
 39.3860 C 	 2119074036554387 ns 
 39.2151 C 	 2119074049050349 ns 
 39.1840 C 	 2119074061137921 ns 
 39.5881 C 	 2119074076705224 ns 
 38.9042 C 	 2119074088619546 ns 
 39.4793 C 	 2119074104957938 ns 
 38.1581 C 	 2119074117144090 ns 
 38.2980 C 	 2119074128873042 ns 
 38.3291 C 	 2119074144783365 ns 
 39.4016 C 	 2119074156881497 ns 
 38.2825 C 	 2119074172784559 ns 
 38.0183 C 	 2119074184663061 ns 
 38.6711 C 	 2119074197055793 ns 
 38.3757 C 	 2119074213075796 ns 
 39.2151 C 	 2119074224730288 ns 
 37.6452 C 	 2119074240818540 ns 
 38.2669 C 	 2119074253166662 ns 
 39.9456 C 	 2119074269191825 ns 
 38.3913 C 	 2119074281078037 ns 
 38.7177 C 	 2119074292795499 ns 
 39.4171 C 	 2119074308754991 ns 
 38.1581 C 	 2119074320628213 ns 
