 37.0390 C 	 2119261589820951 ns 
 36.8525 C 	 2119261601968283 ns 
 38.8576 C 	 2119261617231385 ns 
 37.6141 C 	 2119261633278358 ns 
 39.3705 C 	 2119261648153080 ns 
 38.2048 C 	 2119261664486103 ns 
 37.8317 C 	 2119261680689825 ns 
 38.6711 C 	 2119261698218078 ns 
 39.5726 C 	 2119261712000021 ns 
 38.0493 C 	 2119261729758193 ns 
 38.2203 C 	 2119261745939896 ns 
 37.7851 C 	 2119261761994339 ns 
 37.5830 C 	 2119261778354961 ns 
 38.3136 C 	 2119261792530593 ns 
 37.7851 C 	 2119261808458016 ns 
 37.9561 C 	 2119261825002719 ns 
 40.5207 C 	 2119261837578811 ns 
 38.2669 C 	 2119261853340573 ns 
 37.6918 C 	 2119261866604925 ns 
 39.4327 C 	 2119261882118048 ns 
 38.8731 C 	 2119261897752820 ns 
 38.8887 C 	 2119261911581293 ns 
 37.6141 C 	 2119261924664235 ns 
 37.0390 C 	 2119261941267047 ns 
 37.3499 C 	 2119261957209950 ns 
 38.8576 C 	 2119261970105362 ns 
 38.6866 C 	 2119261982890974 ns 
 37.6297 C 	 2119261999662687 ns 
 37.7074 C 	 2119262012013539 ns 
 37.1323 C 	 2119262026222081 ns 
 38.3291 C 	 2119262038338303 ns 
 37.3033 C 	 2119262056022376 ns 
 37.7540 C 	 2119262068422758 ns 
 36.6971 C 	 2119262080462780 ns 
 38.3602 C 	 2119262095034412 ns 
 37.6141 C 	 2119262110789305 ns 
 39.0907 C 	 2119262123097557 ns 
 39.0441 C 	 2119262135268169 ns 
 37.6918 C 	 2119262149436331 ns 
 37.6918 C 	 2119262167197624 ns 
 38.8265 C 	 2119262179648346 ns 
 38.3602 C 	 2119262191492108 ns 
 38.0027 C 	 2119262208171360 ns 
 37.5053 C 	 2119262220366872 ns 
 38.5933 C 	 2119262232324754 ns 
 39.4638 C 	 2119262247894667 ns 
 38.6400 C 	 2119262260200219 ns 
 38.1426 C 	 2119262277128861 ns 
 37.8628 C 	 2119262289887504 ns 
 37.8784 C 	 2119262302274956 ns 
 38.0804 C 	 2119262316989268 ns 
 38.4690 C 	 2119262335635231 ns 
 37.6297 C 	 2119262348186723 ns 
 37.7851 C 	 2119262365502576 ns 
 39.5104 C 	 2119262377276858 ns 
 38.6089 C 	 2119262393673930 ns 
 37.7851 C 	 2119262405656862 ns 
 39.3239 C 	 2119262421673175 ns 
 36.9302 C 	 2119262434193617 ns 
 39.1995 C 	 2119262450491449 ns 
 37.9716 C 	 2119262462466161 ns 
 38.9819 C 	 2119262474755153 ns 
 38.2825 C 	 2119262491257166 ns 
 38.0183 C 	 2119262503229928 ns 
 38.7954 C 	 2119262519481650 ns 
 38.0960 C 	 2119262531743102 ns 
 38.3447 C 	 2119262543690754 ns 
 38.3757 C 	 2119262557056207 ns 
 38.6555 C 	 2119262573749559 ns 
 37.6763 C 	 2119262585600911 ns 
 38.0649 C 	 2119262601078904 ns 
 38.0338 C 	 2119262613295866 ns 
 37.8628 C 	 2119262625668048 ns 
 38.0027 C 	 2119262641362910 ns 
 37.7229 C 	 2119262653260762 ns 
 37.3188 C 	 2119262669043255 ns 
 38.0027 C 	 2119262681322767 ns 
 38.0649 C 	 2119262696980189 ns 
 37.5986 C 	 2119262709696891 ns 
 39.8523 C 	 2119262723871293 ns 
 37.2566 C 	 2119262735515405 ns 
 38.0804 C 	 2119262754004618 ns 
 36.4484 C 	 2119262767151730 ns 
 38.0027 C 	 2119262778892892 ns 
 38.0649 C 	 2119262794999805 ns 
 37.9561 C 	 2119262807185387 ns 
 39.7435 C 	 2119262823562869 ns 
 38.6555 C 	 2119262835872681 ns 
 37.8628 C 	 2119262847939883 ns 
 37.6141 C 	 2119262863696606 ns 
 38.6244 C 	 2119262878053648 ns 
 38.8731 C 	 2119262894019591 ns 
