app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2091870420756811, ref_stop_time: 2091870420939361, actual_exe_time: 182550, task_app_start_time:2091870396571647, task_sched_time:2091870420751561
app_id: 5, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2091870420821671, ref_stop_time: 2091870420937801, actual_exe_time: 116130, task_app_start_time:2091870396948837, task_sched_time:2091870420795841
app_id: 7, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2091870421270021, ref_stop_time: 2091870421461751, actual_exe_time: 191730, task_app_start_time:2091870400206568, task_sched_time:2091870420650581
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2091870421715911, ref_stop_time: 2091870421862551, actual_exe_time: 146640, task_app_start_time:2091870392717517, task_sched_time:2091870420705241
app_id: 5, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2091870423596282, ref_stop_time: 2091870424191662, actual_exe_time: 595380, task_app_start_time:2091870396948837, task_sched_time:2091870423583742
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2091870423817922, ref_stop_time: 2091870423918992, actual_exe_time: 101070, task_app_start_time:2091870392717517, task_sched_time:2091870423814292
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2091870423981422, ref_stop_time: 2091870424717892, actual_exe_time: 736470, task_app_start_time:2091870396316857, task_sched_time:2091870423977582
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2091870424699112, ref_stop_time: 2091870430173483, actual_exe_time: 5474371, task_app_start_time:2091870396755727, task_sched_time:2091870424694462
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2091870428541722, ref_stop_time: 2091870429979533, actual_exe_time: 1437811, task_app_start_time:2091870396571647, task_sched_time:2091870428083532
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2091870430028403, ref_stop_time: 2091870430336293, actual_exe_time: 307890, task_app_start_time:2091870395269737, task_sched_time:2091870429873873
app_id: 7, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2091870430328763, ref_stop_time: 2091870430419603, actual_exe_time: 90840, task_app_start_time:2091870400206568, task_sched_time:2091870430324173
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2091870431262723, ref_stop_time: 2091870434035953, actual_exe_time: 2773230, task_app_start_time:2091870396316857, task_sched_time:2091870431244063
app_id: 6, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2091870431555043, ref_stop_time: 2091870434595183, actual_exe_time: 3040140, task_app_start_time:2091870399952288, task_sched_time:2091870431531523
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 2091870440160274, ref_stop_time: 2091870440342764, actual_exe_time: 182490, task_app_start_time:2091870392717517, task_sched_time:2091870440154784
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2091870440459284, ref_stop_time: 2091870441075394, actual_exe_time: 616110, task_app_start_time:2091870395269737, task_sched_time:2091870440452174
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2091870440659114, ref_stop_time: 2091870441457114, actual_exe_time: 798000, task_app_start_time:2091870396755727, task_sched_time:2091870440617744
app_id: 9, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2091870440867674, ref_stop_time: 2091870441717905, actual_exe_time: 850231, task_app_start_time:2091870400613338, task_sched_time:2091870440843254
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 2091870441373594, ref_stop_time: 2091870441494164, actual_exe_time: 120570, task_app_start_time:2091870396571647, task_sched_time:2091870441285784
app_id: 7, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip2, ref_start_time: 2091870444097265, ref_stop_time: 2091870445134545, actual_exe_time: 1037280, task_app_start_time:2091870400206568, task_sched_time:2091870444093155
