 40.8315 C 	 2097541440271043 ns 
 40.8626 C 	 2097541454380105 ns 
 41.3134 C 	 2097541468375407 ns 
 40.8937 C 	 2097541484078490 ns 
 41.0336 C 	 2097541495683511 ns 
 40.6139 C 	 2097541511013754 ns 
 42.0439 C 	 2097541524308766 ns 
 39.5415 C 	 2097541540458219 ns 
 42.4014 C 	 2097541552554491 ns 
 41.6242 C 	 2097541569103663 ns 
 41.5776 C 	 2097541583367346 ns 
 41.3134 C 	 2097541594733207 ns 
 41.3600 C 	 2097541610738330 ns 
 41.7797 C 	 2097541622665522 ns 
 41.5310 C 	 2097541638593184 ns 
 41.4377 C 	 2097541654138497 ns 
 41.0181 C 	 2097541666764089 ns 
 41.5621 C 	 2097541680266341 ns 
 40.3652 C 	 2097541692635103 ns 
 42.7433 C 	 2097541708096506 ns 
 41.2823 C 	 2097541721370188 ns 
 40.9403 C 	 2097541733097220 ns 
 41.9040 C 	 2097541748493972 ns 
 40.8160 C 	 2097541764328635 ns 
 41.1269 C 	 2097541776180377 ns 
 40.5829 C 	 2097541791730069 ns 
 41.2823 C 	 2097541804915071 ns 
 40.9559 C 	 2097541820193834 ns 
 41.1890 C 	 2097541837757637 ns 
 40.8005 C 	 2097541852356179 ns 
 41.3911 C 	 2097541864055911 ns 
 40.9870 C 	 2097541880165133 ns 
 42.0439 C 	 2097541893160085 ns 
 41.0491 C 	 2097541908491438 ns 
 41.4688 C 	 2097541920290050 ns 
 39.7746 C 	 2097541936182522 ns 
 40.7072 C 	 2097541948300034 ns 
 41.0025 C 	 2097541960112866 ns 
 41.2357 C 	 2097541975764619 ns 
 41.9351 C 	 2097541987256631 ns 
 40.3963 C 	 2097542002841063 ns 
 41.0647 C 	 2097542014654795 ns 
 40.9559 C 	 2097542030207008 ns 
 40.7227 C 	 2097542042136929 ns 
 40.8160 C 	 2097542053993681 ns 
 42.4480 C 	 2097542069276014 ns 
 41.2046 C 	 2097542081179236 ns 
 40.9093 C 	 2097542094338888 ns 
 39.5104 C 	 2097542109502990 ns 
 41.7175 C 	 2097542121449772 ns 
 41.4377 C 	 2097542133155864 ns 
 41.5154 C 	 2097542148549707 ns 
 40.9870 C 	 2097542160338268 ns 
 40.6606 C 	 2097542173263561 ns 
 41.7486 C 	 2097542189040233 ns 
 42.0128 C 	 2097542200365985 ns 
 41.2046 C 	 2097542212217517 ns 
 41.4222 C 	 2097542227736909 ns 
 40.8315 C 	 2097542239635241 ns 
 40.8315 C 	 2097542255323084 ns 
 40.3808 C 	 2097542266783056 ns 
 41.9506 C 	 2097542278342177 ns 
 41.6864 C 	 2097542291890390 ns 
 41.7952 C 	 2097542307316632 ns 
 40.8005 C 	 2097542319093764 ns 
 41.7330 C 	 2097542330899726 ns 
 41.4377 C 	 2097542346026148 ns 
 40.6139 C 	 2097542358306650 ns 
 40.9870 C 	 2097542373218903 ns 
 40.5984 C 	 2097542384613535 ns 
 40.4119 C 	 2097542400182127 ns 
 41.2978 C 	 2097542412089429 ns 
 42.5413 C 	 2097542423683831 ns 
 41.5931 C 	 2097542439288843 ns 
 41.1424 C 	 2097542451381095 ns 
 41.1890 C 	 2097542466872318 ns 
 40.3186 C 	 2097542478451330 ns 
 42.4325 C 	 2097542494300632 ns 
 41.0491 C 	 2097542506038014 ns 
 40.6139 C 	 2097542517399796 ns 
 41.4688 C 	 2097542531113188 ns 
 41.8263 C 	 2097542546960511 ns 
 40.9870 C 	 2097542558563163 ns 
 41.5154 C 	 2097542574487615 ns 
 41.4999 C 	 2097542586343287 ns 
 41.2201 C 	 2097542597458169 ns 
 42.4169 C 	 2097542613039871 ns 
 40.2720 C 	 2097542625042483 ns 
 41.0802 C 	 2097542637923045 ns 
 40.5673 C 	 2097542651476057 ns 
 41.6709 C 	 2097542667064420 ns 
 40.9559 C 	 2097542681643072 ns 
 42.2770 C 	 2097542697128175 ns 
 41.1579 C 	 2097542709154847 ns 
 41.5310 C 	 2097542722311919 ns 
 41.2978 C 	 2097542735835831 ns 
 40.3652 C 	 2097542753808174 ns 
 42.4480 C 	 2097542765970386 ns 
 40.7694 C 	 2097542777069788 ns 
 41.2978 C 	 2097542790013800 ns 
 41.0025 C 	 2097542805577742 ns 
 41.4533 C 	 2097542819176744 ns 
 39.7591 C 	 2097542834502097 ns 
 40.9559 C 	 2097542855586220 ns 
 42.1993 C 	 2097542872145293 ns 
 42.2304 C 	 2097542887900186 ns 
 41.2046 C 	 2097542899977887 ns 
 40.5518 C 	 2097542911328899 ns 
 40.6450 C 	 2097542926383772 ns 
 41.0025 C 	 2097542937943524 ns 
 41.7797 C 	 2097542955470366 ns 
 41.2357 C 	 2097542967721648 ns 
 40.0855 C 	 2097542983463521 ns 
 41.9196 C 	 2097542994672843 ns 
 41.6864 C 	 2097543008426885 ns 
 40.6139 C 	 2097543022624237 ns 
 41.0025 C 	 2097543034267449 ns 
 42.8366 C 	 2097543045688091 ns 
 42.0594 C 	 2097543061677704 ns 
 43.3340 C 	 2097543078076726 ns 
 41.7019 C 	 2097543089685168 ns 
 40.1476 C 	 2097543103694150 ns 
 40.6450 C 	 2097543118742093 ns 
 42.0439 C 	 2097543134847505 ns 
 40.5051 C 	 2097543148119117 ns 
 42.3081 C 	 2097543161681100 ns 
 41.1269 C 	 2097543179986173 ns 
 41.1269 C 	 2097543191757094 ns 
 41.4999 C 	 2097543207023167 ns 
 40.2098 C 	 2097543219056559 ns 
 41.0802 C 	 2097543234022121 ns 
 42.3858 C 	 2097543250374584 ns 
 41.8574 C 	 2097543265717726 ns 
 42.4325 C 	 2097543278422068 ns 
 42.0905 C 	 2097543290116910 ns 
 42.0284 C 	 2097543305452523 ns 
 41.3755 C 	 2097543319049545 ns 
 41.2512 C 	 2097543331294917 ns 
 41.1424 C 	 2097543345795509 ns 
 40.7694 C 	 2097543357709291 ns 
 42.4480 C 	 2097543371201643 ns 
 40.8937 C 	 2097543386399106 ns 
 42.1372 C 	 2097543400303448 ns 
 41.9662 C 	 2097543416082491 ns 
 39.6814 C 	 2097543427725792 ns 
 41.0181 C 	 2097543444122355 ns 
 41.2823 C 	 2097543460046448 ns 
 41.0491 C 	 2097543477462860 ns 
 40.2720 C 	 2097543493825853 ns 
 40.8626 C 	 2097543505583815 ns 
 40.7538 C 	 2097543523033738 ns 
 41.2978 C 	 2097543536391030 ns 
 41.7330 C 	 2097543550556072 ns 
 42.1216 C 	 2097543564032404 ns 
 40.6917 C 	 2097543580213177 ns 
 41.5310 C 	 2097543595533789 ns 
 42.1216 C 	 2097543611916942 ns 
 41.1735 C 	 2097543628711065 ns 
 41.0181 C 	 2097543642412397 ns 
 42.0128 C 	 2097543654973189 ns 
 41.3755 C 	 2097543668733831 ns 
 41.2046 C 	 2097543681894263 ns 
 41.4843 C 	 2097543694320895 ns 
 41.5931 C 	 2097543708156748 ns 
 41.3755 C 	 2097543720897300 ns 
