 42.1993 C 	 2097541440219713 ns 
 41.7952 C 	 2097541454335675 ns 
 40.2254 C 	 2097541468332417 ns 
 42.4014 C 	 2097541484035140 ns 
 41.1579 C 	 2097541495639321 ns 
 41.7641 C 	 2097541510970884 ns 
 41.5465 C 	 2097541524264096 ns 
 42.6345 C 	 2097541540415469 ns 
 42.5257 C 	 2097541552509761 ns 
 41.4377 C 	 2097541569059653 ns 
 42.1682 C 	 2097541583324566 ns 
 41.3755 C 	 2097541594689077 ns 
 42.2304 C 	 2097541610694650 ns 
 41.7797 C 	 2097541622621392 ns 
 42.4636 C 	 2097541638549384 ns 
 40.2098 C 	 2097541654094367 ns 
 42.2304 C 	 2097541666721069 ns 
 41.0647 C 	 2097541680220351 ns 
 42.3081 C 	 2097541692589563 ns 
 42.8988 C 	 2097541708052976 ns 
 41.5621 C 	 2097541721326298 ns 
 41.4999 C 	 2097541733053900 ns 
 41.9040 C 	 2097541748450772 ns 
 42.0594 C 	 2097541764285285 ns 
 41.4066 C 	 2097541776137687 ns 
 41.9506 C 	 2097541791686839 ns 
 41.1269 C 	 2097541804871151 ns 
 41.3600 C 	 2097541820150154 ns 
 41.6864 C 	 2097541837713807 ns 
 42.5413 C 	 2097541852312439 ns 
 41.4222 C 	 2097541864013011 ns 
 41.6398 C 	 2097541880120853 ns 
 41.2357 C 	 2097541893116285 ns 
 43.2873 C 	 2097541908448268 ns 
 41.9351 C 	 2097541920245860 ns 
 40.3342 C 	 2097541936139682 ns 
 40.9870 C 	 2097541948257044 ns 
 42.4014 C 	 2097541960069036 ns 
 42.1061 C 	 2097541975720939 ns 
 42.1527 C 	 2097541987211511 ns 
 40.1787 C 	 2097542002797293 ns 
 41.6242 C 	 2097542014611655 ns 
 40.9870 C 	 2097542030162908 ns 
 42.5724 C 	 2097542042093879 ns 
 42.5257 C 	 2097542053950361 ns 
 42.8832 C 	 2097542069197204 ns 
 41.6398 C 	 2097542081136666 ns 
 42.7122 C 	 2097542094296108 ns 
 42.8210 C 	 2097542109461050 ns 
 41.6242 C 	 2097542121405822 ns 
 42.6501 C 	 2097542133112094 ns 
 41.9662 C 	 2097542148506327 ns 
 41.8263 C 	 2097542160295338 ns 
 41.5310 C 	 2097542173202661 ns 
 42.5879 C 	 2097542188996913 ns 
 41.5465 C 	 2097542200323595 ns 
 41.0181 C 	 2097542212174557 ns 
 41.7641 C 	 2097542227693409 ns 
 41.3289 C 	 2097542239592311 ns 
 41.3445 C 	 2097542255279554 ns 
 41.0491 C 	 2097542266738566 ns 
 40.9870 C 	 2097542278299127 ns 
 42.0594 C 	 2097542291848150 ns 
 41.4533 C 	 2097542307272952 ns 
 42.9609 C 	 2097542319050114 ns 
 41.2046 C 	 2097542330856256 ns 
 41.5465 C 	 2097542345982168 ns 
 41.5310 C 	 2097542358263600 ns 
 41.5154 C 	 2097542373175883 ns 
 41.4533 C 	 2097542384569225 ns 
 41.7330 C 	 2097542400138567 ns 
 42.4480 C 	 2097542412046469 ns 
 42.6034 C 	 2097542423640931 ns 
 41.1579 C 	 2097542439246033 ns 
 41.4843 C 	 2097542451337145 ns 
 41.7486 C 	 2097542466828548 ns 
 41.2978 C 	 2097542478408040 ns 
 41.3445 C 	 2097542494257942 ns 
 40.5673 C 	 2097542505992864 ns 
 41.3755 C 	 2097542517356686 ns 
 40.9403 C 	 2097542531069418 ns 
 41.2978 C 	 2097542546916321 ns 
 42.2304 C 	 2097542558519243 ns 
 41.9196 C 	 2097542574444205 ns 
 40.9714 C 	 2097542586299637 ns 
 42.6190 C 	 2097542597413469 ns 
 41.7330 C 	 2097542612997811 ns 
 41.9662 C 	 2097542624998473 ns 
 41.1113 C 	 2097542637879605 ns 
 41.6242 C 	 2097542651432467 ns 
 42.1061 C 	 2097542667020650 ns 
 41.4222 C 	 2097542681598522 ns 
 41.0647 C 	 2097542697082965 ns 
 41.3755 C 	 2097542709110027 ns 
 42.5257 C 	 2097542722260769 ns 
 42.1372 C 	 2097542735792001 ns 
 42.1993 C 	 2097542753764824 ns 
 41.7019 C 	 2097542765927336 ns 
 40.9248 C 	 2097542777023108 ns 
 41.3600 C 	 2097542789969040 ns 
 41.5310 C 	 2097542805534632 ns 
 42.3237 C 	 2097542819132824 ns 
 41.5465 C 	 2097542834458507 ns 
 41.4222 C 	 2097542855542870 ns 
 42.2304 C 	 2097542872102363 ns 
 40.8315 C 	 2097542887855426 ns 
 41.7952 C 	 2097542899933757 ns 
 41.0336 C 	 2097542911285189 ns 
 39.9922 C 	 2097542926339342 ns 
 41.6864 C 	 2097542937899244 ns 
 43.0231 C 	 2097542955426086 ns 
 42.5879 C 	 2097542967677638 ns 
 42.4014 C 	 2097542983421011 ns 
 41.4533 C 	 2097542994629253 ns 
 42.5568 C 	 2097543008383505 ns 
 41.8574 C 	 2097543022580287 ns 
 42.3703 C 	 2097543034223829 ns 
 41.1579 C 	 2097543045644471 ns 
 43.3961 C 	 2097543061635194 ns 
 42.2770 C 	 2097543078032926 ns 
 41.4533 C 	 2097543089642418 ns 
 41.4377 C 	 2097543103650890 ns 
 41.1735 C 	 2097543118698473 ns 
 41.2357 C 	 2097543134804785 ns 
 40.9248 C 	 2097543148074537 ns 
 40.4274 C 	 2097543161636640 ns 
 42.2460 C 	 2097543179942403 ns 
 41.1890 C 	 2097543191713864 ns 
