 42.6501 C 	 2088396808934974 ns 
 40.9870 C 	 2088396822295536 ns 
 42.8521 C 	 2088396838581789 ns 
 40.4740 C 	 2088396854462471 ns 
 41.6709 C 	 2088396870540524 ns 
 41.9817 C 	 2088396891633707 ns 
 42.2460 C 	 2088396907345790 ns 
 42.0128 C 	 2088396922583182 ns 
 43.5360 C 	 2088396939051925 ns 
 41.5621 C 	 2088396954411687 ns 
 42.4636 C 	 2088396969928230 ns 
 43.4894 C 	 2088396981294122 ns 
 42.1682 C 	 2088396995763964 ns 
 41.6087 C 	 2088397011703327 ns 
 41.8885 C 	 2088397027820949 ns 
 42.8521 C 	 2088397043030292 ns 
 41.6242 C 	 2088397054737524 ns 
 42.0750 C 	 2088397070385466 ns 
 41.6242 C 	 2088397085584249 ns 
 41.0025 C 	 2088397101422391 ns 
 41.8574 C 	 2088397117304394 ns 
 41.7952 C 	 2088397128859976 ns 
 42.5257 C 	 2088397144260478 ns 
 42.3081 C 	 2088397156187580 ns 
 42.8832 C 	 2088397171555682 ns 
 42.7433 C 	 2088397182991294 ns 
 42.0594 C 	 2088397198241887 ns 
 42.0750 C 	 2088397209902949 ns 
 43.1164 C 	 2088397221498820 ns 
 41.1579 C 	 2088397235579773 ns 
 41.6709 C 	 2088397251448005 ns 
 41.9973 C 	 2088397263116447 ns 
 41.7175 C 	 2088397274736499 ns 
 42.4480 C 	 2088397290081771 ns 
 43.2407 C 	 2088397301818313 ns 
 41.5931 C 	 2088397317548636 ns 
 41.9196 C 	 2088397328978608 ns 
 42.7278 C 	 2088397341034170 ns 
 42.3081 C 	 2088397356454982 ns 
 42.0128 C 	 2088397368086584 ns 
 41.5310 C 	 2088397379709306 ns 
 42.3392 C 	 2088397395521858 ns 
 42.7589 C 	 2088397407195280 ns 
 42.5879 C 	 2088397418651532 ns 
 42.6345 C 	 2088397431810614 ns 
 42.2460 C 	 2088397447577927 ns 
 41.2823 C 	 2088397459076269 ns 
 42.3858 C 	 2088397470761241 ns 
 41.3289 C 	 2088397488049883 ns 
 42.4480 C 	 2088397502561996 ns 
 41.8885 C 	 2088397519209478 ns 
 42.7589 C 	 2088397534967131 ns 
 43.3184 C 	 2088397550273523 ns 
 40.8160 C 	 2088397565525316 ns 
 41.4999 C 	 2088397576993598 ns 
 41.0025 C 	 2088397592369320 ns 
 42.0905 C 	 2088397604403462 ns 
 42.9454 C 	 2088397615690244 ns 
 41.3289 C 	 2088397631084506 ns 
 43.2873 C 	 2088397642774158 ns 
 40.8937 C 	 2088397658192481 ns 
 42.9920 C 	 2088397670250593 ns 
 42.3237 C 	 2088397681720405 ns 
 40.9559 C 	 2088397696983267 ns 
 42.2770 C 	 2088397708838729 ns 
 41.8574 C 	 2088397719970051 ns 
 42.2460 C 	 2088397735919163 ns 
 42.8521 C 	 2088397747780265 ns 
 43.3340 C 	 2088397763234018 ns 
 41.8418 C 	 2088397775095750 ns 
 42.3703 C 	 2088397786740821 ns 
 42.1061 C 	 2088397802532314 ns 
 41.9351 C 	 2088397814027566 ns 
 41.4066 C 	 2088397825594608 ns 
 41.7175 C 	 2088397839229400 ns 
 42.9454 C 	 2088397854689422 ns 
 42.4791 C 	 2088397866602754 ns 
 42.7900 C 	 2088397877921726 ns 
 41.8418 C 	 2088397891628368 ns 
 42.6190 C 	 2088397907333521 ns 
 42.4325 C 	 2088397918847553 ns 
 41.5776 C 	 2088397930502075 ns 
 41.9196 C 	 2088397943552347 ns 
 44.1111 C 	 2088397959161319 ns 
 41.7486 C 	 2088397970832071 ns 
 40.8782 C 	 2088397986161204 ns 
 41.2512 C 	 2088397997792295 ns 
 43.9246 C 	 2088398014194888 ns 
 42.8366 C 	 2088398025938240 ns 
 42.6345 C 	 2088398041142452 ns 
 43.1630 C 	 2088398057066845 ns 
 41.4533 C 	 2088398068639377 ns 
 41.3600 C 	 2088398084587019 ns 
 42.4636 C 	 2088398095963711 ns 
 42.9765 C 	 2088398108625183 ns 
 42.5724 C 	 2088398123650026 ns 
 42.0284 C 	 2088398139717008 ns 
 43.3184 C 	 2088398155370501 ns 
 40.8315 C 	 2088398167151113 ns 
 41.9973 C 	 2088398182874085 ns 
 42.2304 C 	 2088398195366717 ns 
 42.1061 C 	 2088398207339719 ns 
 42.8521 C 	 2088398221051641 ns 
 43.4739 C 	 2088398236969164 ns 
 41.9973 C 	 2088398249242766 ns 
 42.8988 C 	 2088398264840038 ns 
 41.6864 C 	 2088398276750790 ns 
 41.6553 C 	 2088398288274392 ns 
 42.0439 C 	 2088398301173254 ns 
 42.5724 C 	 2088398316743587 ns 
 42.3548 C 	 2088398328569469 ns 
 41.9196 C 	 2088398344913651 ns 
 41.2512 C 	 2088398356562893 ns 
 42.8677 C 	 2088398368760295 ns 
 42.2926 C 	 2088398383003187 ns 
 41.4999 C 	 2088398397343310 ns 
 41.9662 C 	 2088398414766082 ns 
 41.1424 C 	 2088398426902014 ns 
 42.9765 C 	 2088398441360187 ns 
 41.9973 C 	 2088398453987309 ns 
 42.2926 C 	 2088398467421731 ns 
 44.0489 C 	 2088398484580534 ns 
 41.1269 C 	 2088398498736366 ns 
 42.5879 C 	 2088398513968088 ns 
 43.4117 C 	 2088398529451181 ns 
 42.6656 C 	 2088398545762724 ns 
 42.1993 C 	 2088398561583526 ns 
 42.3392 C 	 2088398573740488 ns 
 43.1164 C 	 2088398589183681 ns 
 42.4014 C 	 2088398605259693 ns 
 42.2149 C 	 2088398617276855 ns 
 42.4480 C 	 2088398633029138 ns 
 42.0594 C 	 2088398649239460 ns 
 41.5154 C 	 2088398661317612 ns 
 41.7952 C 	 2088398672811004 ns 
 42.3858 C 	 2088398691170227 ns 
 41.6864 C 	 2088398706106569 ns 
 42.3392 C 	 2088398717793251 ns 
 42.3548 C 	 2088398734229654 ns 
 42.0439 C 	 2088398750926187 ns 
 41.6398 C 	 2088398762748918 ns 
 43.7536 C 	 2088398778923091 ns 
 41.5310 C 	 2088398794818894 ns 
 42.9765 C 	 2088398808909446 ns 
 42.0594 C 	 2088398825280749 ns 
 42.9765 C 	 2088398841272941 ns 
 41.3134 C 	 2088398853101673 ns 
 42.7589 C 	 2088398866940435 ns 
 41.3755 C 	 2088398881912598 ns 
 42.4946 C 	 2088398897767690 ns 
 41.8729 C 	 2088398913906883 ns 
 42.3392 C 	 2088398929136265 ns 
 42.1216 C 	 2088398943426918 ns 
 42.2304 C 	 2088398958082910 ns 
 40.8471 C 	 2088398973039832 ns 
 42.5413 C 	 2088398985071994 ns 
 42.6656 C 	 2088398997126146 ns 
 42.7744 C 	 2088399012671189 ns 
