app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2088800038061527, ref_stop_time: 2088800038250797, actual_exe_time: 189270, task_app_start_time:2088799957035444, task_sched_time:2088800038049917
app_id: 3, app_name: pulse_doppler_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2088800038551367, ref_stop_time: 2088800038647397, actual_exe_time: 96030, task_app_start_time:2088799964661895, task_sched_time:2088800038543237
app_id: 1, app_name: pulse_doppler_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2088800045154638, ref_stop_time: 2088800045538728, actual_exe_time: 384090, task_app_start_time:2088799957304274, task_sched_time:2088800045145848
app_id: 2, app_name: pulse_doppler_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2088800045344688, ref_stop_time: 2088800045433878, actual_exe_time: 89190, task_app_start_time:2088799960982154, task_sched_time:2088800045337638
app_id: 4, app_name: pulse_doppler_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2088800045567408, ref_stop_time: 2088800045609318, actual_exe_time: 41910, task_app_start_time:2088799968635606, task_sched_time:2088800045243558
app_id: 5, app_name: pulse_doppler_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2088800048845238, ref_stop_time: 2088800048876708, actual_exe_time: 31470, task_app_start_time:2088799976531457, task_sched_time:2088800048678108
app_id: 7, app_name: pulse_doppler_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2088800051263719, ref_stop_time: 2088800051290689, actual_exe_time: 26970, task_app_start_time:2088799983837028, task_sched_time:2088800051255829
app_id: 6, app_name: pulse_doppler_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2088800051378679, ref_stop_time: 2088800051404569, actual_exe_time: 25890, task_app_start_time:2088799980636747, task_sched_time:2088800051355909
app_id: 8, app_name: pulse_doppler_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2088800051813529, ref_stop_time: 2088800051991939, actual_exe_time: 178410, task_app_start_time:2088799984765798, task_sched_time:2088800051802669
app_id: 11, app_name: pulse_doppler_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2088800052134349, ref_stop_time: 2088800052163209, actual_exe_time: 28860, task_app_start_time:2088799996744920, task_sched_time:2088800052129279
app_id: 10, app_name: pulse_doppler_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2088800057509870, ref_stop_time: 2088800057546830, actual_exe_time: 36960, task_app_start_time:2088799992660779, task_sched_time:2088800057499880
app_id: 9, app_name: pulse_doppler_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2088800057663980, ref_stop_time: 2088800057692240, actual_exe_time: 28260, task_app_start_time:2088799988898509, task_sched_time:2088800057404360
app_id: 12, app_name: pulse_doppler_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2088800060607460, ref_stop_time: 2088800060635000, actual_exe_time: 27540, task_app_start_time:2088800001122251, task_sched_time:2088800060602600
app_id: 14, app_name: pulse_doppler_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2088800060724130, ref_stop_time: 2088800060759110, actual_exe_time: 34980, task_app_start_time:2088800010728792, task_sched_time:2088800060717650
app_id: 13, app_name: pulse_doppler_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2088800064621551, ref_stop_time: 2088800064653711, actual_exe_time: 32160, task_app_start_time:2088800008548152, task_sched_time:2088800064612521
app_id: 16, app_name: pulse_doppler_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2088800065078241, ref_stop_time: 2088800065106411, actual_exe_time: 28170, task_app_start_time:2088800020564654, task_sched_time:2088800065003901
app_id: 17, app_name: pulse_doppler_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2088800065250801, ref_stop_time: 2088800065275461, actual_exe_time: 24660, task_app_start_time:2088800024515325, task_sched_time:2088800065243661
app_id: 15, app_name: pulse_doppler_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2088800065916441, ref_stop_time: 2088800065941851, actual_exe_time: 25410, task_app_start_time:2088800017223043, task_sched_time:2088800065880951
