 42.7122 C 	 2088571151469851 ns 
 42.3858 C 	 2088571166314004 ns 
 42.7744 C 	 2088571179522826 ns 
 42.5413 C 	 2088571198531279 ns 
 42.8210 C 	 2088571214482372 ns 
 41.6553 C 	 2088571231981584 ns 
 41.5310 C 	 2088571247762757 ns 
 41.9817 C 	 2088571263790950 ns 
 43.2718 C 	 2088571275871771 ns 
 41.8263 C 	 2088571290408004 ns 
 42.1216 C 	 2088571301913066 ns 
 42.0284 C 	 2088571319379158 ns 
 43.3961 C 	 2088571336448921 ns 
 41.4066 C 	 2088571353277184 ns 
 42.7278 C 	 2088571367551006 ns 
 42.3548 C 	 2088571382911999 ns 
 42.8210 C 	 2088571394989311 ns 
 42.0905 C 	 2088571410692963 ns 
 43.0076 C 	 2088571426209026 ns 
 42.4014 C 	 2088571439916928 ns 
 42.0284 C 	 2088571451457270 ns 
 43.3495 C 	 2088571467287252 ns 
 42.0905 C 	 2088571483062515 ns 
 42.3703 C 	 2088571495261417 ns 
 42.1216 C 	 2088571511701509 ns 
 41.5931 C 	 2088571523371601 ns 
 42.3858 C 	 2088571538763554 ns 
 42.2615 C 	 2088571554774496 ns 
 43.2252 C 	 2088571568311699 ns 
 43.2563 C 	 2088571579901420 ns 
 41.4377 C 	 2088571598814953 ns 
 42.8055 C 	 2088571610287615 ns 
 42.1061 C 	 2088571626199018 ns 
 41.4066 C 	 2088571638404370 ns 
 42.4014 C 	 2088571654079522 ns 
 41.9351 C 	 2088571666171084 ns 
 42.6034 C 	 2088571678061586 ns 
 41.9817 C 	 2088571695537669 ns 
 40.4740 C 	 2088571707074141 ns 
 43.3495 C 	 2088571721016613 ns 
 41.9506 C 	 2088571734734175 ns 
 42.7433 C 	 2088571750419528 ns 
 43.5049 C 	 2088571762202390 ns 
 42.0439 C 	 2088571778089972 ns 
 42.9298 C 	 2088571789397604 ns 
 42.2304 C 	 2088571801339796 ns 
 41.8263 C 	 2088571817125859 ns 
 41.7797 C 	 2088571829038770 ns 
 42.0905 C 	 2088571840704002 ns 
 42.3548 C 	 2088571856127995 ns 
 42.0750 C 	 2088571867938967 ns 
 42.2615 C 	 2088571883835129 ns 
 41.9817 C 	 2088571895347751 ns 
 42.2149 C 	 2088571911036704 ns 
 41.3600 C 	 2088571923045136 ns 
 43.6915 C 	 2088571937968128 ns 
 42.4325 C 	 2088571949987720 ns 
 42.2926 C 	 2088571965779662 ns 
 42.7278 C 	 2088571977190134 ns 
 42.9920 C 	 2088571988718356 ns 
 42.1061 C 	 2088572001832498 ns 
 41.4066 C 	 2088572017134931 ns 
 42.7278 C 	 2088572029129653 ns 
 41.2978 C 	 2088572045120585 ns 
 42.8988 C 	 2088572056279747 ns 
 42.2460 C 	 2088572069784819 ns 
 41.7486 C 	 2088572085171732 ns 
 41.9040 C 	 2088572096676764 ns 
 42.3081 C 	 2088572112202216 ns 
 42.6812 C 	 2088572127447199 ns 
 42.4636 C 	 2088572143263111 ns 
 42.9143 C 	 2088572155233443 ns 
 40.8471 C 	 2088572167029325 ns 
 42.8521 C 	 2088572182391247 ns 
 42.3081 C 	 2088572194487819 ns 
 42.5724 C 	 2088572207705371 ns 
 43.6293 C 	 2088572223487894 ns 
 41.4533 C 	 2088572235402576 ns 
 43.3651 C 	 2088572247057128 ns 
 41.9506 C 	 2088572262308320 ns 
 41.8418 C 	 2088572274202392 ns 
 43.0231 C 	 2088572290038825 ns 
 40.8626 C 	 2088572302022867 ns 
 43.4583 C 	 2088572313887509 ns 
 41.6553 C 	 2088572329247961 ns 
 42.7589 C 	 2088572341242533 ns 
