 42.0750 C 	 2089827863122047 ns 
 42.3858 C 	 2089827875176889 ns 
 41.8418 C 	 2089827888820411 ns 
 41.3755 C 	 2089827904775074 ns 
 42.2304 C 	 2089827916734486 ns 
 42.2460 C 	 2089827931654538 ns 
 41.1579 C 	 2089827946007441 ns 
 41.8263 C 	 2089827966779654 ns 
 41.2357 C 	 2089827982571536 ns 
 40.2875 C 	 2089828000972429 ns 
 40.5518 C 	 2089828015990432 ns 
 43.2407 C 	 2089828032220344 ns 
 41.8418 C 	 2089828043619596 ns 
 41.5154 C 	 2089828061668049 ns 
 42.3548 C 	 2089828073728681 ns 
 41.4688 C 	 2089828086902523 ns 
 41.0336 C 	 2089828103700396 ns 
 41.0802 C 	 2089828120952859 ns 
 40.5207 C 	 2089828136709671 ns 
 42.5257 C 	 2089828151284994 ns 
 41.4066 C 	 2089828166891086 ns 
 41.8574 C 	 2089828182790789 ns 
 40.7227 C 	 2089828199605071 ns 
 40.9248 C 	 2089828215607914 ns 
 41.1735 C 	 2089828232820717 ns 
 41.0958 C 	 2089828245118109 ns 
 41.6864 C 	 2089828261020361 ns 
 42.0128 C 	 2089828273116693 ns 
 40.9403 C 	 2089828290760626 ns 
 40.8782 C 	 2089828302274268 ns 
 41.5310 C 	 2089828318638731 ns 
 40.7694 C 	 2089828331667373 ns 
 43.0076 C 	 2089828342915484 ns 
 41.4066 C 	 2089828358912927 ns 
 41.8418 C 	 2089828370826499 ns 
 41.7330 C 	 2089828382172471 ns 
 41.7641 C 	 2089828399038383 ns 
 40.9093 C 	 2089828411324495 ns 
 41.3755 C 	 2089828426367368 ns 
 41.1269 C 	 2089828437800310 ns 
 41.4688 C 	 2089828453606232 ns 
 42.1216 C 	 2089828465514704 ns 
 40.3808 C 	 2089828476896436 ns 
 43.0386 C 	 2089828493639199 ns 
 41.2512 C 	 2089828505320781 ns 
 41.0491 C 	 2089828521169723 ns 
 41.0958 C 	 2089828533377655 ns 
 41.4377 C 	 2089828545272057 ns 
 41.3445 C 	 2089828560611479 ns 
 42.0750 C 	 2089828572156471 ns 
 41.1579 C 	 2089828585285523 ns 
 43.3651 C 	 2089828600548656 ns 
 40.6917 C 	 2089828612521388 ns 
 41.8729 C 	 2089828624304280 ns 
 41.3289 C 	 2089828639838462 ns 
 43.5516 C 	 2089828651511344 ns 
 41.8108 C 	 2089828664553876 ns 
 42.0128 C 	 2089828680117519 ns 
 41.2046 C 	 2089828691870891 ns 
 42.3081 C 	 2089828707583003 ns 
 41.1579 C 	 2089828719653625 ns 
 41.5465 C 	 2089828731019727 ns 
 40.4740 C 	 2089828747826330 ns 
 42.2615 C 	 2089828759295421 ns 
 42.7744 C 	 2089828771340453 ns 
 41.4688 C 	 2089828788072206 ns 
 41.8729 C 	 2089828799950318 ns 
 39.9145 C 	 2089828811309070 ns 
 39.8834 C 	 2089828825668872 ns 
 42.4480 C 	 2089828841754965 ns 
 41.1113 C 	 2089828853457997 ns 
 40.1166 C 	 2089828870857279 ns 
 40.3652 C 	 2089828886614242 ns 
 40.8782 C 	 2089828898704184 ns 
 41.7330 C 	 2089828914499156 ns 
 40.8937 C 	 2089828926021618 ns 
 41.2201 C 	 2089828937867540 ns 
 41.0647 C 	 2089828953915263 ns 
 40.6606 C 	 2089828965479995 ns 
 41.8885 C 	 2089828981860147 ns 
 41.0958 C 	 2089828993838099 ns 
 42.4946 C 	 2089829005167601 ns 
 41.8418 C 	 2089829017976223 ns 
 42.2460 C 	 2089829033883216 ns 
 42.2615 C 	 2089829045354977 ns 
 40.8315 C 	 2089829062407430 ns 
 40.8005 C 	 2089829074348362 ns 
 40.3342 C 	 2089829085617654 ns 
 41.6398 C 	 2089829100608626 ns 
 41.0336 C 	 2089829112574758 ns 
 39.7746 C 	 2089829128179351 ns 
 42.5568 C 	 2089829140238663 ns 
 41.4377 C 	 2089829153479525 ns 
 41.7486 C 	 2089829167432857 ns 
 41.2046 C 	 2089829182731060 ns 
 41.3600 C 	 2089829199100652 ns 
 41.1269 C 	 2089829210720074 ns 
 39.9456 C 	 2089829226514747 ns 
 40.3186 C 	 2089829238824169 ns 
 41.4222 C 	 2089829250630850 ns 
 42.1993 C 	 2089829266399153 ns 
 40.6450 C 	 2089829278311945 ns 
 41.5621 C 	 2089829294569368 ns 
 41.8418 C 	 2089829306304949 ns 
 40.6295 C 	 2089829318351151 ns 
 41.7019 C 	 2089829330790803 ns 
 39.6192 C 	 2089829347185866 ns 
 40.6917 C 	 2089829358549508 ns 
 41.4688 C 	 2089829370265410 ns 
 41.7019 C 	 2089829386375262 ns 
 41.3600 C 	 2089829397893764 ns 
 41.1113 C 	 2089829411257716 ns 
 40.9093 C 	 2089829427087759 ns 
 41.6398 C 	 2089829438440991 ns 
 41.3600 C 	 2089829450331073 ns 
 42.5102 C 	 2089829465974815 ns 
 41.0025 C 	 2089829477638547 ns 
 41.3600 C 	 2089829493272630 ns 
 42.3081 C 	 2089829505457582 ns 
 41.4377 C 	 2089829516641163 ns 
 41.6709 C 	 2089829533266866 ns 
 41.5621 C 	 2089829545156738 ns 
 41.8729 C 	 2089829557006920 ns 
 40.9559 C 	 2089829572679072 ns 
 40.9093 C 	 2089829584791574 ns 
