 40.9714 C 	 2090102698995277 ns 
 40.7072 C 	 2090102713320670 ns 
 39.9767 C 	 2090102728439922 ns 
 42.9298 C 	 2090102742453284 ns 
 39.6969 C 	 2090102763713298 ns 
 41.3755 C 	 2090102781515301 ns 
 41.4843 C 	 2090102797485233 ns 
 40.9248 C 	 2090102811463885 ns 
 40.9714 C 	 2090102826828448 ns 
 41.8263 C 	 2090102838206460 ns 
 41.3600 C 	 2090102854531592 ns 
 40.8937 C 	 2090102868816665 ns 
 40.7072 C 	 2090102882203747 ns 
 41.7797 C 	 2090102897616789 ns 
 40.4896 C 	 2090102913742722 ns 
 41.9351 C 	 2090102925555014 ns 
 40.8160 C 	 2090102940981166 ns 
 40.5984 C 	 2090102953676448 ns 
 41.4999 C 	 2090102965650560 ns 
 40.7538 C 	 2090102981036093 ns 
 40.9559 C 	 2090102992961365 ns 
 41.8263 C 	 2090103008643807 ns 
 41.2978 C 	 2090103020082689 ns 
 40.0078 C 	 2090103031994551 ns 
 41.8418 C 	 2090103047394813 ns 
 43.0076 C 	 2090103058909505 ns 
 41.1424 C 	 2090103074172098 ns 
 41.0647 C 	 2090103085766679 ns 
 40.5984 C 	 2090103101636562 ns 
 41.6864 C 	 2090103113474804 ns 
 40.9714 C 	 2090103124854496 ns 
 40.3808 C 	 2090103140797458 ns 
 40.1943 C 	 2090103152612960 ns 
 40.8005 C 	 2090103168192383 ns 
 40.9093 C 	 2090103179908405 ns 
 42.3858 C 	 2090103191538836 ns 
 40.3808 C 	 2090103207016049 ns 
 41.6087 C 	 2090103218786821 ns 
 41.4688 C 	 2090103230380953 ns 
 41.1113 C 	 2090103243084365 ns 
 41.3445 C 	 2090103256996267 ns 
 41.1424 C 	 2090103272347360 ns 
 40.1010 C 	 2090103283871861 ns 
 41.5776 C 	 2090103299061404 ns 
 42.7900 C 	 2090103310755526 ns 
 42.0439 C 	 2090103322310358 ns 
 39.2928 C 	 2090103337635500 ns 
 41.4377 C 	 2090103348998062 ns 
 42.1061 C 	 2090103364738374 ns 
 40.8160 C 	 2090103376295576 ns 
 39.5881 C 	 2090103387915808 ns 
 40.1632 C 	 2090103403712191 ns 
 42.3237 C 	 2090103415207922 ns 
 41.1269 C 	 2090103431113355 ns 
 41.4843 C 	 2090103442886317 ns 
 41.0958 C 	 2090103454079949 ns 
 42.1216 C 	 2090103467309171 ns 
 41.2667 C 	 2090103483490813 ns 
 40.7383 C 	 2090103494802765 ns 
 40.7694 C 	 2090103506373707 ns 
 41.5465 C 	 2090103521753480 ns 
 42.6190 C 	 2090103533355232 ns 
 41.5310 C 	 2090103549264084 ns 
 41.7797 C 	 2090103560664146 ns 
 40.9403 C 	 2090103572171248 ns 
 40.9714 C 	 2090103587868690 ns 
 41.1269 C 	 2090103599315312 ns 
 41.7330 C 	 2090103610910404 ns 
 42.4325 C 	 2090103628695037 ns 
 41.6087 C 	 2090103640544499 ns 
 40.1787 C 	 2090103651991151 ns 
 40.2564 C 	 2090103664435453 ns 
 41.2978 C 	 2090103679881285 ns 
 41.8263 C 	 2090103695392818 ns 
 41.7797 C 	 2090103711055580 ns 
 41.2357 C 	 2090103722922142 ns 
 41.3445 C 	 2090103739227745 ns 
 41.2667 C 	 2090103750840777 ns 
 41.6087 C 	 2090103762218788 ns 
 42.9920 C 	 2090103777958741 ns 
 41.1424 C 	 2090103789565773 ns 
 41.7486 C 	 2090103801053195 ns 
 41.3289 C 	 2090103815295997 ns 
 41.2667 C 	 2090103827019759 ns 
 40.9248 C 	 2090103843464381 ns 
 40.1166 C 	 2090103854945413 ns 
 40.4274 C 	 2090103866589645 ns 
 43.1008 C 	 2090103882004488 ns 
 41.5465 C 	 2090103893396599 ns 
 41.0025 C 	 2090103906953782 ns 
 41.4999 C 	 2090103923550594 ns 
 41.1579 C 	 2090103939107967 ns 
 39.9145 C 	 2090103951117509 ns 
 41.2978 C 	 2090103968087131 ns 
 41.7330 C 	 2090103979449243 ns 
 41.2512 C 	 2090103995303106 ns 
 41.8729 C 	 2090104010639138 ns 
 41.5931 C 	 2090104026172451 ns 
 41.3911 C 	 2090104037814103 ns 
 40.5207 C 	 2090104050936435 ns 
 41.7952 C 	 2090104066523627 ns 
 41.2978 C 	 2090104077952459 ns 
 40.3342 C 	 2090104089665811 ns 
 41.2978 C 	 2090104105041324 ns 
 41.3755 C 	 2090104116932935 ns 
 40.3497 C 	 2090104132151938 ns 
 40.7383 C 	 2090104144345770 ns 
 41.2512 C 	 2090104155671042 ns 
 42.5724 C 	 2090104171903834 ns 
 41.7486 C 	 2090104183259016 ns 
 42.1838 C 	 2090104199054469 ns 
 41.7330 C 	 2090104210749461 ns 
 40.9403 C 	 2090104222578282 ns 
 41.5465 C 	 2090104235324654 ns 
 40.5207 C 	 2090104251248687 ns 
 41.4688 C 	 2090104262749669 ns 
 40.3963 C 	 2090104274086881 ns 
 41.7330 C 	 2090104287591983 ns 
 41.2046 C 	 2090104302986605 ns 
 40.9714 C 	 2090104314353667 ns 
 41.6709 C 	 2090104330400070 ns 
 41.9973 C 	 2090104342083062 ns 
 42.8677 C 	 2090104353459063 ns 
 41.7486 C 	 2090104369321446 ns 
 40.7383 C 	 2090104380931028 ns 
 41.3600 C 	 2090104392300490 ns 
 41.1113 C 	 2090104407517962 ns 
 40.2875 C 	 2090104419088484 ns 
 42.2149 C 	 2090104434662147 ns 
 40.9403 C 	 2090104446341448 ns 
 39.7902 C 	 2090104461624591 ns 
 41.2978 C 	 2090104473751103 ns 
 40.3342 C 	 2090104485233995 ns 
 40.8937 C 	 2090104500630177 ns 
 41.0802 C 	 2090104512472619 ns 
 40.7849 C 	 2090104523942161 ns 
 39.5259 C 	 2090104539071793 ns 
 41.2201 C 	 2090104550987045 ns 
 42.5568 C 	 2090104566601718 ns 
 40.8315 C 	 2090104578303580 ns 
 41.2046 C 	 2090104593695562 ns 
 40.9403 C 	 2090104609332135 ns 
 42.0439 C 	 2090104621195667 ns 
 42.3548 C 	 2090104636140469 ns 
 41.0025 C 	 2090104647500751 ns 
 40.8471 C 	 2090104660075133 ns 
 42.2149 C 	 2090104675469395 ns 
 41.8574 C 	 2090104686996237 ns 
 43.1008 C 	 2090104702211640 ns 
 41.6242 C 	 2090104713811291 ns 
 40.8471 C 	 2090104729883194 ns 
 41.7797 C 	 2090104741524486 ns 
 41.1113 C 	 2090104752893408 ns 
 41.5310 C 	 2090104768863100 ns 
 41.4999 C 	 2090104780153842 ns 
 41.7175 C 	 2090104791651044 ns 
 41.8263 C 	 2090104807555097 ns 
 40.8626 C 	 2090104819123728 ns 
 41.2512 C 	 2090104830836810 ns 
 41.6398 C 	 2090104846062863 ns 
 41.5776 C 	 2090104857591895 ns 
 41.5931 C 	 2090104873445637 ns 
 41.8729 C 	 2090104885098389 ns 
 41.8729 C 	 2090104896567541 ns 
 40.8160 C 	 2090104912616793 ns 
 42.4791 C 	 2090104924542065 ns 
 41.5154 C 	 2090104935799867 ns 
 41.0958 C 	 2090104951492390 ns 
 40.8782 C 	 2090104962993612 ns 
 41.7175 C 	 2090104978168514 ns 
 41.1113 C 	 2090104989886696 ns 
 40.9714 C 	 2090105005282338 ns 
 39.6658 C 	 2090105016993770 ns 
 41.6553 C 	 2090105029100482 ns 
 41.3911 C 	 2090105044332715 ns 
 40.9870 C 	 2090105056340397 ns 
 41.2357 C 	 2090105067633538 ns 
 41.7486 C 	 2090105083417741 ns 
 41.9662 C 	 2090105095326963 ns 
 40.5673 C 	 2090105107249145 ns 
 39.4016 C 	 2090105123984407 ns 
 40.6606 C 	 2090105139580930 ns 
 41.6864 C 	 2090105155074222 ns 
 41.1579 C 	 2090105170747455 ns 
 41.2667 C 	 2090105182611527 ns 
 41.1424 C 	 2090105193991789 ns 
 40.4896 C 	 2090105207198691 ns 
 42.0905 C 	 2090105222587013 ns 
 41.1890 C 	 2090105234371915 ns 
 41.7797 C 	 2090105249920108 ns 
 41.3600 C 	 2090105261097990 ns 
 41.4377 C 	 2090105272583791 ns 
 40.3652 C 	 2090105288251834 ns 
 41.2357 C 	 2090105299871226 ns 
 42.2615 C 	 2090105311582088 ns 
 41.6242 C 	 2090105326680010 ns 
 40.7072 C 	 2090105338458612 ns 
 41.5154 C 	 2090105351912774 ns 
 41.8263 C 	 2090105367280607 ns 
 42.8677 C 	 2090105382876589 ns 
 41.9040 C 	 2090105400973582 ns 
 42.5102 C 	 2090105413194954 ns 
 42.4325 C 	 2090105424765446 ns 
 41.1890 C 	 2090105438278438 ns 
 40.3186 C 	 2090105456760121 ns 
 40.8160 C 	 2090105470320633 ns 
 40.2254 C 	 2090105483502095 ns 
 40.2875 C 	 2090105498960858 ns 
 41.1269 C 	 2090105510670940 ns 
 41.4999 C 	 2090105527015962 ns 
 39.8523 C 	 2090105541284775 ns 
 41.7797 C 	 2090105556870017 ns 
 40.9248 C 	 2090105568331519 ns 
 41.1269 C 	 2090105584127182 ns 
 42.7900 C 	 2090105600656164 ns 
 40.8782 C 	 2090105612331686 ns 
 41.2357 C 	 2090105624177758 ns 
 41.7175 C 	 2090105635716510 ns 
 42.4325 C 	 2090105651651912 ns 
 40.8005 C 	 2090105663344594 ns 
 41.0958 C 	 2090105676504066 ns 
 41.8574 C 	 2090105690457099 ns 
 41.4377 C 	 2090105706926681 ns 
 40.5051 C 	 2090105722462514 ns 
 40.4585 C 	 2090105738144266 ns 
 40.9093 C 	 2090105752399879 ns 
 42.0750 C 	 2090105768689461 ns 
 41.5621 C 	 2090105782306043 ns 
 42.2304 C 	 2090105797851656 ns 
 41.1890 C 	 2090105809426348 ns 
 41.8263 C 	 2090105824675800 ns 
 43.5982 C 	 2090105840683083 ns 
 40.9248 C 	 2090105852748425 ns 
 41.3911 C 	 2090105868682657 ns 
 41.7486 C 	 2090105880623169 ns 
 41.6709 C 	 2090105896452972 ns 
 40.1010 C 	 2090105908024004 ns 
 39.8834 C 	 2090105923805056 ns 
 41.0647 C 	 2090105935509888 ns 
 39.8212 C 	 2090105946920120 ns 
 42.2926 C 	 2090105962340392 ns 
 41.5310 C 	 2090105973850074 ns 
 42.1993 C 	 2090105989488687 ns 
 41.0491 C 	 2090106001392119 ns 
 40.9559 C 	 2090106017093041 ns 
 42.1216 C 	 2090106028968213 ns 
 41.2512 C 	 2090106040889315 ns 
 41.4222 C 	 2090106056528978 ns 
 41.2978 C 	 2090106070284460 ns 
 41.9817 C 	 2090106086103852 ns 
 42.4636 C 	 2090106101566155 ns 
 41.4066 C 	 2090106116957567 ns 
 41.7641 C 	 2090106133129490 ns 
 42.0284 C 	 2090106144457792 ns 
 41.8574 C 	 2090106160450464 ns 
 40.3652 C 	 2090106172348436 ns 
 41.8108 C 	 2090106187615079 ns 
 41.6553 C 	 2090106203700571 ns 
 41.4533 C 	 2090106217489803 ns 
 40.6606 C 	 2090106229015835 ns 
 42.2926 C 	 2090106245737658 ns 
 41.1269 C 	 2090106260402050 ns 
 40.7227 C 	 2090106272728602 ns 
 41.8263 C 	 2090106288467865 ns 
 40.4430 C 	 2090106299873357 ns 
 40.7849 C 	 2090106311261779 ns 
 42.1216 C 	 2090106327652641 ns 
 41.0647 C 	 2090106339441983 ns 
 40.1476 C 	 2090106350988925 ns 
 41.4688 C 	 2090106364615947 ns 
 42.4014 C 	 2090106380684010 ns 
 41.6553 C 	 2090106392211722 ns 
 42.0594 C 	 2090106403725333 ns 
 40.4119 C 	 2090106419214006 ns 
 40.4740 C 	 2090106431171468 ns 
 41.5931 C 	 2090106446911000 ns 
 42.6501 C 	 2090106458345532 ns 
 41.2357 C 	 2090106474356025 ns 
 41.5621 C 	 2090106486009797 ns 
 41.8729 C 	 2090106497619619 ns 
 41.3911 C 	 2090106511754991 ns 
 42.1216 C 	 2090106527232413 ns 
 40.8937 C 	 2090106539050105 ns 
 40.9870 C 	 2090106550581927 ns 
 40.1476 C 	 2090106563295389 ns 
 41.5465 C 	 2090106579745592 ns 
 40.6606 C 	 2090106591472624 ns 
 41.8729 C 	 2090106607296546 ns 
 42.0284 C 	 2090106619073618 ns 
 41.6553 C 	 2090106630455410 ns 
 41.7641 C 	 2090106645836562 ns 
 42.6190 C 	 2090106657679934 ns 
 40.7072 C 	 2090106673157087 ns 
 40.9248 C 	 2090106684935689 ns 
 41.6087 C 	 2090106700704561 ns 
 40.7383 C 	 2090106712492643 ns 
 41.3445 C 	 2090106724557925 ns 
 41.8729 C 	 2090106739855468 ns 
 41.1424 C 	 2090106751660859 ns 
 42.8832 C 	 2090106763073251 ns 
 40.2720 C 	 2090106778751134 ns 
 42.4325 C 	 2090106790477116 ns 
 41.4533 C 	 2090106805766618 ns 
 42.7433 C 	 2090106817717120 ns 
 40.7538 C 	 2090106829413102 ns 
 41.0025 C 	 2090106843251294 ns 
 41.2667 C 	 2090106859572407 ns 
 40.4119 C 	 2090106875367919 ns 
 41.3600 C 	 2090106887230671 ns 
 40.9093 C 	 2090106903544524 ns 
 40.7694 C 	 2090106915012776 ns 
 42.1372 C 	 2090106930935518 ns 
 42.4169 C 	 2090106942646470 ns 
 41.4066 C 	 2090106958112643 ns 
 41.9351 C 	 2090106970061825 ns 
 42.2460 C 	 2090106981888096 ns 
 41.1269 C 	 2090106997582929 ns 
 42.0284 C 	 2090107009329971 ns 
 42.2770 C 	 2090107024965553 ns 
 41.4066 C 	 2090107036667895 ns 
 43.0231 C 	 2090107048393037 ns 
 40.8626 C 	 2090107063419170 ns 
 41.9040 C 	 2090107075351762 ns 
 41.4222 C 	 2090107086775043 ns 
 43.0697 C 	 2090107103306846 ns 
 41.9196 C 	 2090107115335588 ns 
 40.9559 C 	 2090107126833090 ns 
 42.1838 C 	 2090107142639432 ns 
 41.1579 C 	 2090107154583544 ns 
 40.6450 C 	 2090107166066196 ns 
 41.5931 C 	 2090107179233228 ns 
 41.3445 C 	 2090107195372931 ns 
 39.7746 C 	 2090107206985843 ns 
 39.5259 C 	 2090107222730535 ns 
 41.5931 C 	 2090107234795397 ns 
 41.2201 C 	 2090107246007569 ns 
 40.6295 C 	 2090107262183242 ns 
 41.3755 C 	 2090107273591493 ns 
 40.9714 C 	 2090107285253995 ns 
 41.0802 C 	 2090107301019958 ns 
 40.4740 C 	 2090107312528890 ns 
 41.9351 C 	 2090107327981382 ns 
 40.7072 C 	 2090107339602034 ns 
 42.1838 C 	 2090107351483176 ns 
 41.6709 C 	 2090107364381198 ns 
 41.7330 C 	 2090107379044180 ns 
 41.0025 C 	 2090107395191053 ns 
 40.1166 C 	 2090107410199095 ns 
 41.2201 C 	 2090107426005318 ns 
 41.0336 C 	 2090107437550550 ns 
 41.3755 C 	 2090107449403402 ns 
 42.6345 C 	 2090107464876684 ns 
 40.0699 C 	 2090107476685916 ns 
 40.9714 C 	 2090107488402628 ns 
 42.1838 C 	 2090107503615000 ns 
 41.8108 C 	 2090107515303182 ns 
 42.6190 C 	 2090107531011515 ns 
 41.3445 C 	 2090107542829537 ns 
 41.1735 C 	 2090107554515199 ns 
 42.9298 C 	 2090107571181161 ns 
 41.0336 C 	 2090107583216833 ns 
 43.1164 C 	 2090107594969635 ns 
 41.8885 C 	 2090107610677548 ns 
 41.2357 C 	 2090107622507930 ns 
 41.1269 C 	 2090107633909281 ns 
 41.2512 C 	 2090107649744364 ns 
 41.9506 C 	 2090107661488706 ns 
 40.1787 C 	 2090107677171658 ns 
 41.1890 C 	 2090107688817990 ns 
 42.2615 C 	 2090107700462912 ns 
 42.0128 C 	 2090107716064355 ns 
 41.1113 C 	 2090107728029617 ns 
 41.9040 C 	 2090107739559308 ns 
 41.4843 C 	 2090107755105491 ns 
 41.1113 C 	 2090107766801203 ns 
 42.4636 C 	 2090107783238925 ns 
 41.5776 C 	 2090107795079897 ns 
 41.3755 C 	 2090107810854020 ns 
 41.6553 C 	 2090107826590102 ns 
 40.5673 C 	 2090107838473374 ns 
 40.1010 C 	 2090107854430377 ns 
 41.6553 C 	 2090107866074339 ns 
 41.9662 C 	 2090107881780511 ns 
 41.7330 C 	 2090107893364443 ns 
 40.9403 C 	 2090107908864426 ns 
 42.4791 C 	 2090107920388958 ns 
 40.5673 C 	 2090107931765169 ns 
 41.2201 C 	 2090107947366432 ns 
 40.5518 C 	 2090107959210824 ns 
 41.3755 C 	 2090107970732326 ns 
 39.8990 C 	 2090107987097598 ns 
 43.3806 C 	 2090107998868850 ns 
 42.2615 C 	 2090108010250822 ns 
 42.4636 C 	 2090108025783204 ns 
 40.8782 C 	 2090108037343016 ns 
 41.2357 C 	 2090108052938039 ns 
 40.7072 C 	 2090108065220611 ns 
 42.1838 C 	 2090108077188033 ns 
 42.3392 C 	 2090108092727975 ns 
 42.1838 C 	 2090108104668367 ns 
 42.2615 C 	 2090108117134689 ns 
 42.9143 C 	 2090108129600141 ns 
 41.6398 C 	 2090108143604683 ns 
 41.9351 C 	 2090108158539466 ns 
 40.8626 C 	 2090108171069238 ns 
 42.3237 C 	 2090108184433190 ns 
 40.2875 C 	 2090108198227462 ns 
 42.5724 C 	 2090108212764085 ns 
 40.8782 C 	 2090108225422047 ns 
 41.0181 C 	 2090108240489429 ns 
 41.7797 C 	 2090108255329291 ns 
 41.9817 C 	 2090108270866624 ns 
 42.3548 C 	 2090108284472136 ns 
 40.9870 C 	 2090108298299018 ns 
 42.6345 C 	 2090108311772441 ns 
 40.9403 C 	 2090108326487413 ns 
 41.6087 C 	 2090108340398655 ns 
 40.8160 C 	 2090108353708277 ns 
 42.9609 C 	 2090108369880800 ns 
 41.0181 C 	 2090108387364203 ns 
 41.5776 C 	 2090108407118066 ns 
 41.0647 C 	 2090108424236519 ns 
 41.2978 C 	 2090108442212132 ns 
 41.4533 C 	 2090108459503264 ns 
 41.9351 C 	 2090108474579917 ns 
 40.6917 C 	 2090108490591009 ns 
 41.3134 C 	 2090108506338462 ns 
 42.0284 C 	 2090108520626354 ns 
 40.3963 C 	 2090108535979877 ns 
 41.6398 C 	 2090108549906689 ns 
 41.4533 C 	 2090108564595411 ns 
 41.7175 C 	 2090108578541363 ns 
 42.1838 C 	 2090108591972726 ns 
 40.6917 C 	 2090108605707418 ns 
 41.9973 C 	 2090108619678660 ns 
 41.8574 C 	 2090108633880452 ns 
 41.1113 C 	 2090108647713575 ns 
 40.5362 C 	 2090108663607487 ns 
 40.3652 C 	 2090108678674690 ns 
 40.9093 C 	 2090108692372812 ns 
 41.0647 C 	 2090108707209734 ns 
 42.3081 C 	 2090108722388357 ns 
 39.9767 C 	 2090108737485139 ns 
 41.4843 C 	 2090108751738621 ns 
 42.8210 C 	 2090108765990244 ns 
 41.2823 C 	 2090108780171516 ns 
 41.0181 C 	 2090108793537748 ns 
 40.9093 C 	 2090108806862520 ns 
 41.0025 C 	 2090108822223363 ns 
 41.1890 C 	 2090108835494495 ns 
 40.7072 C 	 2090108849309977 ns 
 40.5829 C 	 2090108863089579 ns 
 41.4999 C 	 2090108877880662 ns 
 43.1941 C 	 2090108892302504 ns 
 40.4585 C 	 2090108907228136 ns 
 40.9248 C 	 2090108924776159 ns 
 41.8885 C 	 2090108939422912 ns 
 40.7383 C 	 2090108954380584 ns 
 41.6709 C 	 2090108969005886 ns 
 40.5984 C 	 2090108983708889 ns 
 41.5776 C 	 2090108998669921 ns 
 42.4480 C 	 2090109013453863 ns 
 40.5207 C 	 2090109026863206 ns 
 41.0802 C 	 2090109039652268 ns 
 40.5984 C 	 2090109054236650 ns 
 41.4377 C 	 2090109067695192 ns 
 40.7227 C 	 2090109081552434 ns 
 41.9040 C 	 2090109095323637 ns 
 42.3703 C 	 2090109108919549 ns 
 41.2201 C 	 2090109122907291 ns 
 41.1579 C 	 2090109136850933 ns 
 41.5310 C 	 2090109150604226 ns 
 41.3445 C 	 2090109164506858 ns 
 41.7019 C 	 2090109178438560 ns 
 40.4896 C 	 2090109191965172 ns 
 40.7538 C 	 2090109207056375 ns 
 42.3858 C 	 2090109221255977 ns 
 42.3858 C 	 2090109235297839 ns 
 40.9559 C 	 2090109248409191 ns 
 41.9817 C 	 2090109263427704 ns 
 41.5931 C 	 2090109278282386 ns 
 41.8729 C 	 2090109295374409 ns 
 41.0647 C 	 2090109310817571 ns 
 41.4066 C 	 2090109324765204 ns 
 41.9973 C 	 2090109338142416 ns 
 41.6398 C 	 2090109351580618 ns 
 42.8210 C 	 2090109365977140 ns 
 40.9714 C 	 2090109379262282 ns 
 40.8782 C 	 2090109393652085 ns 
 41.0802 C 	 2090109406970647 ns 
 40.0544 C 	 2090109420125799 ns 
 41.0491 C 	 2090109434575241 ns 
 41.7486 C 	 2090109447635023 ns 
 40.8626 C 	 2090109461721376 ns 
 40.4119 C 	 2090109475169178 ns 
 42.3703 C 	 2090109490703780 ns 
 42.1061 C 	 2090109504968123 ns 
 42.8210 C 	 2090109518719015 ns 
 41.5776 C 	 2090109531797097 ns 
 41.2201 C 	 2090109545997029 ns 
 41.0802 C 	 2090109559939021 ns 
 42.7122 C 	 2090109573375994 ns 
 41.3600 C 	 2090109587169546 ns 
 40.7694 C 	 2090109601219508 ns 
 41.8108 C 	 2090109614934610 ns 
 40.8782 C 	 2090109628387002 ns 
 41.7486 C 	 2090109643077645 ns 
 41.7797 C 	 2090109657088997 ns 
 41.4533 C 	 2090109670867579 ns 
 41.1113 C 	 2090109685005802 ns 
 40.6761 C 	 2090109700466544 ns 
 41.2978 C 	 2090109714980096 ns 
 41.5931 C 	 2090109730899149 ns 
 41.7330 C 	 2090109743387971 ns 
 41.1579 C 	 2090109755496543 ns 
 42.9609 C 	 2090109771482195 ns 
 41.1269 C 	 2090109783940417 ns 
 41.8418 C 	 2090109799384300 ns 
