 41.0647 C 	 2090102698944427 ns 
 42.2615 C 	 2090102713276390 ns 
 40.9559 C 	 2090102728395132 ns 
 41.9662 C 	 2090102742409754 ns 
 40.9559 C 	 2090102763668208 ns 
 41.2823 C 	 2090102781471261 ns 
 41.3600 C 	 2090102797442033 ns 
 42.6345 C 	 2090102811420715 ns 
 40.5984 C 	 2090102826784168 ns 
 41.2667 C 	 2090102838162450 ns 
 42.3548 C 	 2090102854488392 ns 
 41.3289 C 	 2090102868773165 ns 
 40.5207 C 	 2090102882160217 ns 
 41.7797 C 	 2090102897572899 ns 
 41.7330 C 	 2090102913698892 ns 
 42.7744 C 	 2090102925511454 ns 
 41.6864 C 	 2090102940937396 ns 
 42.1527 C 	 2090102953632378 ns 
 41.8418 C 	 2090102965607270 ns 
 41.5776 C 	 2090102980992533 ns 
 42.4169 C 	 2090102992917985 ns 
 41.5154 C 	 2090103008601237 ns 
 40.9870 C 	 2090103020039369 ns 
 41.8263 C 	 2090103031950541 ns 
 41.6864 C 	 2090103047351583 ns 
 42.1061 C 	 2090103058866335 ns 
 42.1372 C 	 2090103074128418 ns 
 40.4119 C 	 2090103085724379 ns 
 40.5673 C 	 2090103101593212 ns 
 41.3445 C 	 2090103113430494 ns 
 41.5465 C 	 2090103124811746 ns 
 40.4740 C 	 2090103140754948 ns 
 40.8626 C 	 2090103152568860 ns 
 42.9765 C 	 2090103168148643 ns 
 41.1890 C 	 2090103179865415 ns 
 40.8315 C 	 2090103191495456 ns 
 41.4999 C 	 2090103206973059 ns 
 40.8315 C 	 2090103218744221 ns 
 42.2149 C 	 2090103230338293 ns 
 41.6398 C 	 2090103243041285 ns 
 41.0491 C 	 2090103256951867 ns 
 42.0284 C 	 2090103272175789 ns 
 40.9714 C 	 2090103283828991 ns 
 41.7641 C 	 2090103299017214 ns 
 41.2978 C 	 2090103310712386 ns 
 41.3911 C 	 2090103322267338 ns 
 41.7952 C 	 2090103337592750 ns 
 41.6242 C 	 2090103348953422 ns 
 43.2252 C 	 2090103364694964 ns 
 42.2770 C 	 2090103376252226 ns 
 41.0958 C 	 2090103387872698 ns 
 40.4274 C 	 2090103403669531 ns 
 41.2978 C 	 2090103415164152 ns 
 41.6553 C 	 2090103431068895 ns 
 42.6345 C 	 2090103442841947 ns 
 43.2718 C 	 2090103454037259 ns 
 41.9351 C 	 2090103467265941 ns 
 42.2304 C 	 2090103483447733 ns 
 41.4533 C 	 2090103494759175 ns 
 41.6087 C 	 2090103506329337 ns 
 42.5724 C 	 2090103521710250 ns 
 42.8677 C 	 2090103533310171 ns 
 42.6501 C 	 2090103549220584 ns 
 41.9040 C 	 2090103560621126 ns 
 41.9662 C 	 2090103572126098 ns 
 42.3237 C 	 2090103587824830 ns 
 41.2201 C 	 2090103599271362 ns 
 41.8263 C 	 2090103610867474 ns 
 42.6501 C 	 2090103628650907 ns 
 40.4430 C 	 2090103640500789 ns 
 40.9714 C 	 2090103651947651 ns 
 41.4222 C 	 2090103664392103 ns 
 42.3237 C 	 2090103679837725 ns 
 42.5724 C 	 2090103695348058 ns 
 40.8160 C 	 2090103711012800 ns 
 41.9817 C 	 2090103722879002 ns 
 42.0750 C 	 2090103739183765 ns 
 42.6967 C 	 2090103750796856 ns 
 41.3911 C 	 2090103762175438 ns 
 41.8418 C 	 2090103777915391 ns 
 41.6398 C 	 2090103789522483 ns 
 41.6553 C 	 2090103801010505 ns 
 42.8521 C 	 2090103815250277 ns 
 42.3858 C 	 2090103826976979 ns 
 42.7278 C 	 2090103843421151 ns 
 41.7175 C 	 2090103854901523 ns 
 42.1372 C 	 2090103866545965 ns 
 42.2926 C 	 2090103881961378 ns 
 42.4169 C 	 2090103893352799 ns 
 40.9714 C 	 2090103906910252 ns 
 42.3703 C 	 2090103923507184 ns 
 41.4066 C 	 2090103939065457 ns 
 42.1061 C 	 2090103951073769 ns 
 41.2667 C 	 2090103968043271 ns 
 41.3289 C 	 2090103979405863 ns 
 41.5310 C 	 2090103995259606 ns 
 42.9609 C 	 2090104010593568 ns 
 42.0284 C 	 2090104026129611 ns 
 40.8937 C 	 2090104037770483 ns 
 40.7694 C 	 2090104050892935 ns 
 41.2667 C 	 2090104066481297 ns 
 42.8210 C 	 2090104077909589 ns 
 42.1372 C 	 2090104089621801 ns 
 40.8315 C 	 2090104104997554 ns 
 42.3081 C 	 2090104116888745 ns 
 41.4999 C 	 2090104132108858 ns 
 41.4688 C 	 2090104144196460 ns 
 42.0284 C 	 2090104155627062 ns 
 42.6345 C 	 2090104171860544 ns 
 41.2823 C 	 2090104183214796 ns 
 40.1476 C 	 2090104199012079 ns 
 42.2615 C 	 2090104210706771 ns 
 42.1216 C 	 2090104222534242 ns 
 42.1061 C 	 2090104235280614 ns 
 41.7641 C 	 2090104251205067 ns 
 41.6242 C 	 2090104262707009 ns 
 41.5465 C 	 2090104274042931 ns 
 43.1008 C 	 2090104287547673 ns 
 43.0386 C 	 2090104302943975 ns 
 40.8471 C 	 2090104314309477 ns 
 40.8315 C 	 2090104330356870 ns 
 41.9662 C 	 2090104342040042 ns 
 42.3081 C 	 2090104353416013 ns 
 41.3134 C 	 2090104369278216 ns 
 42.4636 C 	 2090104380886958 ns 
 41.3911 C 	 2090104392258070 ns 
 42.0750 C 	 2090104407473772 ns 
 41.1735 C 	 2090104419045944 ns 
 42.8677 C 	 2090104434618167 ns 
 41.8574 C 	 2090104446298068 ns 
 41.0491 C 	 2090104461581211 ns 
 40.6139 C 	 2090104473708443 ns 
 41.3445 C 	 2090104485190285 ns 
 42.1993 C 	 2090104500587877 ns 
 41.2667 C 	 2090104512428189 ns 
 41.6242 C 	 2090104523899651 ns 
 42.1838 C 	 2090104539028233 ns 
 41.4066 C 	 2090104550943215 ns 
 41.8108 C 	 2090104566559088 ns 
 41.6398 C 	 2090104578260800 ns 
 40.1632 C 	 2090104593652062 ns 
 40.8471 C 	 2090104609289625 ns 
 43.2252 C 	 2090104621151567 ns 
 41.6398 C 	 2090104636096609 ns 
 40.5984 C 	 2090104647457581 ns 
 42.3081 C 	 2090104660030883 ns 
 41.2512 C 	 2090104675426135 ns 
 41.1113 C 	 2090104686952887 ns 
 42.1372 C 	 2090104702165800 ns 
 43.2096 C 	 2090104713767551 ns 
 41.9973 C 	 2090104729840324 ns 
 40.5362 C 	 2090104741481766 ns 
 41.5465 C 	 2090104752849938 ns 
 40.8471 C 	 2090104768819600 ns 
 41.1890 C 	 2090104780109442 ns 
 41.4999 C 	 2090104791607124 ns 
 41.6398 C 	 2090104807510067 ns 
 40.9559 C 	 2090104819079538 ns 
 42.6190 C 	 2090104830792470 ns 
 41.6398 C 	 2090104846018943 ns 
 40.4430 C 	 2090104857549265 ns 
 41.5621 C 	 2090104873401237 ns 
 41.1890 C 	 2090104885055999 ns 
 41.3911 C 	 2090104896524191 ns 
 42.8677 C 	 2090104912574223 ns 
 41.7952 C 	 2090104924496945 ns 
 41.5310 C 	 2090104935756727 ns 
 41.3755 C 	 2090104951449070 ns 
 41.4066 C 	 2090104962950892 ns 
 40.9714 C 	 2090104978124474 ns 
 41.9351 C 	 2090104989843346 ns 
 43.0697 C 	 2090105005238208 ns 
 41.3600 C 	 2090105016948920 ns 
 41.0958 C 	 2090105029056742 ns 
 41.8885 C 	 2090105044290025 ns 
 41.7019 C 	 2090105056157787 ns 
 42.8521 C 	 2090105067589468 ns 
 42.0905 C 	 2090105083375111 ns 
 40.6761 C 	 2090105095283973 ns 
 40.5362 C 	 2090105107205765 ns 
 41.1579 C 	 2090105123940817 ns 
 41.6864 C 	 2090105139537490 ns 
 42.4325 C 	 2090105155000002 ns 
 41.9351 C 	 2090105170704255 ns 
 41.1113 C 	 2090105182567667 ns 
 42.1993 C 	 2090105193948979 ns 
 41.4533 C 	 2090105207156421 ns 
 43.8003 C 	 2090105222544623 ns 
 41.8418 C 	 2090105234328325 ns 
 42.1527 C 	 2090105249877538 ns 
 40.6761 C 	 2090105261054490 ns 
 41.1269 C 	 2090105272540801 ns 
 40.0544 C 	 2090105288168914 ns 
 41.2046 C 	 2090105299828176 ns 
 43.0697 C 	 2090105311538738 ns 
 41.9040 C 	 2090105326636660 ns 
 40.7694 C 	 2090105338415472 ns 
 42.7278 C 	 2090105351868854 ns 
 41.9506 C 	 2090105367236477 ns 
 41.7486 C 	 2090105382833179 ns 
 41.4688 C 	 2090105400930052 ns 
 41.2357 C 	 2090105413152474 ns 
 42.8366 C 	 2090105424722126 ns 
 41.3134 C 	 2090105438235328 ns 
 40.6917 C 	 2090105456715781 ns 
 42.0905 C 	 2090105470277013 ns 
 42.1527 C 	 2090105483458475 ns 
 42.0905 C 	 2090105498917778 ns 
 41.7797 C 	 2090105510627290 ns 
 41.5621 C 	 2090105526972252 ns 
 42.2304 C 	 2090105541240765 ns 
 41.3445 C 	 2090105556825587 ns 
