app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2088400473023364, ref_stop_time: 2088400473277914, actual_exe_time: 254550, task_app_start_time:2088400337362442, task_sched_time:2088400473012744
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2088400473152754, ref_stop_time: 2088400473276354, actual_exe_time: 123600, task_app_start_time:2088400335710342, task_sched_time:2088400473148464
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2088400474659534, ref_stop_time: 2088400474759944, actual_exe_time: 100410, task_app_start_time:2088400336624862, task_sched_time:2088400474623084
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2088400474694994, ref_stop_time: 2088400474810734, actual_exe_time: 115740, task_app_start_time:2088400335359192, task_sched_time:2088400474686054
app_id: 9, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2088400480744705, ref_stop_time: 2088400480840015, actual_exe_time: 95310, task_app_start_time:2088400360694256, task_sched_time:2088400480737115
app_id: 8, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2088400484577416, ref_stop_time: 2088400484674526, actual_exe_time: 97110, task_app_start_time:2088400354307705, task_sched_time:2088400484573126
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2088400484719016, ref_stop_time: 2088400484820956, actual_exe_time: 101940, task_app_start_time:2088400347764944, task_sched_time:2088400484712326
app_id: 10, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2088400487447036, ref_stop_time: 2088400487537636, actual_exe_time: 90600, task_app_start_time:2088400361318166, task_sched_time:2088400487383676
app_id: 11, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2088400487519576, ref_stop_time: 2088400487591126, actual_exe_time: 71550, task_app_start_time:2088400361638836, task_sched_time:2088400487508686
app_id: 6, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2088400488132446, ref_stop_time: 2088400488201386, actual_exe_time: 68940, task_app_start_time:2088400353595775, task_sched_time:2088400488122906
app_id: 7, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2088400493450547, ref_stop_time: 2088400493544357, actual_exe_time: 93810, task_app_start_time:2088400354058105, task_sched_time:2088400493441937
app_id: 5, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2088400493565687, ref_stop_time: 2088400493652477, actual_exe_time: 86790, task_app_start_time:2088400353317134, task_sched_time:2088400493559147
app_id: 12, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2088400496664868, ref_stop_time: 2088400496752858, actual_exe_time: 87990, task_app_start_time:2088400375452758, task_sched_time:2088400496631658
app_id: 16, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2088400500602818, ref_stop_time: 2088400500671098, actual_exe_time: 68280, task_app_start_time:2088400385172280, task_sched_time:2088400500555478
app_id: 13, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2088400501676938, ref_stop_time: 2088400501741348, actual_exe_time: 64410, task_app_start_time:2088400376570198, task_sched_time:2088400501668748
app_id: 17, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2088400508311169, ref_stop_time: 2088400508413619, actual_exe_time: 102450, task_app_start_time:2088400385739760, task_sched_time:2088400508305079
app_id: 18, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2088400508549609, ref_stop_time: 2088400508639759, actual_exe_time: 90150, task_app_start_time:2088400388667760, task_sched_time:2088400508541959
app_id: 19, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2088400512517650, ref_stop_time: 2088400512609630, actual_exe_time: 91980, task_app_start_time:2088400391289101, task_sched_time:2088400512513120
app_id: 21, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2088400512667740, ref_stop_time: 2088400512735060, actual_exe_time: 67320, task_app_start_time:2088400400964102, task_sched_time:2088400512659940
app_id: 14, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2088400512991620, ref_stop_time: 2088400513055250, actual_exe_time: 63630, task_app_start_time:2088400380883989, task_sched_time:2088400512823590
app_id: 15, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2088400513533030, ref_stop_time: 2088400513616430, actual_exe_time: 83400, task_app_start_time:2088400381426329, task_sched_time:2088400513519620
app_id: 20, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2088400513575630, ref_stop_time: 2088400513666230, actual_exe_time: 90600, task_app_start_time:2088400397487852, task_sched_time:2088400513564710
app_id: 22, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2088400513624020, ref_stop_time: 2088400513710840, actual_exe_time: 86820, task_app_start_time:2088400408656283, task_sched_time:2088400513609860
app_id: 23, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2088400515405691, ref_stop_time: 2088400515473431, actual_exe_time: 67740, task_app_start_time:2088400413069464, task_sched_time:2088400515402691
app_id: 24, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2088400515472711, ref_stop_time: 2088400515537961, actual_exe_time: 65250, task_app_start_time:2088400425147766, task_sched_time:2088400515461131
app_id: 25, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2088400516141201, ref_stop_time: 2088400516227331, actual_exe_time: 86130, task_app_start_time:2088400433652017, task_sched_time:2088400516132171
app_id: 26, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2088400520653081, ref_stop_time: 2088400520756851, actual_exe_time: 103770, task_app_start_time:2088400444629829, task_sched_time:2088400520594011
app_id: 29, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2088400524603482, ref_stop_time: 2088400528954743, actual_exe_time: 4351261, task_app_start_time:2088400460179492, task_sched_time:2088400524593942
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2088400529288223, ref_stop_time: 2088400530292833, actual_exe_time: 1004610, task_app_start_time:2088400335710342, task_sched_time:2088400529275353
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2088400532591823, ref_stop_time: 2088400532661513, actual_exe_time: 69690, task_app_start_time:2088400336624862, task_sched_time:2088400532581773
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2088400540919135, ref_stop_time: 2088400541011985, actual_exe_time: 92850, task_app_start_time:2088400337362442, task_sched_time:2088400540905455
app_id: 9, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2088400540963595, ref_stop_time: 2088400541056775, actual_exe_time: 93180, task_app_start_time:2088400360694256, task_sched_time:2088400540956335
app_id: 8, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2088400541012705, ref_stop_time: 2088400541099225, actual_exe_time: 86520, task_app_start_time:2088400354307705, task_sched_time:2088400541000915
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2088400541048975, ref_stop_time: 2088400541119895, actual_exe_time: 70920, task_app_start_time:2088400347764944, task_sched_time:2088400541045525
app_id: 29, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2088400541333945, ref_stop_time: 2088400541396585, actual_exe_time: 62640, task_app_start_time:2088400460179492, task_sched_time:2088400541092115
