app_id: 4, app_name: pulse_doppler_api-aarch64, ref_arrival_time: 2088799956914664, ref_start_time: 2088799968635606, ref_end_time: 2088811909650387, app_runtime: 11941014781, app_lifetime: 11952735723 
app_id: 7, app_name: pulse_doppler_api-aarch64, ref_arrival_time: 2088799956914664, ref_start_time: 2088799983837028, ref_end_time: 2088812046033559, app_runtime: 12062196531, app_lifetime: 12089118895 
app_id: 16, app_name: pulse_doppler_api-aarch64, ref_arrival_time: 2088799956914664, ref_start_time: 2088800020564654, ref_end_time: 2088812192820313, app_runtime: 12172255659, app_lifetime: 12235905649 
app_id: 13, app_name: pulse_doppler_api-aarch64, ref_arrival_time: 2088799956914664, ref_start_time: 2088800008548152, ref_end_time: 2088812209408755, app_runtime: 12200860603, app_lifetime: 12252494091 
app_id: 14, app_name: pulse_doppler_api-aarch64, ref_arrival_time: 2088799956914664, ref_start_time: 2088800010728792, ref_end_time: 2088812272174076, app_runtime: 12261445284, app_lifetime: 12315259412 
app_id: 12, app_name: pulse_doppler_api-aarch64, ref_arrival_time: 2088799956914664, ref_start_time: 2088800001122251, ref_end_time: 2088812341426177, app_runtime: 12340303926, app_lifetime: 12384511513 
app_id: 18, app_name: pulse_doppler_api-aarch64, ref_arrival_time: 2088799956914664, ref_start_time: 2088800028778715, ref_end_time: 2088812408962068, app_runtime: 12380183353, app_lifetime: 12452047404 
app_id: 0, app_name: pulse_doppler_api-aarch64, ref_arrival_time: 2088799956914664, ref_start_time: 2088799957035444, ref_end_time: 2088812411014848, app_runtime: 12453979404, app_lifetime: 12454100184 
app_id: 3, app_name: pulse_doppler_api-aarch64, ref_arrival_time: 2088799956914664, ref_start_time: 2088799964661895, ref_end_time: 2088812493290461, app_runtime: 12528628566, app_lifetime: 12536375797 
app_id: 19, app_name: pulse_doppler_api-aarch64, ref_arrival_time: 2088799956914664, ref_start_time: 2088800036619426, ref_end_time: 2088812501058122, app_runtime: 12464438696, app_lifetime: 12544143458 
app_id: 1, app_name: pulse_doppler_api-aarch64, ref_arrival_time: 2088799956914664, ref_start_time: 2088799957304274, ref_end_time: 2088812517493535, app_runtime: 12560189261, app_lifetime: 12560578871 
app_id: 6, app_name: pulse_doppler_api-aarch64, ref_arrival_time: 2088799956914664, ref_start_time: 2088799980636747, ref_end_time: 2088812535829358, app_runtime: 12555192611, app_lifetime: 12578914694 
app_id: 10, app_name: pulse_doppler_api-aarch64, ref_arrival_time: 2088799956914664, ref_start_time: 2088799992660779, ref_end_time: 2088812556397451, app_runtime: 12563736672, app_lifetime: 12599482787 
app_id: 8, app_name: pulse_doppler_api-aarch64, ref_arrival_time: 2088799956914664, ref_start_time: 2088799984765798, ref_end_time: 2088812577300405, app_runtime: 12592534607, app_lifetime: 12620385741 
app_id: 11, app_name: pulse_doppler_api-aarch64, ref_arrival_time: 2088799956914664, ref_start_time: 2088799996744920, ref_end_time: 2088812605111939, app_runtime: 12608367019, app_lifetime: 12648197275 
app_id: 15, app_name: pulse_doppler_api-aarch64, ref_arrival_time: 2088799956914664, ref_start_time: 2088800017223043, ref_end_time: 2088812610970400, app_runtime: 12593747357, app_lifetime: 12654055736 
app_id: 5, app_name: pulse_doppler_api-aarch64, ref_arrival_time: 2088799956914664, ref_start_time: 2088799976531457, ref_end_time: 2088812644298545, app_runtime: 12667767088, app_lifetime: 12687383881 
app_id: 9, app_name: pulse_doppler_api-aarch64, ref_arrival_time: 2088799956914664, ref_start_time: 2088799988898509, ref_end_time: 2088812656833838, app_runtime: 12667935329, app_lifetime: 12699919174 
app_id: 2, app_name: pulse_doppler_api-aarch64, ref_arrival_time: 2088799956914664, ref_start_time: 2088799960982154, ref_end_time: 2088812659458328, app_runtime: 12698476174, app_lifetime: 12702543664 
app_id: 17, app_name: pulse_doppler_api-aarch64, ref_arrival_time: 2088799956914664, ref_start_time: 2088800024515325, ref_end_time: 2088812660032738, app_runtime: 12635517413, app_lifetime: 12703118074 
