 41.3134 C 	 2088791997864123 ns 
 41.4377 C 	 2088792014200175 ns 
 41.1890 C 	 2088792029846168 ns 
 41.2823 C 	 2088792043232680 ns 
 41.2823 C 	 2088792063964423 ns 
 40.7383 C 	 2088792078404116 ns 
 40.9093 C 	 2088792094865238 ns 
 41.9973 C 	 2088792111107901 ns 
 42.7278 C 	 2088792129662844 ns 
 42.3237 C 	 2088792145675797 ns 
 41.8418 C 	 2088792162054599 ns 
 41.4533 C 	 2088792173565181 ns 
 42.5257 C 	 2088792189316564 ns 
 42.9298 C 	 2088792201463716 ns 
 41.3445 C 	 2088792217066688 ns 
 40.9870 C 	 2088792230722660 ns 
 41.3134 C 	 2088792242671932 ns 
 41.9351 C 	 2088792258376275 ns 
 41.4066 C 	 2088792273725267 ns 
 40.7383 C 	 2088792285712399 ns 
 41.6553 C 	 2088792300673672 ns 
 41.5310 C 	 2088792313284744 ns 
 41.1890 C 	 2088792329017106 ns 
 40.8315 C 	 2088792340975108 ns 
 41.8574 C 	 2088792352385580 ns 
 41.6553 C 	 2088792368781842 ns 
 42.2149 C 	 2088792382478285 ns 
 42.1372 C 	 2088792398235007 ns 
 43.3184 C 	 2088792413974270 ns 
 42.3081 C 	 2088792427162212 ns 
 41.5931 C 	 2088792438473774 ns 
 41.5776 C 	 2088792454773256 ns 
 40.8315 C 	 2088792470189839 ns 
 43.1941 C 	 2088792483443241 ns 
 40.3497 C 	 2088792499831284 ns 
 41.3755 C 	 2088792517097606 ns 
 41.1424 C 	 2088792529065868 ns 
 41.8885 C 	 2088792541024620 ns 
 42.4480 C 	 2088792556873293 ns 
 41.8885 C 	 2088792569043245 ns 
 42.7278 C 	 2088792583429087 ns 
 41.1113 C 	 2088792598251129 ns 
 39.8212 C 	 2088792613784592 ns 
 41.4222 C 	 2088792628321364 ns 
 41.8574 C 	 2088792642128356 ns 
 42.7900 C 	 2088792657859279 ns 
 42.1372 C 	 2088792670283271 ns 
 41.4066 C 	 2088792683575403 ns 
 43.0542 C 	 2088792698320526 ns 
 42.1993 C 	 2088792714104998 ns 
 41.5776 C 	 2088792727674870 ns 
 42.5413 C 	 2088792741100592 ns 
 40.9093 C 	 2088792752895814 ns 
 41.1113 C 	 2088792768775387 ns 
 41.9196 C 	 2088792782533689 ns 
 41.5621 C 	 2088792798467352 ns 
 41.4843 C 	 2088792812458274 ns 
 41.8263 C 	 2088792825252046 ns 
 42.4325 C 	 2088792840965478 ns 
 41.5931 C 	 2088792853169120 ns 
 41.9662 C 	 2088792865074052 ns 
 41.9817 C 	 2088792878628865 ns 
 42.2770 C 	 2088792895446567 ns 
 40.5362 C 	 2088792907380689 ns 
 41.6087 C 	 2088792923059142 ns 
 41.4999 C 	 2088792935106124 ns 
 42.5724 C 	 2088792950830356 ns 
 41.5621 C 	 2088792964463918 ns 
 42.1372 C 	 2088792980961611 ns 
 41.3445 C 	 2088792992970673 ns 
 41.7486 C 	 2088793006644405 ns 
 41.5931 C 	 2088793018325027 ns 
 41.9040 C 	 2088793035195470 ns 
 41.5931 C 	 2088793050441142 ns 
 40.2254 C 	 2088793063811544 ns 
 41.7330 C 	 2088793078580907 ns 
 42.1216 C 	 2088793092705899 ns 
 40.8937 C 	 2088793108306802 ns 
 43.3495 C 	 2088793124388394 ns 
 42.1061 C 	 2088793136524956 ns 
 41.8574 C 	 2088793152377679 ns 
 42.5568 C 	 2088793168259261 ns 
 41.0491 C 	 2088793181522983 ns 
 41.1269 C 	 2088793197281596 ns 
 40.8160 C 	 2088793209274488 ns 
 41.2978 C 	 2088793220794340 ns 
 41.4843 C 	 2088793234400812 ns 
 42.5257 C 	 2088793247863134 ns 
 42.1993 C 	 2088793260086486 ns 
 42.1372 C 	 2088793274231518 ns 
 41.3289 C 	 2088793290196231 ns 
 41.5931 C 	 2088793303936683 ns 
 42.1993 C 	 2088793321078836 ns 
 42.4014 C 	 2088793332868568 ns 
 41.1735 C 	 2088793344982630 ns 
 41.3289 C 	 2088793361627382 ns 
 41.3289 C 	 2088793377388545 ns 
 41.1113 C 	 2088793388660117 ns 
 42.8521 C 	 2088793400070258 ns 
 41.9506 C 	 2088793415725581 ns 
 43.4272 C 	 2088793427226233 ns 
 40.6761 C 	 2088793442720425 ns 
 40.5829 C 	 2088793454248707 ns 
 41.6242 C 	 2088793465960859 ns 
 41.5310 C 	 2088793481249132 ns 
 40.7383 C 	 2088793492872513 ns 
 41.7952 C 	 2088793508148936 ns 
 41.6087 C 	 2088793519781318 ns 
 41.9351 C 	 2088793531127410 ns 
 41.1735 C 	 2088793547552442 ns 
 40.9870 C 	 2088793558990244 ns 
 42.7278 C 	 2088793570649326 ns 
 42.5102 C 	 2088793586361048 ns 
 41.9662 C 	 2088793597887110 ns 
 40.5984 C 	 2088793613371673 ns 
 40.9403 C 	 2088793625658295 ns 
 41.2823 C 	 2088793637259117 ns 
 41.5465 C 	 2088793652993729 ns 
 41.7797 C 	 2088793664348311 ns 
 42.0439 C 	 2088793675836423 ns 
 41.5931 C 	 2088793691742095 ns 
 41.8263 C 	 2088793703363437 ns 
 41.1579 C 	 2088793715211729 ns 
 41.9506 C 	 2088793731875592 ns 
 43.0853 C 	 2088793743634754 ns 
 42.1527 C 	 2088793754802376 ns 
 42.9143 C 	 2088793770602538 ns 
 41.1424 C 	 2088793782233600 ns 
 42.5724 C 	 2088793797417502 ns 
 41.3600 C 	 2088793809578844 ns 
 42.1372 C 	 2088793821096746 ns 
 41.1424 C 	 2088793836298169 ns 
 40.4896 C 	 2088793848781111 ns 
 43.1008 C 	 2088793859940872 ns 
 41.3134 C 	 2088793876114685 ns 
 43.1630 C 	 2088793887575347 ns 
 41.7641 C 	 2088793903138659 ns 
 41.6398 C 	 2088793914931061 ns 
 40.8782 C 	 2088793926329743 ns 
 41.1113 C 	 2088793942258846 ns 
 42.4636 C 	 2088793953853128 ns 
 41.2823 C 	 2088793965257569 ns 
 40.5984 C 	 2088793980719452 ns 
 42.0905 C 	 2088793992328344 ns 
 40.5673 C 	 2088794008015016 ns 
 41.0336 C 	 2088794019720178 ns 
 43.5049 C 	 2088794031396240 ns 
 41.5154 C 	 2088794046997293 ns 
 42.1527 C 	 2088794058623674 ns 
 41.7486 C 	 2088794070179556 ns 
 42.3237 C 	 2088794083892259 ns 
 41.0025 C 	 2088794099876171 ns 
 41.2978 C 	 2088794111339053 ns 
 41.9506 C 	 2088794123198505 ns 
 41.8418 C 	 2088794139881538 ns 
 41.4843 C 	 2088794151098569 ns 
 41.6709 C 	 2088794162828301 ns 
 41.8108 C 	 2088794178023604 ns 
 41.7797 C 	 2088794189672426 ns 
 42.8366 C 	 2088794204460058 ns 
 42.4325 C 	 2088794215902660 ns 
 40.8471 C 	 2088794227319342 ns 
 41.9506 C 	 2088794242553134 ns 
 41.8418 C 	 2088794254525056 ns 
 42.1372 C 	 2088794270082998 ns 
 42.1993 C 	 2088794281582450 ns 
 42.5257 C 	 2088794293209852 ns 
 41.4066 C 	 2088794308662615 ns 
 41.3600 C 	 2088794320389857 ns 
 42.3858 C 	 2088794332045008 ns 
 42.8055 C 	 2088794347211871 ns 
 41.6242 C 	 2088794358860513 ns 
 40.7694 C 	 2088794371137475 ns 
 41.5931 C 	 2088794387910237 ns 
 42.3858 C 	 2088794403560850 ns 
 43.8624 C 	 2088794415351422 ns 
 42.6656 C 	 2088794430601024 ns 
 42.3858 C 	 2088794446133557 ns 
 42.1372 C 	 2088794457835749 ns 
 42.0750 C 	 2088794469330641 ns 
 42.4325 C 	 2088794485144573 ns 
 41.2512 C 	 2088794496553365 ns 
 41.5154 C 	 2088794507734007 ns 
 42.0284 C 	 2088794523679279 ns 
 41.5621 C 	 2088794535214131 ns 
 41.4999 C 	 2088794546893433 ns 
 42.6656 C 	 2088794563972046 ns 
 42.2149 C 	 2088794575502758 ns 
 43.2873 C 	 2088794586980129 ns 
 41.0491 C 	 2088794602356032 ns 
 41.7641 C 	 2088794613859114 ns 
 41.8418 C 	 2088794625422016 ns 
 41.7641 C 	 2088794639566178 ns 
 40.9870 C 	 2088794651543860 ns 
 43.2252 C 	 2088794667945883 ns 
 43.4894 C 	 2088794679446684 ns 
 41.8885 C 	 2088794690843146 ns 
 40.3963 C 	 2088794703615768 ns 
 40.7072 C 	 2088794719822341 ns 
 41.9506 C 	 2088794731549433 ns 
 41.7952 C 	 2088794743086445 ns 
 41.3134 C 	 2088794759486337 ns 
 42.3858 C 	 2088794771333039 ns 
 41.4688 C 	 2088794782869151 ns 
 42.4946 C 	 2088794796041553 ns 
 41.8108 C 	 2088794811546846 ns 
 41.4222 C 	 2088794823149107 ns 
 41.7175 C 	 2088794838770050 ns 
 41.1269 C 	 2088794850484632 ns 
 41.4688 C 	 2088794862130874 ns 
 41.8418 C 	 2088794877699556 ns 
 42.1216 C 	 2088794889491598 ns 
 40.6606 C 	 2088794905292031 ns 
 42.8521 C 	 2088794916877163 ns 
 43.8469 C 	 2088794928452394 ns 
 40.8005 C 	 2088794944032777 ns 
 42.2926 C 	 2088794955581489 ns 
 43.1319 C 	 2088794967202201 ns 
 42.5879 C 	 2088794982417873 ns 
 41.5465 C 	 2088794994204275 ns 
 41.2512 C 	 2088795009920468 ns 
 42.4480 C 	 2088795021383619 ns 
 41.7019 C 	 2088795032983931 ns 
 40.8471 C 	 2088795048588194 ns 
 41.2046 C 	 2088795060296236 ns 
 42.9765 C 	 2088795072089478 ns 
 42.1527 C 	 2088795087866960 ns 
 41.6864 C 	 2088795099451102 ns 
 41.8574 C 	 2088795115052784 ns 
 41.8263 C 	 2088795126636236 ns 
 41.7330 C 	 2088795138345118 ns 
 41.7175 C 	 2088795154351411 ns 
 41.7330 C 	 2088795165855633 ns 
 43.8158 C 	 2088795177452224 ns 
 41.2512 C 	 2088795193443127 ns 
 42.4791 C 	 2088795204833469 ns 
 41.7330 C 	 2088795216420521 ns 
 41.6087 C 	 2088795231470473 ns 
 42.1372 C 	 2088795243376545 ns 
 41.7330 C 	 2088795259215438 ns 
 41.4533 C 	 2088795270727820 ns 
 42.2615 C 	 2088795282291531 ns 
 41.5621 C 	 2088795299677134 ns 
 42.1061 C 	 2088795311272376 ns 
 40.3186 C 	 2088795322875298 ns 
 41.7952 C 	 2088795334442760 ns 
 39.9456 C 	 2088795347951612 ns 
 42.2304 C 	 2088795363221614 ns 
 41.7952 C 	 2088795374960196 ns 
 41.5621 C 	 2088795390273489 ns 
 41.4688 C 	 2088795401896781 ns 
 43.0076 C 	 2088795413543562 ns 
