 41.9040 C 	 2034717433080527 ns 
 42.4169 C 	 2034717454653951 ns 
 42.1061 C 	 2034717470257763 ns 
 42.8055 C 	 2034717482278825 ns 
 44.4220 C 	 2034717493734837 ns 
 43.0542 C 	 2034717506087099 ns 
 43.7536 C 	 2034717517991851 ns 
 42.3703 C 	 2034717530123523 ns 
 42.0594 C 	 2034717542769785 ns 
 40.9093 C 	 2034717554336917 ns 
 42.4325 C 	 2034717566981649 ns 
 42.1061 C 	 2034717578704691 ns 
 42.4636 C 	 2034717594843703 ns 
 43.0697 C 	 2034717607185165 ns 
 41.8263 C 	 2034717619266767 ns 
 41.7330 C 	 2034717631203379 ns 
 42.0439 C 	 2034717643477191 ns 
 43.2407 C 	 2034717655147463 ns 
 44.0179 C 	 2034717667376275 ns 
 41.0025 C 	 2034717679179747 ns 
 42.8366 C 	 2034717691214519 ns 
 43.4739 C 	 2034717702574650 ns 
 42.4169 C 	 2034717718029603 ns 
 42.1527 C 	 2034717729771845 ns 
 41.2201 C 	 2034717741457837 ns 
 41.1890 C 	 2034717753839499 ns 
 42.4636 C 	 2034717765584891 ns 
 43.4739 C 	 2034717777764623 ns 
 42.1372 C 	 2034717789582284 ns 
 42.3237 C 	 2034717801070066 ns 
 42.0905 C 	 2034717818182519 ns 
 41.2046 C 	 2034717829824591 ns 
 43.2718 C 	 2034717841653263 ns 
 42.2926 C 	 2034717854170075 ns 
 42.7278 C 	 2034717865746267 ns 
 42.5724 C 	 2034717877944899 ns 
 40.5207 C 	 2034717889437571 ns 
 42.3081 C 	 2034717901691703 ns 
 42.0284 C 	 2034717913189834 ns 
 41.6242 C 	 2034717925430616 ns 
 42.5724 C 	 2034717937842218 ns 
 43.6759 C 	 2034717949258690 ns 
 41.7641 C 	 2034717961162872 ns 
 42.7433 C 	 2034717973438814 ns 
 42.2460 C 	 2034717990547247 ns 
 42.9298 C 	 2034718006640239 ns 
 42.4169 C 	 2034718018093731 ns 
 42.5568 C 	 2034718030347143 ns 
 42.9920 C 	 2034718042766395 ns 
 41.5310 C 	 2034718054246077 ns 
 42.4946 C 	 2034718066190369 ns 
 41.6553 C 	 2034718077539491 ns 
 42.2149 C 	 2034718089694563 ns 
 43.1630 C 	 2034718101632555 ns 
 43.2252 C 	 2034718113562807 ns 
 43.2563 C 	 2034718125334388 ns 
 42.1527 C 	 2034718137107710 ns 
 43.5360 C 	 2034718149461472 ns 
 43.8469 C 	 2034718160977364 ns 
 42.2615 C 	 2034718173544486 ns 
 42.5879 C 	 2034718185318288 ns 
 41.9662 C 	 2034718197195980 ns 
 42.4636 C 	 2034718209121012 ns 
 44.0956 C 	 2034718221540654 ns 
 42.0439 C 	 2034718233719666 ns 
 42.7122 C 	 2034718245085348 ns 
 41.7330 C 	 2034718257528150 ns 
 42.1216 C 	 2034718268950262 ns 
 43.1941 C 	 2034718280810134 ns 
 42.9920 C 	 2034718292467685 ns 
 41.7019 C 	 2034718305106057 ns 
 42.2615 C 	 2034718317253149 ns 
 42.2304 C 	 2034718328605811 ns 
 41.3911 C 	 2034718340912143 ns 
 43.5360 C 	 2034718352348925 ns 
 42.8521 C 	 2034718364803547 ns 
 41.6864 C 	 2034718376761219 ns 
 42.7278 C 	 2034718388926191 ns 
 43.6604 C 	 2034718400635883 ns 
 43.1941 C 	 2034718412188285 ns 
 43.1630 C 	 2034718424370867 ns 
 41.8418 C 	 2034718436412269 ns 
 41.3134 C 	 2034718448595121 ns 
 42.4636 C 	 2034718459993832 ns 
 44.4997 C 	 2034718473260764 ns 
 42.8677 C 	 2034718484650086 ns 
 43.8003 C 	 2034718497090488 ns 
 42.5724 C 	 2034718514699861 ns 
 43.3651 C 	 2034718526496823 ns 
 42.1682 C 	 2034718538312235 ns 
 42.2149 C 	 2034718551853487 ns 
 42.0594 C 	 2034718563526549 ns 
 42.8366 C 	 2034718575788241 ns 
 42.8521 C 	 2034718587656183 ns 
 43.8935 C 	 2034718599457885 ns 
 43.0697 C 	 2034718613943897 ns 
 43.8003 C 	 2034718625842409 ns 
 43.3495 C 	 2034718638209521 ns 
 41.4688 C 	 2034718649552403 ns 
 42.5257 C 	 2034718661908205 ns 
 42.2149 C 	 2034718673728867 ns 
 42.6656 C 	 2034718685797239 ns 
 40.9093 C 	 2034718698201701 ns 
 42.1061 C 	 2034718709752393 ns 
 43.1941 C 	 2034718722160095 ns 
 42.9920 C 	 2034718733724586 ns 
 43.2718 C 	 2034718745285898 ns 
 41.2823 C 	 2034718761920421 ns 
 42.3858 C 	 2034718773739823 ns 
 42.9609 C 	 2034718785588385 ns 
 42.8210 C 	 2034718796987277 ns 
 42.2149 C 	 2034718808867369 ns 
 42.8677 C 	 2034718820709990 ns 
 43.0853 C 	 2034718832146322 ns 
 42.8055 C 	 2034718843664134 ns 
 41.7952 C 	 2034718855431096 ns 
 42.6812 C 	 2034718866814358 ns 
 42.7744 C 	 2034718879315180 ns 
 41.7175 C 	 2034718891296132 ns 
 41.6398 C 	 2034718902696854 ns 
 42.5257 C 	 2034718914216705 ns 
 43.0231 C 	 2034718930018338 ns 
 42.1993 C 	 2034718942261040 ns 
 42.6190 C 	 2034718953687352 ns 
 42.0284 C 	 2034718965549954 ns 
 43.1630 C 	 2034718982602076 ns 
 42.9298 C 	 2034718993963918 ns 
 43.7070 C 	 2034719005814010 ns 
 41.8108 C 	 2034719017705622 ns 
 42.8988 C 	 2034719029475374 ns 
 42.0284 C 	 2034719041319496 ns 
 43.3806 C 	 2034719052721418 ns 
 41.7019 C 	 2034719064209350 ns 
 43.1008 C 	 2034719075933351 ns 
 41.9506 C 	 2034719088009823 ns 
 42.5102 C 	 2034719100009645 ns 
 42.0750 C 	 2034719111413547 ns 
 42.8521 C 	 2034719122801759 ns 
 43.9868 C 	 2034719134949811 ns 
