 41.0958 C 	 2041231638575205 ns 
 42.2615 C 	 2041231659315618 ns 
 41.5465 C 	 2041231682570092 ns 
 39.9145 C 	 2041231698597684 ns 
 41.1424 C 	 2041231710574466 ns 
 42.7433 C 	 2041231723157248 ns 
 41.9040 C 	 2041231743440641 ns 
 41.0802 C 	 2041231756059723 ns 
 42.8521 C 	 2041231768377065 ns 
 41.7797 C 	 2041231780952587 ns 
 41.8574 C 	 2041231793754640 ns 
 40.9870 C 	 2041231805963982 ns 
 42.3858 C 	 2041231818812234 ns 
 42.2770 C 	 2041231830804526 ns 
 41.4688 C 	 2041231843694388 ns 
 41.3289 C 	 2041231856502890 ns 
 41.9506 C 	 2041231868887162 ns 
 41.6864 C 	 2041231881384084 ns 
 39.4793 C 	 2041231894299056 ns 
 41.3911 C 	 2041231906298728 ns 
 40.8782 C 	 2041231918691310 ns 
 42.9609 C 	 2041231932110972 ns 
 41.3445 C 	 2041231944019654 ns 
 41.9817 C 	 2041231956876426 ns 
 40.3342 C 	 2041231969654928 ns 
 41.8885 C 	 2041231981896700 ns 
 41.6709 C 	 2041231994551362 ns 
 41.1890 C 	 2041232007241454 ns 
 42.4014 C 	 2041232019742426 ns 
 41.9506 C 	 2041232032606938 ns 
 40.9403 C 	 2041232049263181 ns 
 42.8366 C 	 2041232062007003 ns 
 41.0802 C 	 2041232074386145 ns 
 42.0284 C 	 2041232086243077 ns 
 40.4430 C 	 2041232098395029 ns 
 41.7641 C 	 2041232111017921 ns 
 41.4688 C 	 2041232123627403 ns 
 40.9714 C 	 2041232135682005 ns 
 41.4688 C 	 2041232148876877 ns 
 40.8005 C 	 2041232160814509 ns 
 41.1735 C 	 2041232172759431 ns 
 41.5154 C 	 2041232185575403 ns 
 41.3911 C 	 2041232198340495 ns 
 41.1424 C 	 2041232214619847 ns 
 40.9248 C 	 2041232227007029 ns 
 41.3445 C 	 2041232238952191 ns 
 42.1993 C 	 2041232250729713 ns 
 40.9870 C 	 2041232263339255 ns 
 42.5724 C 	 2041232275725477 ns 
 41.6553 C 	 2041232287886669 ns 
 41.9351 C 	 2041232300263501 ns 
 42.1216 C 	 2041232312297853 ns 
 42.4325 C 	 2041232325180635 ns 
 40.9403 C 	 2041232337923707 ns 
 42.4946 C 	 2041232350085169 ns 
 41.3755 C 	 2041232362338971 ns 
 40.8782 C 	 2041232375138863 ns 
 40.8160 C 	 2041232387285475 ns 
 42.0284 C 	 2041232399470667 ns 
 41.8263 C 	 2041232411958049 ns 
 42.3703 C 	 2041232424002841 ns 
 41.1113 C 	 2041232436374783 ns 
 41.5621 C 	 2041232448515005 ns 
 41.7486 C 	 2041232460995307 ns 
 41.7641 C 	 2041232474006939 ns 
 43.0542 C 	 2041232486105431 ns 
 41.9817 C 	 2041232498983293 ns 
 42.0594 C 	 2041232511140675 ns 
 41.8885 C 	 2041232523344317 ns 
 41.9506 C 	 2041232535920649 ns 
 41.6087 C 	 2041232548137941 ns 
 42.7122 C 	 2041232560719853 ns 
 42.3703 C 	 2041232572946085 ns 
 42.9765 C 	 2041232585105087 ns 
 42.5724 C 	 2041232597453359 ns 
 41.7019 C 	 2041232610598101 ns 
 42.1216 C 	 2041232622512333 ns 
 41.9196 C 	 2041232634739915 ns 
 41.1424 C 	 2041232647321377 ns 
 41.9506 C 	 2041232659439009 ns 
 41.4999 C 	 2041232675758681 ns 
 42.1527 C 	 2041232688596284 ns 
 42.6501 C 	 2041232700538505 ns 
 41.0025 C 	 2041232712828427 ns 
 41.3600 C 	 2041232729621110 ns 
 40.4585 C 	 2041232741946792 ns 
 41.6864 C 	 2041232754127514 ns 
 41.8108 C 	 2041232766783016 ns 
 41.1579 C 	 2041232778670368 ns 
 42.3858 C 	 2041232791642490 ns 
 41.9662 C 	 2041232803889692 ns 
 41.5776 C 	 2041232815925394 ns 
 41.8418 C 	 2041232830968926 ns 
 42.7744 C 	 2041232843337028 ns 
 41.7641 C 	 2041232855490240 ns 
 42.3703 C 	 2041232867929172 ns 
 41.0491 C 	 2041232880324034 ns 
 40.9870 C 	 2041232892425016 ns 
 41.9196 C 	 2041232905140458 ns 
 40.9403 C 	 2041232916954070 ns 
 42.2770 C 	 2041232929640832 ns 
 42.0905 C 	 2041232941900064 ns 
 41.5621 C 	 2041232954215396 ns 
 41.3134 C 	 2041232966780148 ns 
 42.6501 C 	 2041232979054770 ns 
 41.4066 C 	 2041232991089842 ns 
 41.6398 C 	 2041233003649584 ns 
 42.3858 C 	 2041233015829766 ns 
 43.0231 C 	 2041233028013818 ns 
 42.1216 C 	 2041233040853730 ns 
 42.6501 C 	 2041233052616402 ns 
 42.1372 C 	 2041233065202754 ns 
 42.0750 C 	 2041233077940816 ns 
 41.4688 C 	 2041233090265268 ns 
 42.8366 C 	 2041233102856300 ns 
 41.7019 C 	 2041233118891243 ns 
 42.3237 C 	 2041233130642965 ns 
 41.7641 C 	 2041233143136527 ns 
 41.8108 C 	 2041233155670889 ns 
 43.0231 C 	 2041233167702361 ns 
 42.1061 C 	 2041233180552503 ns 
 41.7486 C 	 2041233192687475 ns 
 41.7019 C 	 2041233204969417 ns 
 40.6761 C 	 2041233217789679 ns 
 42.1372 C 	 2041233229557451 ns 
 41.2046 C 	 2041233242590323 ns 
 40.5518 C 	 2041233254841005 ns 
 42.5257 C 	 2041233266575717 ns 
 40.9093 C 	 2041233279213129 ns 
 41.0181 C 	 2041233291673901 ns 
 42.0439 C 	 2041233303698683 ns 
 42.1372 C 	 2041233316299825 ns 
 41.4222 C 	 2041233328819997 ns 
 41.6398 C 	 2041233340835989 ns 
 41.6709 C 	 2041233353348421 ns 
 42.7278 C 	 2041233366221363 ns 
 42.9143 C 	 2041233378418375 ns 
 40.4585 C 	 2041233390682017 ns 
 42.4169 C 	 2041233407407559 ns 
 41.5931 C 	 2041233419534041 ns 
 40.4274 C 	 2041233432318783 ns 
 40.1321 C 	 2041233444358595 ns 
 42.1993 C 	 2041233456342967 ns 
 41.0491 C 	 2041233468957579 ns 
 41.6398 C 	 2041233481465121 ns 
 41.2667 C 	 2041233497491034 ns 
 40.7694 C 	 2041233510499816 ns 
 41.2512 C 	 2041233522971748 ns 
 43.3495 C 	 2041233534841340 ns 
 40.3808 C 	 2041233552096473 ns 
 42.7122 C 	 2041233564659995 ns 
 41.3600 C 	 2041233576549986 ns 
 41.5465 C 	 2041233588433768 ns 
 41.9196 C 	 2041233601071480 ns 
 41.2512 C 	 2041233613704722 ns 
 41.2667 C 	 2041233625644604 ns 
 40.6761 C 	 2041233638344956 ns 
 40.8937 C 	 2041233650614268 ns 
 41.2978 C 	 2041233662759410 ns 
 41.5310 C 	 2041233675777642 ns 
 41.4222 C 	 2041233688296584 ns 
 41.5776 C 	 2041233700887196 ns 
 41.7330 C 	 2041233712828578 ns 
 42.5413 C 	 2041233724730870 ns 
 41.8418 C 	 2041233736954312 ns 
 41.9662 C 	 2041233749842464 ns 
 42.4791 C 	 2041233762061166 ns 
 42.3548 C 	 2041233780709949 ns 
 41.6398 C 	 2041233792909121 ns 
 40.9093 C 	 2041233805497033 ns 
 40.7538 C 	 2041233817702925 ns 
 42.3548 C 	 2041233830197297 ns 
 41.5931 C 	 2041233842842539 ns 
 41.9817 C 	 2041233854653031 ns 
 41.6709 C 	 2041233867239893 ns 
 41.1424 C 	 2041233879385575 ns 
 42.9609 C 	 2041233891850907 ns 
 41.7175 C 	 2041233903885649 ns 
 42.7433 C 	 2041233916153311 ns 
 42.5568 C 	 2041233928398773 ns 
 41.7641 C 	 2041233940956385 ns 
 41.5154 C 	 2041233953186577 ns 
 43.3029 C 	 2041233965149079 ns 
 41.8108 C 	 2041233976944061 ns 
 41.4843 C 	 2041233988886163 ns 
 42.2304 C 	 2041234000974095 ns 
 40.9248 C 	 2041234013428957 ns 
 41.2823 C 	 2041234025584179 ns 
 40.9093 C 	 2041234037929181 ns 
 41.4999 C 	 2041234049713813 ns 
 42.4636 C 	 2041234061796495 ns 
 42.8521 C 	 2041234074141557 ns 
 43.1164 C 	 2041234085977848 ns 
 41.8729 C 	 2041234097722220 ns 
 41.9196 C 	 2041234109807572 ns 
 41.9040 C 	 2041234122181644 ns 
 41.9506 C 	 2041234138036977 ns 
 42.5879 C 	 2041234150026929 ns 
 42.1527 C 	 2041234161796981 ns 
 44.1422 C 	 2041234173866013 ns 
 40.7227 C 	 2041234186129805 ns 
 41.8108 C 	 2041234198047036 ns 
 41.9817 C 	 2041234210174568 ns 
 41.2978 C 	 2041234222060960 ns 
 40.3342 C 	 2041234234481262 ns 
 41.1269 C 	 2041234246511234 ns 
 41.1424 C 	 2041234259017756 ns 
 43.2407 C 	 2041234271544258 ns 
 41.8729 C 	 2041234283884310 ns 
 41.3600 C 	 2041234296050332 ns 
 41.3289 C 	 2041234308110364 ns 
 43.0853 C 	 2041234320362846 ns 
 41.1735 C 	 2041234334636968 ns 
 41.6864 C 	 2041234346894400 ns 
 40.6450 C 	 2041234359280472 ns 
 40.4119 C 	 2041234371631234 ns 
 42.5879 C 	 2041234388492917 ns 
 40.5984 C 	 2041234400421639 ns 
 41.5465 C 	 2041234412888561 ns 
 41.6709 C 	 2041234425017143 ns 
 42.4791 C 	 2041234437104445 ns 
 41.5931 C 	 2041234449489797 ns 
 40.9870 C 	 2041234462070539 ns 
 40.9714 C 	 2041234474041951 ns 
 39.9767 C 	 2041234486360883 ns 
 42.0284 C 	 2041234498969255 ns 
 42.0284 C 	 2041234511194767 ns 
 41.2046 C 	 2041234524471389 ns 
 41.1735 C 	 2041234536845341 ns 
 41.0647 C 	 2041234553107414 ns 
 42.2304 C 	 2041234567088616 ns 
 41.3600 C 	 2041234578998678 ns 
 42.0128 C 	 2041234591356640 ns 
 40.7538 C 	 2041234603674372 ns 
 41.2046 C 	 2041234615887914 ns 
 40.7849 C 	 2041234627843096 ns 
 41.6553 C 	 2041234640220468 ns 
 42.2149 C 	 2041234652505200 ns 
 40.9714 C 	 2041234664951152 ns 
 41.6864 C 	 2041234677511524 ns 
 40.5829 C 	 2041234689591986 ns 
 41.8263 C 	 2041234702605868 ns 
 41.9973 C 	 2041234715093370 ns 
 40.9559 C 	 2041234727235632 ns 
 40.5518 C 	 2041234743135274 ns 
 41.5310 C 	 2041234758934387 ns 
 40.2720 C 	 2041234771204239 ns 
 40.2564 C 	 2041234783371311 ns 
 41.2823 C 	 2041234798784353 ns 
 41.3445 C 	 2041234811331495 ns 
 42.2149 C 	 2041234823706827 ns 
 41.2978 C 	 2041234835970439 ns 
 41.7641 C 	 2041234848039651 ns 
 40.1321 C 	 2041234860225863 ns 
 40.8937 C 	 2041234872305965 ns 
 42.2615 C 	 2041234884228057 ns 
 42.7122 C 	 2041234896647699 ns 
 40.7072 C 	 2041234908980791 ns 
 42.4946 C 	 2041234921614693 ns 
 42.4636 C 	 2041234933879865 ns 
 43.0542 C 	 2041234946017747 ns 
 40.7383 C 	 2041234958432289 ns 
 41.2978 C 	 2041234971106211 ns 
 41.2667 C 	 2041234983792223 ns 
 41.1735 C 	 2041235000233756 ns 
 40.9248 C 	 2041235014618398 ns 
 41.0647 C 	 2041235026509800 ns 
 41.0647 C 	 2041235038640782 ns 
 40.9248 C 	 2041235050748394 ns 
 40.6606 C 	 2041235062767506 ns 
 41.4688 C 	 2041235075146498 ns 
 41.8885 C 	 2041235087208240 ns 
 41.4222 C 	 2041235100040112 ns 
 43.4428 C 	 2041235112488824 ns 
 41.9506 C 	 2041235124484596 ns 
 40.6761 C 	 2041235137341128 ns 
 41.8263 C 	 2041235149468000 ns 
 41.0647 C 	 2041235162244222 ns 
 41.3134 C 	 2041235174606894 ns 
 41.1424 C 	 2041235186746726 ns 
 41.3445 C 	 2041235199707988 ns 
 41.9040 C 	 2041235212414460 ns 
 42.4325 C 	 2041235225955802 ns 
 41.7486 C 	 2041235239273974 ns 
 41.3289 C 	 2041235251657526 ns 
 41.5310 C 	 2041235264303998 ns 
 42.1682 C 	 2041235276662620 ns 
 42.7122 C 	 2041235289129962 ns 
 40.1943 C 	 2041235301734314 ns 
 41.8574 C 	 2041235318372857 ns 
 41.6864 C 	 2041235331037659 ns 
 41.4688 C 	 2041235342937881 ns 
 41.2823 C 	 2041235358871633 ns 
 42.5257 C 	 2041235371537245 ns 
 42.6345 C 	 2041235383398647 ns 
 39.9145 C 	 2041235395528399 ns 
 40.9870 C 	 2041235407550781 ns 
 42.1682 C 	 2041235419408493 ns 
 42.3703 C 	 2041235431798645 ns 
 42.0905 C 	 2041235443944597 ns 
 41.1735 C 	 2041235455968479 ns 
 41.9196 C 	 2041235468341201 ns 
 41.6553 C 	 2041235480844273 ns 
 40.9093 C 	 2041235493818435 ns 
 41.1890 C 	 2041235506025527 ns 
 42.6812 C 	 2041235518572609 ns 
 41.0958 C 	 2041235531330441 ns 
 41.7486 C 	 2041235544134023 ns 
 41.3911 C 	 2041235556471615 ns 
 42.3703 C 	 2041235568951347 ns 
 41.8885 C 	 2041235581721089 ns 
 41.8263 C 	 2041235594219781 ns 
 42.0439 C 	 2041235606313653 ns 
 41.7019 C 	 2041235618660425 ns 
 42.2304 C 	 2041235631428187 ns 
 42.3703 C 	 2041235644086479 ns 
 40.7383 C 	 2041235656008151 ns 
 40.6917 C 	 2041235668403883 ns 
 42.3703 C 	 2041235680737305 ns 
 40.7849 C 	 2041235692760977 ns 
 41.1735 C 	 2041235704980909 ns 
 41.6553 C 	 2041235717626811 ns 
 42.5879 C 	 2041235729591623 ns 
 42.0439 C 	 2041235742001245 ns 
 40.8626 C 	 2041235754435707 ns 
 41.1735 C 	 2041235766437989 ns 
 41.5310 C 	 2041235779425411 ns 
 42.6034 C 	 2041235791930133 ns 
 40.7227 C 	 2041235803890385 ns 
 42.0284 C 	 2041235816345097 ns 
 41.7019 C 	 2041235829049049 ns 
 41.7486 C 	 2041235841462271 ns 
 41.2667 C 	 2041235853657783 ns 
 42.0284 C 	 2041235866054385 ns 
 41.3911 C 	 2041235878050727 ns 
 41.3134 C 	 2041235890674519 ns 
 42.5724 C 	 2041235902666241 ns 
 41.7952 C 	 2041235915514223 ns 
 42.0594 C 	 2041235927807505 ns 
 40.2098 C 	 2041235940088487 ns 
 40.8471 C 	 2041235952337429 ns 
 41.8108 C 	 2041235964923151 ns 
 41.1890 C 	 2041235977550093 ns 
 41.8885 C 	 2041235990164195 ns 
 39.7435 C 	 2041236002508717 ns 
 41.0491 C 	 2041236014717279 ns 
 42.5724 C 	 2041236027311521 ns 
 40.8626 C 	 2041236039774993 ns 
 42.2149 C 	 2041236051932765 ns 
 41.2667 C 	 2041236064179997 ns 
 42.5879 C 	 2041236076891719 ns 
 41.0647 C 	 2041236089534891 ns 
 41.9973 C 	 2041236102435103 ns 
