 42.2149 C 	 2041231638524985 ns 
 41.4533 C 	 2041231659270768 ns 
 42.9454 C 	 2041231682525602 ns 
 40.2564 C 	 2041231698553584 ns 
 42.1372 C 	 2041231710531026 ns 
 42.4636 C 	 2041231723110058 ns 
 42.0594 C 	 2041231743396811 ns 
 41.0181 C 	 2041231756016343 ns 
 41.4533 C 	 2041231768332665 ns 
 42.9609 C 	 2041231780908397 ns 
 42.2304 C 	 2041231793710540 ns 
 43.5360 C 	 2041231805919551 ns 
 42.5102 C 	 2041231818767624 ns 
 41.6242 C 	 2041231830760425 ns 
 41.8263 C 	 2041231843651098 ns 
 42.3858 C 	 2041231856459060 ns 
 42.4169 C 	 2041231868844202 ns 
 41.2512 C 	 2041231881340164 ns 
 42.0439 C 	 2041231894254926 ns 
 42.4169 C 	 2041231906254118 ns 
 41.4377 C 	 2041231918648170 ns 
 41.9662 C 	 2041231932067622 ns 
 41.8418 C 	 2041231943973424 ns 
 41.9506 C 	 2041231956832176 ns 
 41.6242 C 	 2041231969610978 ns 
 42.6656 C 	 2041231981852840 ns 
 42.6967 C 	 2041231994507352 ns 
 42.0594 C 	 2041232007197924 ns 
 43.0853 C 	 2041232019698356 ns 
 42.8210 C 	 2041232032562958 ns 
 42.6501 C 	 2041232049218781 ns 
 42.2460 C 	 2041232061962363 ns 
 42.4169 C 	 2041232074342285 ns 
 40.3342 C 	 2041232086197477 ns 
 40.9870 C 	 2041232098351079 ns 
 43.6915 C 	 2041232110973971 ns 
 42.1216 C 	 2041232123583393 ns 
 41.4377 C 	 2041232135634755 ns 
 42.3392 C 	 2041232148832987 ns 
 40.8005 C 	 2041232160770979 ns 
 42.4169 C 	 2041232172715691 ns 
 42.1838 C 	 2041232185530943 ns 
 42.9143 C 	 2041232198296845 ns 
 42.3548 C 	 2041232214575927 ns 
 42.4169 C 	 2041232226963559 ns 
 40.7227 C 	 2041232238906711 ns 
 42.7900 C 	 2041232250684773 ns 
 41.4533 C 	 2041232263295335 ns 
 42.9765 C 	 2041232275683537 ns 
 42.1216 C 	 2041232287842899 ns 
 42.6501 C 	 2041232300219581 ns 
 41.8418 C 	 2041232312254533 ns 
 41.6709 C 	 2041232325138035 ns 
 41.7175 C 	 2041232337880537 ns 
 40.5207 C 	 2041232350040889 ns 
 41.2512 C 	 2041232362295981 ns 
 42.5257 C 	 2041232375095933 ns 
 41.9040 C 	 2041232387242035 ns 
 42.5568 C 	 2041232399426087 ns 
