 40.2409 C 	 2044745267855582 ns 
 41.3600 C 	 2044745287238705 ns 
 41.5154 C 	 2044745303141377 ns 
 41.4843 C 	 2044745327994521 ns 
 39.9456 C 	 2044745339973073 ns 
 40.8005 C 	 2044745352430335 ns 
 41.3445 C 	 2044745365391897 ns 
 40.5051 C 	 2044745383312280 ns 
 40.3808 C 	 2044745395947712 ns 
 41.2667 C 	 2044745408610054 ns 
 39.9456 C 	 2044745420521046 ns 
 41.5465 C 	 2044745433420838 ns 
 42.8832 C 	 2044745445852330 ns 
 39.9145 C 	 2044745458345712 ns 
 40.0544 C 	 2044745475608585 ns 
 40.6761 C 	 2044745488644397 ns 
 40.1476 C 	 2044745500837479 ns 
 40.1476 C 	 2044745513625821 ns 
 41.9196 C 	 2044745525516533 ns 
 40.1321 C 	 2044745542248766 ns 
 42.4946 C 	 2044745554799538 ns 
 41.5931 C 	 2044745567902490 ns 
 40.4430 C 	 2044745579810062 ns 
 40.5518 C 	 2044745592891534 ns 
 40.5207 C 	 2044745604966116 ns 
 41.6087 C 	 2044745617393258 ns 
 40.6139 C 	 2044745634988561 ns 
 39.5104 C 	 2044745646991593 ns 
 40.5362 C 	 2044745659291415 ns 
 40.6139 C 	 2044745671559977 ns 
 41.5621 C 	 2044745683439229 ns 
 41.9506 C 	 2044745696378651 ns 
 39.6347 C 	 2044745711689513 ns 
 41.3911 C 	 2044745724031965 ns 
 41.2357 C 	 2044745736537407 ns 
 40.5518 C 	 2044745748906739 ns 
 41.7952 C 	 2044745761039641 ns 
 41.2512 C 	 2044745773621853 ns 
 42.2615 C 	 2044745785948075 ns 
 41.8729 C 	 2044745798269617 ns 
 40.5984 C 	 2044745810870489 ns 
 40.9093 C 	 2044745823268051 ns 
 42.0128 C 	 2044745835575673 ns 
 40.8315 C 	 2044745847755675 ns 
 40.7072 C 	 2044745860438747 ns 
 42.3392 C 	 2044745872848999 ns 
 42.2615 C 	 2044745884925381 ns 
 41.5465 C 	 2044745897130103 ns 
 40.1321 C 	 2044745910086685 ns 
 42.3548 C 	 2044745922322517 ns 
 41.8108 C 	 2044745934542479 ns 
 40.9870 C 	 2044745946412491 ns 
 40.7072 C 	 2044745959132433 ns 
 42.0284 C 	 2044745976115556 ns 
 40.6761 C 	 2044745992303588 ns 
 42.0284 C 	 2044746004165170 ns 
 41.9040 C 	 2044746017035862 ns 
 40.4896 C 	 2044746029527684 ns 
 41.1424 C 	 2044746041336016 ns 
 41.1890 C 	 2044746053621198 ns 
 40.4585 C 	 2044746066225640 ns 
 40.8626 C 	 2044746078110832 ns 
 38.9197 C 	 2044746095694825 ns 
 42.1061 C 	 2044746107532887 ns 
 41.2357 C 	 2044746124983440 ns 
 39.6969 C 	 2044746137223052 ns 
 41.3755 C 	 2044746149038524 ns 
 40.6450 C 	 2044746162145346 ns 
 40.5984 C 	 2044746173952898 ns 
 40.3186 C 	 2044746186599820 ns 
 40.9248 C 	 2044746199429232 ns 
 41.7486 C 	 2044746212147164 ns 
 41.7952 C 	 2044746224277726 ns 
 41.8108 C 	 2044746236717858 ns 
 39.5415 C 	 2044746252036310 ns 
 40.7072 C 	 2044746264176352 ns 
 40.2409 C 	 2044746276410654 ns 
 40.2564 C 	 2044746288636916 ns 
 40.8315 C 	 2044746301196448 ns 
 40.9403 C 	 2044746313452710 ns 
 40.7227 C 	 2044746327290962 ns 
 40.8005 C 	 2044746339608904 ns 
 42.6345 C 	 2044746352088186 ns 
 40.4430 C 	 2044746363893098 ns 
 41.1113 C 	 2044746379205701 ns 
 40.3808 C 	 2044746392330373 ns 
 41.1269 C 	 2044746404431775 ns 
 41.1890 C 	 2044746416669017 ns 
 41.9662 C 	 2044746429029799 ns 
 41.0491 C 	 2044746441346781 ns 
 40.7072 C 	 2044746454040833 ns 
 39.7902 C 	 2044746466764285 ns 
 39.4171 C 	 2044746479704517 ns 
 40.4896 C 	 2044746491658229 ns 
 40.9870 C 	 2044746504267051 ns 
 40.6295 C 	 2044746517071923 ns 
 42.2304 C 	 2044746528836695 ns 
 41.3600 C 	 2044746541534617 ns 
 40.8160 C 	 2044746553888799 ns 
 40.3342 C 	 2044746565991071 ns 
 41.6709 C 	 2044746578362863 ns 
 40.9559 C 	 2044746595746035 ns 
 40.4585 C 	 2044746608162557 ns 
 41.1890 C 	 2044746620573469 ns 
 41.0802 C 	 2044746632422061 ns 
 42.4169 C 	 2044746647697674 ns 
 41.8574 C 	 2044746659873506 ns 
 41.1113 C 	 2044746672032778 ns 
 40.1943 C 	 2044746684040670 ns 
 40.1632 C 	 2044746696340162 ns 
 41.3755 C 	 2044746708625314 ns 
 40.5829 C 	 2044746723620366 ns 
 42.1993 C 	 2044746735969208 ns 
 40.7538 C 	 2044746748308780 ns 
 41.4843 C 	 2044746760753292 ns 
 41.3600 C 	 2044746772640704 ns 
 41.3600 C 	 2044746785439366 ns 
 41.9351 C 	 2044746797642738 ns 
 41.9506 C 	 2044746809443540 ns 
 41.3134 C 	 2044746823751502 ns 
 40.9403 C 	 2044746835954934 ns 
 40.3342 C 	 2044746848315956 ns 
 40.0544 C 	 2044746860626548 ns 
 42.0905 C 	 2044746872464730 ns 
 39.6658 C 	 2044746884958772 ns 
 40.8005 C 	 2044746897400284 ns 
 40.2875 C 	 2044746909474476 ns 
 42.3237 C 	 2044746921846868 ns 
 42.0128 C 	 2044746934197000 ns 
 40.1166 C 	 2044746947670632 ns 
 40.6917 C 	 2044746960306154 ns 
 41.4999 C 	 2044746972765096 ns 
 40.7227 C 	 2044746984999788 ns 
 40.2409 C 	 2044746997847560 ns 
 40.6139 C 	 2044747011137772 ns 
 41.7175 C 	 2044747023514994 ns 
 41.3289 C 	 2044747035318046 ns 
 41.0336 C 	 2044747047378948 ns 
 41.3600 C 	 2044747067547261 ns 
 40.7694 C 	 2044747080289523 ns 
 41.2978 C 	 2044747092617875 ns 
 39.7124 C 	 2044747104675087 ns 
 41.1579 C 	 2044747117005569 ns 
 40.3186 C 	 2044747129051021 ns 
 42.2460 C 	 2044747141547073 ns 
 42.2149 C 	 2044747153799525 ns 
 42.0905 C 	 2044747166187427 ns 
 41.1113 C 	 2044747178262549 ns 
 41.6398 C 	 2044747190480501 ns 
 39.8212 C 	 2044747202915473 ns 
 41.5931 C 	 2044747215310065 ns 
 40.5207 C 	 2044747227352967 ns 
 41.2046 C 	 2044747239208159 ns 
 40.8626 C 	 2044747251803811 ns 
 41.2357 C 	 2044747264123643 ns 
 40.9403 C 	 2044747276138555 ns 
 41.9506 C 	 2044747288481877 ns 
 39.5415 C 	 2044747301027099 ns 
 40.8782 C 	 2044747312949251 ns 
 42.0905 C 	 2044747325370663 ns 
 40.3031 C 	 2044747337201195 ns 
 41.8108 C 	 2044747350196447 ns 
 41.8263 C 	 2044747362221259 ns 
 40.4119 C 	 2044747378075571 ns 
 40.1476 C 	 2044747390108573 ns 
 41.0802 C 	 2044747403001795 ns 
 43.1008 C 	 2044747414931957 ns 
 42.2460 C 	 2044747426970689 ns 
 41.1579 C 	 2044747439383281 ns 
 41.1579 C 	 2044747455110274 ns 
 41.8574 C 	 2044747467371576 ns 
 39.8834 C 	 2044747479843028 ns 
 40.9870 C 	 2044747492313220 ns 
 41.4999 C 	 2044747504670612 ns 
 41.3755 C 	 2044747516859224 ns 
 40.2409 C 	 2044747529067276 ns 
 40.3497 C 	 2044747541922578 ns 
 40.5984 C 	 2044747554218470 ns 
 40.5673 C 	 2044747566755382 ns 
 41.8729 C 	 2044747579192694 ns 
 40.2409 C 	 2044747591370446 ns 
 41.6709 C 	 2044747603791348 ns 
 40.0699 C 	 2044747616059100 ns 
 41.5776 C 	 2044747628420662 ns 
 41.0336 C 	 2044747640741214 ns 
 40.4896 C 	 2044747653404216 ns 
 39.8212 C 	 2044747665523048 ns 
 40.2875 C 	 2044747677838380 ns 
 41.4377 C 	 2044747690430642 ns 
 40.3652 C 	 2044747702933444 ns 
 42.3703 C 	 2044747715613966 ns 
 42.0750 C 	 2044747727805428 ns 
 40.8005 C 	 2044747740046900 ns 
 40.3652 C 	 2044747752679692 ns 
 41.2201 C 	 2044747765251914 ns 
 40.9714 C 	 2044747777156036 ns 
 41.7330 C 	 2044747789572888 ns 
 40.0699 C 	 2044747802123840 ns 
 40.9870 C 	 2044747814344282 ns 
 40.0388 C 	 2044747827108564 ns 
 41.7952 C 	 2044747839403076 ns 
 41.5310 C 	 2044747851842338 ns 
 41.7641 C 	 2044747864248810 ns 
 41.7175 C 	 2044747876493072 ns 
 40.1943 C 	 2044747888747804 ns 
 40.5984 C 	 2044747900942206 ns 
 40.7227 C 	 2044747913198227 ns 
 39.5104 C 	 2044747925641059 ns 
 41.4377 C 	 2044747937726141 ns 
 42.0284 C 	 2044747954019414 ns 
 40.0855 C 	 2044747966560376 ns 
 39.8523 C 	 2044747978523208 ns 
 40.7849 C 	 2044747990990640 ns 
 40.3342 C 	 2044748003291212 ns 
 40.7538 C 	 2044748015181294 ns 
 40.5829 C 	 2044748027492456 ns 
 41.8108 C 	 2044748039373958 ns 
 40.4430 C 	 2044748055978240 ns 
 40.3963 C 	 2044748068374482 ns 
 40.5207 C 	 2044748080448374 ns 
 40.6917 C 	 2044748092704666 ns 
 42.6345 C 	 2044748104664348 ns 
 40.3186 C 	 2044748117179630 ns 
 40.9870 C 	 2044748129107032 ns 
 41.4222 C 	 2044748141093264 ns 
 41.1890 C 	 2044748153227576 ns 
 42.4169 C 	 2044748165546688 ns 
 40.4119 C 	 2044748177515220 ns 
 40.9559 C 	 2044748189823442 ns 
 40.3652 C 	 2044748201733204 ns 
 40.3808 C 	 2044748215979396 ns 
 41.9040 C 	 2044748228497378 ns 
 40.3963 C 	 2044748240401770 ns 
 41.6553 C 	 2044748252999552 ns 
 39.8057 C 	 2044748264925784 ns 
 42.1061 C 	 2044748277350766 ns 
 41.0958 C 	 2044748289280988 ns 
 40.7383 C 	 2044748301537370 ns 
 41.5621 C 	 2044748313504792 ns 
 40.1010 C 	 2044748326035284 ns 
 42.2149 C 	 2044748337947476 ns 
 40.9248 C 	 2044748349897798 ns 
 40.3963 C 	 2044748366354660 ns 
 41.5154 C 	 2044748378453992 ns 
 40.6761 C 	 2044748390590074 ns 
 41.2357 C 	 2044748406474897 ns 
 40.2875 C 	 2044748418679469 ns 
 41.7486 C 	 2044748430927661 ns 
 39.8523 C 	 2044748443032933 ns 
 41.4533 C 	 2044748454924485 ns 
 40.1010 C 	 2044748467394587 ns 
 41.6398 C 	 2044748479976529 ns 
 42.4946 C 	 2044748492417231 ns 
 40.6606 C 	 2044748504677363 ns 
 40.5518 C 	 2044748516750475 ns 
 41.1890 C 	 2044748529017777 ns 
 42.1682 C 	 2044748540794398 ns 
 41.2046 C 	 2044748553206180 ns 
 40.6606 C 	 2044748565041572 ns 
 40.3342 C 	 2044748577985704 ns 
 40.9093 C 	 2044748590353806 ns 
 40.8315 C 	 2044748602164838 ns 
 41.0802 C 	 2044748614688940 ns 
 40.9870 C 	 2044748627092292 ns 
 40.4896 C 	 2044748639503234 ns 
 40.4740 C 	 2044748651576826 ns 
 40.4740 C 	 2044748668213839 ns 
 40.9870 C 	 2044748684454252 ns 
 41.2046 C 	 2044748696439374 ns 
 40.7849 C 	 2044748708539395 ns 
 40.2875 C 	 2044748720476907 ns 
 41.0181 C 	 2044748733113059 ns 
 41.2667 C 	 2044748745390891 ns 
 40.3963 C 	 2044748763698604 ns 
 39.8212 C 	 2044748776411196 ns 
 40.5518 C 	 2044748788718368 ns 
 40.3808 C 	 2044748800936680 ns 
 40.4585 C 	 2044748813044922 ns 
 42.5257 C 	 2044748825733814 ns 
 41.5931 C 	 2044748842356457 ns 
 42.4946 C 	 2044748855032449 ns 
 40.6761 C 	 2044748867137571 ns 
 41.6087 C 	 2044748892021675 ns 
 42.1061 C 	 2044748904101627 ns 
 40.7849 C 	 2044748916365569 ns 
 39.2462 C 	 2044748931019671 ns 
 40.2720 C 	 2044748947427604 ns 
 41.7797 C 	 2044748959213286 ns 
 41.5310 C 	 2044748971218418 ns 
 41.7641 C 	 2044748983354230 ns 
 39.7124 C 	 2044748999787662 ns 
 43.0853 C 	 2044749011603164 ns 
 40.3963 C 	 2044749023514726 ns 
 41.5776 C 	 2044749039555489 ns 
 41.3289 C 	 2044749051431141 ns 
 41.5154 C 	 2044749063320413 ns 
 41.0491 C 	 2044749079637085 ns 
 40.8005 C 	 2044749091642427 ns 
 40.7849 C 	 2044749103385989 ns 
 40.1787 C 	 2044749116092161 ns 
 41.9351 C 	 2044749128486873 ns 
 41.4688 C 	 2044749140751835 ns 
 41.7641 C 	 2044749152682027 ns 
 41.6087 C 	 2044749164508959 ns 
 41.4688 C 	 2044749177420631 ns 
 41.1424 C 	 2044749189792873 ns 
 41.6864 C 	 2044749201573305 ns 
 39.8212 C 	 2044749219358988 ns 
 41.8885 C 	 2044749231167590 ns 
 41.3911 C 	 2044749243848292 ns 
 40.1321 C 	 2044749256048904 ns 
 41.8729 C 	 2044749267869775 ns 
 40.9248 C 	 2044749283624608 ns 
 39.8834 C 	 2044749296067380 ns 
 41.5310 C 	 2044749308765152 ns 
 41.5621 C 	 2044749320702784 ns 
 40.3497 C 	 2044749336902397 ns 
 40.8937 C 	 2044749349314839 ns 
 42.9609 C 	 2044749361239991 ns 
 41.7330 C 	 2044749374016093 ns 
 40.8005 C 	 2044749385826074 ns 
 39.9300 C 	 2044749397999056 ns 
 41.3755 C 	 2044749411011799 ns 
 40.6295 C 	 2044749427310081 ns 
 40.8315 C 	 2044749439271773 ns 
 41.0336 C 	 2044749451549965 ns 
 40.1476 C 	 2044749463376057 ns 
 40.4740 C 	 2044749476160649 ns 
 41.0336 C 	 2044749488140911 ns 
 42.6345 C 	 2044749500370473 ns 
 41.6242 C 	 2044749512152465 ns 
 39.6969 C 	 2044749524313237 ns 
 40.4119 C 	 2044749536681459 ns 
 41.3289 C 	 2044749548568481 ns 
 40.0233 C 	 2044749561037443 ns 
 41.7641 C 	 2044749577428995 ns 
 40.1166 C 	 2044749589608937 ns 
 42.0284 C 	 2044749601562529 ns 
 40.4274 C 	 2044749613893491 ns 
 40.4274 C 	 2044749626380123 ns 
 40.3497 C 	 2044749638568075 ns 
 41.3911 C 	 2044749651144527 ns 
 40.4896 C 	 2044749667287710 ns 
 41.3600 C 	 2044749679638652 ns 
 41.3445 C 	 2044749692141604 ns 
 40.4119 C 	 2044749704139656 ns 
 39.5726 C 	 2044749716671798 ns 
 40.8160 C 	 2044749728959650 ns 
 41.5931 C 	 2044749741348272 ns 
 40.2098 C 	 2044749753883774 ns 
 41.0025 C 	 2044749766168086 ns 
 41.0647 C 	 2044749778099418 ns 
 40.3963 C 	 2044749790416880 ns 
 40.9714 C 	 2044749802788672 ns 
 41.4688 C 	 2044749815215154 ns 
 40.5984 C 	 2044749828080026 ns 
 39.7902 C 	 2044749840760818 ns 
 40.0855 C 	 2044749852896870 ns 
 40.6295 C 	 2044749865226302 ns 
 41.1890 C 	 2044749877596144 ns 
 41.6242 C 	 2044749889865246 ns 
 41.1735 C 	 2044749902734318 ns 
 41.3445 C 	 2044749914722920 ns 
 40.2098 C 	 2044749926918282 ns 
 40.6606 C 	 2044749939337894 ns 
 40.7694 C 	 2044749951672846 ns 
 41.3289 C 	 2044749964410398 ns 
 41.2201 C 	 2044749976282390 ns 
 42.4480 C 	 2044749988252541 ns 
 40.1010 C 	 2044750000856023 ns 
 40.1321 C 	 2044750013254905 ns 
 40.8005 C 	 2044750025349257 ns 
 40.5984 C 	 2044750038416600 ns 
 39.5415 C 	 2044750050302571 ns 
 43.0076 C 	 2044750062879413 ns 
 41.0802 C 	 2044750074862645 ns 
 42.2460 C 	 2044750087288947 ns 
 42.0594 C 	 2044750099424039 ns 
 40.0233 C 	 2044750111818391 ns 
 41.6242 C 	 2044750124644713 ns 
 39.8523 C 	 2044750137284195 ns 
 40.7383 C 	 2044750149692647 ns 
 40.6139 C 	 2044750161708789 ns 
 40.2409 C 	 2044750174551401 ns 
 40.7538 C 	 2044750187238253 ns 
 40.3031 C 	 2044750200290266 ns 
 41.5931 C 	 2044750212762768 ns 
 41.6398 C 	 2044750225424780 ns 
 41.8729 C 	 2044750237417882 ns 
 41.3445 C 	 2044750250313114 ns 
 41.2357 C 	 2044750262429036 ns 
 42.1838 C 	 2044750274746378 ns 
 40.2098 C 	 2044750287250020 ns 
 40.6761 C 	 2044750301151572 ns 
 40.1321 C 	 2044750315151704 ns 
 40.8937 C 	 2044750327526676 ns 
 41.7175 C 	 2044750341427328 ns 
 39.9611 C 	 2044750355344841 ns 
 40.9403 C 	 2044750369332643 ns 
 41.7175 C 	 2044750384198035 ns 
 41.1890 C 	 2044750397608247 ns 
 39.9300 C 	 2044750411365830 ns 
 41.1579 C 	 2044750426588162 ns 
 40.2875 C 	 2044750440819264 ns 
 41.3445 C 	 2044750456275897 ns 
 40.5362 C 	 2044750470932129 ns 
 41.0958 C 	 2044750485665911 ns 
 40.3963 C 	 2044750500234094 ns 
 41.0802 C 	 2044750514685846 ns 
 41.6864 C 	 2044750529265578 ns 
 40.5984 C 	 2044750544810231 ns 
 40.9093 C 	 2044750558891363 ns 
 40.9248 C 	 2044750573610326 ns 
 40.3963 C 	 2044750588410018 ns 
 41.8108 C 	 2044750602924500 ns 
 41.3445 C 	 2044750617648593 ns 
 40.5673 C 	 2044750632211465 ns 
 40.3497 C 	 2044750646513517 ns 
 41.3289 C 	 2044750661118000 ns 
 40.8315 C 	 2044750675089272 ns 
 41.9506 C 	 2044750690037434 ns 
 39.8057 C 	 2044750704198397 ns 
 40.9559 C 	 2044750718598039 ns 
 40.7227 C 	 2044750733606231 ns 
 39.6969 C 	 2044750749246944 ns 
 40.7072 C 	 2044750765481327 ns 
 40.2564 C 	 2044750781480629 ns 
 40.5518 C 	 2044750797924052 ns 
 41.4066 C 	 2044750814712324 ns 
 41.7330 C 	 2044750831322217 ns 
 40.3186 C 	 2044750853396431 ns 
 40.7538 C 	 2044750873595794 ns 
 42.3392 C 	 2044750891873417 ns 
 40.6917 C 	 2044750908427780 ns 
 41.1113 C 	 2044750927107343 ns 
 41.3911 C 	 2044750944884475 ns 
 40.7383 C 	 2044750961292438 ns 
 41.0025 C 	 2044750976911431 ns 
 40.2564 C 	 2044750993123613 ns 
 40.8315 C 	 2044751008386566 ns 
 40.6606 C 	 2044751022872518 ns 
 41.9973 C 	 2044751037389970 ns 
 41.4066 C 	 2044751051570253 ns 
 41.1735 C 	 2044751066495375 ns 
 40.6139 C 	 2044751080645867 ns 
 41.0181 C 	 2044751094884290 ns 
 41.8418 C 	 2044751109251562 ns 
 40.9403 C 	 2044751123162294 ns 
 39.3394 C 	 2044751138990627 ns 
 41.7486 C 	 2044751153991619 ns 
 42.0128 C 	 2044751169277551 ns 
 40.3652 C 	 2044751184829914 ns 
 43.2096 C 	 2044751200278896 ns 
 41.7952 C 	 2044751214703349 ns 
 41.0491 C 	 2044751230920451 ns 
 39.6347 C 	 2044751245151044 ns 
 40.3497 C 	 2044751259632406 ns 
 41.1890 C 	 2044751275178649 ns 
 40.9403 C 	 2044751291882261 ns 
 41.3445 C 	 2044751307661514 ns 
 42.3703 C 	 2044751323121086 ns 
 41.2667 C 	 2044751338742629 ns 
 41.2046 C 	 2044751355327201 ns 
 42.0750 C 	 2044751370360954 ns 
 41.5931 C 	 2044751385990026 ns 
 40.9093 C 	 2044751401624559 ns 
 41.6864 C 	 2044751417602441 ns 
 40.9248 C 	 2044751432006134 ns 
 42.1216 C 	 2044751449292467 ns 
 41.5465 C 	 2044751466629709 ns 
 40.8160 C 	 2044751483672682 ns 
 40.9248 C 	 2044751501228685 ns 
 40.3342 C 	 2044751515753787 ns 
 40.7538 C 	 2044751533061420 ns 
 41.0647 C 	 2044751546617222 ns 
 41.0802 C 	 2044751562014425 ns 
 40.9714 C 	 2044751577168987 ns 
 41.4377 C 	 2044751593677150 ns 
 42.3081 C 	 2044751609309012 ns 
 41.2046 C 	 2044751624669345 ns 
 42.0284 C 	 2044751642958608 ns 
 41.9662 C 	 2044751661676961 ns 
 39.8834 C 	 2044751677933663 ns 
 41.0025 C 	 2044751693959276 ns 
 41.5154 C 	 2044751710041439 ns 
 40.1166 C 	 2044751727334161 ns 
 40.7072 C 	 2044751744457354 ns 
 40.1476 C 	 2044751758773416 ns 
 41.6242 C 	 2044751772907679 ns 
 40.5362 C 	 2044751786896081 ns 
 41.1113 C 	 2044751800835763 ns 
 40.8005 C 	 2044751815540055 ns 
 40.1787 C 	 2044751831344178 ns 
 41.5310 C 	 2044751848799111 ns 
 40.8315 C 	 2044751865246883 ns 
 40.4740 C 	 2044751886565277 ns 
 41.8263 C 	 2044751906339300 ns 
 40.4119 C 	 2044751922422393 ns 
 42.1216 C 	 2044751945290856 ns 
 42.8366 C 	 2044751966967300 ns 
 40.8005 C 	 2044751985736713 ns 
 41.0181 C 	 2044752003522426 ns 
 39.7280 C 	 2044752020933889 ns 
 41.4066 C 	 2044752037813031 ns 
 39.7591 C 	 2044752054584924 ns 
 41.8418 C 	 2044752073748117 ns 
 41.5465 C 	 2044752089752490 ns 
 39.7902 C 	 2044752104795812 ns 
 41.3755 C 	 2044752119441424 ns 
 40.8315 C 	 2044752135116877 ns 
 40.4119 C 	 2044752150662999 ns 
 40.1787 C 	 2044752165161192 ns 
 40.4896 C 	 2044752181039654 ns 
 40.4740 C 	 2044752196707517 ns 
 41.6242 C 	 2044752211601469 ns 
 40.9559 C 	 2044752225581291 ns 
 41.3600 C 	 2044752240868094 ns 
 41.1113 C 	 2044752258367697 ns 
 41.3911 C 	 2044752273521179 ns 
 41.1579 C 	 2044752289240522 ns 
 41.4999 C 	 2044752309689035 ns 
 40.1166 C 	 2044752325912648 ns 
 41.4533 C 	 2044752347832781 ns 
 39.6814 C 	 2044752369765845 ns 
 40.1321 C 	 2044752398241039 ns 
 40.7227 C 	 2044752420915703 ns 
 41.9040 C 	 2044752440834956 ns 
 40.7072 C 	 2044752463001870 ns 
 42.0128 C 	 2044752479878642 ns 
 41.1735 C 	 2044752497547805 ns 
 40.6606 C 	 2044752513247708 ns 
 41.6709 C 	 2044752527910720 ns 
 42.4791 C 	 2044752542158352 ns 
 41.2512 C 	 2044752555983585 ns 
 41.7330 C 	 2044752570197467 ns 
 40.2875 C 	 2044752584939409 ns 
 41.4222 C 	 2044752599638212 ns 
 41.3134 C 	 2044752614749424 ns 
 41.3134 C 	 2044752629510596 ns 
 41.8418 C 	 2044752643554649 ns 
 41.5621 C 	 2044752658467411 ns 
 41.6242 C 	 2044752672747533 ns 
 41.5465 C 	 2044752686591156 ns 
 41.3755 C 	 2044752700992058 ns 
 41.2046 C 	 2044752716520870 ns 
 40.6450 C 	 2044752732971913 ns 
 42.4636 C 	 2044752749010546 ns 
 40.5051 C 	 2044752767062929 ns 
 41.8729 C 	 2044752785112252 ns 
 40.7227 C 	 2044752802994204 ns 
 40.1010 C 	 2044752825208338 ns 
 39.7746 C 	 2044752840381380 ns 
 40.9093 C 	 2044752855732653 ns 
 40.9559 C 	 2044752875851976 ns 
 40.0699 C 	 2044752891930449 ns 
 41.1269 C 	 2044752906094171 ns 
 41.6553 C 	 2044752920913753 ns 
 40.6917 C 	 2044752935167236 ns 
 40.1787 C 	 2044752949567508 ns 
 42.0439 C 	 2044752963782170 ns 
 41.8108 C 	 2044752979148383 ns 
 41.4688 C 	 2044752994684845 ns 
 41.1735 C 	 2044753009848048 ns 
 41.0802 C 	 2044753026451580 ns 
 41.4066 C 	 2044753041543143 ns 
 41.1424 C 	 2044753057863865 ns 
 40.8471 C 	 2044753072804108 ns 
 41.4066 C 	 2044753087724670 ns 
 42.1061 C 	 2044753101854403 ns 
 40.1787 C 	 2044753116543155 ns 
 42.0905 C 	 2044753131439147 ns 
 41.7330 C 	 2044753145644810 ns 
 41.8418 C 	 2044753159147452 ns 
 40.8626 C 	 2044753173952904 ns 
 40.1943 C 	 2044753188453046 ns 
 40.6761 C 	 2044753202850919 ns 
 41.0336 C 	 2044753217673621 ns 
 40.4274 C 	 2044753232081453 ns 
 40.3808 C 	 2044753246664216 ns 
 40.5051 C 	 2044753260940168 ns 
 40.7538 C 	 2044753275372540 ns 
 41.1579 C 	 2044753292348703 ns 
 41.5931 C 	 2044753307787696 ns 
 41.5776 C 	 2044753321869938 ns 
 40.5984 C 	 2044753336537690 ns 
 41.5154 C 	 2044753351303333 ns 
 40.8937 C 	 2044753365764355 ns 
 40.4119 C 	 2044753379937857 ns 
 40.7227 C 	 2044753395014180 ns 
 41.6087 C 	 2044753409795152 ns 
 40.7383 C 	 2044753423792824 ns 
 41.2357 C 	 2044753438785087 ns 
 40.3497 C 	 2044753453218779 ns 
 41.7797 C 	 2044753467710491 ns 
 40.4119 C 	 2044753482686074 ns 
 41.4843 C 	 2044753497242796 ns 
 41.3289 C 	 2044753515095319 ns 
 41.7486 C 	 2044753530872472 ns 
 41.7641 C 	 2044753545526754 ns 
 42.4325 C 	 2044753560469456 ns 
 41.5310 C 	 2044753575336109 ns 
 41.4222 C 	 2044753589986881 ns 
 41.6242 C 	 2044753605777984 ns 
 41.6398 C 	 2044753620782096 ns 
 40.9870 C 	 2044753635416368 ns 
 40.4274 C 	 2044753650543091 ns 
 39.7124 C 	 2044753667901064 ns 
 41.2667 C 	 2044753683337896 ns 
 41.0802 C 	 2044753699223949 ns 
 40.4740 C 	 2044753714515281 ns 
 40.4740 C 	 2044753730244014 ns 
 40.8782 C 	 2044753745398366 ns 
 40.2564 C 	 2044753759757388 ns 
 41.7486 C 	 2044753774182741 ns 
 40.8471 C 	 2044753788498953 ns 
 40.8315 C 	 2044753803298615 ns 
 40.2254 C 	 2044753820261128 ns 
 41.1579 C 	 2044753836194191 ns 
 42.6656 C 	 2044753851827673 ns 
 41.0647 C 	 2044753866412566 ns 
 41.8263 C 	 2044753880869928 ns 
 40.6761 C 	 2044753897424711 ns 
 41.5621 C 	 2044753911417013 ns 
 39.8679 C 	 2044753926686685 ns 
 41.2978 C 	 2044753943108568 ns 
 41.9662 C 	 2044753959561351 ns 
 40.9559 C 	 2044753976329433 ns 
 40.5829 C 	 2044753992057056 ns 
 41.0802 C 	 2044754009560049 ns 
 40.7383 C 	 2044754027034001 ns 
 41.1113 C 	 2044754043307684 ns 
 40.7538 C 	 2044754058951517 ns 
 41.2201 C 	 2044754074913139 ns 
 40.9870 C 	 2044754090577702 ns 
 42.0128 C 	 2044754108623065 ns 
 40.2564 C 	 2044754124845447 ns 
 41.0336 C 	 2044754141447270 ns 
 41.3600 C 	 2044754161527503 ns 
 40.8160 C 	 2044754182822916 ns 
 40.5518 C 	 2044754203710120 ns 
 41.3445 C 	 2044754221949223 ns 
 40.9403 C 	 2044754244792726 ns 
 41.5465 C 	 2044754268786070 ns 
 42.3237 C 	 2044754286625183 ns 
 41.3911 C 	 2044754306240656 ns 
 39.3550 C 	 2044754325125749 ns 
 40.1166 C 	 2044754342352532 ns 
 41.2667 C 	 2044754358874975 ns 
 40.4430 C 	 2044754373991137 ns 
 39.8679 C 	 2044754390269290 ns 
 41.5310 C 	 2044754405764562 ns 
