 42.1527 C 	 2091867404538926 ns 
 42.1682 C 	 2091867421524418 ns 
 41.0181 C 	 2091867443649692 ns 
 41.1735 C 	 2091867465757716 ns 
 41.8574 C 	 2091867483127658 ns 
 41.8108 C 	 2091867498146561 ns 
 41.4377 C 	 2091867513746743 ns 
 41.8108 C 	 2091867529444486 ns 
 41.9662 C 	 2091867545161398 ns 
 41.8418 C 	 2091867561425361 ns 
 42.0905 C 	 2091867576120383 ns 
 42.6345 C 	 2091867587986915 ns 
 41.8418 C 	 2091867605209348 ns 
 42.6812 C 	 2091867617430000 ns 
 42.4636 C 	 2091867633135513 ns 
 41.7641 C 	 2091867647782385 ns 
 41.6864 C 	 2091867663130867 ns 
 42.3703 C 	 2091867679054570 ns 
 41.8729 C 	 2091867692083002 ns 
 40.5673 C 	 2091867708205305 ns 
 42.2926 C 	 2091867720303017 ns 
 41.7330 C 	 2091867736605679 ns 
 42.6034 C 	 2091867752528842 ns 
 42.7122 C 	 2091867764628954 ns 
 42.5413 C 	 2091867780329066 ns 
 42.2149 C 	 2091867794658539 ns 
 41.5154 C 	 2091867810696871 ns 
 42.8210 C 	 2091867826370614 ns 
 42.1993 C 	 2091867840068616 ns 
 42.1838 C 	 2091867856301348 ns 
 40.8315 C 	 2091867868178710 ns 
 42.0594 C 	 2091867884403313 ns 
 42.1527 C 	 2091867900293386 ns 
 43.3340 C 	 2091867918127428 ns 
 42.2926 C 	 2091867930289940 ns 
 42.8832 C 	 2091867947563733 ns 
 41.4533 C 	 2091867968817207 ns 
 41.5310 C 	 2091867984435569 ns 
 42.1527 C 	 2091868009546773 ns 
 41.9973 C 	 2091868029828426 ns 
 40.8160 C 	 2091868045675929 ns 
 41.5465 C 	 2091868063282992 ns 
 42.5413 C 	 2091868082547915 ns 
 42.0750 C 	 2091868100284668 ns 
 42.1372 C 	 2091868117709841 ns 
 43.1941 C 	 2091868129528162 ns 
 41.8263 C 	 2091868148947646 ns 
 41.5621 C 	 2091868170443639 ns 
 41.7486 C 	 2091868186141862 ns 
 42.3392 C 	 2091868205292095 ns 
 42.4014 C 	 2091868221086197 ns 
 42.5102 C 	 2091868238393020 ns 
 41.0336 C 	 2091868254469153 ns 
 41.8574 C 	 2091868269718005 ns 
 42.6967 C 	 2091868289789388 ns 
 41.8418 C 	 2091868305899481 ns 
 42.2770 C 	 2091868321564913 ns 
 42.7589 C 	 2091868338845576 ns 
 43.3651 C 	 2091868358061359 ns 
 42.9765 C 	 2091868375302782 ns 
 40.5207 C 	 2091868391517635 ns 
