 43.1008 C 	 2092010464266009 ns 
 40.2720 C 	 2092010477734031 ns 
 43.6915 C 	 2092010493350533 ns 
 42.9143 C 	 2092010510769346 ns 
 41.7486 C 	 2092010522143308 ns 
 41.5465 C 	 2092010538029181 ns 
 41.7486 C 	 2092010552463533 ns 
 42.3703 C 	 2092010568766736 ns 
 42.5879 C 	 2092010587284538 ns 
 42.5413 C 	 2092010599286370 ns 
 41.9196 C 	 2092010613591843 ns 
 43.0231 C 	 2092010631104226 ns 
 42.7900 C 	 2092010644446458 ns 
 41.0491 C 	 2092010658939220 ns 
 41.6864 C 	 2092010680007413 ns 
 41.8885 C 	 2092010691681375 ns 
 43.6448 C 	 2092010707069188 ns 
 42.4014 C 	 2092010724215541 ns 
 43.0231 C 	 2092010736638843 ns 
 41.2201 C 	 2092010748385644 ns 
 43.1630 C 	 2092010763375537 ns 
 41.2357 C 	 2092010776919369 ns 
 42.7744 C 	 2092010790778321 ns 
 41.7486 C 	 2092010802733593 ns 
 42.2149 C 	 2092010818671306 ns 
 43.7225 C 	 2092010833476548 ns 
 42.1372 C 	 2092010846582140 ns 
 41.8418 C 	 2092010861111773 ns 
 41.5465 C 	 2092010872480694 ns 
 42.1838 C 	 2092010884625356 ns 
 41.8418 C 	 2092010900241739 ns 
 41.9040 C 	 2092010912018241 ns 
 42.4169 C 	 2092010925710693 ns 
 43.5982 C 	 2092010939004535 ns 
 42.8210 C 	 2092010956939348 ns 
 42.1838 C 	 2092010968900620 ns 
 42.0750 C 	 2092010980198532 ns 
 42.2770 C 	 2092010994443944 ns 
 41.5465 C 	 2092011010344607 ns 
 42.7122 C 	 2092011026013639 ns 
 43.0542 C 	 2092011037597151 ns 
 42.2615 C 	 2092011052458883 ns 
 41.3445 C 	 2092011068453266 ns 
 42.2149 C 	 2092011083933658 ns 
 42.0439 C 	 2092011095916410 ns 
 43.7692 C 	 2092011111926003 ns 
 43.1164 C 	 2092011123289075 ns 
 42.2770 C 	 2092011135218667 ns 
 43.3806 C 	 2092011151190009 ns 
 41.3600 C 	 2092011163063171 ns 
 42.2770 C 	 2092011177943774 ns 
 42.9920 C 	 2092011189880295 ns 
 42.4325 C 	 2092011202236007 ns 
 43.0076 C 	 2092011219290530 ns 
 44.4220 C 	 2092011230900352 ns 
 42.2304 C 	 2092011247320075 ns 
 42.8055 C 	 2092011263272517 ns 
 42.2926 C 	 2092011274857289 ns 
 42.5102 C 	 2092011288060381 ns 
 42.3081 C 	 2092011303961554 ns 
 41.1735 C 	 2092011315336296 ns 
 42.4946 C 	 2092011327183748 ns 
 42.7589 C 	 2092011343643940 ns 
 41.7797 C 	 2092011355156922 ns 
 42.8832 C 	 2092011367341454 ns 
 42.4480 C 	 2092011383268637 ns 
 42.2304 C 	 2092011395080628 ns 
 42.5257 C 	 2092011409873241 ns 
 41.5310 C 	 2092011421531363 ns 
 41.8729 C 	 2092011434465235 ns 
 41.8729 C 	 2092011450233687 ns 
 42.2615 C 	 2092011461757259 ns 
 41.8108 C 	 2092011473681301 ns 
 42.6967 C 	 2092011489103884 ns 
 41.3755 C 	 2092011501044486 ns 
 40.6761 C 	 2092011516791338 ns 
 43.1475 C 	 2092011528080370 ns 
 43.3495 C 	 2092011541030592 ns 
 43.1164 C 	 2092011556643554 ns 
 42.0594 C 	 2092011568138956 ns 
 41.7641 C 	 2092011579933638 ns 
 42.1372 C 	 2092011595236011 ns 
 43.6137 C 	 2092011606867013 ns 
 42.5257 C 	 2092011622855725 ns 
 41.5465 C 	 2092011634364447 ns 
 42.7589 C 	 2092011650132750 ns 
 42.4169 C 	 2092011661925061 ns 
 41.6087 C 	 2092011673444793 ns 
 41.9506 C 	 2092011686371585 ns 
 41.9973 C 	 2092011699211527 ns 
 43.6604 C 	 2092011715182270 ns 
 42.4636 C 	 2092011727012772 ns 
 43.1475 C 	 2092011739076944 ns 
 43.3495 C 	 2092011755594917 ns 
 41.6709 C 	 2092011767186558 ns 
 43.1164 C 	 2092011778482730 ns 
 41.4222 C 	 2092011795294193 ns 
 42.6656 C 	 2092011807223995 ns 
 43.0697 C 	 2092011818616617 ns 
 41.9662 C 	 2092011833268139 ns 
 42.5102 C 	 2092011848695251 ns 
 42.6034 C 	 2092011860593133 ns 
 42.0284 C 	 2092011872459335 ns 
 42.6501 C 	 2092011887896078 ns 
 42.6812 C 	 2092011899745720 ns 
 42.2460 C 	 2092011911156012 ns 
 41.5154 C 	 2092011926072374 ns 
 42.1993 C 	 2092011941903916 ns 
 42.8055 C 	 2092011953415458 ns 
 42.5724 C 	 2092011965244220 ns 
 43.4117 C 	 2092011982143553 ns 
 40.8160 C 	 2092011993979005 ns 
 41.3755 C 	 2092012005814337 ns 
 41.4533 C 	 2092012021352689 ns 
 42.8210 C 	 2092012033182831 ns 
 41.9506 C 	 2092012045095383 ns 
 42.2926 C 	 2092012060957886 ns 
 43.6448 C 	 2092012072496878 ns 
 41.4533 C 	 2092012085308140 ns 
 41.3600 C 	 2092012101059582 ns 
 41.7641 C 	 2092012113081034 ns 
 43.0076 C 	 2092012124987586 ns 
 42.3392 C 	 2092012139056928 ns 
 40.7072 C 	 2092012152732730 ns 
 42.9298 C 	 2092012165986463 ns 
 43.4428 C 	 2092012183695705 ns 
 43.1164 C 	 2092012204068259 ns 
 41.7641 C 	 2092012220031441 ns 
 42.9298 C 	 2092012231942643 ns 
 42.4480 C 	 2092012244846695 ns 
 42.6812 C 	 2092012258485357 ns 
 42.3858 C 	 2092012272222330 ns 
 42.4636 C 	 2092012285218332 ns 
 42.9454 C 	 2092012298762224 ns 
 43.1785 C 	 2092012311674946 ns 
 42.7744 C 	 2092012325690738 ns 
 42.7589 C 	 2092012338770020 ns 
 42.5724 C 	 2092012352059363 ns 
 42.2615 C 	 2092012365820845 ns 
 41.9196 C 	 2092012379459117 ns 
 42.2304 C 	 2092012393887799 ns 
 42.3858 C 	 2092012410393652 ns 
 42.9298 C 	 2092012424276994 ns 
 42.0128 C 	 2092012435944446 ns 
 43.1630 C 	 2092012451942369 ns 
 42.4636 C 	 2092012463691180 ns 
 42.5724 C 	 2092012475342972 ns 
 43.2407 C 	 2092012492399775 ns 
 42.0594 C 	 2092012504369567 ns 
 41.3911 C 	 2092012516511799 ns 
 43.2873 C 	 2092012532467272 ns 
 40.9870 C 	 2092012544383813 ns 
 42.0905 C 	 2092012556113815 ns 
 43.1319 C 	 2092012571983248 ns 
 42.3081 C 	 2092012583699570 ns 
 42.7122 C 	 2092012596631732 ns 
 41.6242 C 	 2092012611934554 ns 
 42.9143 C 	 2092012623740276 ns 
 43.3806 C 	 2092012635958438 ns 
 42.7433 C 	 2092012651022821 ns 
 42.6656 C 	 2092012662865893 ns 
 41.8418 C 	 2092012675950575 ns 
 41.8418 C 	 2092012690919497 ns 
 42.2615 C 	 2092012703040219 ns 
 42.0284 C 	 2092012719505062 ns 
 42.4480 C 	 2092012731194114 ns 
 41.3600 C 	 2092012746744106 ns 
 41.0025 C 	 2092012758357468 ns 
 43.1319 C 	 2092012775116221 ns 
 41.8729 C 	 2092012786879222 ns 
 42.2926 C 	 2092012802280775 ns 
 41.8418 C 	 2092012813790427 ns 
 42.4169 C 	 2092012829408549 ns 
 42.4169 C 	 2092012841112271 ns 
 42.3081 C 	 2092012852690713 ns 
 43.3495 C 	 2092012865521235 ns 
 41.8729 C 	 2092012881564968 ns 
 43.3184 C 	 2092012893211660 ns 
 41.1269 C 	 2092012909145772 ns 
 42.7744 C 	 2092012920593354 ns 
 41.5310 C 	 2092012932004696 ns 
 41.6864 C 	 2092012947404508 ns 
 43.2096 C 	 2092012958907440 ns 
 42.7122 C 	 2092012970551522 ns 
 42.3081 C 	 2092012986214345 ns 
 42.1993 C 	 2092012997873276 ns 
 42.0905 C 	 2092013009618158 ns 
 43.0231 C 	 2092013026176451 ns 
 43.0386 C 	 2092013037785493 ns 
 43.2252 C 	 2092013053679135 ns 
 40.7849 C 	 2092013065401577 ns 
 41.7175 C 	 2092013080672180 ns 
 42.0284 C 	 2092013096391552 ns 
