app_id: 4, app_name: pulse_doppler_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2114963158175733, ref_stop_time: 2114963158333293, actual_exe_time: 157560, task_app_start_time:2114963155753773, task_sched_time:2114963158165773
app_id: 4, app_name: pulse_doppler_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2114963158776784, ref_stop_time: 2114963158842934, actual_exe_time: 66150, task_app_start_time:2114963155753773, task_sched_time:2114963158771144
app_id: 4, app_name: pulse_doppler_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 2114963159295874, ref_stop_time: 2114963159318824, actual_exe_time: 22950, task_app_start_time:2114963155753773, task_sched_time:2114963159288854
app_id: 4, app_name: pulse_doppler_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2114963164996715, ref_stop_time: 2114963165091395, actual_exe_time: 94680, task_app_start_time:2114963155753773, task_sched_time:2114963163852574
app_id: 4, app_name: pulse_doppler_api-aarch64, task_id: 4, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2114963166135215, ref_stop_time: 2114963166180695, actual_exe_time: 45480, task_app_start_time:2114963155753773, task_sched_time:2114963166131735
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2114963169401585, ref_stop_time: 2114963169496565, actual_exe_time: 94980, task_app_start_time:2114963165144645, task_sched_time:2114963169393845
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2114963170067855, ref_stop_time: 2114963170237955, actual_exe_time: 170100, task_app_start_time:2114963165144645, task_sched_time:2114963170019705
app_id: 4, app_name: pulse_doppler_api-aarch64, task_id: 5, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2114963170323305, ref_stop_time: 2114963170349495, actual_exe_time: 26190, task_app_start_time:2114963155753773, task_sched_time:2114963169105035
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 2114963171245536, ref_stop_time: 2114963171636526, actual_exe_time: 390990, task_app_start_time:2114963165144645, task_sched_time:2114963171241426
app_id: 4, app_name: pulse_doppler_api-aarch64, task_id: 6, task_name: DASH_ZIP, resource_name: zip2, ref_start_time: 2114963173150146, ref_stop_time: 2114963173210416, actual_exe_time: 60270, task_app_start_time:2114963155753773, task_sched_time:2114963173145646
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2114963173529346, ref_stop_time: 2114963173641876, actual_exe_time: 112530, task_app_start_time:2114963165144645, task_sched_time:2114963173522206
