 41.9351 C 	 2088396808986094 ns 
 40.8315 C 	 2088396822338796 ns 
 40.3186 C 	 2088396838625019 ns 
 40.9248 C 	 2088396854507021 ns 
 41.9817 C 	 2088396870584954 ns 
 41.3600 C 	 2088396891677387 ns 
 41.9973 C 	 2088396907389890 ns 
 41.9506 C 	 2088396922627372 ns 
 41.9196 C 	 2088396939095995 ns 
 41.9196 C 	 2088396954456387 ns 
 41.8263 C 	 2088396969971940 ns 
 40.7694 C 	 2088396981337232 ns 
 40.9248 C 	 2088396995808214 ns 
 41.5154 C 	 2088397011746227 ns 
 41.7952 C 	 2088397027864269 ns 
 41.4222 C 	 2088397043072652 ns 
 41.1579 C 	 2088397054780154 ns 
 40.6917 C 	 2088397070429866 ns 
 41.4066 C 	 2088397085626969 ns 
 40.8782 C 	 2088397101467511 ns 
 42.4169 C 	 2088397117350264 ns 
 42.7589 C 	 2088397128903686 ns 
 41.3755 C 	 2088397144303588 ns 
 44.3909 C 	 2088397156233000 ns 
 40.9870 C 	 2088397171599392 ns 
 39.7435 C 	 2088397183034134 ns 
 41.0647 C 	 2088397198284697 ns 
 41.5154 C 	 2088397209948129 ns 
 41.8108 C 	 2088397221542080 ns 
 40.8471 C 	 2088397235623993 ns 
 41.7330 C 	 2088397251490875 ns 
 43.1475 C 	 2088397263159917 ns 
 41.4999 C 	 2088397274779519 ns 
 41.5154 C 	 2088397290125571 ns 
 42.0905 C 	 2088397301860703 ns 
 41.8729 C 	 2088397317592316 ns 
 41.4843 C 	 2088397329021298 ns 
 41.9196 C 	 2088397341077070 ns 
 42.4946 C 	 2088397356536252 ns 
 40.5051 C 	 2088397368130414 ns 
 40.8160 C 	 2088397379753016 ns 
 41.0025 C 	 2088397395566168 ns 
 42.1993 C 	 2088397407239530 ns 
 41.0336 C 	 2088397418693712 ns 
 40.7072 C 	 2088397431853664 ns 
 41.9040 C 	 2088397447621337 ns 
 42.2149 C 	 2088397459120399 ns 
 41.3289 C 	 2088397470804651 ns 
 41.0491 C 	 2088397488093683 ns 
 41.8263 C 	 2088397502607446 ns 
 42.4480 C 	 2088397519262758 ns 
 41.6709 C 	 2088397535011171 ns 
 41.5776 C 	 2088397550318403 ns 
 42.0284 C 	 2088397565569356 ns 
 41.1269 C 	 2088397577036828 ns 
 41.4377 C 	 2088397592413870 ns 
 40.7072 C 	 2088397604448102 ns 
 41.7952 C 	 2088397615733744 ns 
 42.8210 C 	 2088397631128396 ns 
 41.6398 C 	 2088397642817418 ns 
 41.1424 C 	 2088397658235621 ns 
 41.5310 C 	 2088397670295233 ns 
 41.0181 C 	 2088397681765315 ns 
 40.4119 C 	 2088397697027397 ns 
 41.9506 C 	 2088397708883579 ns 
 42.0439 C 	 2088397720012921 ns 
 42.4946 C 	 2088397735962273 ns 
 40.2875 C 	 2088397747823855 ns 
 43.3029 C 	 2088397763277908 ns 
 40.3031 C 	 2088397775139280 ns 
 41.7797 C 	 2088397786785311 ns 
 41.0802 C 	 2088397802576804 ns 
 42.0905 C 	 2088397814070286 ns 
 42.1216 C 	 2088397825638018 ns 
 42.0284 C 	 2088397839274130 ns 
 41.0802 C 	 2088397854732142 ns 
 41.9817 C 	 2088397866646134 ns 
 41.8263 C 	 2088397877965856 ns 
 41.8729 C 	 2088397891672768 ns 
 41.1269 C 	 2088397907377261 ns 
 42.3392 C 	 2088397918890753 ns 
 41.8263 C 	 2088397930546505 ns 
 42.9143 C 	 2088397943595637 ns 
 41.7175 C 	 2088397959205509 ns 
 41.9662 C 	 2088397970876621 ns 
 40.5518 C 	 2088397986208034 ns 
 42.1838 C 	 2088397997835375 ns 
 41.5621 C 	 2088398014238088 ns 
 43.6137 C 	 2088398025982760 ns 
 41.4843 C 	 2088398041185892 ns 
 41.7797 C 	 2088398057110705 ns 
 42.5413 C 	 2088398068682247 ns 
 41.0491 C 	 2088398084632559 ns 
 42.4946 C 	 2088398096007871 ns 
 42.0439 C 	 2088398108669373 ns 
 41.4843 C 	 2088398123694006 ns 
 40.7227 C 	 2088398139760748 ns 
 40.9559 C 	 2088398155413851 ns 
 42.5724 C 	 2088398167194793 ns 
 41.3755 C 	 2088398182916775 ns 
 41.8574 C 	 2088398195410007 ns 
 41.9817 C 	 2088398207382499 ns 
 42.0750 C 	 2088398221095561 ns 
 42.4325 C 	 2088398237013534 ns 
 42.8832 C 	 2088398249285786 ns 
 41.9351 C 	 2088398264883388 ns 
 41.9040 C 	 2088398276794920 ns 
 41.0336 C 	 2088398288317442 ns 
 40.0078 C 	 2088398301220114 ns 
 42.0128 C 	 2088398316787957 ns 
 41.0491 C 	 2088398328616839 ns 
 42.6967 C 	 2088398344957301 ns 
 40.9714 C 	 2088398356605973 ns 
 41.9506 C 	 2088398368811565 ns 
 41.5154 C 	 2088398383046357 ns 
 41.2512 C 	 2088398397388520 ns 
 42.1838 C 	 2088398414810002 ns 
 41.9506 C 	 2088398426945814 ns 
 41.9196 C 	 2088398441404917 ns 
 41.6864 C 	 2088398454031019 ns 
 41.5776 C 	 2088398467464781 ns 
 41.5931 C 	 2088398484623314 ns 
 41.4377 C 	 2088398498780616 ns 
 41.3445 C 	 2088398514012398 ns 
 41.2046 C 	 2088398529495731 ns 
 40.8937 C 	 2088398545805534 ns 
 40.7849 C 	 2088398561627836 ns 
 41.0336 C 	 2088398573783778 ns 
 41.1579 C 	 2088398589227181 ns 
 41.4688 C 	 2088398605302653 ns 
 41.5931 C 	 2088398617319965 ns 
 43.1319 C 	 2088398633071798 ns 
 40.9714 C 	 2088398649282810 ns 
 42.1993 C 	 2088398661362132 ns 
 40.7694 C 	 2088398672854324 ns 
 42.4169 C 	 2088398691213817 ns 
 43.1475 C 	 2088398706150219 ns 
 42.2460 C 	 2088398717836841 ns 
 41.4533 C 	 2088398734274324 ns 
 41.0181 C 	 2088398750970137 ns 
 41.6709 C 	 2088398762792028 ns 
 41.5931 C 	 2088398778968091 ns 
 41.0336 C 	 2088398794862124 ns 
 41.7952 C 	 2088398808952886 ns 
 41.3445 C 	 2088398825324519 ns 
 41.3911 C 	 2088398841316741 ns 
 40.5518 C 	 2088398853145323 ns 
 41.5154 C 	 2088398866983965 ns 
 41.4377 C 	 2088398881956548 ns 
 42.7122 C 	 2088398897811040 ns 
 41.4066 C 	 2088398913950833 ns 
 41.1890 C 	 2088398929178865 ns 
 40.6761 C 	 2088398943470178 ns 
 44.0334 C 	 2088398958126350 ns 
 42.4636 C 	 2088398973082552 ns 
 40.5362 C 	 2088398985114954 ns 
 41.0181 C 	 2088398997170726 ns 
 42.2460 C 	 2088399012714509 ns 
 41.1424 C 	 2088399028961221 ns 
 41.6398 C 	 2088399043487974 ns 
 42.1527 C 	 2088399055062786 ns 
 41.7175 C 	 2088399071954978 ns 
 40.8471 C 	 2088399085130830 ns 
 41.0491 C 	 2088399101216503 ns 
 41.6709 C 	 2088399112878405 ns 
 41.5776 C 	 2088399128561027 ns 
 42.8055 C 	 2088399144809480 ns 
 41.2046 C 	 2088399157436962 ns 
 42.3548 C 	 2088399173050345 ns 
 42.2460 C 	 2088399185200586 ns 
