 43.6448 C 	 2091867404488256 ns 
 42.4791 C 	 2091867421478848 ns 
 41.5776 C 	 2091867443605652 ns 
 41.3600 C 	 2091867465713436 ns 
 41.6709 C 	 2091867483082238 ns 
 42.8677 C 	 2091867498102071 ns 
 42.7744 C 	 2091867513702253 ns 
 41.9351 C 	 2091867529399846 ns 
 41.8418 C 	 2091867545116818 ns 
 41.9040 C 	 2091867561379971 ns 
 42.6190 C 	 2091867575978723 ns 
 42.4791 C 	 2091867587942155 ns 
 41.4066 C 	 2091867605166388 ns 
 43.0853 C 	 2091867617385270 ns 
 42.8366 C 	 2091867633091923 ns 
 42.9765 C 	 2091867647737805 ns 
 42.1838 C 	 2091867663087217 ns 
 42.1838 C 	 2091867679011100 ns 
 43.1164 C 	 2091867692033172 ns 
 43.0853 C 	 2091867708160245 ns 
 42.7900 C 	 2091867720259097 ns 
 43.0386 C 	 2091867736561849 ns 
 42.2304 C 	 2091867752485462 ns 
 42.9298 C 	 2091867764584284 ns 
 42.5102 C 	 2091867780284036 ns 
 42.0905 C 	 2091867794614739 ns 
 42.2926 C 	 2091867810652321 ns 
 43.0076 C 	 2091867826326544 ns 
 44.2510 C 	 2091867840023886 ns 
 41.4066 C 	 2091867856254848 ns 
 42.9143 C 	 2091867868134490 ns 
 41.7486 C 	 2091867884358583 ns 
 43.0853 C 	 2091867900248836 ns 
 42.4946 C 	 2091867918081408 ns 
 41.9817 C 	 2091867930244670 ns 
 42.1372 C 	 2091867947518913 ns 
 41.3911 C 	 2091867968772627 ns 
 42.5257 C 	 2091867984390719 ns 
 42.3392 C 	 2091868009502673 ns 
 42.8677 C 	 2091868029784296 ns 
 42.2460 C 	 2091868045631739 ns 
 42.5413 C 	 2091868063238472 ns 
 42.6034 C 	 2091868082504295 ns 
 42.1993 C 	 2091868100240568 ns 
 43.1941 C 	 2091868117666010 ns 
 43.2563 C 	 2091868129483732 ns 
 41.1424 C 	 2091868148903336 ns 
 42.0594 C 	 2091868170399299 ns 
 42.5879 C 	 2091868186097492 ns 
 43.4583 C 	 2091868205247365 ns 
 43.2407 C 	 2091868221043057 ns 
 43.1630 C 	 2091868238348290 ns 
 40.8471 C 	 2091868254424753 ns 
 41.7952 C 	 2091868269673455 ns 
 42.6345 C 	 2091868289745378 ns 
 42.9920 C 	 2091868305854301 ns 
 42.6501 C 	 2091868321520603 ns 
 43.5671 C 	 2091868338801416 ns 
 42.2770 C 	 2091868358016809 ns 
 43.3184 C 	 2091868375259402 ns 
 42.5257 C 	 2091868391472845 ns 
 43.0386 C 	 2091868408982647 ns 
 42.9143 C 	 2091868426235440 ns 
 43.9091 C 	 2091868442110093 ns 
 43.1630 C 	 2091868460192326 ns 
 43.1008 C 	 2091868478689099 ns 
 42.5724 C 	 2091868497956212 ns 
 42.6656 C 	 2091868514017914 ns 
 43.0076 C 	 2091868530871017 ns 
 41.2978 C 	 2091868548704310 ns 
 40.8005 C 	 2091868564399442 ns 
 42.8366 C 	 2091868583156165 ns 
 43.4739 C 	 2091868602266978 ns 
 43.0853 C 	 2091868621550952 ns 
 42.6967 C 	 2091868637497574 ns 
 41.7019 C 	 2091868654917347 ns 
 42.6034 C 	 2091868671229640 ns 
 42.6656 C 	 2091868690977203 ns 
 43.3806 C 	 2091868706957995 ns 
 41.7641 C 	 2091868727190419 ns 
 41.8729 C 	 2091868748184602 ns 
 41.8729 C 	 2091868765411295 ns 
 43.4583 C 	 2091868785933698 ns 
 43.5205 C 	 2091868805145221 ns 
 41.9662 C 	 2091868823451284 ns 
 41.7486 C 	 2091868846499658 ns 
 42.0284 C 	 2091868863141920 ns 
 42.4946 C 	 2091868883449404 ns 
 42.1682 C 	 2091868899246926 ns 
 42.6190 C 	 2091868917232379 ns 
 43.0853 C 	 2091868940682633 ns 
 42.9454 C 	 2091868960287606 ns 
 42.3548 C 	 2091868976290749 ns 
 42.5413 C 	 2091868997633112 ns 
 41.4533 C 	 2091869013562485 ns 
 41.7952 C 	 2091869035307298 ns 
 41.2667 C 	 2091869054701371 ns 
 40.8937 C 	 2091869074091784 ns 
 41.3911 C 	 2091869089349067 ns 
 42.6345 C 	 2091869105859390 ns 
 42.5879 C 	 2091869123214392 ns 
 42.6812 C 	 2091869144269236 ns 
 44.4997 C 	 2091869164715259 ns 
 43.4272 C 	 2091869180619552 ns 
 41.9817 C 	 2091869199937005 ns 
 42.4946 C 	 2091869222429958 ns 
 42.3858 C 	 2091869238401991 ns 
 42.5257 C 	 2091869258637714 ns 
 41.1113 C 	 2091869279972398 ns 
 42.0128 C 	 2091869291616659 ns 
 42.7278 C 	 2091869311283553 ns 
 42.8055 C 	 2091869332744356 ns 
 42.6656 C 	 2091869352858969 ns 
 42.1838 C 	 2091869369675922 ns 
 40.8315 C 	 2091869385367875 ns 
 40.9559 C 	 2091869403311717 ns 
 42.6190 C 	 2091869428169901 ns 
 42.4014 C 	 2091869443996044 ns 
 41.8418 C 	 2091869464907067 ns 
 43.9868 C 	 2091869489086411 ns 
 42.5257 C 	 2091869506934884 ns 
 43.1941 C 	 2091869526194767 ns 
 42.4946 C 	 2091869543764690 ns 
 42.4014 C 	 2091869562192673 ns 
 41.8729 C 	 2091869579054566 ns 
 43.4272 C 	 2091869601025339 ns 
 42.3237 C 	 2091869614466271 ns 
 42.2770 C 	 2091869634406795 ns 
 42.8055 C 	 2091869654489458 ns 
 41.9662 C 	 2091869670930420 ns 
 42.5724 C 	 2091869690627554 ns 
 43.3651 C 	 2091869714949578 ns 
