 39.4171 C 	 2113447852936452 ns 
 39.1373 C 	 2113447868673104 ns 
 38.2048 C 	 2113447882215886 ns 
 38.3136 C 	 2113447897414819 ns 
 38.8731 C 	 2113447916912242 ns 
 38.9975 C 	 2113447934708515 ns 
 39.0596 C 	 2113447950636687 ns 
 39.6814 C 	 2113447966277400 ns 
 39.0285 C 	 2113447986318063 ns 
 38.6089 C 	 2113447999534235 ns 
 37.7696 C 	 2113448015608178 ns 
 38.4224 C 	 2113448034151511 ns 
 39.1840 C 	 2113448049024763 ns 
 37.9094 C 	 2113448064889366 ns 
 37.9405 C 	 2113448077277598 ns 
 38.1581 C 	 2113448094240800 ns 
 37.9250 C 	 2113448106255652 ns 
 39.6192 C 	 2113448120724475 ns 
 38.3447 C 	 2113448136876927 ns 
 38.8109 C 	 2113448158257691 ns 
 39.4948 C 	 2113448170330803 ns 
 38.9819 C 	 2113448187035735 ns 
 37.8006 C 	 2113448201316098 ns 
 38.1892 C 	 2113448215628560 ns 
 39.1995 C 	 2113448231718613 ns 
 38.7799 C 	 2113448243656154 ns 
 38.6400 C 	 2113448257659047 ns 
 39.1529 C 	 2113448274251149 ns 
 38.3757 C 	 2113448286185121 ns 
 38.3291 C 	 2113448303625264 ns 
 38.4535 C 	 2113448315620046 ns 
 37.8628 C 	 2113448327406898 ns 
 39.0285 C 	 2113448343663691 ns 
 39.7280 C 	 2113448356037043 ns 
 38.4845 C 	 2113448367787924 ns 
 38.7643 C 	 2113448381726347 ns 
 37.8784 C 	 2113448398597599 ns 
 37.9405 C 	 2113448411038631 ns 
 39.5570 C 	 2113448427195914 ns 
 38.2825 C 	 2113448439524446 ns 
 38.7177 C 	 2113448455338169 ns 
 38.2514 C 	 2113448467493120 ns 
 38.2825 C 	 2113448479693972 ns 
 38.0183 C 	 2113448495710855 ns 
 38.1115 C 	 2113448507836047 ns 
 37.9561 C 	 2113448523736440 ns 
 39.2462 C 	 2113448536231232 ns 
 37.7540 C 	 2113448548145493 ns 
 37.9716 C 	 2113448564488206 ns 
 40.0388 C 	 2113448576389958 ns 
 37.8006 C 	 2113448592444791 ns 
 38.0960 C 	 2113448604642883 ns 
 38.6555 C 	 2113448617057515 ns 
 38.4379 C 	 2113448632735847 ns 
 38.5778 C 	 2113448644937419 ns 
 39.3239 C 	 2113448660845792 ns 
 38.2359 C 	 2113448672775504 ns 
 38.8420 C 	 2113448686095206 ns 
 39.1684 C 	 2113448701369738 ns 
 38.8731 C 	 2113448713623270 ns 
 39.4638 C 	 2113448729149833 ns 
 38.6711 C 	 2113448741635445 ns 
 37.6608 C 	 2113448755688767 ns 
 38.3602 C 	 2113448767332909 ns 
