 40.5673 C 	 2089975544522194 ns 
 42.5568 C 	 2089975556142726 ns 
 40.4119 C 	 2089975572691238 ns 
 41.3600 C 	 2089975584449290 ns 
 41.9973 C 	 2089975599651493 ns 
 40.6295 C 	 2089975611515385 ns 
 41.7797 C 	 2089975627435937 ns 
 40.8937 C 	 2089975638924199 ns 
 42.4791 C 	 2089975652971761 ns 
 41.2512 C 	 2089975666025153 ns 
 40.7227 C 	 2089975681710686 ns 
 39.5881 C 	 2089975693880998 ns 
 40.8626 C 	 2089975709874481 ns 
 42.2149 C 	 2089975721543882 ns 
 41.4066 C 	 2089975737200375 ns 
 40.9403 C 	 2089975749236737 ns 
 40.1943 C 	 2089975764740259 ns 
 41.6242 C 	 2089975776735281 ns 
 41.7641 C 	 2089975788837463 ns 
 40.5362 C 	 2089975802326275 ns 
 41.3134 C 	 2089975818980928 ns 
 41.1113 C 	 2089975830773330 ns 
 41.3911 C 	 2089975848221003 ns 
 41.0958 C 	 2089975859774665 ns 
 41.3755 C 	 2089975873084917 ns 
 42.2460 C 	 2089975890078420 ns 
 41.4533 C 	 2089975901544001 ns 
 40.3808 C 	 2089975917200524 ns 
 41.1735 C 	 2089975929130776 ns 
 42.5879 C 	 2089975945024808 ns 
 41.9662 C 	 2089975956510040 ns 
 41.8885 C 	 2089975972796863 ns 
 41.6242 C 	 2089975985430315 ns 
 41.1269 C 	 2089976001642978 ns 
 40.6139 C 	 2089976013821659 ns 
 41.0647 C 	 2089976030192632 ns 
 41.3289 C 	 2089976041601454 ns 
 40.6139 C 	 2089976053505906 ns 
 41.1890 C 	 2089976069860018 ns 
 41.9662 C 	 2089976081763090 ns 
 42.0284 C 	 2089976095954173 ns 
 41.6864 C 	 2089976109863675 ns 
 40.3652 C 	 2089976125184827 ns 
 42.4169 C 	 2089976141370100 ns 
 41.0336 C 	 2089976153263782 ns 
 39.8990 C 	 2089976169787605 ns 
 40.7227 C 	 2089976185339307 ns 
 41.2201 C 	 2089976201098490 ns 
 42.6190 C 	 2089976217718552 ns 
 40.0855 C 	 2089976234087845 ns 
 41.1424 C 	 2089976245459617 ns 
 41.3134 C 	 2089976261274269 ns 
 40.9714 C 	 2089976277131222 ns 
 41.4066 C 	 2089976292133804 ns 
 41.5776 C 	 2089976308895677 ns 
 40.7383 C 	 2089976321942739 ns 
 41.6864 C 	 2089976337737652 ns 
 41.7175 C 	 2089976349966824 ns 
 41.8263 C 	 2089976365225486 ns 
 39.8523 C 	 2089976376996048 ns 
 41.5621 C 	 2089976391196730 ns 
 41.5621 C 	 2089976404563052 ns 
 39.7591 C 	 2089976418612715 ns 
 40.2720 C 	 2089976434313277 ns 
 41.1113 C 	 2089976451214830 ns 
 41.3911 C 	 2089976466409352 ns 
 39.9611 C 	 2089976482450655 ns 
 40.2409 C 	 2089976499829658 ns 
 41.1113 C 	 2089976512017250 ns 
 42.6656 C 	 2089976530948273 ns 
 39.8523 C 	 2089976544175215 ns 
 40.6295 C 	 2089976558514887 ns 
 40.4740 C 	 2089976574536030 ns 
 39.9456 C 	 2089976590238272 ns 
 41.2667 C 	 2089976602136064 ns 
 40.8315 C 	 2089976617599177 ns 
 40.2254 C 	 2089976633263079 ns 
 42.3392 C 	 2089976645004001 ns 
 41.6864 C 	 2089976659420563 ns 
 40.9403 C 	 2089976675336016 ns 
 41.6864 C 	 2089976686617398 ns 
 41.5310 C 	 2089976702410360 ns 
 40.6450 C 	 2089976717899243 ns 
 41.4066 C 	 2089976729827695 ns 
 41.8418 C 	 2089976741299517 ns 
 40.8471 C 	 2089976756747419 ns 
 40.7694 C 	 2089976770941081 ns 
 41.8108 C 	 2089976785776174 ns 
 41.9506 C 	 2089976801122106 ns 
 41.3911 C 	 2089976812903408 ns 
 41.1424 C 	 2089976829323311 ns 
 41.8885 C 	 2089976844897123 ns 
 41.0491 C 	 2089976856908795 ns 
 41.5931 C 	 2089976870486767 ns 
 41.3289 C 	 2089976886184330 ns 
 41.8108 C 	 2089976903344783 ns 
 40.8160 C 	 2089976919637575 ns 
 39.7902 C 	 2089976930989097 ns 
 41.8885 C 	 2089976946386810 ns 
 41.6553 C 	 2089976962132342 ns 
 42.4325 C 	 2089976978024725 ns 
 40.6139 C 	 2089976993213067 ns 
 40.7538 C 	 2089977010062000 ns 
 40.3342 C 	 2089977023708642 ns 
 42.3548 C 	 2089977038965174 ns 
 41.4688 C 	 2089977055626307 ns 
 39.9922 C 	 2089977070048809 ns 
 41.1113 C 	 2089977088806732 ns 
 41.0181 C 	 2089977104748075 ns 
 40.7072 C 	 2089977116192297 ns 
 40.8782 C 	 2089977132741920 ns 
 41.4222 C 	 2089977144203931 ns 
 40.9403 C 	 2089977155729213 ns 
 41.0802 C 	 2089977171195986 ns 
 40.3963 C 	 2089977184943638 ns 
 41.0802 C 	 2089977199862160 ns 
 40.9248 C 	 2089977216712383 ns 
 40.5207 C 	 2089977227996945 ns 
 40.2409 C 	 2089977239461477 ns 
 40.7538 C 	 2089977252834249 ns 
 41.6087 C 	 2089977266367701 ns 
 40.3031 C 	 2089977282073754 ns 
 40.0078 C 	 2089977293450955 ns 
 41.8885 C 	 2089977308727348 ns 
 42.2770 C 	 2089977320199080 ns 
 40.7694 C 	 2089977333919642 ns 
 40.1010 C 	 2089977345448854 ns 
 40.9714 C 	 2089977357101846 ns 
 40.6139 C 	 2089977373942018 ns 
 40.3963 C 	 2089977388859971 ns 
 40.2409 C 	 2089977400162113 ns 
 42.1372 C 	 2089977413965565 ns 
 41.9040 C 	 2089977428297737 ns 
 41.0336 C 	 2089977439829649 ns 
 41.5776 C 	 2089977455426351 ns 
 40.4896 C 	 2089977470229314 ns 
 40.4119 C 	 2089977483764116 ns 
 39.4327 C 	 2089977498033498 ns 
 41.4377 C 	 2089977513315411 ns 
 41.2357 C 	 2089977528951473 ns 
 43.4428 C 	 2089977544208336 ns 
 41.6242 C 	 2089977560743348 ns 
 41.9040 C 	 2089977573502110 ns 
 41.7486 C 	 2089977585131612 ns 
 41.6087 C 	 2089977600568625 ns 
 42.1993 C 	 2089977614164207 ns 
 41.8418 C 	 2089977629910100 ns 
 41.6864 C 	 2089977645214572 ns 
 41.2512 C 	 2089977658055774 ns 
 40.1632 C 	 2089977671460616 ns 
 41.8885 C 	 2089977687025429 ns 
 42.3081 C 	 2089977701383251 ns 
 41.4533 C 	 2089977712720973 ns 
 41.0491 C 	 2089977728108875 ns 
 42.1527 C 	 2089977743578678 ns 
 39.9922 C 	 2089977754951680 ns 
 40.5673 C 	 2089977770665232 ns 
 41.8263 C 	 2089977782203444 ns 
 41.2978 C 	 2089977797598427 ns 
 41.4377 C 	 2089977809092598 ns 
 40.4274 C 	 2089977820971520 ns 
 41.2823 C 	 2089977836745883 ns 
 41.9662 C 	 2089977848359155 ns 
 40.8315 C 	 2089977861908957 ns 
 40.6761 C 	 2089977877459669 ns 
 42.1061 C 	 2089977888818511 ns 
 41.4222 C 	 2089977904105134 ns 
 40.6139 C 	 2089977915606536 ns 
 41.2357 C 	 2089977926904717 ns 
 41.4533 C 	 2089977942005160 ns 
 42.2149 C 	 2089977953696552 ns 
 42.4636 C 	 2089977968867914 ns 
 40.5829 C 	 2089977980098326 ns 
 41.4377 C 	 2089977991540838 ns 
 40.9714 C 	 2089978007565730 ns 
 41.7175 C 	 2089978019066082 ns 
 40.7694 C 	 2089978030225034 ns 
 41.3911 C 	 2089978043385226 ns 
 42.6345 C 	 2089978058549659 ns 
 41.5776 C 	 2089978070153420 ns 
 40.7849 C 	 2089978085673413 ns 
 42.0439 C 	 2089978097376205 ns 
 40.8471 C 	 2089978108764777 ns 
 42.2460 C 	 2089978123874669 ns 
 41.0491 C 	 2089978135476631 ns 
 40.8782 C 	 2089978150995543 ns 
 40.8315 C 	 2089978162466285 ns 
 42.1838 C 	 2089978173904867 ns 
 40.6450 C 	 2089978189062700 ns 
 42.3237 C 	 2089978200676151 ns 
 42.4014 C 	 2089978212223483 ns 
 43.2563 C 	 2089978227355636 ns 
 42.0594 C 	 2089978238849778 ns 
 42.0439 C 	 2089978254017870 ns 
 40.1010 C 	 2089978265666602 ns 
 42.4946 C 	 2089978277096934 ns 
 41.0336 C 	 2089978292168936 ns 
 41.4222 C 	 2089978303629838 ns 
 42.4014 C 	 2089978318837800 ns 
