 41.1890 C 	 2089975544468554 ns 
 42.2460 C 	 2089975556100366 ns 
 40.3186 C 	 2089975572647948 ns 
 41.8574 C 	 2089975584406030 ns 
 42.1527 C 	 2089975599607423 ns 
 40.7849 C 	 2089975611472455 ns 
 41.9662 C 	 2089975627393247 ns 
 41.5776 C 	 2089975638880669 ns 
 40.8315 C 	 2089975652927361 ns 
 41.7175 C 	 2089975665979823 ns 
 41.3445 C 	 2089975681666796 ns 
 40.8160 C 	 2089975693836718 ns 
 41.4222 C 	 2089975709830801 ns 
 42.8055 C 	 2089975721500592 ns 
 41.9973 C 	 2089975737156575 ns 
 42.7122 C 	 2089975749192727 ns 
 41.4066 C 	 2089975764695589 ns 
 42.5879 C 	 2089975776691181 ns 
 41.5465 C 	 2089975788794053 ns 
 41.4999 C 	 2089975802282415 ns 
 40.5362 C 	 2089975818936888 ns 
 42.0439 C 	 2089975830728780 ns 
 39.9611 C 	 2089975848176843 ns 
 41.2512 C 	 2089975859730955 ns 
 41.8729 C 	 2089975873042167 ns 
 42.0594 C 	 2089975890034500 ns 
 41.8574 C 	 2089975901499931 ns 
 41.3134 C 	 2089975917157114 ns 
 41.7330 C 	 2089975929087276 ns 
 41.2512 C 	 2089975944980588 ns 
 40.8782 C 	 2089975956466150 ns 
 41.7330 C 	 2089975972753303 ns 
 41.5931 C 	 2089975985386725 ns 
 41.7175 C 	 2089976001599207 ns 
 41.4843 C 	 2089976013778639 ns 
 40.8160 C 	 2089976030147752 ns 
 41.6087 C 	 2089976041558464 ns 
 42.2304 C 	 2089976053461776 ns 
 41.5310 C 	 2089976069816008 ns 
 42.1838 C 	 2089976081719440 ns 
 41.3445 C 	 2089976095910823 ns 
 42.4946 C 	 2089976109819635 ns 
 41.6398 C 	 2089976125141207 ns 
 41.2978 C 	 2089976141325580 ns 
 40.7849 C 	 2089976153219442 ns 
 40.6761 C 	 2089976169744525 ns 
 41.7175 C 	 2089976185295897 ns 
 41.1579 C 	 2089976201055170 ns 
 41.4688 C 	 2089976217674092 ns 
 42.4636 C 	 2089976234041525 ns 
 43.0697 C 	 2089976245416537 ns 
 41.6087 C 	 2089976261230709 ns 
 42.8988 C 	 2089976277086582 ns 
 42.0905 C 	 2089976292090214 ns 
 41.6398 C 	 2089976308851727 ns 
 41.6398 C 	 2089976321899539 ns 
 42.2770 C 	 2089976337693852 ns 
 41.0958 C 	 2089976349921524 ns 
 43.2252 C 	 2089976365182196 ns 
 40.7694 C 	 2089976376952818 ns 
 42.6501 C 	 2089976391150650 ns 
 40.7227 C 	 2089976404519732 ns 
 40.5829 C 	 2089976418568945 ns 
 42.0905 C 	 2089976434269597 ns 
 41.3600 C 	 2089976451170670 ns 
 41.7952 C 	 2089976466365522 ns 
 40.6295 C 	 2089976482406675 ns 
 40.7849 C 	 2089976499785738 ns 
 41.5154 C 	 2089976511971920 ns 
 41.7019 C 	 2089976530904413 ns 
 39.6969 C 	 2089976544132015 ns 
 40.6917 C 	 2089976558471027 ns 
 41.7175 C 	 2089976574490700 ns 
 40.6450 C 	 2089976590194202 ns 
 42.4791 C 	 2089976602092924 ns 
 41.8729 C 	 2089976617556397 ns 
 41.4533 C 	 2089976633220389 ns 
 41.4843 C 	 2089976644959091 ns 
 42.0284 C 	 2089976659377423 ns 
 41.5931 C 	 2089976675292306 ns 
 42.1527 C 	 2089976686573598 ns 
 41.8729 C 	 2089976702367640 ns 
 41.5154 C 	 2089976717856133 ns 
