 40.4274 C 	 2090293983673661 ns 
 40.3497 C 	 2090293997546233 ns 
 41.2512 C 	 2090294013665146 ns 
 40.8315 C 	 2090294027035518 ns 
 40.7227 C 	 2090294041238840 ns 
 42.5724 C 	 2090294057371943 ns 
 41.9662 C 	 2090294072625865 ns 
 41.3289 C 	 2090294083983657 ns 
 40.7383 C 	 2090294100178350 ns 
 40.0699 C 	 2090294112485522 ns 
 41.3600 C 	 2090294127183754 ns 
 41.1890 C 	 2090294143156297 ns 
 40.8626 C 	 2090294155001409 ns 
 41.0491 C 	 2090294171053571 ns 
 41.2823 C 	 2090294186588174 ns 
 42.2770 C 	 2090294198529376 ns 
 42.6034 C 	 2090294214680118 ns 
 40.5518 C 	 2090294228007500 ns 
 40.2564 C 	 2090294245136093 ns 
 40.8626 C 	 2090294256968155 ns 
 41.1269 C 	 2090294273329828 ns 
 40.6606 C 	 2090294285243610 ns 
 40.9559 C 	 2090294296753772 ns 
 40.1010 C 	 2090294312504734 ns 
 41.9506 C 	 2090294326007826 ns 
 42.3081 C 	 2090294340226059 ns 
 41.1113 C 	 2090294357285951 ns 
 41.4533 C 	 2090294369423383 ns 
 41.0181 C 	 2090294383169445 ns 
 41.7486 C 	 2090294394912167 ns 
 40.7383 C 	 2090294409328730 ns 
 40.7538 C 	 2090294425004932 ns 
 40.9248 C 	 2090294436663864 ns 
 42.6967 C 	 2090294450182646 ns 
 41.0958 C 	 2090294465883479 ns 
 42.5257 C 	 2090294481551431 ns 
 41.0958 C 	 2090294493745803 ns 
 40.9403 C 	 2090294508372126 ns 
 41.5310 C 	 2090294520342968 ns 
 41.9196 C 	 2090294533434280 ns 
 41.4377 C 	 2090294546047602 ns 
 40.5051 C 	 2090294558111444 ns 
 40.1787 C 	 2090294573747236 ns 
 41.5154 C 	 2090294585265798 ns 
 41.7330 C 	 2090294600578100 ns 
 41.8418 C 	 2090294614333343 ns 
 41.0491 C 	 2090294626152715 ns 
 41.3600 C 	 2090294641787847 ns 
 40.3963 C 	 2090294658066750 ns 
 41.3600 C 	 2090294673788642 ns 
 41.5621 C 	 2090294689901855 ns 
 40.6606 C 	 2090294704625737 ns 
 41.1579 C 	 2090294717255799 ns 
 41.2667 C 	 2090294734980042 ns 
 40.7849 C 	 2090294746740794 ns 
 41.0958 C 	 2090294761859176 ns 
 42.2304 C 	 2090294777150629 ns 
 41.9662 C 	 2090294793197451 ns 
 41.1424 C 	 2090294806513794 ns 
 43.4428 C 	 2090294822477426 ns 
 42.0905 C 	 2090294834121808 ns 
 41.6864 C 	 2090294850146761 ns 
 40.9093 C 	 2090294863074243 ns 
 41.5465 C 	 2090294881224636 ns 
 42.2460 C 	 2090294892939967 ns 
 41.5154 C 	 2090294904895839 ns 
 41.1269 C 	 2090294920727442 ns 
 41.4688 C 	 2090294934427574 ns 
 41.4843 C 	 2090294950195337 ns 
 42.4325 C 	 2090294965830619 ns 
 41.7641 C 	 2090294977732821 ns 
 41.7330 C 	 2090294993881674 ns 
 41.6398 C 	 2090295005346476 ns 
 42.3858 C 	 2090295017300547 ns 
 41.0802 C 	 2090295033565080 ns 
 40.8626 C 	 2090295045055442 ns 
 40.9093 C 	 2090295060517774 ns 
