 41.9817 C 	 2090293983623381 ns 
 41.1890 C 	 2090293997502943 ns 
 41.4688 C 	 2090294013622066 ns 
 42.4480 C 	 2090294026992468 ns 
 41.5931 C 	 2090294041195280 ns 
 41.1113 C 	 2090294057328623 ns 
 41.3755 C 	 2090294072582935 ns 
 41.7641 C 	 2090294083941057 ns 
 41.2357 C 	 2090294100119940 ns 
 41.5776 C 	 2090294112441122 ns 
 42.1061 C 	 2090294127141304 ns 
 41.8108 C 	 2090294143112497 ns 
 42.0750 C 	 2090294154957729 ns 
 42.1682 C 	 2090294171009171 ns 
 42.3081 C 	 2090294186545004 ns 
 41.1890 C 	 2090294198486776 ns 
 41.4533 C 	 2090294214635088 ns 
 41.7952 C 	 2090294227962290 ns 
 41.6398 C 	 2090294245092353 ns 
 41.6398 C 	 2090294256924835 ns 
 40.9714 C 	 2090294273286238 ns 
 42.0284 C 	 2090294285200620 ns 
 43.0697 C 	 2090294296710302 ns 
 42.2615 C 	 2090294312461624 ns 
 43.5049 C 	 2090294325964266 ns 
 42.1527 C 	 2090294340181449 ns 
 41.2046 C 	 2090294357242061 ns 
 42.6967 C 	 2090294369379673 ns 
 41.0181 C 	 2090294383122705 ns 
 42.8988 C 	 2090294394868337 ns 
 42.1682 C 	 2090294409284630 ns 
 42.1527 C 	 2090294424961582 ns 
 41.4688 C 	 2090294436620334 ns 
 41.6398 C 	 2090294450138636 ns 
 42.5257 C 	 2090294465839649 ns 
 40.8160 C 	 2090294481507481 ns 
 41.6242 C 	 2090294493702603 ns 
 42.7433 C 	 2090294508328746 ns 
 42.5879 C 	 2090294520299198 ns 
 42.8210 C 	 2090294533390930 ns 
 41.1424 C 	 2090294546003772 ns 
 40.8782 C 	 2090294558067134 ns 
 42.2149 C 	 2090294573702416 ns 
 40.8005 C 	 2090294585222328 ns 
 40.0078 C 	 2090294600532590 ns 
 41.8729 C 	 2090294614289093 ns 
 39.6347 C 	 2090294626109065 ns 
 40.8626 C 	 2090294641744557 ns 
 42.1061 C 	 2090294658023460 ns 
 40.5207 C 	 2090294673744632 ns 
 42.1838 C 	 2090294689858055 ns 
 40.8782 C 	 2090294704581637 ns 
 41.9662 C 	 2090294717203929 ns 
 41.8574 C 	 2090294734936842 ns 
 41.7797 C 	 2090294746697474 ns 
 42.0905 C 	 2090294761816546 ns 
 42.5413 C 	 2090294777108179 ns 
 42.6812 C 	 2090294793153981 ns 
 42.0750 C 	 2090294806470204 ns 
 41.3600 C 	 2090294822434556 ns 
 42.5879 C 	 2090294834078488 ns 
 41.1890 C 	 2090294850103171 ns 
 40.4430 C 	 2090294863030413 ns 
 41.0181 C 	 2090294881181556 ns 
 41.8418 C 	 2090294892897097 ns 
 40.8005 C 	 2090294904851889 ns 
 41.5621 C 	 2090294920684002 ns 
 42.0905 C 	 2090294934382184 ns 
 42.8366 C 	 2090294950151327 ns 
 41.9351 C 	 2090294965786879 ns 
 41.7641 C 	 2090294977689231 ns 
 41.3600 C 	 2090294993834844 ns 
 41.4533 C 	 2090295005302556 ns 
 40.9559 C 	 2090295017257407 ns 
 42.0750 C 	 2090295033521490 ns 
 42.6656 C 	 2090295045011402 ns 
 41.7175 C 	 2090295060474394 ns 
 41.3755 C 	 2090295071816796 ns 
 41.7330 C 	 2090295088175889 ns 
 42.6501 C 	 2090295100185071 ns 
 42.0905 C 	 2090295114265723 ns 
 41.8108 C 	 2090295130187536 ns 
 42.5102 C 	 2090295142047708 ns 
 41.6709 C 	 2090295157997210 ns 
 42.3392 C 	 2090295169500412 ns 
 41.4377 C 	 2090295185330425 ns 
 41.0802 C 	 2090295197429546 ns 
 41.7175 C 	 2090295212756549 ns 
 40.4430 C 	 2090295224617171 ns 
 42.8210 C 	 2090295236000733 ns 
 41.7175 C 	 2090295251430875 ns 
 42.0128 C 	 2090295263437087 ns 
 41.5621 C 	 2090295279932500 ns 
 41.2978 C 	 2090295291588702 ns 
 41.0025 C 	 2090295303620204 ns 
 41.6242 C 	 2090295318910906 ns 
 40.7538 C 	 2090295331054428 ns 
 41.5931 C 	 2090295343460330 ns 
 41.6242 C 	 2090295358880692 ns 
 41.6553 C 	 2090295370912524 ns 
