 39.8212 C 	 2127623543384301 ns 
 39.1373 C 	 2127623559252174 ns 
 39.6347 C 	 2127623580720177 ns 
 39.6192 C 	 2127623599332330 ns 
 39.5415 C 	 2127623615917863 ns 
 39.4171 C 	 2127623632847525 ns 
 39.4327 C 	 2127623650563038 ns 
 38.0960 C 	 2127623669553791 ns 
 39.4171 C 	 2127623682292483 ns 
 39.8834 C 	 2127623699499676 ns 
 39.8679 C 	 2127623717377999 ns 
 39.5726 C 	 2127623729999271 ns 
 40.1010 C 	 2127623744058293 ns 
 40.6295 C 	 2127623757765326 ns 
 38.5933 C 	 2127623774610118 ns 
 40.1943 C 	 2127623791054951 ns 
 39.1218 C 	 2127623809611154 ns 
 40.6450 C 	 2127623822281506 ns 
 40.8315 C 	 2127623834935418 ns 
 38.5312 C 	 2127623852649401 ns 
 40.0544 C 	 2127623874575174 ns 
 39.4016 C 	 2127623891354567 ns 
 39.2462 C 	 2127623912317370 ns 
 39.8834 C 	 2127623928746363 ns 
 39.7746 C 	 2127623949122786 ns 
 40.7694 C 	 2127623967724739 ns 
 39.3394 C 	 2127623984336042 ns 
 40.1321 C 	 2127624002920625 ns 
 40.5207 C 	 2127624023295368 ns 
 39.4016 C 	 2127624040141271 ns 
 40.5984 C 	 2127624060336854 ns 
 39.0130 C 	 2127624078827297 ns 
 40.6450 C 	 2127624093617840 ns 
 38.8265 C 	 2127624113129063 ns 
 39.9611 C 	 2127624132744866 ns 
 40.3186 C 	 2127624152242829 ns 
 40.8315 C 	 2127624170386982 ns 
 40.2875 C 	 2127624185180104 ns 
 39.9767 C 	 2127624203044177 ns 
 40.7072 C 	 2127624224741111 ns 
 40.3342 C 	 2127624245472014 ns 
 40.4274 C 	 2127624261983507 ns 
 39.2462 C 	 2127624280612640 ns 
 40.0078 C 	 2127624300029063 ns 
 39.8834 C 	 2127624318695126 ns 
 39.4638 C 	 2127624336352109 ns 
 39.2928 C 	 2127624356219132 ns 
 40.6295 C 	 2127624368895904 ns 
 39.5104 C 	 2127624389334157 ns 
 41.0181 C 	 2127624404919940 ns 
 39.6814 C 	 2127624421196802 ns 
 40.3963 C 	 2127624440140755 ns 
 38.5778 C 	 2127624459119988 ns 
 40.0233 C 	 2127624475571961 ns 
 39.6814 C 	 2127624495030774 ns 
 40.1010 C 	 2127624515221287 ns 
 39.4948 C 	 2127624532020600 ns 
 39.7124 C 	 2127624551920083 ns 
 39.0130 C 	 2127624569494566 ns 
 39.8212 C 	 2127624588043959 ns 
 40.4430 C 	 2127624604330152 ns 
 40.6450 C 	 2127624624383895 ns 
 40.5518 C 	 2127624643491078 ns 
 39.0907 C 	 2127624660069591 ns 
 39.8368 C 	 2127624679669344 ns 
 39.2462 C 	 2127624696648987 ns 
 40.0388 C 	 2127624708916769 ns 
 38.7488 C 	 2127624728814152 ns 
 40.8315 C 	 2127624748244945 ns 
 39.1373 C 	 2127624765313298 ns 
 39.8990 C 	 2127624781757080 ns 
 40.6761 C 	 2127624804411224 ns 
 39.8679 C 	 2127624824502377 ns 
 39.8834 C 	 2127624840855500 ns 
 39.5726 C 	 2127624864841824 ns 
 40.8626 C 	 2127624884193507 ns 
 39.3705 C 	 2127624900732300 ns 
 39.8990 C 	 2127624923082723 ns 
 39.3550 C 	 2127624941864406 ns 
 39.6814 C 	 2127624959816319 ns 
 39.1840 C 	 2127624978017712 ns 
 40.5207 C 	 2127625002325576 ns 
 38.8887 C 	 2127625018731709 ns 
 39.2928 C 	 2127625041694882 ns 
 40.4430 C 	 2127625060794415 ns 
 40.2875 C 	 2127625077124858 ns 
 39.4016 C 	 2127625103538662 ns 
 40.1787 C 	 2127625123231595 ns 
 40.9248 C 	 2127625139621078 ns 
 41.5931 C 	 2127625157752211 ns 
 41.0025 C 	 2127625177086704 ns 
 39.8990 C 	 2127625193364047 ns 
 39.6347 C 	 2127625205754739 ns 
 39.8057 C 	 2127625224665512 ns 
 40.5051 C 	 2127625244363455 ns 
 40.1166 C 	 2127625266551668 ns 
 38.5933 C 	 2127625289382122 ns 
 39.3705 C 	 2127625310085815 ns 
