 39.6969 C 	 2122643996850400 ns 
 38.9353 C 	 2122644013248343 ns 
 40.4585 C 	 2122644030468286 ns 
 39.6814 C 	 2122644046158288 ns 
 38.7799 C 	 2122644066017751 ns 
 40.2875 C 	 2122644082739514 ns 
 40.3186 C 	 2122644105756958 ns 
 39.8212 C 	 2122644123548761 ns 
 39.0285 C 	 2122644140209653 ns 
 39.6969 C 	 2122644159871446 ns 
 40.9403 C 	 2122644173376879 ns 
 40.6917 C 	 2122644188483741 ns 
 40.2720 C 	 2122644204792494 ns 
 40.9714 C 	 2122644218812366 ns 
 39.9767 C 	 2122644231659658 ns 
 40.4740 C 	 2122644247961301 ns 
 40.5829 C 	 2122644262760183 ns 
 39.7746 C 	 2122644276390985 ns 
 38.7954 C 	 2122644292618348 ns 
 40.3031 C 	 2122644307371120 ns 
 40.5829 C 	 2122644323938623 ns 
 38.4379 C 	 2122644337955885 ns 
 40.7383 C 	 2122644352607107 ns 
 39.5570 C 	 2122644369019780 ns 
 40.4430 C 	 2122644384246102 ns 
 40.4119 C 	 2122644400608315 ns 
 39.5104 C 	 2122644413119277 ns 
 40.9559 C 	 2122644430949780 ns 
 38.9819 C 	 2122644448579223 ns 
 39.0752 C 	 2122644460684735 ns 
 38.5156 C 	 2122644476578887 ns 
 40.2720 C 	 2122644493921860 ns 
 40.2875 C 	 2122644506066342 ns 
 40.8471 C 	 2122644522586745 ns 
 39.7591 C 	 2122644534689917 ns 
 39.5726 C 	 2122644547333809 ns 
 40.5051 C 	 2122644563526311 ns 
 40.4896 C 	 2122644575795143 ns 
 39.1218 C 	 2122644592083886 ns 
 41.3600 C 	 2122644604476048 ns 
 40.3808 C 	 2122644622316091 ns 
 39.0907 C 	 2122644634859813 ns 
 38.7643 C 	 2122644647929855 ns 
 39.8368 C 	 2122644663973437 ns 
 40.7072 C 	 2122644676966320 ns 
 39.5881 C 	 2122644693207062 ns 
 39.1995 C 	 2122644706211164 ns 
 40.4896 C 	 2122644718364106 ns 
 39.5104 C 	 2122644735510069 ns 
 40.3497 C 	 2122644748200491 ns 
 39.6969 C 	 2122644764660804 ns 
 39.0752 C 	 2122644777162466 ns 
 40.6761 C 	 2122644789695178 ns 
 39.6192 C 	 2122644803412560 ns 
 41.8108 C 	 2122644819805013 ns 
 41.0491 C 	 2122644831906865 ns 
 41.0802 C 	 2122644849132957 ns 
 39.6503 C 	 2122644861966029 ns 
 39.5881 C 	 2122644874751521 ns 
 39.4948 C 	 2122644891902404 ns 
 40.5362 C 	 2122644904112046 ns 
 39.7902 C 	 2122644920716179 ns 
 39.4016 C 	 2122644933634391 ns 
 40.0078 C 	 2122644945822373 ns 
 41.3755 C 	 2122644961172535 ns 
 40.6295 C 	 2122644974029127 ns 
 38.9353 C 	 2122644994512741 ns 
 39.7746 C 	 2122645006828343 ns 
 40.5362 C 	 2122645022898805 ns 
 40.4274 C 	 2122645035411477 ns 
 39.6036 C 	 2122645051657500 ns 
 40.2409 C 	 2122645067426732 ns 
 40.5207 C 	 2122645080007894 ns 
 39.7280 C 	 2122645096660297 ns 
 39.1995 C 	 2122645109423619 ns 
 40.1632 C 	 2122645121656151 ns 
 39.5104 C 	 2122645138044134 ns 
 39.3083 C 	 2122645151620396 ns 
 39.1840 C 	 2122645166892138 ns 
 39.5104 C 	 2122645179033680 ns 
 39.8523 C 	 2122645195595783 ns 
 40.2720 C 	 2122645212039956 ns 
 39.5726 C 	 2122645228143538 ns 
 40.4274 C 	 2122645243070581 ns 
 40.0078 C 	 2122645259246523 ns 
 40.6761 C 	 2122645275506406 ns 
 40.2564 C 	 2122645288341518 ns 
 39.8679 C 	 2122645304717321 ns 
 40.1476 C 	 2122645316995243 ns 
 39.6036 C 	 2122645329334515 ns 
 39.8368 C 	 2122645343229677 ns 
 40.6606 C 	 2122645359578419 ns 
 39.9300 C 	 2122645371923871 ns 
 40.0078 C 	 2122645388159064 ns 
 40.2720 C 	 2122645400500706 ns 
 41.0181 C 	 2122645416771119 ns 
 40.2409 C 	 2122645428980731 ns 
 40.4740 C 	 2122645441068813 ns 
 38.3291 C 	 2122645457385125 ns 
 41.9196 C 	 2122645469949247 ns 
 41.3445 C 	 2122645486318150 ns 
