 39.8212 C 	 2123878855602139 ns 
 39.5570 C 	 2123878870201101 ns 
 39.4638 C 	 2123878885459734 ns 
 39.7902 C 	 2123878901897877 ns 
 40.0388 C 	 2123878922587050 ns 
 39.8212 C 	 2123878938386912 ns 
 39.5415 C 	 2123878954671095 ns 
 39.5881 C 	 2123878975816988 ns 
 39.4482 C 	 2123878992712421 ns 
 39.5415 C 	 2123879009987864 ns 
 40.1010 C 	 2123879026545647 ns 
 38.4535 C 	 2123879044389319 ns 
 40.8471 C 	 2123879059711852 ns 
 38.8109 C 	 2123879075460234 ns 
 39.1840 C 	 2123879093127987 ns 
 40.8160 C 	 2123879109958170 ns 
 39.5415 C 	 2123879126426073 ns 
 39.6814 C 	 2123879142871835 ns 
 38.5467 C 	 2123879159766008 ns 
 39.1840 C 	 2123879176386431 ns 
 38.4845 C 	 2123879191355443 ns 
 40.0855 C 	 2123879206839046 ns 
 38.8109 C 	 2123879224199778 ns 
 39.8523 C 	 2123879236830770 ns 
 40.6761 C 	 2123879253401033 ns 
 38.4690 C 	 2123879265870085 ns 
 40.7694 C 	 2123879284328548 ns 
 39.0285 C 	 2123879301774571 ns 
 39.3860 C 	 2123879316482493 ns 
 38.8887 C 	 2123879328996665 ns 
 39.5415 C 	 2123879347540298 ns 
 38.4224 C 	 2123879360179300 ns 
 38.5467 C 	 2123879377363453 ns 
 38.2514 C 	 2123879390156925 ns 
 40.5673 C 	 2123879404263377 ns 
 38.6866 C 	 2123879418746240 ns 
 39.9456 C 	 2123879433736282 ns 
 38.5156 C 	 2123879449589395 ns 
 38.4535 C 	 2123879466163017 ns 
 39.5726 C 	 2123879483032500 ns 
 39.9922 C 	 2123879500335333 ns 
 38.4379 C 	 2123879512815455 ns 
 38.6555 C 	 2123879527119697 ns 
 39.0596 C 	 2123879543460970 ns 
 39.6658 C 	 2123879559829002 ns 
 39.8057 C 	 2123879571945884 ns 
 39.8834 C 	 2123879588853497 ns 
 38.6400 C 	 2123879601078019 ns 
 39.6192 C 	 2123879615751831 ns 
 40.2875 C 	 2123879631966174 ns 
 38.9664 C 	 2123879648443077 ns 
 39.3705 C 	 2123879661458969 ns 
 39.8990 C 	 2123879674113661 ns 
 39.3394 C 	 2123879692590934 ns 
 39.1684 C 	 2123879705045136 ns 
 39.9767 C 	 2123879721568208 ns 
 39.0752 C 	 2123879733991780 ns 
 40.1476 C 	 2123879746404582 ns 
 39.2462 C 	 2123879763181725 ns 
 39.7280 C 	 2123879776032107 ns 
 38.8265 C 	 2123879792695490 ns 
 39.7746 C 	 2123879805245032 ns 
 40.8005 C 	 2123879821665955 ns 
 40.0699 C 	 2123879834067117 ns 
 40.9248 C 	 2123879846321368 ns 
 40.1787 C 	 2123879862275041 ns 
 38.9664 C 	 2123879875136103 ns 
 38.2825 C 	 2123879887530245 ns 
 39.6036 C 	 2123879904034808 ns 
 40.8937 C 	 2123879916415570 ns 
 39.1684 C 	 2123879932789182 ns 
 39.1684 C 	 2123879945160704 ns 
 39.2617 C 	 2123879961929627 ns 
 39.0441 C 	 2123879974102879 ns 
 40.4740 C 	 2123879986509111 ns 
 39.0752 C 	 2123880003091914 ns 
 39.2772 C 	 2123880015526526 ns 
 39.4327 C 	 2123880031820188 ns 
 39.8523 C 	 2123880044863950 ns 
 40.5362 C 	 2123880057061622 ns 
 38.5467 C 	 2123880074600195 ns 
 38.6866 C 	 2123880087022417 ns 
 39.3394 C 	 2123880101689960 ns 
 39.8679 C 	 2123880118100442 ns 
 39.0907 C 	 2123880134261775 ns 
 41.5310 C 	 2123880146895437 ns 
 40.5673 C 	 2123880164069000 ns 
 38.3447 C 	 2123880176633752 ns 
 39.1995 C 	 2123880192902934 ns 
 38.9819 C 	 2123880209068107 ns 
 39.1373 C 	 2123880225660270 ns 
 40.6450 C 	 2123880238027142 ns 
 41.3289 C 	 2123880250206633 ns 
 39.8368 C 	 2123880265439616 ns 
 39.6814 C 	 2123880282388749 ns 
 39.5570 C 	 2123880295009811 ns 
 39.1063 C 	 2123880307582183 ns 
 40.1010 C 	 2123880323490705 ns 
 40.4740 C 	 2123880340163748 ns 
 40.2409 C 	 2123880352696070 ns 
 38.7332 C 	 2123880366545302 ns 
 40.0544 C 	 2123880384109615 ns 
 39.2462 C 	 2123880398792577 ns 
 39.0752 C 	 2123880411433199 ns 
 39.9456 C 	 2123880427594412 ns 
 39.4638 C 	 2123880440532904 ns 
 41.0336 C 	 2123880456748567 ns 
 39.4482 C 	 2123880469381389 ns 
 39.8057 C 	 2123880485815421 ns 
 39.2928 C 	 2123880498068593 ns 
 39.8057 C 	 2123880510197685 ns 
 39.3239 C 	 2123880528092808 ns 
 40.0855 C 	 2123880540787550 ns 
 39.3394 C 	 2123880556898393 ns 
 39.8834 C 	 2123880569386255 ns 
 38.9819 C 	 2123880582160737 ns 
 40.6606 C 	 2123880598172969 ns 
 40.0544 C 	 2123880610547101 ns 
 39.0130 C 	 2123880627411964 ns 
 41.4377 C 	 2123880640036506 ns 
 40.4274 C 	 2123880656494719 ns 
 38.9197 C 	 2123880669009251 ns 
 40.0855 C 	 2123880681578593 ns 
 40.3497 C 	 2123880697927396 ns 
 38.9042 C 	 2123880710527188 ns 
 40.7383 C 	 2123880726664310 ns 
 38.9042 C 	 2123880739072252 ns 
 40.4274 C 	 2123880756013165 ns 
 39.4171 C 	 2123880768555987 ns 
 39.6192 C 	 2123880781022219 ns 
 40.5829 C 	 2123880797168642 ns 
 38.3913 C 	 2123880809745154 ns 
 40.8782 C 	 2123880825805056 ns 
 38.4690 C 	 2123880838262078 ns 
 39.5259 C 	 2123880854567831 ns 
 37.9250 C 	 2123880867090103 ns 
 39.1373 C 	 2123880883662855 ns 
 38.7021 C 	 2123880895846217 ns 
 39.2462 C 	 2123880912164960 ns 
 39.1995 C 	 2123880925024642 ns 
 39.2462 C 	 2123880937290504 ns 
 39.9456 C 	 2123880951879776 ns 
 40.8160 C 	 2123880967751339 ns 
 39.5104 C 	 2123880980089561 ns 
 39.5259 C 	 2123880996212824 ns 
 39.1218 C 	 2123881009048296 ns 
 39.1995 C 	 2123881025481908 ns 
 39.4638 C 	 2123881038100180 ns 
 40.3186 C 	 2123881050691392 ns 
 40.1476 C 	 2123881066696335 ns 
 39.2151 C 	 2123881079430317 ns 
 40.7072 C 	 2123881095720680 ns 
 40.8626 C 	 2123881109328232 ns 
 40.4430 C 	 2123881125614484 ns 
 39.1529 C 	 2123881138412306 ns 
 39.5570 C 	 2123881155062639 ns 
 41.2046 C 	 2123881167304921 ns 
 39.0596 C 	 2123881179839853 ns 
 39.2928 C 	 2123881196152746 ns 
 39.7746 C 	 2123881208596448 ns 
 39.4327 C 	 2123881223663230 ns 
 40.0699 C 	 2123881240308133 ns 
 40.4430 C 	 2123881252720815 ns 
 39.9922 C 	 2123881265043317 ns 
 40.6295 C 	 2123881281316009 ns 
 39.7124 C 	 2123881293521721 ns 
 38.8109 C 	 2123881306706004 ns 
 39.6503 C 	 2123881325346837 ns 
 40.0699 C 	 2123881337920919 ns 
 39.7124 C 	 2123881355620831 ns 
 38.5312 C 	 2123881372861654 ns 
 39.8679 C 	 2123881385431986 ns 
 39.3705 C 	 2123881398302648 ns 
 39.4327 C 	 2123881416282131 ns 
 40.3342 C 	 2123881428881803 ns 
 40.1632 C 	 2123881441255935 ns 
 39.9767 C 	 2123881457971758 ns 
 40.0544 C 	 2123881470433280 ns 
 40.1632 C 	 2123881486946723 ns 
 40.2564 C 	 2123881499610895 ns 
 38.5623 C 	 2123881514242647 ns 
 40.2720 C 	 2123881526751509 ns 
 38.6711 C 	 2123881544450702 ns 
