 39.4327 C 	 2120843336414155 ns 
 39.6192 C 	 2120843348549397 ns 
 39.8212 C 	 2120843360856989 ns 
 38.6711 C 	 2120843377430882 ns 
 38.0804 C 	 2120843389276294 ns 
 40.0233 C 	 2120843404725246 ns 
 39.4016 C 	 2120843417309798 ns 
 39.7902 C 	 2120843434638611 ns 
 38.7488 C 	 2120843448690163 ns 
 39.9456 C 	 2120843464886716 ns 
 39.7746 C 	 2120843480772199 ns 
 38.1892 C 	 2120843497584051 ns 
 39.8368 C 	 2120843509678733 ns 
 38.6555 C 	 2120843525914766 ns 
 39.1995 C 	 2120843540136838 ns 
 39.9767 C 	 2120843554432470 ns 
 39.6036 C 	 2120843570282013 ns 
 39.8679 C 	 2120843583379475 ns 
 37.9094 C 	 2120843599541198 ns 
 38.9042 C 	 2120843611399390 ns 
 39.4171 C 	 2120843627719662 ns 
 40.4119 C 	 2120843640303974 ns 
 39.3550 C 	 2120843652147856 ns 
 40.8782 C 	 2120843667962179 ns 
 38.5933 C 	 2120843680361151 ns 
 39.2928 C 	 2120843694026723 ns 
 40.1943 C 	 2120843708556715 ns 
 39.2462 C 	 2120843722537467 ns 
 38.3913 C 	 2120843737510920 ns 
 37.6918 C 	 2120843755035303 ns 
 39.0441 C 	 2120843766762185 ns 
 38.7332 C 	 2120843782990237 ns 
 39.2151 C 	 2120843794723989 ns 
 40.3031 C 	 2120843810650182 ns 
 38.6711 C 	 2120843822886074 ns 
 38.0183 C 	 2120843835363676 ns 
 39.4793 C 	 2120843851810578 ns 
 40.3031 C 	 2120843863907840 ns 
 40.8937 C 	 2120843876022592 ns 
 39.0130 C 	 2120843892230995 ns 
 39.9456 C 	 2120843906078547 ns 
 39.3083 C 	 2120843923062960 ns 
 39.2306 C 	 2120843934880532 ns 
 38.7332 C 	 2120843947819534 ns 
 39.4793 C 	 2120843964163956 ns 
 39.8057 C 	 2120843977907199 ns 
 41.2046 C 	 2120843990061161 ns 
 38.5623 C 	 2120844006159043 ns 
 39.9611 C 	 2120844020802075 ns 
 39.4327 C 	 2120844036833268 ns 
 39.8057 C 	 2120844049524740 ns 
 38.8731 C 	 2120844062574112 ns 
 39.0752 C 	 2120844078230845 ns 
 38.9508 C 	 2120844093745317 ns 
 38.3913 C 	 2120844108729180 ns 
 39.1063 C 	 2120844124812542 ns 
 38.4535 C 	 2120844140545505 ns 
 39.5259 C 	 2120844156545557 ns 
 39.1529 C 	 2120844170085999 ns 
 38.8420 C 	 2120844186319722 ns 
 39.4482 C 	 2120844198413654 ns 
 40.1632 C 	 2120844214071227 ns 
 39.8990 C 	 2120844226228669 ns 
 40.8937 C 	 2120844243424731 ns 
 40.0699 C 	 2120844255271913 ns 
 38.6089 C 	 2120844267395605 ns 
 38.7954 C 	 2120844279591177 ns 
 38.7488 C 	 2120844295699650 ns 
 38.8420 C 	 2120844307639592 ns 
 38.6711 C 	 2120844323534494 ns 
 38.5156 C 	 2120844335602176 ns 
 39.1684 C 	 2120844347870618 ns 
 39.3705 C 	 2120844364061771 ns 
 38.5467 C 	 2120844377873953 ns 
 38.8265 C 	 2120844392668245 ns 
