 39.3705 C 	 2121643923565246 ns 
 39.6192 C 	 2121643939470258 ns 
 39.4482 C 	 2121643951654250 ns 
 39.4638 C 	 2121643963600162 ns 
 39.1063 C 	 2121643979424745 ns 
 40.1321 C 	 2121643993611507 ns 
 39.1684 C 	 2121644009035290 ns 
 39.6036 C 	 2121644024868332 ns 
 39.4948 C 	 2121644041115945 ns 
 40.1321 C 	 2121644055582187 ns 
 40.1321 C 	 2121644071965670 ns 
 40.0544 C 	 2121644088438852 ns 
 40.2875 C 	 2121644104946055 ns 
 39.9145 C 	 2121644123369058 ns 
 38.2203 C 	 2121644136217940 ns 
 39.7280 C 	 2121644148237652 ns 
 40.6295 C 	 2121644164831705 ns 
 37.6141 C 	 2121644178460407 ns 
 38.8265 C 	 2121644192651999 ns 
 39.1063 C 	 2121644208758822 ns 
 37.9561 C 	 2121644225101834 ns 
 40.1010 C 	 2121644243283847 ns 
 39.5726 C 	 2121644255655999 ns 
 40.2875 C 	 2121644271453972 ns 
 39.7902 C 	 2121644284281344 ns 
 39.2617 C 	 2121644299355536 ns 
 39.2617 C 	 2121644316057169 ns 
 40.1943 C 	 2121644330864811 ns 
 39.3705 C 	 2121644343481763 ns 
 39.5415 C 	 2121644359754036 ns 
 40.3342 C 	 2121644372734708 ns 
 40.6295 C 	 2121644389456621 ns 
 38.7643 C 	 2121644403820233 ns 
 39.6192 C 	 2121644415712235 ns 
 40.5984 C 	 2121644432506718 ns 
 39.6658 C 	 2121644444755090 ns 
 39.6814 C 	 2121644456799612 ns 
 39.4171 C 	 2121644475535305 ns 
 41.1424 C 	 2121644488132937 ns 
 40.4119 C 	 2121644503855999 ns 
 40.1476 C 	 2121644516052891 ns 
 39.7591 C 	 2121644530316963 ns 
 39.4327 C 	 2121644547359186 ns 
 40.0699 C 	 2121644559334768 ns 
 39.2617 C 	 2121644575930951 ns 
 39.0752 C 	 2121644588550033 ns 
 40.0233 C 	 2121644605034525 ns 
 38.4379 C 	 2121644621117228 ns 
 40.1476 C 	 2121644633579140 ns 
 38.9353 C 	 2121644650760443 ns 
 39.3550 C 	 2121644666488845 ns 
 39.1529 C 	 2121644678456957 ns 
 39.5104 C 	 2121644694844820 ns 
 40.3497 C 	 2121644707541902 ns 
 39.4948 C 	 2121644723926675 ns 
 39.8212 C 	 2121644735900937 ns 
 39.8212 C 	 2121644747758528 ns 
 38.9197 C 	 2121644763993691 ns 
 39.0130 C 	 2121644776250643 ns 
 40.2254 C 	 2121644792380506 ns 
 38.1581 C 	 2121644804774648 ns 
 39.3394 C 	 2121644816989810 ns 
 39.2462 C 	 2121644832882342 ns 
 38.0183 C 	 2121644844968084 ns 
 39.9145 C 	 2121644858478106 ns 
 39.6036 C 	 2121644875109389 ns 
 39.5570 C 	 2121644886858051 ns 
 38.4535 C 	 2121644902671983 ns 
 40.0233 C 	 2121644915029795 ns 
 39.8679 C 	 2121644926870557 ns 
