 40.5829 C 	 2125829508309563 ns 
 39.9456 C 	 2125829527342226 ns 
 39.9145 C 	 2125829539672648 ns 
 39.6192 C 	 2125829556426900 ns 
 39.1529 C 	 2125829575134873 ns 
 40.5518 C 	 2125829587615145 ns 
 39.0130 C 	 2125829604271778 ns 
 40.5362 C 	 2125829623800431 ns 
 39.3860 C 	 2125829639901434 ns 
 40.5673 C 	 2125829657663087 ns 
 39.9611 C 	 2125829674184479 ns 
 38.2669 C 	 2125829690777422 ns 
 40.2254 C 	 2125829707207975 ns 
 39.3705 C 	 2125829720199747 ns 
 38.6400 C 	 2125829736743279 ns 
 39.5881 C 	 2125829753644382 ns 
 40.1632 C 	 2125829769644375 ns 
 39.3550 C 	 2125829784782437 ns 
 40.0078 C 	 2125829801509300 ns 
 40.7383 C 	 2125829818441902 ns 
 39.2306 C 	 2125829830939184 ns 
 39.4327 C 	 2125829843813356 ns 
 39.1218 C 	 2125829860701079 ns 
 38.7332 C 	 2125829873195931 ns 
 39.3083 C 	 2125829887878684 ns 
 40.2720 C 	 2125829905038986 ns 
 40.6139 C 	 2125829921703629 ns 
 39.9456 C 	 2125829939102792 ns 
 39.4793 C 	 2125829951374504 ns 
 38.7332 C 	 2125829968002216 ns 
 38.6400 C 	 2125829980692819 ns 
 39.6347 C 	 2125829998693331 ns 
 39.5570 C 	 2125830010880803 ns 
 39.7435 C 	 2125830023683905 ns 
 40.5362 C 	 2125830040757868 ns 
 39.9611 C 	 2125830053200640 ns 
 39.9922 C 	 2125830070152983 ns 
 38.9042 C 	 2125830082623895 ns 
 40.1476 C 	 2125830100050628 ns 
 39.2928 C 	 2125830112459230 ns 
 41.0181 C 	 2125830125082632 ns 
 39.1995 C 	 2125830142296965 ns 
 39.6036 C 	 2125830154450956 ns 
 40.0078 C 	 2125830172297959 ns 
 41.0958 C 	 2125830185004971 ns 
 39.3394 C 	 2125830197417233 ns 
 38.8731 C 	 2125830211608406 ns 
 38.7643 C 	 2125830229931209 ns 
 38.8420 C 	 2125830242681331 ns 
 39.3239 C 	 2125830254876093 ns 
 38.7799 C 	 2125830269209255 ns 
 38.9664 C 	 2125830285909478 ns 
 40.9093 C 	 2125830298317780 ns 
 39.3550 C 	 2125830312194432 ns 
 39.2928 C 	 2125830328699835 ns 
 39.8212 C 	 2125830341150407 ns 
 40.3342 C 	 2125830357879819 ns 
 40.6295 C 	 2125830370884011 ns 
 40.1632 C 	 2125830387306584 ns 
 40.5362 C 	 2125830399585436 ns 
 40.3186 C 	 2125830412317528 ns 
 39.1840 C 	 2125830429394161 ns 
 38.7488 C 	 2125830441657893 ns 
 40.1632 C 	 2125830458258575 ns 
 41.3134 C 	 2125830471185397 ns 
 39.8057 C 	 2125830483499229 ns 
 39.6192 C 	 2125830501257252 ns 
 39.6658 C 	 2125830514124164 ns 
 39.3705 C 	 2125830527817697 ns 
 40.3963 C 	 2125830543905139 ns 
 40.7383 C 	 2125830556736621 ns 
 39.8057 C 	 2125830570956024 ns 
 39.5415 C 	 2125830587395606 ns 
 40.4740 C 	 2125830599910738 ns 
 38.4068 C 	 2125830612957110 ns 
 38.5933 C 	 2125830629453543 ns 
 38.6089 C 	 2125830641654935 ns 
 40.0078 C 	 2125830658733278 ns 
 40.1010 C 	 2125830670932930 ns 
 40.2409 C 	 2125830687454532 ns 
 39.9767 C 	 2125830700123354 ns 
 40.0233 C 	 2125830712595916 ns 
 38.8576 C 	 2125830730131879 ns 
 39.7591 C 	 2125830742896851 ns 
 39.8057 C 	 2125830759655904 ns 
 39.2462 C 	 2125830771804346 ns 
 38.8420 C 	 2125830784633518 ns 
 39.1684 C 	 2125830800992431 ns 
 39.9922 C 	 2125830814247873 ns 
 39.6658 C 	 2125830830603515 ns 
 39.6503 C 	 2125830843325587 ns 
 39.6969 C 	 2125830855951149 ns 
 38.9975 C 	 2125830873429332 ns 
 39.6969 C 	 2125830885827434 ns 
 39.4171 C 	 2125830902277187 ns 
 39.4327 C 	 2125830915277959 ns 
 39.2928 C 	 2125830931481142 ns 
 40.3497 C 	 2125830944388314 ns 
 40.0388 C 	 2125830956792506 ns 
 39.9922 C 	 2125830973564698 ns 
 39.0907 C 	 2125830985576940 ns 
 40.1321 C 	 2125830998976352 ns 
 40.6917 C 	 2125831014448015 ns 
