 39.1063 C 	 2119992385527750 ns 
 37.9094 C 	 2119992398068562 ns 
 40.1166 C 	 2119992414132514 ns 
 39.0441 C 	 2119992426421086 ns 
 38.9664 C 	 2119992442056339 ns 
 39.8368 C 	 2119992454418531 ns 
 39.2772 C 	 2119992466624873 ns 
 38.3291 C 	 2119992481962015 ns 
 39.3860 C 	 2119992493977497 ns 
 38.7021 C 	 2119992509908190 ns 
 38.7177 C 	 2119992522305212 ns 
 38.1426 C 	 2119992537886344 ns 
 39.2306 C 	 2119992550791416 ns 
 39.2306 C 	 2119992567139889 ns 
 38.4068 C 	 2119992579484561 ns 
 39.0596 C 	 2119992591303183 ns 
 39.2306 C 	 2119992607717025 ns 
 38.7021 C 	 2119992620055187 ns 
 38.2048 C 	 2119992631959909 ns 
 39.8523 C 	 2119992649160082 ns 
 39.1995 C 	 2119992661518044 ns 
 38.3447 C 	 2119992673445356 ns 
 38.2048 C 	 2119992689445919 ns 
 38.7799 C 	 2119992703564281 ns 
 38.4690 C 	 2119992718212743 ns 
 37.8317 C 	 2119992734569706 ns 
 38.3913 C 	 2119992750459028 ns 
 38.9664 C 	 2119992766687171 ns 
 39.9922 C 	 2119992783698854 ns 
 39.3239 C 	 2119992795986286 ns 
 39.7746 C 	 2119992812398478 ns 
 39.0130 C 	 2119992824498020 ns 
 40.3186 C 	 2119992836666712 ns 
 38.2203 C 	 2119992851748915 ns 
 39.0907 C 	 2119992867328847 ns 
 39.2928 C 	 2119992879316069 ns 
 39.0752 C 	 2119992894706912 ns 
 38.5312 C 	 2119992906873024 ns 
 40.0855 C 	 2119992923023766 ns 
 39.5259 C 	 2119992935461078 ns 
 37.3499 C 	 2119992947651640 ns 
 38.4690 C 	 2119992962182772 ns 
 38.7021 C 	 2119992978334085 ns 
 37.9872 C 	 2119992990595357 ns 
 39.4171 C 	 2119993006845490 ns 
 37.8162 C 	 2119993018645572 ns 
 39.0285 C 	 2119993031118314 ns 
 38.3291 C 	 2119993044462796 ns 
 39.6814 C 	 2119993060129368 ns 
 40.2720 C 	 2119993072757480 ns 
 38.9508 C 	 2119993086296482 ns 
 38.1115 C 	 2119993101824935 ns 
 39.6658 C 	 2119993114469487 ns 
 38.9664 C 	 2119993126504679 ns 
 39.4482 C 	 2119993142982752 ns 
 38.7021 C 	 2119993154601753 ns 
 39.4016 C 	 2119993171072056 ns 
 38.5933 C 	 2119993184724398 ns 
 38.9975 C 	 2119993196957140 ns 
 38.8265 C 	 2119993217078533 ns 
 39.4171 C 	 2119993228686645 ns 
 38.3602 C 	 2119993241012897 ns 
 40.5984 C 	 2119993257456020 ns 
 39.6347 C 	 2119993269542362 ns 
 39.2928 C 	 2119993281695784 ns 
 38.2203 C 	 2119993298623047 ns 
 40.2409 C 	 2119993310427629 ns 
 39.4482 C 	 2119993326964321 ns 
 37.5053 C 	 2119993339316463 ns 
 39.0130 C 	 2119993351426985 ns 
 38.5778 C 	 2119993367412968 ns 
 38.9353 C 	 2119993381022410 ns 
 37.6141 C 	 2119993393223022 ns 
 40.0388 C 	 2119993410767775 ns 
 38.8576 C 	 2119993422669467 ns 
 38.7488 C 	 2119993435032499 ns 
 38.7021 C 	 2119993451576661 ns 
 39.8523 C 	 2119993463357813 ns 
 37.8162 C 	 2119993475837185 ns 
 38.2669 C 	 2119993490293137 ns 
 39.0596 C 	 2119993506201030 ns 
 38.7799 C 	 2119993518336602 ns 
 38.9353 C 	 2119993534704125 ns 
 39.4327 C 	 2119993547023897 ns 
 38.1581 C 	 2119993558967709 ns 
 39.9456 C 	 2119993575275321 ns 
 38.3291 C 	 2119993587779623 ns 
 39.4016 C 	 2119993602946666 ns 
 39.5415 C 	 2119993614852797 ns 
 39.8368 C 	 2119993627578710 ns 
 39.4327 C 	 2119993642569562 ns 
 38.1426 C 	 2119993658959045 ns 
 39.6192 C 	 2119993670824287 ns 
 38.8420 C 	 2119993682839108 ns 
 39.0441 C 	 2119993698507151 ns 
 38.3447 C 	 2119993710623043 ns 
 40.3963 C 	 2119993725192425 ns 
 39.5570 C 	 2119993738367257 ns 
 39.8212 C 	 2119993754544970 ns 
 39.5104 C 	 2119993766973222 ns 
 38.7799 C 	 2119993782981975 ns 
 38.3913 C 	 2119993795222877 ns 
 38.9664 C 	 2119993810324039 ns 
 38.3291 C 	 2119993822356531 ns 
 37.9561 C 	 2119993838917044 ns 
 39.3239 C 	 2119993851125966 ns 
 38.5933 C 	 2119993863414447 ns 
 38.2203 C 	 2119993878457680 ns 
 38.1581 C 	 2119993890742562 ns 
 38.2514 C 	 2119993906347424 ns 
 39.5104 C 	 2119993919109876 ns 
 38.2359 C 	 2119993935525099 ns 
 38.9197 C 	 2119993948129451 ns 
 39.8212 C 	 2119993959797893 ns 
 38.5467 C 	 2119993973038635 ns 
 40.2564 C 	 2119993989110418 ns 
 38.0804 C 	 2119994001141500 ns 
 38.3447 C 	 2119994016950842 ns 
 38.9197 C 	 2119994029423644 ns 
 38.6244 C 	 2119994045613777 ns 
 40.0544 C 	 2119994057789189 ns 
 38.5001 C 	 2119994069952841 ns 
 39.7435 C 	 2119994086789263 ns 
 40.4585 C 	 2119994098337465 ns 
 39.4327 C 	 2119994113260128 ns 
 40.3186 C 	 2119994130060520 ns 
 39.0285 C 	 2119994149087843 ns 
 38.0338 C 	 2119994161706776 ns 
 39.2617 C 	 2119994178004278 ns 
 40.0855 C 	 2119994194141761 ns 
 38.5001 C 	 2119994206271213 ns 
 40.0855 C 	 2119994222338495 ns 
 38.8265 C 	 2119994234628597 ns 
 40.0855 C 	 2119994250482760 ns 
 37.7851 C 	 2119994262922082 ns 
 38.6866 C 	 2119994278922104 ns 
 38.2669 C 	 2119994291066136 ns 
 39.1995 C 	 2119994307054009 ns 
 38.8576 C 	 2119994319422411 ns 
 38.9975 C 	 2119994331769123 ns 
 39.9456 C 	 2119994347441515 ns 
 39.1063 C 	 2119994359924907 ns 
 39.1218 C 	 2119994376318500 ns 
 39.9922 C 	 2119994388828382 ns 
 39.5570 C 	 2119994400816324 ns 
 38.0649 C 	 2119994417951277 ns 
 38.0493 C 	 2119994430373739 ns 
 39.7124 C 	 2119994442141601 ns 
 38.0804 C 	 2119994458595193 ns 
 39.7591 C 	 2119994470857335 ns 
 40.0544 C 	 2119994482809217 ns 
 39.4638 C 	 2119994500287910 ns 
 38.6555 C 	 2119994512716012 ns 
 39.7746 C 	 2119994524757864 ns 
 39.6192 C 	 2119994540962697 ns 
 38.9353 C 	 2119994553379279 ns 
 38.2669 C 	 2119994565475610 ns 
 37.5520 C 	 2119994582236613 ns 
 39.1529 C 	 2119994594864755 ns 
 39.2617 C 	 2119994610835108 ns 
 37.4898 C 	 2119994623253010 ns 
 39.4948 C 	 2119994635926002 ns 
 38.5001 C 	 2119994653627355 ns 
 38.4224 C 	 2119994665642207 ns 
 38.9508 C 	 2119994681502549 ns 
 38.5933 C 	 2119994698635102 ns 
 38.7643 C 	 2119994710988834 ns 
 38.5933 C 	 2119994727453437 ns 
 39.7124 C 	 2119994739320478 ns 
 39.7902 C 	 2119994755704291 ns 
 39.1529 C 	 2119994768072693 ns 
 38.9975 C 	 2119994780325595 ns 
 39.0285 C 	 2119994797106218 ns 
 38.5778 C 	 2119994809969140 ns 
 38.8420 C 	 2119994822061392 ns 
 38.3602 C 	 2119994838819694 ns 
 39.2306 C 	 2119994851633087 ns 
 38.8265 C 	 2119994865425049 ns 
 39.4948 C 	 2119994877541361 ns 
 38.5156 C 	 2119994895068384 ns 
 38.3291 C 	 2119994907380086 ns 
 39.1063 C 	 2119994921006508 ns 
 40.3031 C 	 2119994937106670 ns 
 38.8887 C 	 2119994949654322 ns 
 39.3860 C 	 2119994962365744 ns 
 39.4482 C 	 2119994978812257 ns 
 40.2875 C 	 2119994990924219 ns 
 39.9922 C 	 2119995007415942 ns 
 39.8368 C 	 2119995020136844 ns 
 37.7540 C 	 2119995032164476 ns 
 38.7799 C 	 2119995045831998 ns 
 40.1476 C 	 2119995063557951 ns 
 39.1063 C 	 2119995075392863 ns 
 39.3083 C 	 2119995087424814 ns 
 39.0752 C 	 2119995101606837 ns 
 39.7280 C 	 2119995117157849 ns 
 39.1684 C 	 2119995129197811 ns 
 39.3083 C 	 2119995145878024 ns 
 39.8057 C 	 2119995158287556 ns 
 38.7954 C 	 2119995170677978 ns 
