 38.1892 C 	 2120187735759238 ns 
 38.2359 C 	 2120187747475410 ns 
 39.3394 C 	 2120187762008792 ns 
 38.9042 C 	 2120187777411665 ns 
 37.9405 C 	 2120187793379107 ns 
 39.2306 C 	 2120187812885020 ns 
 38.8265 C 	 2120187830477803 ns 
 39.5726 C 	 2120187848716096 ns 
 40.0078 C 	 2120187867553249 ns 
 39.9922 C 	 2120187883168792 ns 
 39.8057 C 	 2120187896955174 ns 
 38.7954 C 	 2120187913134986 ns 
 38.4690 C 	 2120187927989579 ns 
 39.1840 C 	 2120187945713582 ns 
 38.4690 C 	 2120187961935544 ns 
 37.9872 C 	 2120187977761987 ns 
 39.4327 C 	 2120187992766189 ns 
 38.6400 C 	 2120188010595522 ns 
 39.5259 C 	 2120188023166694 ns 
 39.2928 C 	 2120188039159487 ns 
 38.9197 C 	 2120188056383269 ns 
 38.7954 C 	 2120188068716661 ns 
 38.6711 C 	 2120188085427864 ns 
 39.0441 C 	 2120188101425997 ns 
 38.8887 C 	 2120188117609019 ns 
 39.5415 C 	 2120188130270731 ns 
 39.3550 C 	 2120188145937754 ns 
 39.2151 C 	 2120188163160457 ns 
 39.0596 C 	 2120188176409329 ns 
 38.7488 C 	 2120188188281021 ns 
 38.4068 C 	 2120188204368253 ns 
 38.7021 C 	 2120188216623495 ns 
 39.0596 C 	 2120188230435947 ns 
 38.4224 C 	 2120188246848980 ns 
 40.0233 C 	 2120188262866193 ns 
 38.8887 C 	 2120188275290065 ns 
 40.2720 C 	 2120188287975057 ns 
 38.1115 C 	 2120188303614479 ns 
 39.1840 C 	 2120188315999351 ns 
 39.7435 C 	 2120188331992684 ns 
 38.0493 C 	 2120188344502416 ns 
 39.9145 C 	 2120188358260028 ns 
 39.9456 C 	 2120188372859110 ns 
 40.4896 C 	 2120188390649803 ns 
 38.9042 C 	 2120188404674416 ns 
 39.4482 C 	 2120188418283858 ns 
 40.6295 C 	 2120188433365970 ns 
 40.5673 C 	 2120188449575303 ns 
 38.9353 C 	 2120188467165896 ns 
 39.2617 C 	 2120188478872527 ns 
 38.1115 C 	 2120188495589130 ns 
 38.5623 C 	 2120188509843422 ns 
 38.5156 C 	 2120188524374615 ns 
 39.9922 C 	 2120188536403057 ns 
 37.8939 C 	 2120188550158029 ns 
 40.1787 C 	 2120188562318951 ns 
 38.5001 C 	 2120188578190993 ns 
 39.9300 C 	 2120188590243585 ns 
 40.6606 C 	 2120188607232378 ns 
 37.7074 C 	 2120188621398080 ns 
 38.5467 C 	 2120188637131553 ns 
 39.3860 C 	 2120188653329486 ns 
 39.3860 C 	 2120188671343108 ns 
 38.3913 C 	 2120188683969510 ns 
 38.5001 C 	 2120188700394993 ns 
 40.0699 C 	 2120188712958155 ns 
 39.2928 C 	 2120188724733637 ns 
 39.1063 C 	 2120188740854860 ns 
 39.1063 C 	 2120188753156032 ns 
