 37.6918 C 	 2117821465210148 ns 
 39.6192 C 	 2117821481480381 ns 
 37.2877 C 	 2117821498393063 ns 
 39.7280 C 	 2117821514764156 ns 
 38.4690 C 	 2117821531053139 ns 
 39.2772 C 	 2117821546642341 ns 
 38.9042 C 	 2117821562930004 ns 
 38.4224 C 	 2117821581232167 ns 
 37.9094 C 	 2117821593849089 ns 
 38.5778 C 	 2117821612191782 ns 
 38.4690 C 	 2117821624220614 ns 
 38.5623 C 	 2117821636131245 ns 
 37.9094 C 	 2117821652703608 ns 
 39.3860 C 	 2117821665195010 ns 
 38.3291 C 	 2117821677066012 ns 
 38.9353 C 	 2117821691318294 ns 
 37.9094 C 	 2117821707197297 ns 
 39.7902 C 	 2117821719677989 ns 
 37.8628 C 	 2117821735882252 ns 
 38.9664 C 	 2117821748466084 ns 
 39.9300 C 	 2117821760371165 ns 
 38.4845 C 	 2117821776691888 ns 
 39.6658 C 	 2117821789096980 ns 
 39.8368 C 	 2117821805182233 ns 
 39.1373 C 	 2117821817082005 ns 
 39.4327 C 	 2117821829330857 ns 
 38.9353 C 	 2117821845712209 ns 
 38.7954 C 	 2117821857727331 ns 
 38.6244 C 	 2117821873760474 ns 
 39.8834 C 	 2117821886055016 ns 
 38.4690 C 	 2117821898215728 ns 
 38.0804 C 	 2117821912986230 ns 
 39.2151 C 	 2117821929879323 ns 
 39.8834 C 	 2117821941959065 ns 
 39.5104 C 	 2117821954182657 ns 
 38.4690 C 	 2117821970602349 ns 
 37.7540 C 	 2117821982624341 ns 
 38.9975 C 	 2117821995078843 ns 
 39.1063 C 	 2117822010659796 ns 
 39.1995 C 	 2117822024761388 ns 
 38.0649 C 	 2117822040947351 ns 
 38.7332 C 	 2117822052919993 ns 
 37.7696 C 	 2117822065901235 ns 
 38.3291 C 	 2117822079528557 ns 
 38.2514 C 	 2117822094923959 ns 
 38.2980 C 	 2117822107564581 ns 
 39.1063 C 	 2117822123797374 ns 
 36.8681 C 	 2117822136140576 ns 
 38.4845 C 	 2117822152146449 ns 
 38.7488 C 	 2117822164474981 ns 
 38.9819 C 	 2117822176666622 ns 
 37.1789 C 	 2117822193554675 ns 
 38.0183 C 	 2117822205831247 ns 
 38.9819 C 	 2117822218297689 ns 
 37.9094 C 	 2117822233897872 ns 
 39.1529 C 	 2117822246417864 ns 
 38.8109 C 	 2117822262290746 ns 
 38.6555 C 	 2117822274056838 ns 
 38.3913 C 	 2117822290421451 ns 
 38.0183 C 	 2117822302825523 ns 
 39.4482 C 	 2117822314649725 ns 
 38.6400 C 	 2117822331279987 ns 
 38.7643 C 	 2117822344478729 ns 
 39.2617 C 	 2117822360280482 ns 
 38.0338 C 	 2117822372629744 ns 
 38.7021 C 	 2117822384945796 ns 
 38.4379 C 	 2117822399465918 ns 
 37.5364 C 	 2117822411028130 ns 
 38.7643 C 	 2117822425662943 ns 
