 38.9197 C 	 2117821465159628 ns 
 40.0233 C 	 2117821481434871 ns 
 38.1426 C 	 2117821498349713 ns 
 38.0493 C 	 2117821514719216 ns 
 39.3860 C 	 2117821531009729 ns 
 38.9042 C 	 2117821546596651 ns 
 38.2203 C 	 2117821562886654 ns 
 39.8212 C 	 2117821581188247 ns 
 39.3083 C 	 2117821593805169 ns 
 39.2617 C 	 2117821612147712 ns 
 38.1892 C 	 2117821624177624 ns 
 38.6244 C 	 2117821636088765 ns 
 37.6763 C 	 2117821652659838 ns 
 39.1373 C 	 2117821665151780 ns 
 39.4016 C 	 2117821677022542 ns 
 38.1892 C 	 2117821691274194 ns 
 39.1529 C 	 2117821707154337 ns 
 39.6658 C 	 2117821719634669 ns 
 38.8109 C 	 2117821735839562 ns 
 39.7746 C 	 2117821748422734 ns 
 38.4068 C 	 2117821760328055 ns 
 38.9197 C 	 2117821776648358 ns 
 38.2359 C 	 2117821789054170 ns 
 38.9353 C 	 2117821805138613 ns 
 38.9197 C 	 2117821817038985 ns 
 39.7746 C 	 2117821829287537 ns 
 38.4379 C 	 2117821845669939 ns 
 38.8265 C 	 2117821857684461 ns 
 38.1271 C 	 2117821873715744 ns 
 38.9819 C 	 2117821886012506 ns 
 39.0596 C 	 2117821898173458 ns 
 38.7643 C 	 2117821912943690 ns 
 40.4274 C 	 2117821929835193 ns 
 38.3757 C 	 2117821941913945 ns 
 38.9819 C 	 2117821954139547 ns 
 38.4068 C 	 2117821970559899 ns 
 38.2825 C 	 2117821982581021 ns 
 38.9664 C 	 2117821995035973 ns 
 37.7074 C 	 2117822010617256 ns 
 38.8887 C 	 2117822024718488 ns 
 38.5001 C 	 2117822040904541 ns 
 38.5312 C 	 2117822052877093 ns 
 38.7332 C 	 2117822065858215 ns 
 39.5726 C 	 2117822079380057 ns 
 39.5259 C 	 2117822094881629 ns 
 39.4327 C 	 2117822107520541 ns 
 39.7591 C 	 2117822123754924 ns 
 39.7902 C 	 2117822136097796 ns 
 38.5156 C 	 2117822152103849 ns 
 38.6555 C 	 2117822164431151 ns 
 38.7021 C 	 2117822176623512 ns 
 39.4948 C 	 2117822193510605 ns 
 38.9508 C 	 2117822205788467 ns 
 38.3602 C 	 2117822218254009 ns 
 38.2514 C 	 2117822233853442 ns 
 39.8990 C 	 2117822246374754 ns 
 39.3705 C 	 2117822262247246 ns 
 38.7177 C 	 2117822274012828 ns 
 39.9456 C 	 2117822290379061 ns 
 38.8265 C 	 2117822302782653 ns 
 40.1321 C 	 2117822314606555 ns 
 39.8834 C 	 2117822331236907 ns 
 38.6089 C 	 2117822344434869 ns 
 39.4482 C 	 2117822360236832 ns 
 40.2720 C 	 2117822372585914 ns 
 39.3705 C 	 2117822384902476 ns 
 39.5259 C 	 2117822399420168 ns 
 40.0388 C 	 2117822410984360 ns 
 39.0441 C 	 2117822425620553 ns 
 40.0233 C 	 2117822438784675 ns 
 38.3447 C 	 2117822455467977 ns 
 39.2151 C 	 2117822467267489 ns 
 40.4585 C 	 2117822483229952 ns 
 40.3963 C 	 2117822495443434 ns 
 39.4016 C 	 2117822507177636 ns 
 39.1373 C 	 2117822520702058 ns 
 37.9250 C 	 2117822535214080 ns 
 39.2772 C 	 2117822551243293 ns 
 37.6608 C 	 2117822563154375 ns 
 38.8265 C 	 2117822575350247 ns 
 38.6244 C 	 2117822591245659 ns 
 38.7488 C 	 2117822603281031 ns 
 39.5726 C 	 2117822616908293 ns 
 38.6244 C 	 2117822628640335 ns 
 39.2151 C 	 2117822644868118 ns 
 40.6917 C 	 2117822661146600 ns 
 40.0544 C 	 2117822677026803 ns 
 39.2772 C 	 2117822689113955 ns 
 37.8473 C 	 2117822700930957 ns 
 39.3550 C 	 2117822716527599 ns 
 38.5933 C 	 2117822728925671 ns 
 38.0493 C 	 2117822744861044 ns 
 38.5778 C 	 2117822757049686 ns 
 39.1995 C 	 2117822768790308 ns 
 39.6192 C 	 2117822784571390 ns 
 40.1321 C 	 2117822796713172 ns 
 39.1529 C 	 2117822808413234 ns 
 38.9664 C 	 2117822824618697 ns 
 39.4638 C 	 2117822836341709 ns 
 39.8679 C 	 2117822851958811 ns 
 39.7124 C 	 2117822864142593 ns 
 38.4224 C 	 2117822876095285 ns 
 39.1529 C 	 2117822891979988 ns 
 39.6969 C 	 2117822903891220 ns 
 37.4742 C 	 2117822919825782 ns 
 39.3550 C 	 2117822931760054 ns 
 38.4690 C 	 2117822943673986 ns 
 40.5518 C 	 2117822955426938 ns 
 38.4690 C 	 2117822970866440 ns 
